ESSRenyi,VarJ,MinNormIw,VarVanillaIw,Bound,MinVanillaIw,MaxVanillaIw,AvgNormIw,AvgRet,VanillaAvgRet,VarDiscRet,AvgVanillaIw,IterType,EpsThisIter,eRenyi2,J,Delta,MaxNormIw,AvgDiscRet,VarNormIw,AvgEpLen,BatchSize,ESSClassic,VarRet
62.1651943274,9.24934,2.41219e-07,0.620603,-129.918,2.47136e-05,2.38154,0.01,-126.517539579,-126.517539579,4841.67031171,1.02453,1,100,1.60862,-109.429,0.9,0.0232452,-126.517539579,5.9124e-05,42.58,100,63.0784538326,4841.67031171
79.6151416493,8.36439,0.000508381,0.308288,-128.128,0.0487977,2.00936,0.01,-117.943336613,-117.943336613,2101.08009174,0.959865,1,100,1.25604,-110.118,0.9,0.0209338,-117.943336613,3.34607e-05,34.52,100,75.11675818,2101.08009174
76.5486961065,4.08068,0.000236413,0.344357,-113.349,0.0236403,2.40892,0.01,-109.659977045,-109.659977045,58.2589914401,0.999961,1,100,1.30636,-107.619,0.9,0.0240902,-109.659977045,3.44383e-05,18.52,100,74.5745876236,58.2589914401
88.2511123958,5.03533,0.000594529,0.169091,-125.268,0.0550556,1.58907,0.01,-113.175933944,-113.175933944,1614.44244154,0.926037,1,100,1.13313,-107.758,0.9,0.0171599,-113.175933944,1.9718e-05,23.22,100,83.6674080574,1614.44244154
96.1678380875,2.52935,0.00682149,0.0488049,-111.209,0.707674,1.98235,0.01,-107.383435753,-107.383435753,7.65604584332,1.03742,1,100,1.03985,-107.22,0.9,0.0191085,-107.383435753,4.53477e-06,15.97,100,95.7034669835,7.65604584332
88.697033718,2.63462,0.00322536,0.1425,-110.931,0.322756,2.23186,0.01,-107.312654104,-107.312654104,7.78260398982,1.00068,1,100,1.12743,-106.87,0.9,0.0223034,-107.312654104,1.42306e-05,16.52,100,87.6514180092,7.78260398982
94.5749183578,2.33422,0.00186416,0.0634898,-110.539,0.184172,1.49524,0.01,-106.871060658,-106.871060658,6.31101321558,0.987962,1,100,1.05736,-106.63,0.9,0.0151346,-106.871060658,6.50464e-06,18.42,100,93.9500076194,6.31101321558
97.4904535895,2.0236,0.00627778,0.0433721,-110.5,0.63829,1.98836,0.01,-106.782393237,-106.782393237,4.41459681065,1.01675,1,100,1.02574,-106.658,0.9,0.0195561,-106.782393237,4.19552e-06,16.83,100,96.0120704629,4.41459681065
78.4384511305,4.59638,0.0025651,14.8798,-110.731,0.39846,28.7534,0.01,-107.415547263,-107.415547263,5.74539887277,1.55339,1,100,1.27488,-106.413,0.9,0.185101,-107.415547263,0.000616646,16.8,100,14.0749944789,5.74539887277
97.0888196462,2.12145,0.00568621,0.0266133,-110.902,0.573063,1.54346,0.01,-107.193084792,-107.193084792,4.75597855778,1.00781,1,100,1.02998,-107.081,0.9,0.015315,-107.193084792,2.62023e-06,16.14,100,97.4715743223,4.75597855778
97.0071059378,2.37961,0.00369464,0.0369688,-110.922,0.366891,1.23104,0.01,-107.186141271,-107.186141271,6.25668017263,0.993036,1,100,1.03085,-107.048,0.9,0.0123967,-107.186141271,3.74892e-06,17.98,100,96.4213523818,6.25668017263
93.4091524313,2.55707,0.00339193,0.0643288,-111.023,0.324253,1.65486,0.01,-107.100173379,-107.100173379,8.16296935581,0.955953,1,100,1.07056,-106.81,0.9,0.0173111,-107.100173379,7.03934e-06,16.44,100,93.4850463815,8.16296935581
