MinNormIw,eRenyi2,Bound,VarDiscRet,AvgNormIw,VarVanillaIw,BatchSize,AvgEpLen,VarRet,ESSClassic,VarNormIw,VanillaAvgRet,VarJ,ESSRenyi,AvgVanillaIw,J,MaxVanillaIw,MinVanillaIw,AvgRet,AvgDiscRet,MaxNormIw
3.7828326e-15,30.037289,765.71875,66777.9072013983,0.010000002,259.75513,100,15.55,66777.9072013983,1.602504048672814,0.006202256,145.43481796665648,2710.3867,3.3291952916493894,2.0464787,1706.6665,160.95308,7.7414865e-13,145.43481796665648,145.43481796665648,0.78648794
7.705718e-27,24.531168,2508.3782,339783.03838412266,0.010000002,54.3565,100,43.34,339783.03838412266,1.2296947332444734,0.008113234,423.35703535888644,3869.4832,4.076446749913715,0.81851906,4592.6016,73.765274,6.307277e-25,423.35703535888644,423.35703535888644,0.9012041
,7.150004,3759.6143,2663830.592857448,0.01,5.406726,100,196.4,2663830.592857448,9.960775578200394,0.0009130686,1955.2419952939742,559.8925,13.986006337595855,0.7695122,4884.8403,10.867729,,1955.2419952939742,1955.2419952939742,0.14122881
1.9594417e-08,2.2167733,4269.256,2747995.436157938,0.01,1.161848,100,381.03,2747995.436157938,42.42917809877994,0.00013705746,3805.4191203747214,314.13217,45.11061247576179,0.920711,4895.7935,3.8912003,1.8040795e-06,3805.4191203747214,3805.4191203747214,0.042262994
0.0004447002,1.2164522,4497.167,597522.9979314193,0.010000002,0.27144462,100,480.87,597522.9979314193,78.09279982126428,2.8336126e-05,4807.3536742098395,166.61116,82.20626888105758,0.9787468,4961.291,1.8709106,0.04352489,4807.3536742098395,4807.3536742098395,0.01911537
0.0022911227,1.0641205,4546.8105,217373.34646368562,0.010000002,0.07365481,100,494.03,217373.34646368562,93.20658136632127,7.362175e-06,4939.643297715247,123.893196,93.97431689275403,1.0002246,4980.903,1.4024636,0.22916372,4939.643297715247,4939.643297715247,0.014021487
0.0011117493,1.063788,4549.8574,134502.3226618566,0.009999998,0.06706579,100,493.64,134502.3226618566,93.8415837657517,6.6288703e-06,4935.687638882728,107.36697,94.00368748347799,1.0058442,4983.882,1.2963035,0.11182467,4935.687638882728,4935.687638882728,0.012887716
0.003527301,1.0460021,4552.452,97179.15821465055,0.01,0.0450583,100,495.72,97179.15821465055,95.52045354981993,4.736985e-06,4956.549787117974,119.26679,95.60209798801117,0.97529596,4982.833,1.3593416,0.34401622,4956.549787117974,4956.549787117974,0.013937735
0.0046161273,1.0115511,4569.552,12021.729554919475,0.01,0.012897607,100,498.7,12021.729554919475,98.73718801057709,1.2918955e-06,4986.448870305907,53.006886,98.85807634806929,0.9991734,4992.7856,1.1204635,0.46123117,4986.448870305907,4986.448870305907,0.011213904
0.0034520745,1.0450413,4553.65,160650.60745531722,0.01,0.044135846,100,495.73,160650.60745531722,95.6245803531816,4.621825e-06,4956.756788937141,139.83759,95.68999600978367,0.9772124,4983.833,1.300068,0.337341,4956.756788937141,4956.756788937141,0.013303842
0.0016786403,1.0522772,4546.9126,90551.64630248467,0.010000002,0.050108366,100,495.33,90551.64630248467,95.16464781516876,5.132352e-06,4952.645810889325,146.18394,95.03199280491837,0.9880909,4978.5825,1.2823355,0.16586491,4952.645810889325,4952.645810889325,0.01297791
0.009986827,1.0000001,4578.9326,0.06604531885351608,0.010000003,1.4691274e-07,100,500.0,0.06604531885351608,99.99994659651686,1.469024e-11,4999.742397057527,0.25565255,99.99998807907247,1.0000423,4999.743,1.0011073,0.99872494,4999.742397057527,4999.742397057527,0.01001065
0.00998293,1.0000001,4578.9233,0.1018946337538082,0.01,1.7129976e-07,100,500.0,0.1018946337538082,99.99998092566507,1.7131345e-11,4999.733501344481,0.31739518,99.99998807907247,0.99995536,4999.734,1.0007412,0.9982484,4999.733501344481,4999.733501344481,0.010007859
0.0031965259,1.0225887,4564.9473,35976.37988862377,0.010000002,0.028583163,100,497.71,35976.37988862377,97.19312889803325,2.9170812e-06,4976.578341183386,67.755486,97.79102495472189,0.9898763,4990.484,1.1971526,0.3164165,4976.578341183386,4976.578341183386,0.012093962
0.0034782118,1.0504246,4542.3335,249972.43634161094,0.009999999,0.052939747,100,495.01,249972.43634161094,95.01390886665533,5.300783e-06,4949.726125402554,260.9782,95.1996005265786,0.9993575,4973.623,1.401472,0.34759772,4949.726125402554,4949.726125402554,0.01402373
0.01,1.0,4578.941,0.11517547999676023,0.009999998,,100,500.0,0.11517547999676023,100.0,3.5044917e-18,4999.750947735475,0.33768153,100.0,1.0,4999.7515,1.0,1.0,4999.750947735475,4999.750947735475,0.01
0.0024158997,1.0587944,4545.9893,249968.45446768394,0.01,0.067542925,100,495.01,249968.45446768394,93.28228625254074,7.274244e-06,4949.685723831302,207.00815,94.44704463988256,0.96359825,4978.9937,1.3829365,0.23279567,4949.685723831302,4949.685723831302,0.014351795
0.01,1.0,4578.864,0.12280316393343295,0.009999998,,100,500.0,0.12280316393343295,100.0,3.5044917e-18,4999.6741282342255,0.3486526,100.0,1.0,4999.6743,1.0,1.0,4999.6741282342255,4999.6741282342255,0.01
0.009992687,1.0000001,4578.848,0.10067277245951949,0.010000002,7.256892e-08,100,500.0,0.10067277245951949,99.99998092653823,7.2567638e-12,4999.65839534658,0.3156249,99.99998807907247,1.0000012,4999.6587,1.0007108,0.99926984,4999.65839534658,4999.65839534658,0.010007097
0.003047956,1.0211486,4567.995,44981.67511038281,0.01,0.02112966,100,497.89,44981.67511038281,97.98199157995126,2.0803952e-06,4978.472281327526,64.778984,97.92894362197592,1.0077977,4993.232,1.2029635,0.3071723,4978.472281327526,4978.472281327526,0.0119365575
0.009992193,1.0,4578.845,0.10921573135758557,0.01,3.0260725e-08,100,500.0,0.10921573135758557,100.0,3.026138e-12,4999.655225888715,0.3287521,100.0,1.0000004,4999.656,1.0002503,0.9992197,4999.655225888715,4999.655225888715,0.010002499
0.01,1.0,4578.8823,0.09990645231762678,0.009999998,,100,500.0,0.09990645231762678,100.0,3.5044917e-18,4999.692766116639,0.3145154,100.0,1.0,4999.693,1.0,1.0,4999.692766116639,4999.692766116639,0.01
0.01,1.0,4578.8994,0.09904504116814557,0.009999998,,100,500.0,0.09904504116814557,100.0,3.5044917e-18,4999.709695195361,0.3131419,100.0,1.0,4999.71,1.0,1.0,4999.709695195361,4999.709695195361,0.01
0.009994357,1.0,4578.9033,0.07511232010124796,0.01,8.849947e-08,100,500.0,0.07511232010124796,99.99998474092048,8.8502495e-12,4999.71349866183,0.27263194,100.0,0.99998087,4999.714,1.0007795,0.99941653,4999.71349866183,4999.71349866183,0.010007987
0.01,1.0,4578.865,0.09600741659918122,0.009999998,,100,500.0,0.09600741659918122,100.0,3.5044917e-18,4999.675843283331,0.30829203,100.0,1.0,4999.676,1.0,1.0,4999.675843283331,4999.675843283331,0.01
0.005365508,1.0050441,4574.589,3601.7824664279988,0.009999999,0.0072690747,100,499.41,3601.7824664279988,99.2781082698274,7.3451093e-07,4993.6787971169115,32.191727,99.49812126101051,0.9948107,4996.459,1.090806,0.5337665,4993.6787971169115,4993.6787971169115,0.010964961
0.0035040386,1.0255511,4561.46,51468.01252240775,0.01,0.028255498,100,497.36,51468.01252240775,97.17018892337256,2.9416499e-06,4973.110956843423,94.94972,97.50855114050466,0.98006743,4987.613,1.2253458,0.3434194,4973.110956843423,4973.110956843423,0.012502668
0.005365975,1.036446,4536.7256,249970.81645801547,0.010000002,0.029956052,100,495.01,249970.81645801547,97.0620531842986,3.0574417e-06,4949.710183795056,345.09836,96.48356246518568,0.9898359,4965.1357,1.3790224,0.5311435,4949.710183795056,4949.710183795056,0.013931829
0.009952426,1.0000008,4578.8115,0.1797243825883521,0.01,1.93347e-06,100,500.0,0.1797243825883521,99.9997901444288,1.9343485e-10,4999.621205101169,0.4210619,99.99991655356695,0.9997734,4999.622,1.0014856,0.9950171,4999.621205101169,4999.621205101169,0.010017126
0.0071654026,1.002202,4575.756,1370.0702652125647,0.010000002,0.0042049265,100,499.64,1370.0702652125647,99.582182787943,4.2379327e-07,4995.9896671429815,26.55941,99.78028043030397,0.9960983,4997.0293,1.0640597,0.7137445,4995.9896671429815,4995.9896671429815,0.010682276
0.0053867097,1.0042845,4575.293,2419.3102408734753,0.01,0.0051785926,100,499.52,2419.3102408734753,99.50113909722285,5.064351e-07,4994.727064794264,26.48801,99.57337775588937,1.0112162,4997.004,1.0801536,0.5447128,4994.727064794264,4994.727064794264,0.010681728
0.009991944,1.0,4578.887,0.12181472006474293,0.01,2.1620005e-08,100,500.0,0.12181472006474293,100.00001525865576,2.1620767e-12,4999.697488260255,0.34719336,100.0,1.0000088,4999.6978,1.0002596,0.99920326,4999.697488260255,4999.697488260255,0.010002508
0.009978771,1.0000002,4578.9434,0.05191908753633965,0.01,3.4869674e-07,100,500.0,0.05191908753633965,99.99998092596341,3.4871536e-11,4999.7534018508495,0.22667314,99.99997615814777,0.99997103,4999.754,1.0015689,0.9978482,4999.7534018508495,4999.7534018508495,0.010015979
0.00997443,1.0000007,4578.904,0.06893290224380275,0.01,7.561452e-07,100,500.0,0.06893290224380275,99.99993134456201,7.559458e-11,4999.713879284021,0.26109797,99.99992847447743,1.0001322,4999.7144,1.0026516,0.99757487,4999.713879284021,4999.713879284021,0.01002519
0.009995995,1.0,4578.8857,0.06685012125013766,0.01,1.0898404e-07,100,500.0,0.06685012125013766,100.00001525931935,1.0899255e-11,4999.695765148101,0.25726265,100.0,0.99996537,4999.6963,1.0011603,0.9995649,4999.695765148101,4999.695765148101,0.01001195
0.009883847,1.0000008,4578.902,0.09287334181842623,0.010000002,3.2627102e-06,100,500.0,0.09287334181842623,99.99965283964154,3.2631542e-10,4999.711766124113,0.30259767,99.99991655356695,0.9999314,4999.7124,1.0013679,0.9883169,4999.711766124113,4999.711766124113,0.010014366
0.01,1.0,4578.9043,0.07335713231783104,0.009999998,,100,500.0,0.07335713231783104,100.0,3.5044917e-18,4999.715140733208,0.26950815,100.0,1.0,4999.715,1.0,1.0,4999.715140733208,4999.715140733208,0.01
0.009942618,1.0000007,4578.9106,0.07578873179769327,0.010000002,1.951185e-06,100,500.0,0.07578873179769327,99.99979400397844,1.9512243e-10,4999.7206096465725,0.27367204,99.99992847447743,0.99998695,4999.721,1.0017282,0.9942488,4999.7206096465725,4999.7206096465725,0.010017413
0.004655245,1.0481926,4543.676,249972.62844186867,0.010000002,0.0665121,100,495.01,249972.62844186867,93.97824217427421,6.472318e-06,4949.728310148903,252.14047,95.4023125764184,1.0137256,4974.507,2.092843,0.47191414,4949.728310148903,4949.728310148903,0.020645063
0.009997848,1.0,4578.9067,0.07937670179943841,0.01,7.240682e-09,100,500.0,0.07937670179943841,99.9999923706711,7.240739e-13,4999.716427246476,0.28029308,100.0,1.0000086,4999.7173,1.0002164,0.9997934,4999.716427246476,4999.716427246476,0.0100020785
0.009996109,1.0000019,4578.864,0.08888227506180899,0.01,1.4685408e-08,100,500.0,0.08888227506180899,99.99998474118242,1.4685997e-12,4999.674150880016,0.29659948,99.99980926550052,0.99999803,4999.675,1.0002245,0.99960893,4999.674150880016,4999.674150880016,0.010002265
0.01,1.0,4578.9263,0.0676875532503523,0.009999998,,100,500.0,0.0676875532503523,100.0,3.5044917e-18,4999.736911195527,0.2588515,100.0,1.0,4999.737,1.0,1.0,4999.736911195527,4999.736911195527,0.01
0.009986668,1.0,4578.9023,0.08798758290911324,0.010000002,5.0564424e-08,100,500.0,0.08798758290911324,99.99998092674923,5.0563416e-12,4999.712490470006,0.29503465,100.0,1.0000122,4999.713,1.0003139,0.998679,4999.712490470006,4999.712490470006,0.010003016
0.009994925,1.0,4578.974,0.05052213375495215,0.01,1.632641e-08,100,500.0,0.05052213375495215,99.99999618527258,1.6326102e-12,4999.784347254476,0.22362983,100.0,0.9999921,4999.7847,1.0003281,0.99948454,4999.784347254476,4999.784347254476,0.01000336
0.0099790925,1.0000002,4578.919,0.08356258226064418,0.01,3.3122757e-07,100,500.0,0.08356258226064418,99.99995422458099,3.3121044e-11,4999.7289416131125,0.28748775,99.99997615814777,1.0000204,4999.7295,1.001006,0.9979296,4999.7289416131125,4999.7289416131125,0.010009856
0.01,1.0,4578.873,0.09165875402360012,0.009999998,,100,500.0,0.09165875402360012,100.0,3.5044917e-18,4999.683263156897,0.3012336,100.0,1.0,4999.6836,1.0,1.0,4999.683263156897,4999.683263156897,0.01
0.009967863,1.0000006,4578.902,0.13997842062958527,0.01,9.232289e-07,100,500.0,0.13997842062958527,99.99991225738822,9.23327e-11,4999.711762755027,0.37170815,99.99994039539075,0.9999472,4999.7124,1.0016761,0.99673367,4999.711762755027,4999.711762755027,0.01001729
0.009994053,1.0,4578.85,0.11396857810410463,0.01,6.265915e-08,100,500.0,0.11396857810410463,100.00000762949217,6.2661733e-12,4999.660264345553,0.33584788,100.0,0.99998724,4999.6606,1.0008678,0.9993926,4999.660264345553,4999.660264345553,0.010008806
0.01,1.0,4578.9526,0.06486221254402522,0.009999998,,100,500.0,0.06486221254402522,100.0,3.5044917e-18,4999.762812121444,0.2534268,100.0,1.0,4999.763,1.0,1.0,4999.762812121444,4999.762812121444,0.01
0.00998189,1.0000001,4578.9507,0.07851007996911345,0.01,1.921402e-07,100,500.0,0.07851007996911345,99.99997711210148,1.9213587e-11,4999.760674424627,0.27871,99.99998807907247,1.0000123,4999.761,1.0014491,0.9982013,4999.760674424627,4999.760674424627,0.010014368
0.009951701,1.0000024,4578.9077,0.07424140894170546,0.01,5.6505246e-06,100,500.0,0.07424140894170546,99.99946998195622,5.645791e-10,4999.718042244407,0.27092773,99.99976158198933,1.0004203,4999.7188,1.0123832,0.9955884,4999.718042244407,4999.718042244407,0.010119579
0.009999646,1.0,4578.9053,0.06824125104663727,0.010000002,1.1233902e-09,100,500.0,0.06824125104663727,99.999977111857,1.1235421e-13,4999.715117670666,0.25993168,100.0,1.0000015,4999.716,1.0001558,0.99996614,4999.715117670666,4999.715117670666,0.010001542
0.009858686,1.0000025,4578.8315,1.1030897114133928,0.010000002,5.39193e-06,100,500.0,1.1030897114133928,99.99946194907174,5.3955546e-10,4999.64084612137,1.0313135,99.99974966111864,0.999664,4999.6426,1.002167,0.9855373,4999.64084612137,4999.64084612137,0.010025038
0.009995164,1.0,4578.928,0.07150452446874328,0.01,1.4939985e-08,100,500.0,0.07150452446874328,100.00001144403865,1.4939482e-12,4999.738297768207,0.26602855,100.0,1.0000048,4999.739,1.0002764,0.99952114,4999.738297768207,4999.738297768207,0.010002717
0.01,1.0,4578.9062,0.08364597067035173,0.009999998,,100,500.0,0.08364597067035173,100.0,3.5044917e-18,4999.7163449253385,0.2877558,100.0,1.0,4999.717,1.0,1.0,4999.7163449253385,4999.7163449253385,0.01
0.01,1.0,4578.9204,0.07326695125604687,0.009999998,,100,500.0,0.07326695125604687,100.0,3.5044917e-18,4999.730919947292,0.26933566,100.0,1.0,4999.731,1.0,1.0,4999.730919947292,4999.730919947292,0.01
0.00999942,1.0,4578.895,0.09783726362284442,0.01,2.620823e-10,100,500.0,0.09783726362284442,100.000015258778,2.6197365e-14,4999.705115401954,0.31124064,100.0,1.0000008,4999.7056,1.0000336,0.9999428,4999.705115401954,4999.705115401954,0.010000328
0.009997489,1.0,4578.9116,0.08083102428318266,0.009999999,3.5637033e-09,100,500.0,0.08083102428318266,100.00001907337992,3.5634855e-13,4999.721752455653,0.2828605,100.0,1.0000057,4999.722,1.0000713,0.9997546,4999.721752455653,4999.721752455653,0.010000655
0.009994168,1.0,4578.9033,0.0681464528987087,0.01,1.8608335e-07,100,500.0,0.0681464528987087,99.99995803940293,1.8607428e-11,4999.713514624121,0.25970393,100.0,1.0000253,4999.714,1.0015472,0.99944204,4999.713514624121,4999.713514624121,0.010015219
0.009981648,1.0000001,4578.903,0.0711671947424411,0.01,7.1692637e-07,100,500.0,0.0711671947424411,99.99994659594648,7.168809e-11,4999.712977272162,0.26538184,99.99998807907247,1.0000316,4999.7134,1.0049691,0.9981963,4999.712977272162,4999.712977272162,0.010049374
0.0099993395,1.0,4578.895,0.08429004771641105,0.009999999,3.968137e-10,100,500.0,0.08429004771641105,100.00000762940195,3.9675105e-14,4999.7051949054485,0.2888755,100.0,0.9999991,4999.7056,1.0000383,0.999933,4999.7051949054485,4999.7051949054485,0.010000392
0.009970273,1.0000007,4578.873,0.10426129916480771,0.01,9.406621e-07,100,500.0,0.10426129916480771,99.99992371180227,9.4052696e-11,4999.682866107076,0.32110038,99.99992847447743,1.0000747,4999.6836,1.002719,0.99710184,4999.682866107076,4999.682866107076,0.010026441
0.009939944,1.0000001,4578.8726,0.22504297376807905,0.01,6.806083e-07,100,500.0,0.22504297376807905,99.99991226040068,6.806355e-11,4999.682554211695,0.47028896,99.99998807907247,0.9999815,4999.683,1.0008414,0.9939761,4999.682554211695,4999.682554211695,0.010008599
0.00784871,1.0017736,4575.661,1369.7935261344949,0.010000002,0.00272827,100,499.64,1369.7935261344949,99.72711497204381,2.7636963e-07,4996.04898598308,28.966555,99.82295442629405,0.99357,4996.8447,1.0574079,0.77982426,4996.04898598308,4996.04898598308,0.01064251
0.0073334174,1.0251389,4535.379,249973.51846013305,0.009999999,0.032675937,100,495.01,249973.51846013305,96.89455208667849,3.2373496e-06,4949.736764120091,382.05246,97.54776098297945,1.0046604,4961.446,1.678761,0.73675936,4949.736764120091,4949.736764120091,0.016709737
0.009993353,1.000002,4578.873,0.08896501443548253,0.01,8.66018e-08,100,500.0,0.08896501443548253,100.00000381462345,8.659705e-12,4999.683712220332,0.2967275,99.99979734461846,1.0000194,4999.684,1.0008415,0.99935466,4999.683712220332,4999.683712220332,0.0100082215
0.01,1.0,4578.906,0.059160891510399834,0.009999998,,100,500.0,0.059160891510399834,100.0,3.5044917e-18,4999.71706027954,0.24200282,100.0,1.0,4999.7163,1.0,1.0,4999.71706027954,4999.71706027954,0.01
0.01,1.0,4578.8667,0.1191229670053799,0.009999998,,100,500.0,0.1191229670053799,100.0,3.5044917e-18,4999.677600836516,0.34339336,100.0,1.0,4999.6772,1.0,1.0,4999.677600836516,4999.677600836516,0.01
0.01,1.0,4578.9014,0.09250055393928594,0.009999998,,100,500.0,0.09250055393928594,100.0,3.5044917e-18,4999.711783391908,0.30262694,100.0,1.0,4999.712,1.0,1.0,4999.711783391908,4999.711783391908,0.01
0.01,1.0,4578.857,0.09356203777070483,0.009999998,,100,500.0,0.09356203777070483,100.0,3.5044917e-18,4999.667507025167,0.3043479,100.0,1.0,4999.6675,1.0,1.0,4999.667507025167,4999.667507025167,0.01
0.01,1.0,4578.8896,0.07909690422261884,0.009999998,,100,500.0,0.07909690422261884,100.0,3.5044917e-18,4999.700552751872,0.2798205,100.0,1.0,4999.7,1.0,1.0,4999.700552751872,4999.700552751872,0.01
0.01,1.0,4578.873,0.12503264630707892,0.009999998,,100,500.0,0.12503264630707892,100.0,3.5044917e-18,4999.683557039166,0.3518241,100.0,1.0,4999.6836,1.0,1.0,4999.683557039166,4999.683557039166,0.01
0.01,1.0,4578.908,0.06625104609810041,0.009999998,,100,500.0,0.06625104609810041,100.0,3.5044917e-18,4999.719094766248,0.25611436,100.0,1.0,4999.7188,1.0,1.0,4999.719094766248,4999.719094766248,0.01
0.009983965,1.0000002,4578.92,0.07941750226282952,0.010000002,2.4873447e-07,100,500.0,0.07941750226282952,99.99996566763916,2.4873385e-11,4999.729526240608,0.28032106,99.99997615814777,0.99999726,4999.7305,1.0010086,0.9983938,4999.729526240608,4999.729526240608,0.010010114
0.009989462,1.0000001,4578.8833,0.09219270716499785,0.01,1.5720032e-07,100,500.0,0.09219270716499785,99.99999618520127,1.5720548e-11,4999.693361821855,0.30205944,99.99998807907247,0.99997336,4999.694,1.0010438,0.9989196,4999.693361821855,4999.693361821855,0.010010704
0.01,1.0,4578.922,0.0629605927662405,0.009999998,,100,500.0,0.0629605927662405,100.0,3.5044917e-18,4999.732120253411,0.24968818,100.0,1.0,4999.7324,1.0,1.0,4999.732120253411,4999.732120253411,0.01
0.009961031,1.0000005,4578.9336,0.050948234582919735,0.010000002,1.6087794e-06,100,500.0,0.050948234582919735,99.99984741449585,1.6087429e-10,4999.743686442259,0.22444646,99.99995231630692,1.0000145,4999.744,1.0032002,0.9961176,4999.743686442259,4999.743686442259,0.010031857
0.01,1.0,4578.896,0.07917239493925077,0.009999998,,100,500.0,0.07917239493925077,100.0,3.5044917e-18,4999.706260675087,0.27998266,100.0,1.0,4999.7065,1.0,1.0,4999.706260675087,4999.706260675087,0.01
0.01,1.0,4578.963,0.062399894536500945,0.009999998,,100,500.0,0.062399894536500945,100.0,3.5044917e-18,4999.773429502435,0.24853995,100.0,1.0,4999.7734,1.0,1.0,4999.773429502435,4999.773429502435,0.01
