optimgain,EpRewMean,TimestepsSoFar,SampleRenyi2,Step_size,TimeElapsed,surrgain,DiscEpRewMean,entropy,entloss,EpThisIter,EpLenMean,Var_J,ev_tdlam_before,J_hat,meankl,EpisodesSoFar
0.00764718,171.476610445,9800000,4.16828,1.0,20069.654849290848,0.00764718,61.8279712071,0.845558,,100,500.0,0.033246662467718124,0.923782587051,63.1247444152832,0.00887637,19600
0.007147,167.077585718,9850000,2.93375,1.0,20394.121779441833,0.007147,61.3275549297,0.833996,,100,500.0,0.02688697725534439,0.928014837205,62.38987350463867,0.00939035,19700
0.00719573,173.575624808,9900000,4.31388,1.0,20666.576404333115,0.00719573,62.2459039897,0.81021,,100,500.0,0.03856595605611801,0.918732859194,63.124305725097656,0.00867346,19800
0.00855222,169.143814038,9950000,6.57611,1.0,20905.803683280945,0.00855222,61.5914114451,0.803711,,100,500.0,0.27565687894821167,0.93503382057,62.92414474487305,0.00828903,19900
0.00894665,168.708181556,10000000,2.93218,1.0,21129.143529176712,0.00894665,61.7679792015,0.822074,,100,500.0,0.011957734823226929,0.938600037247,63.405189514160156,0.00859905,20000
0.00794728,171.094679694,10050000,3.50402,1.0,21322.158386945724,0.00794728,61.915694834,0.818201,,100,500.0,0.053722161799669266,0.935013622046,63.316680908203125,0.00995398,20100
0.00847592,175.57715719,10100000,4.9961e+13,1.0,21547.55286550522,0.00847592,62.2918447426,0.841264,,100,500.0,0.09026812016963959,0.926856964827,63.14598083496094,0.00906575,20200
0.00931432,175.588964417,10150000,22.2876,1.0,21737.332371234894,0.00931432,62.4329363239,0.841761,,100,500.0,2.4380552768707275,0.921917527914,57.985530853271484,0.00846069,20300
0.00844092,172.777513306,10200000,9.45221,1.0,21960.557914495468,0.00844092,61.9953873237,0.835783,,100,500.0,0.1635025143623352,0.929363764822,63.36628341674805,0.00919194,20400
0.00839206,173.24948486,10250000,1.21874e+07,1.0,22180.790637493134,0.00839206,62.24856832,0.814988,,100,500.0,0.04491551220417023,0.928447544575,63.588382720947266,0.00915344,20500
0.00718987,176.18769178,10300000,5.25222,1.0,22385.215669631958,0.00718987,62.5342002692,0.805652,,100,500.0,0.12270338088274002,0.922020971775,64.54443359375,0.00854527,20600
0.0185936,171.570235382,10350000,4.63991,1.0,22597.29235291481,0.0185936,61.9807553601,0.802732,,100,500.0,0.006774199660867453,0.919854357839,63.17658233642578,0.00891885,20700
