WReturnMean,InitialReturnMean,MaxIW,ReturnMeanIW,StdWReturnMean,MeanEntropy,InitialReturnMax,Iteration,MeanIW,Epsilon,InitialReturnStd,EmpiricalD2Arithmetic,OptimizationReturnMean,EpisodesSoFar,ESSRenyiHarmonic,EmpiricalD2Harmonic,InitialReturnMin,OptimizationReturnMax,ESSRenyiArithmetic,OptimizationReturnMin,InitialBound,MinTargetPdf,VarianceInitializer,Penalization,DivergenceHarmonic,TimeElapsed,EpLenMean,MinIW,LearnableVariance,TimestepsSoFar,StdIW,Weights,Bound,Inner Iteration,MinBehavPdf,EpThisIter,ReturnStepMax,MeanD2-0,ReturnStepMaxmin,EpRewMean
371599.84,512.7452,51.174126,2776408.8,,0.4189424,1719.416,15,9.1615925,1e-07,329.68503,1.0,482.79977,750,50.0,1.0,29.945435,1689.4706,50.0,,-612988.8,-80.74391,-1.0,True,129228290.0,28.805805683135986,52.3,0.09492251,,30459,10.356316,[ 0.039  0.365 -0.757 -1.36 ],-2746846000.0,1,-80.74391,50,9.999999,1.0,9.999999,512.7452125867087
1135149.2,869.8232,2846.328,355835420.0,,0.4189424,3139.3208,16,168.49503,1e-07,615.2697,1.0,849.85474,800,50.0,1.0,19.968523,3119.3523,50.0,,-1939837.8,-117.85819,-1.0,True,7.175629e+27,32.26407265663147,88.02,0.24594882,,34860,464.71622,[-0.057  0.302 -0.791 -1.397],-6.8164105e+19,1,-117.85819,50,10.0,1.0,10.0,869.823264546181
832008.5,763.9601,296.36203,9109526.0,,0.4189424,2319.1377,17,20.139532,1e-07,498.37082,1.0,753.97986,850,50.0,1.0,9.980223,2309.1575,50.0,,-1271154.8,-110.55806,-1.0,True,938672640.0,35.01038956642151,77.42,0.014046302,,38731,44.360703,[-0.119  0.217 -0.81  -1.461],-13463515000.0,1,-110.55806,50,10.0,1.0,10.0,763.960117528386
1105113.9,885.4768,7608583.5,278728900000.0,,0.4189424,2489.6821,18,156119.06,1e-07,566.6082,1.0,885.4768,900,50.0,1.0,,2489.6821,50.0,,-1611223.0,-106.20808,-1.0,True,1.11996986e+21,38.59783387184143,89.58,0.21036276,,43210,1064861.6,[-0.061  0.239 -0.812 -1.467],-1.6937623e+16,1,-106.20808,50,10.0,1.0,10.0,885.4767678247434
907153.06,813.59064,1096471.6,80461865000.0,,0.4189424,2229.6123,19,39788.84,1e-07,495.20032,1.0,813.59064,950,50.0,1.0,,2229.6123,50.0,,-1313049.1,-96.15055,-1.0,True,3.0983963e+20,41.835864782333374,82.38,0.08481934,,47329,173230.08,[-0.134  0.2   -0.894 -1.513],-7144740400000000.0,1,-96.15055,50,10.0,1.0,10.0,813.5906386354872
1324659.8,1015.7777,134.69016,19102404.0,,0.4189424,2269.7002,20,11.586815,1e-07,541.161,1.0,985.83435,1000,50.0,1.0,29.943481,2239.7568,50.0,,-1745283.5,-99.657455,-1.0,True,796356900.0,46.00399875640869,102.62,0.080407105,,52460,22.305914,[-0.06   0.3   -0.903 -1.518],-11888953000.0,1,-99.657455,50,10.0,1.0,10.0,1015.7778025049921
1484428.8,1075.0696,141.85202,16117812.0,,0.4189424,2959.3906,21,15.502809,1e-07,573.284,1.0,1035.1385,1050,50.0,1.0,39.93093,2919.4597,50.0,,-2199520.0,-134.43613,-1.0,True,1416251100.0,49.90219068527222,108.54,0.105515085,,57887,27.060116,[-0.118  0.278 -0.905 -1.518],-26927071000.0,1,-134.43613,50,10.0,1.0,10.0,1075.0694422805855
1670691.4,1129.5925,13338.542,1251812200.0,,0.4189424,2959.491,22,312.73105,1e-07,628.26135,1.0,1049.7007,1100,50.0,1.0,79.89183,2879.599,50.0,,-2385831.2,-117.72461,-1.0,True,2.9113415e+17,53.737135887145996,114.0,0.20354709,,63587,1864.7969,[-0.057  0.285 -0.912 -1.523],-385865870000000.0,1,-117.72461,50,9.999999,1.0,9.999999,1129.59247746255
1055375.1,934.6793,1258.8126,61397580.0,,0.4189424,1989.2886,23,46.46765,1e-07,426.32135,1.0,904.72876,1150,50.0,1.0,29.950495,1959.3381,50.0,,-1378486.2,-81.40738,-1.0,True,328838850.0,56.95928692817688,94.5,0.050158415,,68312,177.18507,[-0.128  0.335 -0.994 -1.56 ],-5920640500.0,1,-81.40738,50,10.0,1.0,10.0,934.6792338213513
2573238.0,1333.1226,254297.11,21088397000.0,,0.4189424,4158.8457,24,6577.4707,1e-07,892.2007,1.0,1313.155,1200,50.0,1.0,19.967659,4138.878,50.0,,-3985460.0,-176.34625,-1.0,True,1.6792403e+22,62.007715702056885,134.36,0.27932823,,75030,35964.22,[-0.068  0.346 -0.995 -1.549],-1.8300227e+17,1,-176.34625,50,10.0,1.0,10.0,1333.1226167099098
