EpLenMean,StdIW,MinBehavPdf,Penalization,MeanIW,DivergenceHarmonic,TimestepsSoFar,ESSRenyiArithmetic,MinTargetPdf,MinIW,OptimizationReturnMax,WReturnMean,TimeElapsed,InitialReturnMean,InitialReturnStd,MeanEntropy,MeanD2-0,Bound,InitialReturnMax,VarianceInitializer,ReturnMeanIW,Iteration,Epsilon,EmpiricalD2Arithmetic,EpisodesSoFar,ESSRenyiHarmonic,InitialReturnMin,StdWReturnMean,MaxIW,OptimizationReturnMin,EpThisIter,OptimizationReturnMean,InitialBound,EmpiricalD2Harmonic,EpRewMean,ReturnStepMax,Inner Iteration,Weights,LearnableVariance,ReturnStepMaxmin
9.14,180594.42,-13.105236,True,28284.34,2.4510346e+22,457,50.0,-13.105236,0.1964465,239.92642,8749.108,3.217041254043579,81.35143,46.163315,0.4189424,1.0,-798361200000000.0,249.91087,-1.0,87929040.0,1,1.0,1.0,50,50.0,9.984456,,1290044.9,,50,71.366974,-13848.576,1.0,81.35143478022601,9.999992,1,[ 0. -0. -0. -0.],,9.999992
15.14,60.250755,-19.0934,True,14.37133,7.778006e+17,1214,50.0,-19.0934,0.069971986,429.9338,30347.72,7.569757699966431,141.32213,101.86156,0.4189424,1.0,-13935689000000.0,439.9162,-1.0,1268374.8,2,1.0,1.0,100,50.0,9.982383,,396.22388,,50,131.33975,-46149.086,1.0,141.32212604816618,9.999998,1,[-0.075 -0.182 -0.092 -0.45 ],,9.999998
21.04,14.629723,-31.241272,True,6.2576165,478526340000.0,2266,50.0,-31.241272,0.12618293,549.7338,60755.707,8.859894752502441,200.28786,143.66795,0.4189424,1.0,-18332445000.0,569.7063,-1.0,467768.6,3,1.0,1.0,150,50.0,19.972498,,84.70339,,50,180.31535,-87256.38,1.0,200.2878542392305,9.999999,1,[ 0.128  0.174 -0.217 -0.707],,9.999999
26.08,139.67068,-33.577232,True,34.01104,2.2103044e+23,3570,50.0,-33.577232,0.22285582,849.82214,100047.29,9.716381788253784,250.66191,192.91423,0.4189424,1.0,-2.9040582e+16,869.7861,-1.0,8914870.0,4,1.0,1.0,200,50.0,19.963898,,760.5115,,50,230.69803,-161817.61,1.0,250.66191642385496,9.999999,1,[ 0.073  0.079 -0.235 -0.764],,9.999999
25.62,42.144783,-26.176056,True,12.922861,6882376300000.0,4851,50.0,-26.176056,0.41728124,589.7694,83149.445,11.420469522476196,246.0658,150.33655,0.4189424,1.0,-82265230000.0,619.71625,-1.0,1322807.4,5,1.0,1.0,250,50.0,29.946815,,285.15808,,50,216.11899,-114506.89,1.0,246.06578742918785,10.0,1,[-0.006  0.295 -0.304 -0.835],,10.0
34.92,136.76234,-51.114483,True,28.582163,149364670000.0,6597,50.0,-51.114483,0.062995836,1059.7128,174587.31,13.871073484420776,339.01968,244.23956,0.4189424,1.0,-36113050000.0,1069.6965,-1.0,5381188.0,6,1.0,1.0,300,50.0,9.9837475,,952.17554,,50,329.03598,-268015.16,1.0,339.01968775138783,9.999995,1,[-0.046  0.185 -0.307 -0.879],,9.999995
45.36,8.879191,-44.014572,True,7.731288,42270833000000.0,8865,50.0,-44.014572,0.053758368,1319.2211,281980.3,15.597899198532104,443.37112,292.23688,0.4189424,1.0,-952046650000.0,1339.1864,-1.0,3006172.0,7,1.0,1.0,350,50.0,19.965382,,44.88655,,50,423.40573,-428412.8,1.0,443.3711128057244,10.0,1,[-0.094  0.316 -0.387 -1.071],,10.0
63.82,1437.6332,-83.59237,True,407.2273,7.26329e+17,12056,50.0,-83.59237,0.09831224,1959.4213,555365.56,17.89151930809021,627.932,401.33148,0.4189424,1.0,-272635980000000.0,1979.388,-1.0,159419780.0,8,1.0,1.0,400,50.0,19.96669,,9452.384,,50,607.9654,-875268.06,1.0,627.9320133704568,10.0,1,[-0.185  0.276 -0.426 -1.137],,10.0
58.24,26179.572,-77.40947,True,3805.997,1.5626991e+26,14968,50.0,-77.40947,0.20793931,2339.558,498529.66,19.792131900787354,572.12537,413.76593,0.4189424,1.0,-5.7790864e+18,2379.4883,-1.0,2819862500.0,9,1.0,1.0,450,50.0,39.93017,,187055.39,,50,532.1952,-960828.5,1.0,572.1253760591999,9.999999,1,[-0.065  0.263 -0.447 -1.161],,9.999999
44.7,52.40934,-59.32317,True,16.26724,105884220000.0,17203,50.0,-59.32317,0.13702254,1289.493,263683.12,22.188276290893555,436.7799,270.01187,0.4189424,1.0,-44869476000.0,1299.4751,-1.0,4659425.0,10,1.0,1.0,500,50.0,9.982035,,362.79465,,50,426.79788,-401559.94,1.0,436.7799283074798,10.0,1,[ 0.045  0.233 -0.459 -1.213],,10.0
