LearnableVariance,TimestepsSoFar,DivergenceHarmonic,ReturnStepMaxmin,OptimizationReturnMax,Inner Iteration,Epsilon,VarianceInitializer,MinIW,EpisodesSoFar,InitialReturnMean,InitialReturnStd,StdWReturnMean,WReturnMean,OptimizationReturnMean,Penalization,MaxIW,EpThisIter,InitialReturnMin,EpLenMean,TimeElapsed,EmpiricalD2Arithmetic,Bound,Weights,ESSRenyiHarmonic,InitialReturnMax,MinBehavPdf,EpRewMean,MeanEntropy,EmpiricalD2Harmonic,OptimizationReturnMin,StdIW,InitialBound,Iteration,ReturnStepMax,MeanD2-0,ReturnMeanIW,MeanIW,ESSRenyiArithmetic,MinTargetPdf
,411,6.914488e+20,9.999999,229.92796,1,1.0,-1.0,0.12485781,50,72.16048,53.666485,,8087.2256,62.17763,True,343864.2,50,9.982842,8.22,2.667529344558716,1.0,-123576000000000.0,[ 0.  0.  0. -0.],50.0,239.91081,-17.212978,72.16047454200626,0.4189424,1.0,,48083.875,-12786.754,1,9.999999,1.0,36722696.0,7594.073,50.0,-17.212978
,932,152797230.0,9.999998,299.9019,1,1.0,-1.0,0.25148186,100,94.13046,60.847603,,12562.974,84.14808,True,280153.44,50,9.982389,10.42,7.206848382949829,1.0,-132850540.0,[ 0.005 -0.235 -0.105 -0.429],50.0,309.88428,-12.312538,94.1304623140619,0.4189424,1.0,,39220.58,-20403.652,2,9.999998,1.0,35931036.0,5609.4004,50.0,-12.312538
,1693,9.264248e+30,9.999999,369.92316,1,1.0,-1.0,0.477266,150,142.10912,91.20407,,28513.184,142.10912,True,58170.977,50,,15.22,7.798424959182739,1.0,-3.400811e+19,[-0.134 -0.448 -0.194 -0.85 ],50.0,369.92316,-14.941981,142.1091210031577,0.4189424,1.0,,8533.299,-39686.39,3,9.999999,1.0,87584184.0,2170.6963,50.0,-14.941981
,4916,3.3718203e+29,9.999999,1819.6992,1,1.0,-1.0,0.25015146,200,634.3834,395.43356,,558810.06,604.42633,True,2130511.5,50,29.957169,64.46,8.955400228500366,1.0,-1.6220666e+20,[-0.082  0.173 -0.609 -1.513],50.0,1849.6564,-69.342575,634.38348538111,0.4189424,1.0,,301687.78,-838153.1,4,9.999999,1.0,14219785000.0,58106.254,50.0,-69.342575
,8891,7.988628e+26,9.999998,1909.0125,1,1.0,-1.0,0.13842897,250,784.6502,428.2697,,799090.94,774.6704,True,10685463.0,50,9.979916,79.5,10.560460329055786,1.0,-8.4983953e+18,[-0.171  0.403 -0.645 -1.497],50.0,1918.9923,-86.75621,784.6502655328528,0.4189424,1.0,,1598086.0,-1099769.6,5,9.999998,1.0,174864300000.0,331364.72,50.0,-86.75621
,12586,2.171584e+16,9.999999,4159.064,1,1.0,-1.0,0.04798654,300,728.6818,676.51306,,988647.2,728.6818,True,742.5345,50,,73.9,12.674225807189941,1.0,-208129640000000.0,[-0.079  0.479 -0.669 -1.468],50.0,4159.064,-153.19868,728.6817930727728,0.4189424,1.0,,104.839645,-2401013.2,6,9.999999,1.0,20718462.0,33.479008,50.0,-153.19868
,16888,4.6635584e+28,10.0,2189.583,1,1.0,-1.0,0.118150555,350,850.02686,547.6169,,1022430.0,830.0616,True,746615400.0,50,19.965332,86.04,14.143997192382812,1.0,-8.608356e+19,[-0.089  0.365 -0.686 -1.517],50.0,2209.5483,-90.903694,850.0268916934052,0.4189424,1.0,,104487300.0,-1421053.9,7,10.0,1.0,13544987000000.0,15309847.0,50.0,-90.903694
,20193,12692028000000.0,10.0,1809.6041,1,1.0,-1.0,0.21499677,400,650.69104,400.30353,,583641.7,620.7454,True,47.92533,50,29.945604,66.1,15.37910008430481,1.0,-984338860000.0,[ 1.025e-03  4.339e-01 -7.208e-01 -1.556e+00],50.0,1839.5497,-77.81906,650.6910211270465,0.4189424,1.0,,8.718192,-859940.44,8,10.0,1.0,3895235.5,8.177467,50.0,-77.81906
,25412,2.8142294e+17,10.0,3269.424,1,1.0,-1.0,0.05177905,450,1033.4161,682.65686,,1533969.2,1023.43243,True,1250911.4,50,9.983757,104.38,17.275428533554077,1.0,-465870700000000.0,[-0.111  0.382 -0.734 -1.571],50.0,3279.4077,-129.0434,1033.4161307274405,0.4189424,1.0,,174961.16,-2412076.5,9,10.0,1.0,43404020000.0,26502.25,50.0,-129.0434
,29236,3.1993998e+24,10.0,2379.7297,1,1.0,-1.0,0.0610982,500,754.4626,500.96994,,820184.6,744.4816,True,403.19495,50,9.980993,76.48,19.017420530319214,1.0,-8.3402534e+17,[-0.077  0.494 -0.771 -1.549],50.0,2389.7107,-77.64107,754.462577724462,0.4189424,1.0,,60.84883,-1286464.6,10,10.0,1.0,59720296.0,19.123093,50.0,-77.64107
,33697,4641631300000000.0,9.999999,2059.669,1,1.0,-1.0,0.15283695,550,881.8505,486.27713,,1014125.9,851.89966,True,69012.58,50,29.95078,89.22,21.07853412628174,1.0,-24296571000000.0,[-0.185  0.522 -0.806 -1.506],50.0,2089.6196,-84.74714,881.8505486518379,0.4189424,1.0,,9883.072,-1370651.6,11,9.999999,1.0,6758601000.0,1734.35,50.0,-84.74714
,37981,4.946078e+33,9.999999,1629.7295,1,1.0,-1.0,0.34618184,600,846.49744,378.82574,,860066.56,846.49744,True,4905467.5,50,,85.68,22.516234159469604,1.0,-1.5251618e+22,[-0.253  0.462 -0.855 -1.578],50.0,1629.7295,-69.17059,846.4973216961054,0.4189424,1.0,,842967.1,-1076930.5,12,9.999999,1.0,277049100000.0,271546.66,50.0,-69.17059
,41617,3872639200000.0,10.0,2209.3494,1,1.0,-1.0,0.073568165,650,716.87756,448.17612,,714775.25,696.9148,True,2190.3035,50,19.96284,72.72,24.497048377990723,1.0,-798635400000.0,[-0.253  0.638 -0.861 -1.4  ],50.0,2229.3123,-102.9113,716.8775864434915,0.4189424,1.0,,308.10788,-1120562.0,13,10.0,1.0,89872344.0,65.00922,50.0,-102.9113
,46669,11352220000000.0,10.0,2179.453,1,1.0,-1.0,0.08804823,700,1000.0559,515.52234,,1265875.1,980.08093,True,6275.9976,50,19.974943,101.04,26.57225227355957,1.0,-1331110300000.0,[-0.269  0.539 -0.894 -1.467],50.0,2199.4277,-102.14677,1000.0559182708733,0.4189424,1.0,,940.0405,-1660856.0,14,10.0,1.0,306017900.0,310.89417,50.0,-102.14677
,51978,4473821300000.0,10.0,3239.1013,1,1.0,-1.0,0.05890389,750,1051.3746,634.0194,,1507369.4,1041.3949,True,4226.013,50,9.97978,106.18,29.202261924743652,1.0,-1823691400000.0,[-0.221  0.627 -0.994 -1.673],50.0,3249.081,-111.47336,1051.3746614201928,0.4189424,1.0,,738.6484,-2369311.0,15,10.0,1.0,573241700.0,229.86284,50.0,-111.47336
,58944,2.2828462e+35,10.0,3189.4675,1,1.0,-1.0,0.8897781,800,1382.6542,793.2406,,2540963.2,1352.7014,True,95322100.0,50,29.952835,139.32,32.7586407661438,1.0,-4.0434124e+23,[-0.13   0.55  -1.032 -1.684],50.0,3219.4204,-133.83994,1382.654241998547,0.4189424,1.0,,13425057.0,-3387241.0,16,10.0,1.0,16031171000000.0,2327162.0,50.0,-133.83994
,65115,3.799153e+31,10.0,2729.4905,1,1.0,-1.0,0.06656124,850,1223.8832,494.5633,,1742482.8,1183.9423,True,4037828000.0,50,39.94094,123.42,36.11232852935791,1.0,-3.8599263e+21,[-0.23   0.53  -1.21  -1.827],50.0,2769.4314,-132.35387,1223.883182499351,0.4189424,1.0,,565137600.0,-2368719.2,17,10.0,1.0,195599970000000.0,83586936.0,50.0,-132.35387
