WReturnMean,ReturnStepMax,Iteration,InitialReturnMax,VarianceInitializer,StdWReturnMean,Epsilon,EpLenMean,ReturnMeanIW,Penalization,OptimizationReturnMin,Weights,MeanEntropy,MinTargetPdf,InitialReturnMin,MeanD2-0,EpisodesSoFar,OptimizationReturnMax,MinBehavPdf,DivergenceHarmonic,MeanIW,EpRewMean,EpThisIter,MinIW,MaxIW,ESSRenyiArithmetic,Bound,EmpiricalD2Arithmetic,ReturnStepMaxmin,InitialBound,StdIW,ESSRenyiHarmonic,InitialReturnMean,EmpiricalD2Harmonic,LearnableVariance,OptimizationReturnMean,TimestepsSoFar,TimeElapsed,InitialReturnStd,Inner Iteration
665786.75,10.0,15,2899.426,-1.0,,1e-07,69.18,49676440000.0,True,,[-0.267  0.369 -0.663 -1.115],0.4189424,-112.11745,,1.0,750,2899.426,-112.11745,37405470000000.0,77698.66,681.5347527194253,50,0.045402944,3881699.0,50.0,-4247710900000.0,1.0,10.0,-1352191.1,543428.7,50.0,681.53467,1.0,,681.53467,27025,22.066961526870728,448.66147,1
421694.75,9.999999,16,1449.6711,-1.0,,1e-07,55.48,91658456.0,True,,[-0.259  0.488 -0.698 -1.099],0.4189424,-62.32097,9.980606,1.0,800,1439.6906,-62.32097,8.6501404e+17,63.48115,544.5507657039645,50,0.15792389,2096.582,50.0,-159589830000000.0,1.0,9.999999,-593285.8,293.66516,50.0,544.5507,1.0,,534.5702,29799,23.952224731445312,353.7785,1
429575.44,10.0,17,1339.4219,-1.0,,1e-07,60.72,428215100.0,True,,[-0.342  0.4   -0.712 -1.129],0.4189424,-64.05121,29.95201,1.0,850,1309.4698,-64.05121,1.5281341e+16,1483.4514,596.9785982623919,50,0.10155496,57350.992,50.0,-18108404000000.0,1.0,10.0,-576059.56,8031.4775,50.0,596.9786,1.0,,567.0266,32835,26.526241302490234,270.54025,1
443636.66,9.999994,18,1679.5084,-1.0,,1e-07,54.86,2328227.5,True,,[-0.265  0.491 -0.726 -1.165],0.4189424,-65.665306,9.981543,1.0,900,1669.5269,-65.665306,139305190000.0,3.8595383,538.3579848781619,50,0.027839515,53.043243,50.0,-85963510000.0,1.0,9.999994,-673950.5,8.111036,50.0,538.358,1.0,,528.37646,35578,28.266045331954956,392.1828,1
477038.2,10.0,19,1189.7754,-1.0,,1e-07,63.18,23719256.0,True,,[-0.382  0.522 -0.75  -1.144],0.4189424,-54.231064,29.955873,1.0,950,1159.8195,-54.231064,529805760.0,39.603703,621.5630020637697,50,0.12975903,1256.0784,50.0,-2684093200.0,1.0,10.0,-592619.0,178.87091,50.0,621.56305,1.0,,591.6071,38737,31.079492807388306,301.16052,1
464210.1,9.999999,20,1359.8052,-1.0,,1e-07,62.96,2011525600.0,True,,[-0.489  0.537 -0.788 -1.193],0.4189424,-69.37953,9.982866,1.0,1000,1349.8223,-69.37953,1.5353127e+17,3378.4043,619.3571631842625,50,0.15239507,83998.19,50.0,-59159020000000.0,1.0,9.999999,-615186.5,14212.172,50.0,619.3572,1.0,,609.3743,41885,34.03775668144226,283.91342,1
408217.25,9.999999,21,1549.5718,-1.0,,1e-07,57.26,23639218.0,True,,[-0.445  0.647 -0.802 -1.154],0.4189424,-51.730766,9.982449,1.0,1050,1539.5894,-51.730766,20234409000000.0,58.198593,562.357022999276,50,0.03384476,1752.0939,50.0,-881931200000.0,1.0,9.999999,-604272.75,253.45485,50.0,562.35706,1.0,,552.37463,44748,36.470555543899536,303.26868,1
480167.06,9.999999,22,1449.3958,-1.0,,1e-07,64.1,548535000.0,True,,[-0.523  0.579 -0.843 -1.212],0.4189424,-60.763435,9.98028,1.0,1100,1439.4155,-60.763435,2.2078606e+16,725.1625,630.7608710366216,50,0.046068702,10468.1045,50.0,-25487282000000.0,1.0,9.999999,-651693.0,2466.043,50.0,630.76086,1.0,,620.7806,47953,39.11679649353027,286.89334,1
685963.1,10.0,23,1939.2485,-1.0,,1e-07,73.96,182812590.0,True,,[-0.42   0.637 -0.857 -1.251],0.4189424,-74.82776,29.94994,1.0,1150,1909.2986,-74.82776,200180290000000.0,134.87982,729.3107663123732,50,0.19014119,3484.1626,50.0,-4344604500000.0,1.0,10.0,-993023.0,511.99774,50.0,729.3108,1.0,,699.36084,51651,42.53975057601929,392.51624,1
687443.9,10.0,24,1789.1415,-1.0,,1e-07,73.28,269866200.0,True,,[-0.303  0.649 -0.883 -1.287],0.4189424,-75.85728,19.966587,1.0,1200,1769.1749,-75.85728,1.935167e+19,166.17946,722.5079371317114,50,0.4312858,5375.379,50.0,-1149749200000000.0,1.0,10.0,-948807.6,773.7701,50.0,722.5079,1.0,,702.5414,55315,45.82265543937683,406.72614,1
596563.6,9.999999,25,1559.691,-1.0,,1e-07,68.74,1676232300.0,True,,[-0.42   0.629 -0.916 -1.31 ],0.4189424,-89.09563,19.968147,1.0,1250,1539.7229,-89.09563,4.1739884e+16,1472.6179,677.1394004077921,50,0.13901849,46372.46,50.0,-40581220000000.0,1.0,9.999999,-795188.3,6530.1523,50.0,677.13947,1.0,,657.17126,58752,48.88266158103943,371.5453,1
451446.1,9.999999,26,1409.3575,-1.0,,1e-07,59.08,2778727400.0,True,,[-0.352  0.724 -0.957 -1.292],0.4189424,-66.124466,9.980082,1.0,1300,1399.3774,-66.124466,2.6237184e+18,3093.8972,580.5440622250868,50,0.072065465,133548.94,50.0,-262699930000000.0,1.0,9.999999,-613626.4,18835.383,50.0,580.5441,1.0,,570.56396,61706,51.2900447845459,338.25238,1
