Iteration,InitialReturnMean,OptimizationReturnMin,WReturnMean,InitialReturnMin,ReturnStepMax,ReturnMeanIW,EpRewMean,EmpiricalD2Arithmetic,TimestepsSoFar,InitialBound,OptimizationReturnMean,InitialReturnStd,MeanIW,ESSRenyiHarmonic,MinTargetPdf,MeanD2-0,VarianceInitializer,InitialReturnMax,MeanEntropy,StdWReturnMean,StdIW,Bound,ESSRenyiArithmetic,TimeElapsed,EpLenMean,Penalization,DivergenceHarmonic,Weights,MinBehavPdf,EpisodesSoFar,LearnableVariance,MinIW,ReturnStepMaxmin,OptimizationReturnMax,Inner Iteration,EpThisIter,Epsilon,EmpiricalD2Harmonic,MaxIW
1,78.75597,,10128.124,9.980936,9.999998,24417190000.0,78.75596785062045,1.0,444,-21301.723,68.77503,62.654778,1087369.8,50.0,-11.2939,1.0,-1.0,369.92975,0.4189424,,7595506.0,-1.7752971e+16,50.0,5.651231050491333,8.88,True,2.5243827e+24,[ 0.  0.  0. -0.],-11.2939,50,,0.24345373,9.999998,359.94882,1,50,1.0,1.0,54255844.0
2,96.33066,,12581.069,9.98207,9.999976,971877.2,96.33065854705553,1.0,976,-18977.979,86.34859,57.458454,63.328316,50.0,-21.852478,1.0,-1.0,279.90314,0.4189424,,180.1722,-503313000.0,50.0,12.389220237731934,10.64,True,6166768600.0,[-0.227 -0.31  -0.112 -0.3  ],-21.852478,100,,0.22632125,9.999976,269.92108,1,50,1.0,1.0,968.1252
3,139.31259,,26820.541,29.951485,9.999999,342125200.0,139.31259129528075,1.0,1723,-41215.395,109.36111,86.09614,6933.1323,50.0,-18.593449,1.0,-1.0,419.88107,0.4189424,,43361.875,-1.4747884e+18,50.0,15.295472145080566,14.94,True,1.0496524e+28,[-0.328 -0.562 -0.229 -0.703],-18.593449,150,,0.5373423,9.999999,389.9296,1,50,1.0,1.0,309991.6
4,225.03271,,67074.31,39.93626,9.999999,673165.75,225.03271231927326,1.0,2899,-114213.73,185.09645,128.19746,8.794757,50.0,-30.407999,1.0,-1.0,759.82684,0.4189424,,13.424962,-31280908000.0,50.0,19.72541379928589,23.52,True,440324420000.0,[-0.3   -0.153 -0.593 -1.539],-30.407999,200,,0.75417477,9.999999,719.89056,1,50,1.0,1.0,79.731285
5,352.56903,,159587.05,9.97997,9.999997,3153758.0,352.5690232352551,1.0,4713,-213130.7,342.58905,187.83543,16.033195,50.0,-44.41203,1.0,-1.0,809.7975,0.4189424,,18.242086,-8685245000000.0,50.0,24.7379629611969,36.28,True,2.6311732e+16,[-0.258  0.077 -0.656 -1.601],-44.41203,250,,0.13650501,9.999997,799.8175,1,50,1.0,1.0,96.829185
6,529.75494,,347901.8,69.89293,9.999998,1360909600000.0,529.7549409473477,1.0,7413,-487961.88,459.862,259.34827,1313757.6,50.0,-61.98288,1.0,-1.0,1309.7229,0.4189424,,8127799.5,-4.0875986e+20,50.0,32.944586753845215,54.0,True,8.517458e+30,[-0.197  0.184 -0.673 -1.619],-61.98288,300,,0.04596636,9.999998,1239.83,1,50,1.0,1.0,58059776.0
7,426.96494,,236047.44,9.980023,10.0,4920256.5,426.9649214159599,1.0,9599,-324325.4,416.98492,231.83704,24.043125,50.0,-60.927803,1.0,-1.0,1039.7969,0.4189424,,29.537403,-50835540000.0,50.0,38.898491621017456,43.72,True,331549340000.0,[-0.354  0.148 -0.734 -1.8  ],-60.927803,350,,0.1643916,10.0,1029.8169,1,50,1.0,1.0,160.3866
8,518.5852,,323705.28,19.966148,9.999998,1404571900.0,518.5852058445888,1.0,12243,-392786.5,498.61905,234.03984,5359.0557,50.0,-42.944687,1.0,-1.0,919.8187,0.4189424,,16248.298,-42847244000000.0,50.0,48.286731243133545,52.88,True,3.8467995e+17,[-0.316  0.26  -0.752 -1.836],-42.944687,400,,0.82889,9.999998,899.8526,1,50,1.0,1.0,76291.82
9,765.2008,,718801.2,,9.999999,5745591300.0,765.2007969098678,1.0,16120,-980330.6,765.2008,365.06018,13849.8125,50.0,-86.4707,1.0,-1.0,1789.7085,0.4189424,,49558.508,-9.400316e+17,50.0,61.823853731155396,77.54,True,1.2919537e+25,[-0.221  0.338 -0.761 -1.856],-86.4707,450,,0.08931137,9.999999,1789.7085,1,50,1.0,1.0,342827.84
10,1231.7953,,2012211.0,29.957962,10.0,37742664.0,1231.795304834302,1.0,22331,-2796398.5,1201.8373,703.4852,26.384066,50.0,-156.0503,1.0,-1.0,3099.0703,0.4189424,,47.82708,-29914294000.0,50.0,77.16751503944397,124.22,True,1451531300.0,[-0.119  0.406 -0.768 -1.88 ],-156.0503,500,,0.18287653,10.0,3069.1123,1,50,1.0,1.0,260.15942
