MeanEntropy,InitialReturnMean,Penalization,EpRewMean,WReturnMean,ESSRenyiArithmetic,StdIW,InitialReturnMax,EmpiricalD2Harmonic,Iteration,OptimizationReturnMin,EmpiricalD2Arithmetic,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,TimeElapsed,DivergenceHarmonic,EpThisIter,EpisodesSoFar,ReturnStepMaxmin,OptimizationReturnMax,ReturnStepMax,OptimizationReturnMean,VarianceInitializer,Epsilon,MinTargetPdf,Bound,MinBehavPdf,MeanIW,Inner Iteration,LearnableVariance,StdWReturnMean,Weights,InitialBound,MaxIW,InitialReturnMin,EpLenMean,MinIW,ESSRenyiHarmonic,MeanD2-0
0.4189424,819.08575,True,819.085736217409,833812.6,50.0,40240.906,1649.564,1.0,15,,1.0,403.6226,38346,12297553000.0,50.53264617919922,2.2657038e+24,50,750,9.999999,1629.5923,9.999999,799.114,-1.0,1.0,-67.61995,-3.3442155e+17,-67.61995,8223.492,1,,,[-0.165  0.408 -0.988 -1.246],-1055987.4,270898.25,19.97174,82.94,0.6250039,50.0,1.0
0.4189424,810.31866,True,810.3186687910513,761228.6,50.0,1810.7745,1539.7585,1.0,16,,1.0,323.4383,42449,291327400.0,54.63787245750427,17540840000000.0,50,800,10.0,1459.8707,10.0,730.43085,-1.0,1.0,-72.81623,-811037400000.0,-72.81623,545.3607,1,,,[-0.265  0.366 -1.04  -1.214],-954809.1,11066.987,79.88777,82.06,0.06684368,50.0,1.0
0.4189424,824.4906,True,824.4905953721434,918974.6,50.0,16476.336,2119.293,1.0,17,,1.0,489.07047,46623,2973613000.0,58.90133500099182,7.849717e+18,50,850,9.999999,2099.3308,9.999999,804.52856,-1.0,1.0,-94.04625,-1027459260000000.0,-94.04625,4914.2065,1,,,[-0.153  0.353 -1.073 -1.256],-1285697.8,81602.58,19.962086,83.48,0.035555094,50.0,1.0
0.4189424,857.8599,True,857.8599839972849,978644.0,50.0,84857.44,2209.023,1.0,18,,1.0,492.6665,50964,30225338000.0,62.35699391365051,5.090345e+29,50,900,10.0,2189.06,10.0,837.8972,-1.0,1.0,-79.35927,-2.842683e+20,-79.35927,14493.798,1,,,[-0.117  0.468 -1.088 -1.227],-1377078.4,602313.1,19.962801,86.82,0.13205509,50.0,1.0
0.4189424,962.43994,True,962.4399495088572,1181662.5,50.0,1049.2202,2169.4316,1.0,19,,1.0,505.3433,55828,470469600.0,69.0569314956665,122780525000.0,50,950,9.999999,2159.452,9.999999,952.4603,-1.0,1.0,-103.07967,-135121910000.0,-103.07967,224.38042,1,,,[-0.23   0.421 -1.105 -1.249],-1565943.1,7058.582,9.9797535,97.28,0.12875415,50.0,1.0
0.4189424,756.9253,True,756.9252159231496,667538.25,50.0,1394.3252,1409.8076,1.0,20,,1.0,307.5752,59664,431443970.0,76.45819783210754,1861906600000.0,50,1000,10.0,1339.9178,10.0,687.0354,-1.0,1.0,-80.059105,-221869880000.0,-80.059105,416.54187,1,,,[-0.333  0.467 -1.14  -1.208],-829822.3,8204.858,69.889824,76.72,0.053951073,50.0,1.0
0.4189424,733.9588,True,733.958840961344,664556.4,50.0,1556.6132,1889.709,1.0,21,,1.0,354.7686,63385,93124320.0,81.62058877944946,12862684000.0,50,1050,10.0,1879.7257,10.0,723.97565,-1.0,1.0,-82.66368,-33161286000.0,-82.66368,289.71475,1,,,[-0.369  0.366 -1.151 -1.271],-956128.5,11135.038,9.983269,74.42,0.041103665,50.0,1.0
0.4189424,898.5192,True,898.5192260000792,968021.9,50.0,4266.292,2519.2646,1.0,22,,1.0,400.85544,67929,3984850700.0,88.70056486129761,1.2827572e+18,50,1100,10.0,2309.4177,10.0,688.67236,-1.0,1.0,-98.24397,-586917550000000.0,-98.24397,781.8257,1,,,[-0.364  0.487 -1.178 -1.286],-1486229.9,30427.586,209.84695,90.88,0.09990958,50.0,1.0
0.4189424,627.4021,True,627.4020541015667,451750.12,50.0,16234.375,1209.6573,1.0,23,,1.0,241.0743,71117,2801429200.0,94.13870525360107,1242627300000.0,50,1150,9.999998,1189.6844,9.999998,607.4292,-1.0,1.0,-55.096912,-135984650000.0,-55.096912,2716.089,1,,,[-0.259  0.278 -1.266 -1.288],-571226.06,115935.52,19.97289,63.76,0.064403206,50.0,1.0
0.4189424,618.56305,True,618.5630406175347,421567.84,50.0,1825416600.0,1139.7037,1.0,24,,1.0,197.35156,74261,93922700000000.0,102.17397332191467,9.176877e+34,50,1200,10.0,859.9431,10.0,338.80237,-1.0,1.0,-38.312546,-3.2128155e+22,-38.312546,261028540.0,1,,,[-0.335  0.217 -1.282 -1.365],-527624.94,13038943000.0,279.76065,62.88,0.027466517,50.0,1.0
