StdWReturnMean,OptimizationReturnMin,EpLenMean,WReturnMean,ESSRenyiHarmonic,MeanIW,MaxIW,OptimizationReturnMax,MeanEntropy,ESSRenyiArithmetic,ReturnStepMax,DivergenceHarmonic,MinIW,Epsilon,EpThisIter,TimestepsSoFar,EpisodesSoFar,Weights,EmpiricalD2Harmonic,ReturnStepMaxmin,Iteration,VarianceInitializer,InitialReturnMin,TimeElapsed,ReturnMeanIW,Bound,InitialBound,MinBehavPdf,MeanD2-0,EmpiricalD2Arithmetic,StdIW,Inner Iteration,InitialReturnStd,InitialReturnMax,LearnableVariance,InitialReturnMean,OptimizationReturnMean,EpRewMean,Penalization,MinTargetPdf
,,9.08,8530.914,50.0,207873.38,10304393.0,229.98409,0.4189424,50.0,9.999998,4.2377166e+28,0.0037011716,1.0,50,454,50,[ 0. -0. -0. -0.],1.0,9.999998,1,-1.0,19.96677,6.446300268173218,2514483700.0,-1.0500974e+18,-13632.015,-22.841747,1.0,1.0,1442383.9,1,44.83721,249.95085,,80.749855,60.783085,80.74985191877556,True,-22.841747
,,11.36,16017.886,50.0,479864.3,23984034.0,359.9611,0.4189424,50.0,9.999992,2.941601e+23,0.15818632,1.0,50,1022,100,[-0.075 -0.279 -0.074 -0.401],1.0,9.999992,2,-1.0,9.984148,13.658594369888306,10785857000.0,-6060688000000000.0,-27192.424,-13.329481,1.0,1.0,3357738.8,1,72.78627,369.94525,,103.53764,93.5535,103.53764779006633,True,-13.329481
,,10.18,10993.825,50.0,65.45828,1233.7965,259.93182,0.4189424,50.0,9.999999,23412154.0,0.17026664,1.0,50,1531,150,[-0.371 -1.225  0.047 -0.463],1.0,9.999999,3,-1.0,,14.79993200302124,969593.56,-27662382.0,-16510.451,-11.944368,1.0,1.0,228.89651,1,50.774303,259.93182,,91.73765,91.73765,91.73764455466458,True,-11.944368
,,10.02,11685.732,50.0,748.72015,22881.305,339.9218,0.4189424,50.0,9.999999,2.7816452e+21,0.03264935,1.0,50,2032,200,[-0.63  -2.188  0.097 -0.499],1.0,9.999999,4,-1.0,,15.87153148651123,12199811.0,-497580450000000.0,-21120.098,-14.932023,1.0,1.0,3367.4307,1,59.677876,339.9218,,90.13481,90.13481,90.13480546861697,True,-14.932023
,,14.96,30125.064,50.0,17.493992,276.01645,419.94684,0.4189424,50.0,9.999999,2395757300000.0,0.27826896,1.0,50,2780,250,[-0.424 -1.773 -0.18  -1.341],1.0,9.999999,5,-1.0,19.964138,18.550445795059204,762645.44,-24457888000.0,-45926.047,-25.439651,1.0,1.0,46.04376,1,103.2435,439.91098,,139.52007,119.55591,139.52005532765864,True,-25.439651
,,13.82,27749.041,50.0,26.452072,780.3186,579.9551,0.4189424,50.0,10.0,1316968300000.0,0.1582254,1.0,50,3471,300,[-0.448 -1.508 -0.16  -0.918],1.0,10.0,6,-1.0,29.947721,20.36676049232483,1207163.8,-34856060000.0,-58121.22,-33.358696,1.0,1.0,110.899086,1,106.460014,609.9028,,128.12224,98.174515,128.1222316213632,True,-33.358696
,,13.74,21524.426,50.0,11.950732,142.01634,289.95703,0.4189424,50.0,9.999986,3494593800.0,0.105033986,1.0,50,4158,350,[-0.466 -1.76  -0.189 -1.348],1.0,9.999986,7,-1.0,29.948528,22.93059277534485,330452.4,-494295580.0,-29880.42,-17.391216,1.0,1.0,23.530344,1,72.89909,319.90555,,127.319084,97.37056,127.31908179967135,True,-17.391216
,,14.5,24845.46,50.0,218.35184,9998.647,379.9635,0.4189424,50.0,9.999996,1192952700000.0,0.11616737,1.0,50,4883,400,[-0.495 -1.896 -0.29  -1.818],1.0,9.999996,8,-1.0,29.94719,25.064579010009766,12445350.0,-14997022000.0,-38564.793,-19.891094,1.0,1.0,1397.7728,1,81.512344,409.91068,,134.91182,104.96462,134.9118203780881,True,-19.891094
,,14.88,25621.305,50.0,19.90514,166.7531,399.9294,0.4189424,50.0,9.999954,5152096400000.0,0.015280655,1.0,50,5627,450,[-0.535 -1.99  -0.386 -2.298],1.0,9.999954,9,-1.0,19.962494,26.97603440284729,737387.2,-32676172000.0,-40016.883,-13.59598,1.0,1.0,40.0126,1,79.88384,419.8919,,138.70787,118.74539,138.70788414239155,True,-13.59598
,,13.9,21717.469,50.0,44863.74,819470.8,249.98085,0.4189424,50.0,9.999997,1.6557172e+31,0.22076882,1.0,50,6322,500,[-0.579 -1.722 -0.403 -1.878],1.0,9.999997,10,-1.0,39.935898,29.281155347824097,2942474000.0,-2.7925055e+19,-28580.266,-17.054998,1.0,1.0,155320.28,1,71.41725,289.91675,,128.9071,88.97122,128.90711456964394,True,-17.054998
