Weights,WReturnMean,TimeElapsed,OptimizationReturnMean,Epsilon,EpLenMean,InitialBound,EmpiricalD2Arithmetic,InitialReturnStd,MeanD2-0,ESSRenyiArithmetic,MinTargetPdf,OptimizationReturnMax,EmpiricalD2Harmonic,Penalization,StdIW,ESSRenyiHarmonic,InitialReturnMax,EpisodesSoFar,ReturnStepMaxmin,Inner Iteration,MeanIW,InitialReturnMean,MinBehavPdf,EpRewMean,Iteration,OptimizationReturnMin,Bound,MinIW,VarianceInitializer,DivergenceHarmonic,ReturnStepMax,ReturnMeanIW,MeanEntropy,EpThisIter,LearnableVariance,TimestepsSoFar,MaxIW,InitialReturnMin,StdWReturnMean
[-0.196  0.359 -0.801 -1.609],1186908.2,110.8318018913269,921.55524,1.0,95.18,-1697092.2,1.0,548.12067,1.0,50.0,-101.5647,2479.7134,1.0,True,41886.082,50.0,2499.6846,750,10.0,1,14681.341,941.5264,-101.5647,941.5263960319088,15,,-7334203700000000.0,0.079363085,-1.0,2.0665924e+20,10.0,12309247000.0,0.4189424,50,,37154,251573.3,19.971254,
[-0.131  0.46  -0.827 -1.629],1877499.4,125.88621520996094,1169.9988,1.0,121.04,-2712898.2,1.0,661.54156,1.0,50.0,-143.66577,3168.7188,1.0,True,2227.4094,50.0,3198.6626,800,10.0,1,383.59512,1199.9426,-143.66577,1199.942614438408,16,,-93601860000.0,0.13972293,-1.0,12215923000.0,10.0,1269408900.0,0.4189424,50,,43206,15780.083,29.943768,
[-0.201  0.518 -0.907 -1.6  ],1418335.0,140.93646597862244,1081.2627,1.0,110.16,-1842382.5,1.0,476.9931,1.0,50.0,-81.528046,2268.9377,1.0,True,106061.23,50.0,2278.9187,850,10.0,1,15609.809,1091.2437,-81.528046,1091.2435917279547,17,,-8.247198e+20,0.4148758,-1.0,3.782585e+30,10.0,79402410000.0,0.4189424,50,,48714,758010.2,9.980946,
[-0.115  0.381 -1.07  -1.698],2044411.8,156.96133828163147,1230.2162,1.0,129.06,-2739514.0,1.0,636.8519,1.0,50.0,-124.15648,2867.7822,1.0,True,396.85175,50.0,2917.7344,900,9.999999,1,136.77159,1280.1685,-124.15648,1280.1684827690055,18,,-251281920000.0,0.16171953,-1.0,130522920000.0,9.999999,157297680.0,0.4189424,50,,55167,2506.1614,49.95227,
[-0.055  0.396 -1.077 -1.7  ],2766981.2,179.61619472503662,1275.5392,1.0,132.58,-4806508.0,1.0,1018.09406,1.0,50.0,-212.3342,4957.95,1.0,True,123.087265,50.0,4997.883,950,10.0,1,48.225636,1315.4719,-212.3342,1315.4718175037135,19,,-3484295400000.0,0.14809792,-1.0,2918141700000.0,10.0,283103780.0,0.4189424,50,,61796,695.0657,39.93268,
[-0.004  0.422 -1.1   -1.694],1411468.9,193.93043303489685,915.1666,1.0,95.56,-2257271.2,1.0,719.8783,1.0,50.0,-143.81828,3188.5708,1.0,True,51239.39,50.0,3218.52,1000,10.0,1,7403.812,945.11597,-143.81828,945.1159366414248,20,,-4.927528e+22,0.45681456,-1.0,3.3941e+33,10.0,69051330000.0,0.4189424,50,,66574,366074.7,29.949314,
[-0.101  0.358 -1.12  -1.736],2162225.2,210.92772579193115,1196.1196,1.0,129.64,-3156414.2,1.0,713.0614,1.0,50.0,-147.18506,3399.5706,1.0,True,101.885216,50.0,3489.4404,1050,9.999999,1,47.626152,1285.9894,-147.18506,1285.989388284771,21,,-16199388000.0,0.2284904,-1.0,262522740.0,9.999999,91098104.0,0.4189424,50,,73056,468.62158,89.86984,
[-0.051  0.39  -1.13  -1.755],4531846.5,234.74476313591003,1732.5514,1.0,176.3,-6571124.5,1.0,1208.5254,1.0,50.0,-220.2899,4977.608,1.0,True,1774.7123,50.0,4997.5728,1100,10.0,1,497.605,1752.5162,-220.2899,1752.5162382927901,22,,-1.4610073e+16,0.06303478,-1.0,5.1328607e+19,10.0,1311901300.0,0.4189424,50,,81871,8916.556,19.964869,
[ 1.191e-03  4.223e-01 -1.137e+00 -1.748e+00],2001877.2,251.75744915008545,1146.4426,1.0,116.7,-3053338.0,1.0,815.2084,1.0,50.0,-144.83124,3578.5623,1.0,True,66940.84,50.0,3588.542,1150,10.0,1,9698.309,1156.4222,-144.83124,1156.422319979999,23,,-2.3877604e+21,0.25718987,-1.0,5.1570406e+30,10.0,91575075000.0,0.4189424,50,,87706,478275.34,9.979773,
[-0.097  0.497 -1.157 -1.745],3656843.0,276.2626175880432,1352.049,1.0,165.22,-5697481.0,1.0,980.4524,1.0,50.0,-207.00002,4709.4736,1.0,True,1315.1123,50.0,4999.2397,1200,10.0,1,220.53008,1641.815,-207.00002,1641.8148808060432,24,,-317292200000.0,0.026128076,-1.0,24090216000.0,10.0,566994800.0,0.4189424,50,,95967,9408.782,289.76596,
[-0.041  0.488 -1.165 -1.769],4605910.5,302.92118310928345,1744.5636,1.0,178.48,-6646038.5,1.0,1207.0594,1.0,50.0,-209.60239,4968.657,1.0,True,28.85803,50.0,4998.613,1250,10.0,1,10.579545,1774.519,-209.60239,1774.5190250308253,25,,-69761630000000.0,0.19636258,-1.0,1169297900000000.0,10.0,106472480.0,0.4189424,50,,104891,130.83034,29.955624,
[-0.099  0.489 -1.189 -1.77 ],3582494.5,325.6010572910309,1533.668,1.0,155.42,-5501803.5,1.0,1095.2826,1.0,50.0,-209.29282,4838.3643,1.0,True,387.8118,50.0,4848.3447,1300,9.999999,1,113.27821,1543.6486,-209.29282,1543.648537063867,26,,-3880159300000.0,0.117071114,-1.0,4086455300000.0,9.999999,311067550.0,0.4189424,50,,112662,2329.0056,9.9806185,
[-0.038  0.499 -1.197 -1.773],3877240.0,346.9307858943939,1588.7817,1.0,161.92,-5916987.5,1.0,1135.4164,1.0,50.0,-204.6283,4978.183,1.0,True,248.87016,50.0,4998.1494,1350,10.0,1,45.59903,1608.7478,-204.6283,1608.7478221297688,27,,-561272300000.0,0.19014698,-1.0,75607130000.0,10.0,412697700.0,0.4189424,50,,120758,1765.0007,19.966148,
[ 0.018  0.462 -1.281 -1.709],2569307.0,368.9080808162689,1250.7318,1.0,127.1,-4609086.5,1.0,989.9046,1.0,50.0,-219.6359,4988.213,1.0,True,63.009632,50.0,4998.1934,1400,10.0,1,45.76357,1260.7124,-219.6359,1260.7124468807208,28,,-9145393000000000.0,0.7581829,-1.0,2.0102213e+19,10.0,132030776.0,0.4189424,50,,127113,268.18643,9.980655,
