Weights,WReturnMean,TimeElapsed,OptimizationReturnMean,Epsilon,EpLenMean,InitialBound,EmpiricalD2Arithmetic,InitialReturnStd,MeanD2-0,ESSRenyiArithmetic,MinTargetPdf,OptimizationReturnMax,EmpiricalD2Harmonic,Penalization,StdIW,ESSRenyiHarmonic,InitialReturnMax,EpisodesSoFar,ReturnStepMaxmin,Inner Iteration,MeanIW,InitialReturnMean,MinBehavPdf,EpRewMean,Iteration,OptimizationReturnMin,Bound,MinIW,VarianceInitializer,DivergenceHarmonic,ReturnStepMax,ReturnMeanIW,MeanEntropy,EpThisIter,LearnableVariance,TimestepsSoFar,MaxIW,InitialReturnMin,StdWReturnMean
[ 0.019  1.207 -3.243 -2.004],24493348.0,9465.548233270645,4889.5547,1.0,490.04,-26534306.0,1.0,698.5078,1.0,50.0,-235.99931,4989.6084,1.0,True,2424.2842,50.0,4999.588,11250,10.0,1,939.05115,4899.534,-235.99931,4899.534158584302,225,,-143646370000000.0,0.08923577,-1.0,4952241700000000.0,10.0,23470050000.0,0.4189424,50,,4173944,10470.501,9.979527,
[ 0.033  1.296 -3.26  -1.919],23091890.0,9537.937513589859,4523.4727,1.0,465.5,-25132706.0,1.0,1199.2461,1.0,50.0,-247.01056,4869.538,1.0,True,42.47164,50.0,4999.419,11300,10.0,1,24.854622,4653.3535,-247.01056,4653.353618122656,226,,-113704750000.0,0.11773214,-1.0,3070661000.0,10.0,618613600.0,0.4189424,50,,4197219,199.21867,129.88074,
[-0.068  1.303 -3.261 -1.845],23164198.0,9596.97088265419,4673.6113,1.0,468.52,-25205040.0,1.0,1108.2312,1.0,50.0,-244.69571,4989.47,1.0,True,23423.28,50.0,4999.4497,11350,10.0,1,7056.9126,4683.591,-244.69571,4683.590615448375,227,,-1.4925437e+17,0.2256639,-1.0,5.34879e+21,10.0,176281760000.0,0.4189424,50,,4220645,118104.05,9.9796915,
[-0.031  1.226 -3.27  -1.936],24492590.0,9654.124475240707,4899.2593,1.0,490.02,-26533608.0,1.0,699.89417,1.0,50.0,-248.73703,4999.663,1.0,True,5652.251,50.0,4999.663,11400,10.0,1,1680.7244,4899.2593,-248.73703,4899.258980560631,228,,-950097840000000.0,0.02344537,-1.0,2.1668388e+17,10.0,42005750000.0,0.4189424,50,,4245146,37665.47,,
[-0.065  1.323 -3.235 -1.874],23182286.0,9714.27860736847,4663.4155,1.0,466.5,-25223092.0,1.0,1197.8488,1.0,50.0,-249.67885,4999.4053,1.0,True,2777.2288,50.0,4999.4053,11450,10.0,1,716.6202,4663.4155,-249.67885,4663.415565559981,229,,-164268810000000.0,0.13688879,-1.0,6477888000000000.0,10.0,17908253000.0,0.4189424,50,,4268471,19464.406,,
[-0.029  1.428 -3.286 -1.85 ],20404372.0,9773.833411216736,4208.754,1.0,422.2,-22445082.0,1.0,1614.5143,1.0,50.0,-238.28117,4989.313,1.0,True,2579.536,50.0,4999.2935,11500,10.0,1,832.74945,4218.734,-238.28117,4218.733951752217,230,,-8.668751e+16,0.019104628,-1.0,1.8045527e+21,10.0,20629050000.0,0.4189424,50,,4289581,16900.135,9.980275,
[-0.107  1.482 -3.314 -1.773],17180342.0,9825.785524845123,3652.5127,1.0,375.76,-19221040.0,1.0,1760.5475,1.0,50.0,-246.84552,4899.357,1.0,True,2129493.8,50.0,4999.285,11550,10.0,1,448212.75,3752.441,-246.84552,3752.441041384196,231,,-1.6502727e+23,0.5040607,-1.0,6.539899e+33,10.0,11163574000000.0,0.4189424,50,,4308369,14729172.0,99.928154,
[-0.116  1.402 -3.327 -1.868],23009520.0,9886.59473991394,4661.9204,1.0,466.38,-25050326.0,1.0,1129.6089,1.0,50.0,-234.66916,4999.406,1.0,True,894.8647,50.0,4999.406,11600,10.0,1,198.24623,4661.9204,-234.66916,4661.920634160343,232,,-33549367000000.0,0.11219004,-1.0,270183160000000.0,10.0,4948915000.0,0.4189424,50,,4331688,5399.3003,,
[-0.06   1.389 -3.321 -1.892],23535540.0,9948.8820540905,4597.6323,1.0,473.9,-25576344.0,1.0,1044.7068,1.0,50.0,-250.05074,4859.511,1.0,True,40.559475,50.0,4999.4023,11650,10.0,1,15.322572,4737.524,-250.05074,4737.52338674455,233,,-343241820000.0,0.07341229,-1.0,28226484000.0,10.0,380156640.0,0.4189424,50,,4355383,202.07204,139.8913,
[-0.105  1.35  -3.317 -1.91 ],23631822.0,10012.57445693016,4474.4326,1.0,479.58,-25672704.0,1.0,804.28503,1.0,50.0,-245.53981,4679.667,1.0,True,8528.544,50.0,4999.496,11700,10.0,1,1264.0209,4794.2617,-245.53981,4794.262034096155,234,,-63576654000.0,0.09350116,-1.0,376584900.0,10.0,23972719000.0,0.4189424,50,,4379362,60932.203,319.82935,
[-0.068  1.397 -3.333 -1.905],23148118.0,10074.907717704773,4674.603,1.0,468.62,-25188976.0,1.0,1096.72,1.0,50.0,-243.15091,4989.4893,1.0,True,5.7933755,50.0,4999.4697,11750,10.0,1,4.6633663,4684.584,-243.15091,4684.583651727836,235,,-727990000000.0,0.09677587,-1.0,127206785000.0,10.0,114047620.0,0.4189424,50,,4402793,30.088537,9.980496,
[-0.116  1.421 -3.338 -1.872],23996308.0,10130.302134037018,3964.9373,1.0,485.66,-26037138.0,1.0,654.352,1.0,50.0,-243.16809,4109.669,1.0,True,794655.8,50.0,4999.4336,11800,10.0,1,232547.66,4854.7017,-243.16809,4854.701948141398,236,,-4.618328e+18,0.48247758,-1.0,5.1212566e+24,10.0,5810784000000.0,0.4189424,50,,4427076,4238305.5,889.7647,
[-0.083  1.329 -3.347 -1.95 ],22813196.0,10189.75024008751,4579.715,1.0,458.14,-24854114.0,1.0,1356.2471,1.0,50.0,-234.09726,4999.5444,1.0,True,4039.78,50.0,4999.5444,11850,10.0,1,613.89825,4579.715,-234.09726,4579.714854176443,237,,-4.606581e+17,0.059787683,-1.0,5.094797e+22,10.0,15341076000.0,0.4189424,50,,4449983,28865.02,,
[-0.143  1.344 -3.346 -1.942],22919134.0,10253.700723648071,4581.2183,1.0,473.52,-24960012.0,1.0,732.15173,1.0,50.0,-236.80989,4849.634,1.0,True,14279013.0,50.0,4999.492,11900,10.0,1,3349123.0,4731.0767,-236.80989,4731.076774452927,238,,-8.813949e+22,0.064740665,-1.0,1.8652143e+33,10.0,68492930000000.0,0.4189424,50,,4473659,94537016.0,149.85858,
[-0.076  1.284 -3.335 -2.028],23916756.0,10333.304888486862,4815.5566,1.0,482.7,-25957714.0,1.0,794.32446,1.0,50.0,-241.49774,4989.611,1.0,True,191.13344,50.0,4999.591,11950,10.0,1,49.58735,4825.537,-241.49774,4825.536761425704,239,,-8.50606e+20,0.42034954,-1.0,1.737042e+29,10.0,1208452200.0,0.4189424,50,,4497794,1245.1536,9.979884,
[-0.138  1.289 -3.329 -2.023],22741348.0,10421.964738368988,1596.6792,1.0,475.04,-24782294.0,1.0,463.41107,1.0,50.0,-235.87976,1850.0359,1.0,True,1903.4961,50.0,4999.576,12000,10.0,1,471.1324,4746.219,-235.87976,4746.219374973032,240,,-18419234000000.0,0.03448439,-1.0,81359980000000.0,10.0,10406716000.0,0.4189424,50,,4521546,12709.484,3149.5403,
[-0.186  1.278 -3.354 -2.052],20667158.0,10517.458524465561,1434.9497,1.0,451.02,-22708182.0,1.0,613.90625,1.0,50.0,-230.2685,1930.1519,1.0,True,8706.738,50.0,4999.6753,12050,10.0,1,3305.5447,4504.473,-230.2685,4504.472924152549,241,,-1286519500000000.0,0.19848031,-1.0,3.9729492e+17,10.0,64799060000.0,0.4189424,50,,4544097,45393.04,3069.5234,
[-0.124  1.285 -3.355 -2.048],23627848.0,10611.982125520706,4795.812,1.0,480.82,-25668810.0,1.0,729.5212,1.0,50.0,-237.46591,4989.6143,1.0,True,88201.05,50.0,4999.5957,12100,10.0,1,25170.422,4805.793,-237.46591,4805.793048128304,242,,-1.4834581e+19,0.18917748,-1.0,5.2832637e+25,10.0,465865640000.0,0.4189424,50,,4568138,472371.6,9.981345,
[-0.063  1.299 -3.354 -2.055],23998996.0,10712.93351149559,4463.7046,1.0,481.46,-26039956.0,1.0,910.1363,1.0,50.0,-242.54454,4649.707,1.0,True,87101.86,50.0,4999.593,12150,10.0,1,12876.949,4813.59,-242.54454,4813.589842911402,243,,-7030270000000.0,0.036137123,-1.0,10804284000000.0,10.0,321828600000.0,0.4189424,50,,4592211,622533.5,349.8858,
[-0.036  1.192 -3.384 -2.106],24494514.0,10817.142757177353,4899.451,1.0,490.02,-26535532.0,1.0,699.92163,1.0,50.0,-244.14882,4999.6646,1.0,True,2801.744,50.0,4999.6646,12200,10.0,1,1000.88446,4899.451,-244.14882,4899.451444333161,244,,-2.4068801e+17,0.31729648,-1.0,1.3907101e+22,10.0,25014546000.0,0.4189424,50,,4616712,16432.244,,
[-0.106  1.132 -3.409 -2.186],23638750.0,10920.670459747314,1173.2001,1.0,485.58,-25679780.0,1.0,300.5379,1.0,50.0,-242.43915,1320.2085,1.0,True,277794.6,50.0,4999.6807,12250,10.0,1,45185.605,4852.6724,-242.43915,4852.672285870498,245,,-6.2159213e+22,0.08390346,-1.0,9.275412e+32,10.0,907910400000.0,0.4189424,50,,4640991,1987241.9,3679.4722,
[-0.044  1.133 -3.408 -2.188],23994692.0,11023.72204709053,4799.669,1.0,480.06,-26035702.0,1.0,978.71,1.0,50.0,-254.4989,4999.656,1.0,True,12.470516,50.0,4999.656,12300,10.0,1,5.938065,4799.669,-254.4989,4799.668688213044,246,,-1854316200000.0,0.05745516,-1.0,825333200000.0,10.0,147444300.0,0.4189424,50,,4664994,68.72847,,
[-0.097  1.113 -3.407 -2.214],24158430.0,11123.255429983139,1427.4172,1.0,490.9,-26199438.0,1.0,280.8687,1.0,50.0,-238.1522,1519.9778,1.0,True,161711.69,50.0,4999.652,12350,10.0,1,36190.92,4907.0913,-238.1522,4907.0911903718,247,,-1.192027e+20,0.22321188,-1.0,3.4111787e+27,10.0,563664900000.0,0.4189424,50,,4689539,1089749.9,3479.674,
[-0.035  1.12  -3.402 -2.215],24994470.0,11214.504762649536,0.37679687,1.0,500.0,-27035480.0,1.0,0.119254515,1.0,50.0,-242.05307,0.58447266,1.0,True,337.0859,50.0,4999.655,12400,10.0,1,110.67616,4999.447,-242.05307,4999.447120080853,248,,-4673715000000.0,0.1862389,-1.0,5237709500000.0,10.0,2766271200.0,0.4189424,50,,4714539,1912.1809,4999.0703,
[-0.076  1.233 -3.397 -2.184],24880138.0,11318.228496551514,497.89972,1.0,498.84,-26921166.0,1.0,72.2313,1.0,50.0,-244.70377,510.09912,1.0,True,6808.425,50.0,4999.676,12450,10.0,1,1051.3263,4987.476,-244.70377,4987.476401892576,249,,-6.4575285e+20,0.22356638,-1.0,1.001052e+29,10.0,21567058000.0,0.4189424,50,,4739481,48677.332,4489.5767,
[-0.137  1.224 -3.407 -2.192],21955840.0,11398.53771352768,4615.8745,1.0,462.02,-23996806.0,1.0,805.9432,1.0,50.0,-256.9828,4999.603,1.0,True,6067.3345,50.0,4999.603,12500,10.0,1,1292.4427,4615.8745,-256.9828,4615.874066423854,250,,-2199191800000.0,0.077970706,-1.0,1127745000000.0,10.0,31832680000.0,0.4189424,50,,4762582,43206.086,,
[-0.149  1.322 -3.399 -2.116],23257120.0,11476.598067998886,4755.8374,1.0,476.9,-25298132.0,1.0,737.6371,1.0,50.0,-240.12851,4989.6772,1.0,True,15690.685,50.0,4999.657,12550,10.0,1,4178.975,4765.817,-240.12851,4765.816953128326,251,,-2.0454541e+17,0.14090262,-1.0,1.0044064e+22,10.0,83201610000.0,0.4189424,50,,4786427,81149.36,9.980173,
[-0.088  1.334 -3.395 -2.106],24993956.0,11571.929438829422,0.47490233,1.0,500.0,-27034952.0,1.0,0.16349441,1.0,50.0,-234.07573,0.7138672,1.0,True,49126.78,50.0,4999.635,12600,10.0,1,7069.3765,4999.396,-234.07573,4999.39577929406,252,,-59117507000000.0,0.038016126,-1.0,834008400000000.0,10.0,176694970000.0,0.4189424,50,,4811427,350951.06,4998.921,
[-0.03   1.316 -3.398 -2.119],24493766.0,11662.229927062988,4899.3765,1.0,490.02,-26534728.0,1.0,699.9109,1.0,50.0,-250.49637,4999.5933,1.0,True,28157184.0,50.0,4999.5933,12650,10.0,1,6998067.0,4899.3765,-250.49637,4899.376511270289,253,,-5.5105804e+23,1.3150306,-1.0,7.2903314e+34,10.0,174905060000000.0,0.4189424,50,,4835928,183088880.0,,
[ 0.034  1.317 -3.429 -1.88 ],23020984.0,11739.882259845734,4498.2827,1.0,463.98,-25061866.0,1.0,1228.0013,1.0,50.0,-262.8251,4859.57,1.0,True,25812.234,50.0,4999.4976,12700,10.0,1,5319.1055,4638.2104,-262.8251,4638.210330534538,254,,-28807800000000.0,0.06572558,-1.0,197419030000000.0,10.0,132920280000.0,0.4189424,50,,4859127,182232.23,139.92761,
[ 0.031  1.351 -3.427 -1.76 ],22773736.0,11815.209785699844,4487.224,1.0,464.94,-24814482.0,1.0,1085.771,1.0,50.0,-242.03494,4839.533,1.0,True,5527129.0,50.0,4999.334,12750,10.0,1,1102570.4,4647.0244,-242.03494,4647.0245682747445,255,,-1.5557895e+17,0.50628066,-1.0,5.8101935e+21,10.0,27543107000000.0,0.4189424,50,,4882374,36390580.0,159.80054,
[-0.008  1.257 -3.456 -1.825],24100760.0,11897.488834142685,2286.9016,1.0,488.8,-26141626.0,1.0,471.04706,1.0,50.0,-248.6746,2399.776,1.0,True,68773.94,50.0,4999.4756,12800,10.0,1,10333.661,4886.601,-248.6746,4886.601458949766,256,,-1.1469018e+16,0.012145865,-1.0,3.1581028e+19,10.0,258243580000.0,0.4189424,50,,4906814,491713.7,2599.6997,
[-0.066  1.347 -3.451 -1.761],23623788.0,11963.909189224243,4508.0513,1.0,478.96,-25664578.0,1.0,836.7104,1.0,50.0,-252.3579,4719.5654,1.0,True,1273172.9,50.0,4999.3843,12850,10.0,1,230969.44,4787.87,-252.3579,4787.870323815822,257,,-3.3356805e+18,0.1419514,-1.0,2.6717299e+24,10.0,5772040700000.0,0.4189424,50,,4930762,9023843.0,279.8187,
[-0.008  1.434 -3.462 -1.693],12350279.0,12014.753690958023,2942.4385,1.0,303.96,-14390866.0,1.0,1776.2378,1.0,50.0,-222.6489,4909.229,1.0,True,2632.0383,50.0,4999.159,12900,10.0,1,776.6319,3032.3684,-222.6489,3032.3685459292756,258,,-1.7481133e+21,0.121521264,-1.0,7.3390955e+29,10.0,18747918000.0,0.4189424,50,,4945960,15225.658,89.93024,
[ 0.177  1.456 -3.569 -1.821],20950774.0,12081.253160476685,3875.4248,1.0,438.88,-22991434.0,1.0,1311.8103,1.0,50.0,-243.17671,4489.461,1.0,True,2969677.0,50.0,4999.2305,12950,10.0,1,436685.4,4385.194,-243.17671,4385.19410419644,259,,-2.1539988e+17,0.011064674,-1.0,1.1141035e+22,10.0,10907665000000.0,0.4189424,50,,4967904,21221258.0,509.7693,
[ 0.121  1.36  -3.591 -1.873],24880550.0,12151.45405960083,577.8483,1.0,498.84,-26921350.0,1.0,82.54995,1.0,50.0,-238.26312,589.8843,1.0,True,45.502804,50.0,4999.3936,13000,10.0,1,18.4267,4987.3574,-238.26312,4987.357617837856,260,,-20109980000.0,0.14432329,-1.0,92709700.0,10.0,460476740.0,0.4189424,50,,4992846,297.93307,4409.5093,
[ 0.014  1.415 -3.613 -1.846],23143634.0,12208.815819978714,4708.7427,1.0,471.06,-25184560.0,1.0,985.5845,1.0,50.0,-238.3086,4999.5513,1.0,True,97131.29,50.0,4999.5513,13050,10.0,1,34245.96,4708.7427,-238.3086,4708.742688180878,261,,-1.3024983e+16,0.079237245,-1.0,4.0725726e+19,10.0,790097100000.0,0.4189424,50,,5016399,416180.06,,
[ 0.053  1.339 -3.595 -1.936],23528400.0,12275.953562259674,4572.2183,1.0,473.34,-25569338.0,1.0,1065.7045,1.0,50.0,-245.38455,4839.695,1.0,True,108049.87,50.0,4999.566,13100,10.0,1,35023.734,4732.09,-245.38455,4732.089837177766,262,,-5054692000000000.0,0.2895549,-1.0,6.1319846e+18,10.0,875236560000.0,0.4189424,50,,5040066,523266.75,159.87106,
[ 0.054  1.248 -3.596 -2.021],24493530.0,12347.521432638168,4889.5713,1.0,490.04,-26534426.0,1.0,698.5102,1.0,50.0,-235.10632,4989.5337,1.0,True,2134934300.0,50.0,4999.5146,13150,10.0,1,304996260.0,4899.5527,-235.10632,4899.552507738135,263,,-1.0593753e+21,0.38856998,-1.0,2.6944697e+29,10.0,7622879000000000.0,0.4189424,50,,5064568,15249536000.0,9.981027,
[ 0.277  1.347 -3.552 -1.992],21444940.0,12398.53725361824,4232.9575,1.0,441.52,-23485830.0,1.0,1404.2526,1.0,50.0,-241.21112,4819.646,1.0,True,13018.659,50.0,4999.512,13200,10.0,1,3101.942,4412.8237,-241.21112,4412.823853015303,264,,-897710840000000.0,0.18876804,-1.0,1.9345442e+17,10.0,77491230000.0,0.4189424,50,,5086644,86782.03,179.86601,
[ 0.335  1.428 -3.581 -1.923],19586514.0,12448.455448150635,3948.9678,1.0,411.26,-21627202.0,1.0,1644.2345,1.0,50.0,-255.40283,4839.3438,1.0,True,163581.36,50.0,4999.2695,13250,10.0,1,27231.553,4108.8936,-255.40283,4108.893540244975,265,,-8.6171056e+17,0.47177586,-1.0,1.7831475e+23,10.0,671544500000.0,0.4189424,50,,5107207,1165568.5,159.92572,
[ 0.291  1.351 -3.601 -2.008],23897514.0,12503.911740064621,3396.5232,1.0,484.76,-25938440.0,1.0,642.27795,1.0,50.0,-248.64343,3549.9438,1.0,True,1773414.9,50.0,4999.5522,13300,10.0,1,372071.2,4846.132,-248.64343,4846.1317807661,266,,-2.081163e+20,1.4677911,-1.0,1.0398697e+28,10.0,9298357000000.0,0.4189424,50,,5131445,12126244.0,1449.6085,
[ 0.497  1.432 -3.539 -1.911],12006837.0,12544.036963701248,2959.762,1.0,296.82,-14047501.0,1.0,1801.8453,1.0,50.0,-257.44247,4999.254,1.0,True,20660.99,50.0,4999.254,13350,10.0,1,3352.6064,2959.762,-257.44247,2959.7618190006806,267,,-49163600000000.0,0.06942905,-1.0,578664300000000.0,10.0,75292800000.0,0.4189424,50,,5146286,147360.12,,
[ 0.333  1.168 -3.829 -1.648],22265484.0,12606.484365463257,4568.13,1.0,457.04,-24306276.0,1.0,1182.2347,1.0,50.0,-247.85658,4999.3887,1.0,True,204504.64,50.0,4999.3887,13400,10.0,1,34019.43,4568.13,-247.85658,4568.1294840177425,268,,-418078160000000.0,0.2617907,-1.0,4.1800426e+16,10.0,845277950000.0,0.4189424,50,,5169138,1461548.9,,
[ 0.274  1.104 -3.834 -1.738],23994020.0,12671.406153202057,4665.4155,1.0,480.64,-26034962.0,1.0,950.2865,1.0,50.0,-236.17311,4859.6787,1.0,True,4215.0415,50.0,4999.571,13450,10.0,1,1202.2195,4805.307,-236.17311,4805.307142525135,269,,-12313394000000.0,0.17637588,-1.0,36223840000000.0,10.0,30038893000.0,0.4189424,50,,5193170,26802.719,139.89203,
[ 0.206  1.032 -3.851 -1.812],24494070.0,12726.793316364288,4752.468,1.0,490.32,-26535020.0,1.0,678.924,1.0,50.0,-251.77649,4849.6865,1.0,True,156.43555,50.0,4999.5786,13500,10.0,1,74.65802,4902.36,-251.77649,4902.360051358225,270,,-30836685000.0,0.05071019,-1.0,201501380.0,10.0,1865906600.0,0.4189424,50,,5217686,939.7192,149.89197,
[ 0.289  1.079 -3.821 -1.737],24492400.0,12785.30448937416,4899.2397,1.0,490.02,-26533328.0,1.0,699.8914,1.0,50.0,-231.13382,4999.552,1.0,True,83499.53,50.0,4999.552,13550,10.0,1,13243.312,4899.2397,-231.13382,4899.239799432516,271,,-1345670200000000.0,0.07247956,-1.0,4.3454077e+17,10.0,330983540000.0,0.4189424,50,,5242187,597188.3,,
[ 0.329  1.173 -3.81  -1.666],23300122.0,12836.349001407623,4728.9307,1.0,474.1,-25341010.0,1.0,918.0598,1.0,50.0,-245.19705,4989.523,1.0,True,115876.586,50.0,4999.5044,13600,10.0,1,26050.688,4738.912,-245.19705,4738.912108970624,272,,-815742600000000.0,0.052793052,-1.0,1.595141e+17,10.0,648327500000.0,0.4189424,50,,5265892,712128.1,9.981279,
[ 0.287  1.119 -3.826 -1.769],22521514.0,12891.223299741745,4375.4478,1.0,454.7,-24562408.0,1.0,1364.4196,1.0,50.0,-237.54962,4829.6475,1.0,True,47980.453,50.0,4999.513,13650,10.0,1,11202.263,4545.314,-237.54962,4545.313348813149,273,,-337224120000000.0,0.48707855,-1.0,2.725815e+16,10.0,279900320000.0,0.4189424,50,,5288627,328222.34,169.86575,
[ 0.263  1.025 -3.833 -1.848],24993520.0,12941.3497402668,0.3853125,1.0,500.0,-27034440.0,1.0,0.1313518,1.0,50.0,-245.65282,0.5732422,1.0,True,89351330.0,50.0,4999.54,13700,10.0,1,21217288.0,4999.352,-245.65282,4999.352022247537,274,,-5.396023e+21,0.048127335,-1.0,6.990666e+30,10.0,530260550000000.0,0.4189424,50,,5313627,559496400.0,4998.967,
[ 0.323  0.785 -3.866 -1.829],24993852.0,12995.936465024948,0.42661133,1.0,500.0,-27034838.0,1.0,0.12626925,1.0,50.0,-234.63284,0.66552734,1.0,True,949555900.0,50.0,4999.624,13750,10.0,1,137270370.0,4999.385,-234.63284,4999.385114657955,275,,-2.9001999e+19,0.97127634,-1.0,2.0188082e+26,10.0,3430626600000000.0,0.4189424,50,,5338627,6784103000.0,4998.9585,
[ 0.383  0.771 -3.901 -2.069],24993630.0,13051.746989488602,0.44517577,1.0,500.0,-27034606.0,1.0,0.14719978,1.0,50.0,-246.73459,0.69433594,1.0,True,4671.69,50.0,4999.6123,13800,10.0,1,820.59467,4999.3633,-246.73459,4999.3631429073175,276,,-423223160000.0,0.044566233,-1.0,38934823000.0,10.0,20509692000.0,0.4189424,50,,5363627,33460.516,4998.918,
[ 0.43   0.717 -3.896 -2.171],23993134.0,13098.496011018753,4799.513,1.0,480.06,-26034068.0,1.0,978.67834,1.0,50.0,-243.16083,4999.5654,1.0,True,39164.3,50.0,4999.5654,13850,10.0,1,5996.5093,4799.513,-243.16083,4799.512742029126,277,,-492317080000.0,0.0945254,-1.0,28156142000.0,10.0,149860550000.0,0.4189424,50,,5387630,279990.53,,
[ 0.478  0.665 -3.9   -2.274],24476210.0,13137.699865102768,2593.1096,1.0,493.38,-26517206.0,1.0,382.13492,1.0,50.0,-247.89182,2660.1848,1.0,True,2093.3528,50.0,4999.6387,13900,10.0,1,475.66782,4932.5635,-247.89182,4932.563578110543,278,,-717295500000.0,0.046306208,-1.0,119466164000.0,10.0,11865372000.0,0.4189424,50,,5412299,14649.076,2339.4539,
[ 0.391  0.734 -3.942 -2.234],24993248.0,13175.673442840576,0.45231447,1.0,500.0,-27034216.0,1.0,0.16861719,1.0,50.0,-244.55411,0.72998047,1.0,True,12746.506,50.0,4999.6025,13950,10.0,1,3547.875,4999.325,-244.55411,4999.324882249944,279,,-143911670000000.0,0.009010627,-1.0,4965992600000000.0,10.0,88668920000.0,0.4189424,50,,5437299,78753.53,4998.8726,
[ 0.373  0.83  -3.929 -2.157],24493706.0,13213.904525279999,4899.3706,1.0,490.02,-26534686.0,1.0,699.91016,1.0,50.0,-248.21896,4999.6196,1.0,True,1929.7941,50.0,4999.6196,14000,10.0,1,691.931,4899.3706,-248.21896,4899.370536934919,280,,-202623240000000.0,0.050700903,-1.0,9854799000000000.0,10.0,17291770000.0,0.4189424,50,,5461800,9670.046,,
[ 0.386  0.738 -3.927 -2.241],24493286.0,13252.31366944313,4899.329,1.0,490.02,-26534292.0,1.0,699.9042,1.0,50.0,-255.77351,4999.6514,1.0,True,65154490.0,50.0,4999.6514,14050,10.0,1,13071441.0,4899.329,-255.77351,4899.328710916045,281,,-6.983761e+20,0.14657815,-1.0,1.17087535e+29,10.0,326704440000000.0,0.4189424,50,,5486301,392251800.0,,
[ 0.5    0.719 -3.89  -2.459],23938850.0,13298.01957821846,4212.8906,1.0,483.4,-25979750.0,1.0,765.78033,1.0,50.0,-244.13374,4379.983,1.0,True,107773800.0,50.0,4999.528,14100,10.0,1,15430012.0,4832.4355,-244.13374,4832.435190123364,282,,-1.5242482e+20,0.2186609,-1.0,5.5780776e+27,10.0,385294100000000.0,0.4189424,50,,5510471,769845570.0,619.5448,
[ 0.278  0.63  -3.878 -2.386],24993868.0,13335.287775278091,0.26180664,1.0,500.0,-27034848.0,1.0,0.12760703,1.0,50.0,-252.26459,0.49902344,1.0,True,1768.8232,50.0,4999.624,14150,10.0,1,583.5769,4999.3867,-252.26459,4999.386879289738,283,,-14014724000000.0,0.0743525,-1.0,47055083000000.0,10.0,14585193000.0,0.4189424,50,,5535471,11868.978,4999.125,
[ 0.273  0.522 -3.903 -2.444],24993424.0,13371.149875879288,0.5103027,1.0,500.0,-27034398.0,1.0,0.17073135,1.0,50.0,-246.30292,0.7841797,1.0,True,209.40884,50.0,4999.616,14200,10.0,1,62.44638,4999.3423,-246.30292,4999.342305752152,284,,-56755630000.0,0.100174434,-1.0,731384100.0,10.0,1560533400.0,0.4189424,50,,5560471,1065.4915,4998.832,
[ 0.161  0.478 -3.921 -2.414],24994638.0,13410.270402431488,0.28705078,1.0,500.0,-27035684.0,1.0,0.10431676,1.0,50.0,-250.82639,0.52783203,1.0,True,13.907782,50.0,4999.7046,14250,10.0,1,9.217076,4999.464,-250.82639,4999.463872597305,285,,-104747120000.0,0.010224722,-1.0,2622319900.0,10.0,230373360.0,0.4189424,50,,5585471,67.16097,4999.177,
[ 0.229  0.387 -3.924 -2.363],24992854.0,13449.683516979218,0.71265626,1.0,500.0,-27033804.0,1.0,0.23367882,1.0,50.0,-244.99435,1.012207,1.0,True,1210.0432,50.0,4999.585,14300,10.0,1,399.08292,4999.285,-244.99435,4999.285377271438,286,,-461084520000.0,0.015170304,-1.0,48856270000.0,10.0,9974561000.0,0.4189424,50,,5610471,6571.496,4998.5728,
[ 0.242  0.351 -3.908 -2.481],24990438.0,13490.43476819992,0.94992185,1.0,500.0,-27031338.0,1.0,0.3800984,1.0,50.0,-241.18953,1.4355469,1.0,True,104506.984,50.0,4999.5293,14350,10.0,1,18116.615,4999.044,-241.18953,4999.043672549881,287,,-7.9187876e+20,0.0287671,-1.0,1.5055393e+29,10.0,452686500000.0,0.4189424,50,,5635471,745848.5,4998.0938,
[ 0.358  0.364 -3.904 -2.527],13463078.0,13519.387916088104,3321.096,1.0,332.92,-15504001.0,1.0,1559.9364,1.0,50.0,-222.68384,4999.573,1.0,True,129.3357,50.0,4999.573,14400,10.0,1,55.621025,3321.096,-222.68384,3321.0957717503056,288,,-15231309000000.0,0.060319163,-1.0,55693374000000.0,10.0,535089150.0,0.4189424,50,,5652117,783.8959,,
[ 0.335  0.421 -3.909 -2.516],21844580.0,13558.280512332916,4167.266,1.0,451.98,-23885492.0,1.0,1200.4816,1.0,50.0,-234.8495,4649.7944,1.0,True,186323500.0,50.0,4999.543,14450,10.0,1,26640286.0,4517.015,-234.8495,4517.01503559766,289,,-2.612101e+21,0.5279127,-1.0,1.6381354e+30,10.0,665351100000000.0,0.4189424,50,,5674716,1330904600.0,349.74866,
[ 0.254  0.366 -3.924 -2.592],24988434.0,13604.531921625137,1.6392676,1.0,500.0,-27029388.0,1.0,0.58047307,1.0,50.0,-243.33047,2.3964844,1.0,True,18.425886,50.0,4999.6006,14500,10.0,1,10.993451,4998.8433,-243.33047,4998.843349908953,290,,-12075634000000.0,0.04053099,-1.0,35006613000000.0,10.0,274694400.0,0.4189424,50,,5699716,92.39399,4997.204,
