EpLenMean,InitialReturnMin,MinIW,Epsilon,EmpiricalD2Arithmetic,Weights,InitialReturnMax,DivergenceHarmonic,ReturnMeanIW,InitialReturnStd,EpThisIter,MinBehavPdf,TimestepsSoFar,InitialReturnMean,MeanIW,ESSRenyiHarmonic,EpRewMean,OptimizationReturnMean,TimeElapsed,StdIW,Penalization,MaxIW,EpisodesSoFar,StdWReturnMean,OptimizationReturnMax,OptimizationReturnMin,VarianceInitializer,ReturnStepMax,Inner Iteration,EmpiricalD2Harmonic,LearnableVariance,Bound,MinTargetPdf,InitialBound,WReturnMean,MeanD2-0,Iteration,MeanEntropy,ReturnStepMaxmin,ESSRenyiArithmetic
7.38,9.983243,0.33164597,1.0,1.0,[ 0. -0. -0.  0.],189.93498,7206861000000.0,29959.672,38.818035,50,-8.951916,369,63.759464,3.1549683,50.0,63.7594610790301,53.776215,5.081402540206909,5.1461797,True,27.450218,50,,179.95174,,-1.0,9.999996,1,1.0,,-7907497000.0,-8.951916,-8517.6455,5572.1084,1.0,1,0.4189424,9.999996,50.0
9.82,9.983,0.042542107,1.0,1.0,[-0.305  0.766 -0.464 -0.325],239.9177,24299325000000.0,448016.4,51.81718,50,-14.28417,860,88.15251,38.0982,50.0,88.1525162967642,78.16952,11.724090099334717,90.67235,True,488.70016,100,,229.9347,,-1.0,9.999989,1,1.0,,-23167780000.0,-14.28417,-15155.684,10455.887,1.0,2,0.4189424,9.999989,50.0
12.42,19.977158,0.05790214,1.0,1.0,[-0.324  0.625 -0.483 -0.529],509.84045,4356564400000000.0,5069090.5,80.175415,50,-15.082297,1481,114.13281,279.30048,50.0,114.13280271366584,94.15565,14.671526193618774,1038.96,True,5474.0645,150,,489.86328,,-1.0,9.999998,1,1.0,,-1400866000000.0,-15.082297,-40678.195,19454.393,1.0,3,0.4189424,9.999998,50.0
23.38,9.981648,0.1150154,1.0,1.0,[-0.351  0.462 -0.503 -0.716],859.7549,5479886000.0,3229552.0,156.95781,50,-28.06243,2650,223.68285,29.35675,50.0,223.68285353161207,213.70122,19.036593675613403,90.85727,True,555.31537,200,,849.77325,,-1.0,9.999999,1,1.0,,-4470985700.0,-28.06243,-135023.52,74669.766,1.0,4,0.4189424,9.999999,50.0
44.18,19.973244,0.012508251,1.0,1.0,[-0.403  0.426 -0.575 -0.947],769.81866,2.578752e+28,8123657000.0,221.352,50,-37.55251,4859,431.62634,28950.477,50.0,431.6263157599076,411.65305,24.579468965530396,137812.33,True,723582.7,250,,749.8454,,-1.0,9.999999,1,1.0,,-7.7702685e+18,-37.55251,-283685.38,235297.97,1.0,5,0.4189424,9.999999,50.0
51.98,29.94931,0.10823344,1.0,1.0,[-0.415  0.259 -0.609 -1.129],1209.5793,259974460000.0,5167151.0,242.4652,50,-54.373592,7458,509.5811,33.294865,50.0,509.5811051253817,479.6318,31.87383484840393,70.86593,True,333.86847,300,,1179.63,,-1.0,10.0,1,1.0,,-60915150000.0,-54.373592,-437922.75,318462.28,1.0,6,0.4189424,10.0,50.0
54.12,49.937885,0.06110333,1.0,1.0,[-0.391  0.376 -0.616 -1.092],1039.5117,9.838415e+16,868588350.0,222.12561,50,-47.608124,10164,530.9841,2843.3652,50.0,530.9840521223665,481.04617,39.418670654296875,9569.9375,True,61917.723,350,,989.57385,,-1.0,9.999999,1,1.0,,-27675108000000.0,-47.608124,-419513.47,331283.84,1.0,7,0.4189424,9.999999,50.0
57.58,9.981287,0.2976611,1.0,1.0,[-0.289  0.443 -0.632 -1.112],1809.3191,8.843909e+16,4010851600.0,384.7507,50,-75.39598,13043,565.57623,10426.504,50.0,565.5762332990581,555.595,46.26381301879883,51627.54,True,320942.12,400,,1799.3378,,-1.0,9.999998,1,1.0,,-79492974000000.0,-75.39598,-735201.6,467909.56,1.0,8,0.4189424,9.999998,50.0
44.84,19.96175,0.5893786,1.0,1.0,[-0.179  0.481 -0.661 -1.147],1159.3538,636846600000000.0,2323020.2,237.16116,50,-51.363937,15285,438.1872,10.996198,50.0,438.18720090633,418.22543,53.32992649078369,14.241119,True,82.394135,450,,1139.392,,-1.0,10.0,1,1.0,,-2769517500000.0,-51.363937,-357999.12,248253.44,1.0,9,0.4189424,10.0,50.0
62.3,9.979939,0.123658344,1.0,1.0,[-0.236  0.385 -0.67  -1.201],1359.5524,4531646000000000.0,834255170.0,274.05112,50,-52.239655,18400,612.7264,1148.9586,50.0,612.7264061266492,602.7465,62.37174081802368,5424.5107,True,35497.133,500,,1349.5724,,-1.0,9.999998,1,1.0,,-10160380000000.0,-52.239655,-601457.94,450537.62,1.0,10,0.4189424,9.999998,50.0
77.3,9.983965,0.0042305486,1.0,1.0,[-0.205  0.302 -0.707 -1.432],1919.4941,166722290.0,26724812.0,347.45062,50,-76.825516,22265,762.7664,40.93028,50.0,762.7664462818356,752.7825,71.65060234069824,111.82305,True,745.1194,550,,1909.5101,,-1.0,10.0,1,1.0,,-3911132400.0,-76.825516,-1003370.56,702534.6,1.0,11,0.4189424,10.0,50.0
72.12,9.986404,0.84129536,1.0,1.0,[-0.163  0.282 -0.749 -1.674],2089.7124,1.4324305e+24,77147740000.0,414.8757,50,-84.65834,25871,710.99646,328572.03,50.0,710.9964723953398,701.01,81.75421643257141,1465386.8,True,8580478.0,600,,2079.726,,-1.0,9.999998,1,1.0,,-4.267409e+17,-84.65834,-1034194.75,677637.8,1.0,12,0.4189424,9.999998,50.0
105.36,69.88314,0.1841225,1.0,1.0,[-0.074  0.365 -0.762 -1.655],2199.5576,98231100000.0,30746646.0,461.94543,50,-94.75769,31139,1043.1902,17.181585,50.0,1043.190293520657,973.3071,94.76618576049805,49.135464,True,331.27975,650,,2129.6746,,-1.0,10.0,1,1.0,,-123838980000.0,-94.75769,-1696667.1,1301639.5,1.0,13,0.4189424,10.0,50.0
118.26,59.90442,0.06638272,1.0,1.0,[-0.131  0.343 -0.772 -1.661],2059.4778,3.6158638e+20,20057752000.0,399.4609,50,-86.106064,37052,1172.23,15242.657,50.0,1172.2299456912317,1112.3254,112.7195611000061,52687.375,True,290666.9,700,,1999.5734,,-1.0,9.999999,1,1.0,,-6585305000000000.0,-86.106064,-1880006.8,1533691.9,1.0,14,0.4189424,9.999999,50.0
108.72,9.98162,0.02480371,1.0,1.0,[-0.08   0.455 -0.791 -1.666],2958.6797,755661060.0,48399616.0,651.74567,50,-131.13887,42488,1076.7219,10.580977,50.0,1076.721976582926,1066.7404,125.85518908500671,43.77756,True,311.37003,750,,2948.698,,-1.0,10.0,1,1.0,,-19696194000.0,-131.13887,-2298850.0,1584102.6,1.0,15,0.4189424,10.0,50.0
