Bound,ESSRenyi,VarJ,J,MaxVanillaIw,VarVanillaIw,ESSClassic,MinNormIw,VarDiscRet,BatchSize,VarRet,MinVanillaIw,MaxNormIw,AvgNormIw,VarNormIw,eRenyi2,VanillaAvgRet,AvgDiscRet,AvgRet,AvgVanillaIw,AvgEpLen
-868.9668,37.42911159866764,194.44603,-76.65463,3.7182503,1.5322869,38.52841698193028,6.13163e-18,4998421.550405946,100,4998421.550405946,5.9788403e-16,0.038132705,0.010000002,0.0001611603,2.6717172,-2002.217012695595,-2002.217012695595,-2002.217012695595,0.9750817,200.0
-282.35883,92.86877512661144,38.946968,-14.757575,1.2611048,0.07197121,93.5546007126437,0.00081418455,180608.7465362607,100,180608.7465362607,0.08279932,0.0124007305,0.009999999,6.9590656e-06,1.0767882,-70.50799038100196,-70.50799038100196,-70.50799038100196,1.0169601,200.0
-27.599003,92.13602236498048,8.631184,-8.459519,1.2790208,0.08614142,92.00380563307665,0.00091441825,511.46797203423586,100,511.46797203423586,0.09057937,0.01291199,0.01,8.778963e-06,1.0853518,-10.764110171842123,-10.764110171842123,-10.764110171842123,0.9905682,200.0
-11.011499,73.59580425531541,8.673667,-8.318944,1.7598932,0.38115063,75.27603885204086,1.0528469e-06,72.47727070205167,100,72.47727070205167,0.0001128497,0.016419167,0.01,3.3176173e-05,1.3587731,-9.168891787503382,-9.168891787503382,-9.168891787503382,1.0718529,200.0
-9.353249,60.5988856912475,7.607083,-6.250039,2.2124317,0.6411885,61.88939802796637,1.4134957e-07,62.57006334126947,100,62.57006334126947,1.4351266e-05,0.021790849,0.010000002,6.2200554e-05,1.6501954,-7.754121499586192,-7.754121499586192,-7.754121499586192,1.0153031,200.0
-9.590868,40.13582801752375,8.990208,-6.29755,5.162691,1.6817223,37.66758192837424,8.958075e-06,48.88682300619071,100,48.88682300619071,0.0008985377,0.051470045,0.010000002,0.00016715183,2.4915395,-8.297270988261397,-8.297270988261397,-8.297270988261397,1.0030477,200.0
-9.509249,92.53060359157737,6.8168206,-7.4158654,1.2691617,0.0685901,93.73100535809913,0.0022755926,49.426342127982835,100,49.426342127982835,0.22928996,0.012595819,0.01,6.7558553e-06,1.0807235,-7.635949117833643,-7.635949117833643,-7.635949117833643,1.0076056,200.0
-9.899053,85.53459683832472,8.054399,-7.831127,4.0338645,0.16826802,86.29503974471601,0.007865632,55.075312906130854,100,55.075312906130854,0.8055756,0.039386615,0.01,1.6041922e-05,1.1691176,-8.153829582645928,-8.153829582645928,-8.153829582645928,1.0241715,200.0
-11.055058,97.23346336651682,7.4432516,-9.052103,1.6753573,0.016518686,98.35158908621476,0.009114532,54.908510821270475,100,54.908510821270475,0.90032536,0.016960643,0.010000002,1.6929542e-06,1.0284525,-9.107018095418615,-9.107018095418615,-9.107018095418615,0.9877911,200.0
-8.944015,70.41333357955509,7.4154406,-6.605926,1.8572103,0.43354285,68.99026106185221,1.2336332e-05,45.108266516635986,100,45.108266516635986,0.0012054924,0.019005645,0.01,4.540202e-05,1.4201856,-7.277448895022026,-7.277448895022026,-7.277448895022026,0.9771887,200.0
-10.11862,99.07179479972189,6.8135715,-8.230651,1.1023201,0.008599697,99.16840058769597,0.0070223887,45.95437001249269,100,45.95437001249269,0.70757866,0.010940013,0.01,8.4703913e-07,1.009369,-8.250305564493392,-8.250305564493392,-8.250305564493392,1.0076039,200.0
-9.790371,68.4535490894616,7.486003,-7.4904985,1.920826,0.45520425,72.28857786752222,1.4555947e-06,48.955119576857705,100,48.955119576857705,0.00015782172,0.017715838,0.010000002,3.8721635e-05,1.4608446,-8.420767234950153,-8.420767234950153,-8.420767234950153,1.0842422,200.0
-8.893674,85.45345009087684,7.7790217,-6.767338,2.867868,0.18290739,85.67419284707499,0.006881505,54.90903766086589,100,54.90903766086589,0.7161139,0.02755881,0.01,1.6890162e-05,1.1702278,-7.090621766823907,-7.090621766823907,-7.090621766823907,1.0406357,200.0
-10.261373,94.58094309578152,7.376384,-8.364513,1.2295094,0.06796493,93.72654245556701,0.0016051553,51.808405269709255,100,51.808405269709255,0.16093664,0.012262923,0.01,6.7609717e-06,1.0572954,-8.433662238065692,-8.433662238065692,-8.433662238065692,1.0026234,200.0
-9.339872,27.729228700038366,9.876576,-5.609625,5.0497656,2.4810228,25.909507302744384,,57.88584761395255,100,57.88584761395255,,0.05448663,0.01,0.00028884722,3.606303,-8.880876270672218,-8.880876270672218,-8.880876270672218,0.9267899,200.0
