IterType,J,AvgVanillaIw,AvgEpLen,ESSRenyi,AvgNormIw,VarJ,AvgDiscRet,VarRet,MaxVanillaIw,BatchSize,Bound,ESSClassic,VarVanillaIw,VarDiscRet,Delta,MinNormIw,AvgRet,eRenyi2,VarNormIw,MinVanillaIw,EpsThisIter,VanillaAvgRet,MaxNormIw
1,363.874,1.71292,14.13,13.5326312491,0.01,411.775,129.039102473,6442.25079311,130.557,100,190.695,1.71539055052,169.81,6442.25079311,0.3,4.00916e-07,129.039102473,7.38955,0.00578745,6.86738e-05,100,129.039102473,0.762187
1,678.712,1.28687,24.95,13.4935194622,0.01,1006.07,230.087768786,13377.891349,99.1293,100,344.271,1.6740644442,98.2487,13377.891349,0.3,1.34388e-11,230.087768786,7.41096,0.00593281,1.72939e-09,100,230.087768786,0.770316
,388.632,1.20149e+07,24.95,nan,0.01,972.054,287.26712654,13377.891349,5.78239e+08,200,-inf,2.25321004905,6.32566e+15,21175.572676,0.3,8.3961e-12,230.087768786,nan,0.00438193,0.0100878,100,230.087768786,0.481268
1,602.623,2.33623,26.72,16.9580484892,0.005,1711.83,246.715147943,11374.4554413,273.803,200,304.296,2.84277893278,380.432,11374.4554413,0.3,4.42146e-11,246.715147943,11.7938,0.00174256,2.06591e-08,100,246.715147943,0.585993
2,314.538,1.0,33.99,200.0,0.01,128.944,314.538346781,16794.5413956,1.0,200,202.156,100.0,,16794.5413956,0.3,0.01,314.538346781,1.0,3.50449e-18,1.0,100,314.538346781,0.01
1,543.057,1.94152,33.38,39.6155473614,0.005,1300.48,308.791892647,15414.6417701,205.637,200,364.505,3.52785927471,210.983,15414.6417701,0.3,9.92251e-06,308.791892647,5.04852,0.00139929,0.00385294,100,308.791892647,0.529578
2,364.618,1.0,39.38,200.0,0.01,167.644,364.61789121,28388.2510336,1.0,200,222.305,100.0,,28388.2510336,0.3,0.01,364.61789121,1.0,3.50449e-18,1.0,100,364.61789121,0.01
1,888.182,1.73223,41.23,20.8382406963,0.005,2078.15,381.508645961,38872.5882567,202.008,200,476.937,2.87744150159,206.595,38872.5882567,0.3,2.91802e-09,381.508645961,9.59774,0.00172126,1.01094e-06,100,381.508645961,0.583085
2,463.988,1.0,50.08,200.0,0.01,194.609,463.987837932,38255.1050418,1.0,200,266.542,100.0,,38255.1050418,0.3,0.01,463.987837932,1.0,3.50449e-18,1.0,100,463.987837932,0.01
,417.996,10886.9,41.23,50.0230219619,0.005,851.486,458.701719024,38872.5882567,989179.0,300,76.0875,3.04631498506,7.7015e+09,46103.8142591,0.3,2.27351e-09,381.508645961,5.99724,0.00162445,0.0049503,100,381.508645961,0.454297
