IterType,AvgEpLen,MaxNormIw,Bound,AvgVanillaIw,VarVanillaIw,VarNormIw,BatchSize,eRenyi2,J,VarRet,AvgRet,VarJ,MinNormIw,MaxVanillaIw,MinVanillaIw,ESSClassic,AvgNormIw,VanillaAvgRet,ESSRenyi,AvgDiscRet,VarDiscRet,EpsThisIter
1,20.04,0.9906034,1.560072,91.16145,815340.5,0.009811075,100,1.4140545,5.209343,31.11295861909151,-4.753701212301905,0.8362877,2.3177421e-05,9030.484,0.21128874,1.0190599848410902,0.01,-4.753701212301905,70.71863148290386,-4.753701212301905,31.11295861909151,100
,20.04,0.031239906,-20.356113,1.5150046,0.66946155,2.9167402e-05,200,1.3615401,-6.379547,31.11295861909151,-4.753701212301905,11.371474,7.309287e-07,4.73286,0.00011073604,77.59410919544878,0.010000002,-4.753701212301905,146.89248085134028,-6.404347206150723,226.11738626054225,100
1,24.57,0.97107327,2.3387432,31.658794,188970.23,0.004713513,200,1.5223426,8.076973,111.01177288230208,-5.734230518299073,5.0586333,2.021224e-05,6148.6016,0.12797903,1.060457823417846,0.005,-5.734230518299073,131.3764752451678,-5.734230518299073,111.01177288230208,100
2,21.31,0.01,-20.054241,1.0,,3.5044917e-18,200,1.0,-5.368138,363.5542040471197,-5.3681383065565695,18.971521,0.01,1.0,1.0,100.0,0.009999998,-5.3681383065565695,200.0,-5.3681383065565695,363.5542040471197,100
,24.57,0.025157457,-18.744968,1.552975,1.2433941,1.288902e-05,300,1.4834157,-5.433653,111.01177288230208,-5.734230518299073,16.883585,5.236356e-07,7.8137803,0.00016263861,132.18920380940673,0.005,-5.734230518299073,202.23595811984336,-8.065152414548601,564.784654116307,100
1,19.94,0.9820304,3.2837424,50.805504,746688.94,0.0032142212,300,1.69127,8.2221,19.837134958476323,-3.961657983442429,3.7840695,5.849169e-06,14967.765,0.089150995,1.036929950557891,0.0033333336,-3.961657983442429,177.3814950321063,-3.961657983442429,19.837134958476323,100
2,21.01,0.01,-6.5097685,1.0,,3.5044917e-18,300,1.0,-4.517485,24.827524389950383,-4.517485472898196,4.9577465,0.01,1.0,1.0,100.0,0.009999998,-4.517485472898196,300.0,-4.517485472898196,24.827524389950383,100
2,24.37,0.005,-12.507338,1.0,,2.179301e-19,300,1.0,-5.3013706,208.01755342951958,-6.08525591746804,10.764422,0.005,1.0,1.0,200.00000010221265,0.0049999994,-6.08525591746804,300.0,-6.08525591746804,208.01755342951958,100
,19.94,0.021572087,-13.382101,1.7332467,2.0317366,7.514571e-06,400,1.645155,-5.835523,19.837134958476323,-3.961657983442429,12.31355,1.2848766e-07,11.216925,6.6810244e-05,179.20535409125046,0.0033333334,-3.961657983442429,243.1381914936785,-6.641318672778456,127.52679553803657,100
1,22.75,0.98606944,8.949868,67.055504,1748691.9,0.0024306609,400,1.6700193,13.199658,37.01290411623038,-4.054872884426836,4.8925705,6.148196e-06,26448.553,0.16490816,1.0284534071544256,0.0025000004,-4.054872884426836,239.51819444695272,-4.054872884426836,37.01290411623038,100
2,22.02,0.01,-13.046097,1.0,,3.5044917e-18,400,1.0,-5.6413784,97.05490721246693,-5.641378424938644,9.802263,0.01,1.0,1.0,100.0,0.009999998,-5.641378424938644,400.0,-5.641378424938644,97.05490721246693,100
2,21.92,0.005,-10.604704,1.0,,2.179301e-19,400,1.0,-5.368777,60.16007379938549,-5.096174937074495,8.825855,0.005,1.0,1.0,200.00000010221265,0.0049999994,-5.096174937074495,400.0,-5.096174937074495,60.16007379938549,100
2,24.01,0.0033333334,-13.782232,1.0,,5.4391416e-20,400,1.0,-6.124177,465.10156671998493,-7.634975409758977,14.37203,0.0033333334,1.0,1.0,299.999969473632,0.0033333336,-7.634975409758977,400.0,-7.634975409758977,465.10156671998493,100
,22.75,0.00919761,-13.063842,1.6482491,1.1755521,2.7044323e-06,500,1.5888274,-4.7042036,37.01290411623038,-4.054872884426836,8.241894,5.7347595e-08,6.0639815,3.780925e-05,279.402284636853,0.0025,-4.054872884426836,314.6974988839328,-3.0230748168884194,60.47754346923884,100
1,23.41,0.99094224,6.015576,101.07453,5015732.0,0.0019638613,500,1.8241779,13.28652,298.79037966437613,-6.287415128881636,3.5668492,1.968908e-06,50079.51,0.09950323,1.018364475690898,0.002,-6.287415128881636,274.09607946197417,-6.287415128881636,298.79037966437613,100
2,21.76,0.01,-8.748803,1.0,,3.5044917e-18,500,1.0,-5.3041286,46.06335792736915,-5.304129199010427,6.752979,0.01,1.0,1.0,100.0,0.009999998,-5.304129199010427,500.0,-5.304129199010427,46.06335792736915,100
2,23.12,0.005,-8.360575,1.0,,2.179301e-19,500,1.0,-5.6507664,64.87728895640673,-5.997403176215332,7.41861,0.005,1.0,1.0,200.00000010221265,0.0049999994,-5.997403176215332,500.0,-5.997403176215332,64.87728895640673,100
2,25.39,0.0033333334,-13.618406,1.0,,5.4391416e-20,500,1.0,-5.496566,341.7923008841435,-5.188164563916753,12.228228,0.0033333334,1.0,1.0,299.999969473632,0.0033333336,-5.188164563916753,500.0,-5.188164563916753,341.7923008841435,100
2,23.91,0.0025,-12.969601,1.0,,5.434597e-20,500,1.0,-5.9358797,205.2151414526651,-7.253820720556262,12.787372,0.0025,1.0,1.0,400.0,0.0024999997,-7.253820720556262,500.0,-7.253820720556262,205.2151414526651,100
