EpsThisIter,eRenyi2,ESSRenyi,Bound,BatchSize,VarJ,MinNormIw,MaxVanillaIw,AvgEpLen,J,MinVanillaIw,ESSClassic,AvgDiscRet,MaxNormIw,IterType,AvgVanillaIw,VanillaAvgRet,AvgRet,VarVanillaIw,VarRet,VarNormIw,VarDiscRet,AvgNormIw
100,1.4772216,67.69465017806486,335.70618,100,71.543304,2.4292327e-05,7655.9053,500.0,449.33047,0.18821597,1.0241907693898105,-205.24429801725398,0.9881188,1,77.4796,-205.24429801725398,-205.24429801725398,585986.75,85591.27371661308,0.009761421,85591.27371661308,0.010000002
100,1.4417508,138.72023159373992,-250.31006,200,323.15747,8.9158067e-07,5.3130455,500.0,-154.92189,0.00013061814,70.21075140086937,-179.8890020147281,0.03626609,,1.4650176,-205.24429801725398,-205.24429801725398,0.91982746,85591.27371661308,4.28569e-05,87647.64357658463,0.01
100,1.8078673,110.62758934923963,448.73416,200,83.91523,2.793722e-06,22137.404,500.0,565.5919,0.06237811,1.0172891865759586,-229.44610622741627,0.9914656,1,111.63979,-229.44610622741627,-229.44610622741627,2450112.2,130275.07156619361,0.0049145967,130275.07156619361,0.005
100,1.0,200.0,-266.13843,200,317.86325,0.01,1.0,500.0,-166.87679,1.0,100.0,-166.87680027159152,0.01,2,1.0,-166.87680027159152,-166.87680027159152,,102057.61649791336,3.5044917e-18,102057.61649791336,0.009999998
100,1.7759906,168.91981246722315,-275.2027,300,510.32217,1.09907596e-07,16.031265,500.0,-181.665,4.517241e-05,91.32523401119468,-181.93065149602205,0.039005175,,2.0550177,-229.44610622741627,-229.44610622741627,5.0506344,130275.07156619361,2.9898873e-05,79173.53087539559,0.005
100,1.8263433,164.2626555124455,468.4491,300,123.8792,2.0801065e-06,29255.951,500.0,564.34937,0.061461266,1.020007153093161,-164.7629908032198,0.99014384,1,98.49058,-164.7629908032198,-164.7629908032198,2852846.2,86610.39338155354,0.003267733,86610.39338155354,0.0033333332
100,1.0,300.0,-296.87335,300,291.885,0.01,1.0,500.0,-194.96317,1.0,100.0,-194.96318101218702,0.01,2,1.0,-194.96318101218702,-194.96318101218702,,86057.44103226991,3.5044917e-18,86057.44103226991,0.009999998
100,1.0,300.0,-265.1256,300,303.25446,0.005,1.0,500.0,-193.06424,1.0,200.00000010221265,-191.16530028366012,0.005,2,1.0,-191.16530028366012,-191.16530028366012,,99719.64273635957,2.179301e-19,99719.64273635957,0.0049999994
100,1.7841847,224.19203644112653,-261.09033,400,411.07922,6.1600716e-08,16.27041,500.0,-182.49863,3.418108e-05,160.3125277696374,-180.46301618674926,0.02932233,,1.8496041,-164.7629908032198,-164.7629908032198,2.9908705,86610.39338155354,9.713987e-06,87766.87355900524,0.0033333334
100,2.0700173,193.23509648730598,475.0666,400,159.79175,1.3826376e-06,34420.95,500.0,563.4857,0.048155084,1.0238152917528407,-202.58904235049977,0.98830056,1,87.07105,-202.58904235049977,-202.58904235049977,2961829.8,113302.03495668081,0.0024417008,113302.03495668081,0.0025000006
100,1.0,400.0,-268.44965,400,311.61438,0.01,1.0,500.0,-164.75343,1.0,100.0,-164.75343290738317,0.01,2,1.0,-164.75343290738317,-164.75343290738317,,98084.37256486136,3.5044917e-18,98084.37256486136,0.009999998
100,1.0,400.0,-263.1828,400,298.50272,0.005,1.0,500.0,-189.85849,1.0,200.00000010221265,-214.9635344047309,0.005,2,1.0,-214.9635344047309,-214.9635344047309,,80650.18830620276,2.179301e-19,80650.18830620276,0.0049999994
100,1.0,400.0,-235.5171,400,294.98627,0.0033333334,1.0,500.0,-175.64807,1.0,299.999969473632,-147.227184291376,0.0033333334,2,1.0,-147.227184291376,-147.227184291376,,82455.91356226377,5.4391416e-20,82455.91356226377,0.0033333336
100,2.113508,236.57350873323898,-266.27194,500,407.731,3.5521538e-08,20.76624,500.0,-187.27051,2.9052075e-05,189.10649860358657,-208.68700486952108,0.02539057,,2.0446804,-202.58904235049977,-202.58904235049977,4.6740637,113302.03495668081,6.987532e-06,99414.01097443454,0.0025
100,2.02389,247.04899744487153,332.3402,500,159.25093,1.3767489e-06,34689.23,500.0,410.53857,0.04840239,1.027151659357999,-195.18906005812244,0.98669416,1,70.31405,-195.18906005812244,-195.18906005812244,2406556.8,92854.02727145507,0.0019470265,92854.02727145507,0.0019999996
100,1.0,500.0,-283.39368,500,269.90875,0.01,1.0,500.0,-192.50172,1.0,100.0,-192.5017313762106,0.01,2,1.0,-192.5017313762106,-192.5017313762106,,73586.5948988484,3.5044917e-18,73586.5948988484,0.009999998
100,1.0,500.0,-219.50223,500,299.04407,0.005,1.0,500.0,-155.23192,1.0,200.00000010221265,-117.96212010615758,0.005,2,1.0,-117.96212010615758,-117.96212010615758,,104268.58755996844,2.179301e-19,104268.58755996844,0.0049999994
100,1.0,500.0,-220.29427,500,310.1658,0.0033333334,1.0,500.0,-167.81778,1.0,299.999969473632,-192.98946502700693,0.0033333334,2,1.0,-192.98946502700693,-192.98946502700693,,109902.40082191446,5.4391416e-20,109902.40082191446,0.0033333336
100,1.0,500.0,-229.98328,500,308.77222,0.0025,1.0,500.0,-178.53464,1.0,400.0,-210.68522885021372,0.0025,2,1.0,-210.68522885021372,-210.68522885021372,,92297.36532461121,5.434597e-20,92297.36532461121,0.0024999997
100,2.6639767,187.68933142692262,528.3962,500,87.72913,6.9615607e-09,83488.34,500.0,603.5038,0.00058436324,1.010882759055398,-159.12672172029576,0.99460256,1,167.88283,-159.12672172029576,-159.12672172029576,13940306.0,96223.71575146515,0.001978426,96223.71575146515,0.0020000003
100,1.0,500.0,-224.48398,500,312.1638,0.01,1.0,500.0,-152.49654,1.0,100.0,-152.49653065362824,0.01,2,1.0,-152.49653065362824,-152.49653065362824,,98430.54355925265,3.5044917e-18,98430.54355925265,0.009999998
100,1.0,500.0,-215.8378,500,310.8154,0.005,1.0,500.0,-163.40842,1.0,200.00000010221265,-174.32030744618808,0.005,2,1.0,-174.32030744618808,-174.32030744618808,,96492.98772605218,2.179301e-19,96492.98772605218,0.0049999994
100,1.0,500.0,-215.04956,500,308.4126,0.0033333334,1.0,500.0,-171.71768,1.0,299.999969473632,-188.33616300564697,0.0033333334,2,1.0,-188.33616300564697,-188.33616300564697,,92654.86312542231,5.4391416e-20,92654.86312542231,0.0033333336
100,1.0,500.0,-203.9194,500,302.94885,0.0025,1.0,500.0,-166.3929,1.0,400.0,-150.4186269391032,0.0025,2,1.0,-150.4186269391032,-150.4186269391032,,82239.22114257656,5.434597e-20,82239.22114257656,0.0024999997
100,2.0328243,245.9632175005216,624.2652,500,162.38383,6.2950755e-07,53022.285,500.0,690.0569,0.03369283,1.0189573928238527,-175.6597412235007,0.99065375,1,107.04504,-175.6597412235007,-175.6597412235007,5622514.0,111658.896082783,0.001962716,111658.896082783,0.0019999996
