IterType,VarRet,AvgEpLen,MaxNormIw,MinNormIw,AvgDiscRet,ESSClassic,Bound,BatchSize,VanillaAvgRet,MinVanillaIw,VarNormIw,VarJ,VarVanillaIw,AvgNormIw,Delta,ESSRenyi,AvgVanillaIw,J,AvgRet,EpsThisIter,eRenyi2,VarDiscRet,MaxVanillaIw
1,27085.56038992746,11.89,1.0,,108.8423725164873,inf,799.62506,100,108.8423725164873,,0.010000003,,,0.01,1.0,4.697950768126646e-10,8.112258e-39,799.62506,108.8423725164873,100,212858770000.0,27085.56038992746,8.112259e-37
1,886548.7369764867,110.0,0.25768885,5.8131977e-06,1090.008302668266,7.7280843595628985,2550.8694,100,1090.008302668266,0.0005662738,0.001206042,7826.4395,11.444194,0.010000002,1.0,,0.9741176,2550.8694,1090.008302668266,100,inf,886548.7369764867,25.101925
,886548.7369764867,110.0,0.34956145,7.885751e-06,2344.7120608837945,7.145415037396634,1748.3048,200,1090.008302668266,0.039837584,0.0013126254,5801.0557,33499.676,0.01,1.0,2.0201227791144962,50.518444,1748.3048,1090.008302668266,100,99.00388,3352523.782316019,1765.93
1,1371749.432222293,125.24,0.99999946,,1242.6571447471108,1.0000010621583004,4998.322,200,1242.6571447471108,,0.0049999943,0.0069076493,2.930453e-29,0.005,1.0,3.6731829544475725e-05,3.82783e-16,4998.322,1242.6571447471108,100,5444869.0,1371749.432222293,7.655656e-14
2,3306201.512017686,369.64,0.01,0.01,3690.629220040175,100.0,3690.629,200,3690.629220040175,1.0,3.5044917e-18,1809.182,,0.009999998,1.0,200.0,1.0,3690.629,3690.629220040175,100,1.0,3306201.512017686,1.0
,1371749.432222293,125.24,nan,nan,3378.012303222717,nan,nan,300,1242.6571447471108,13062237000000.0,nan,nan,nan,nan,1.0,nan,inf,nan,1242.6571447471108,100,nan,3593695.035261974,inf
1,910201.7198534128,106.7,0.9999982,,1057.0235593706777,1.0000035190708714,4996.741,300,1057.0235593706777,,0.0033333213,0.0084574,0.17846423,0.0033333334,1.0,0.0035067778984957656,0.02439022,4996.741,1057.0235593706777,100,85548.62,910201.7198534128,7.3170533
2,249865.92694717637,495.01,0.01,0.01,4948.670681469866,100.0,4948.6704,300,4948.670681469866,1.0,3.5044917e-18,497.3603,,0.009999998,1.0,300.0,1.0,4948.6704,4948.670681469866,100,1.0,249865.92694717637,1.0
2,0.24085871257704386,500.0,0.005,0.005,4998.687036563782,200.00000010221265,4973.6787,300,4998.687036563782,1.0,2.179301e-19,352.5751,,0.0049999994,1.0,300.0,1.0,4973.6787,4998.687036563782,100,1.0,0.24085871257704386,1.0
,910201.7198534128,106.7,nan,nan,4948.89093612071,nan,nan,400,1057.0235593706777,0.13666704,nan,nan,nan,nan,1.0,369489894313.5829,inf,nan,1057.0235593706777,100,1.0825736e-09,248881.36251296272,inf
1,693028.0852141103,101.58,1.0,,1005.6431849847859,inf,4997.02,400,1005.6431849847859,,0.0025000002,,,0.0025,1.0,8.084945640731501e-34,1.68316e-40,4997.02,1005.6431849847859,100,4.9474668e+35,693028.0852141103,6.7326113e-38
2,3208272.700007223,254.91,0.01,0.01,2540.638994313716,100.0,2540.639,400,2540.638994313716,1.0,3.5044917e-18,1782.1868,,0.009999998,1.0,400.0,1.0,2540.639,2540.638994313716,100,1.0,3208272.700007223,1.0
2,3831707.8734323233,269.04,0.005,0.005,2682.9072191346995,200.00000010221265,2611.773,400,2682.9072191346995,1.0,2.179301e-19,1868.1143,,0.0049999994,1.0,400.0,1.0,2611.773,2682.9072191346995,100,1.0,3831707.8734323233,1.0
2,3874405.8807929405,254.27,0.0033333334,0.0033333334,2534.938123473118,299.999969473632,2586.1616,400,2534.938123473118,1.0,5.4391416e-20,1899.061,,0.0033333336,1.0,400.0,1.0,2586.1616,2534.938123473118,100,1.0,3874405.8807929405,1.0
