J,VarJ,VarNormIw,VarRet,AvgEpLen,MinVanillaIw,BatchSize,VarDiscRet,MinNormIw,ESSRenyi,AvgRet,IterType,MaxVanillaIw,VanillaAvgRet,AvgDiscRet,MaxNormIw,Bound,Delta,AvgVanillaIw,AvgNormIw,EpsThisIter,VarVanillaIw,eRenyi2,ESSClassic
-14.698919,14.516784,3.5044917e-18,212.8656786444368,200.0,1.0,500,212.8656786444368,0.01,500.0,-14.698918465838037,2,1.0,-14.698918465838037,-14.698918465838037,0.01,-14.698919,1.0,1.0,0.009999998,100,,1.0,100.0
-16.226706,13.374931,2.179301e-19,143.81042116754546,200.0,1.0,500,143.81042116754546,0.005,500.0,-17.754491365812445,2,1.0,-17.754491365812445,-17.754491365812445,0.005,-16.226706,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-15.069743,13.274844,5.4391416e-20,164.50051085786438,200.0,1.0,500,164.50051085786438,0.0033333334,500.0,-12.75581859536282,2,1.0,-12.75581859536282,-12.75581859536282,0.0033333334,-15.069743,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-15.221006,13.606085,5.434597e-20,213.7001026643501,200.0,1.0,500,213.7001026643501,0.0025,500.0,-15.674796458187666,2,1.0,-15.674796458187666,-15.674796458187666,0.0025,-15.221006,1.0,1.0,0.0024999997,100,,1.0,400.0
-0.9302267,,0.0019999999,165.16704111027943,200.0,,500,165.16704111027943,,0.10805840261188979,-13.790974494470213,1,6543.748,-13.790974494470213,-13.790974494470213,1.0,-0.9302267,1.0,13.087496,0.002,100,85641.29,4627.1274,1.0
-16.10017,13.398079,3.5044917e-18,181.32174379496482,200.0,1.0,500,181.32174379496482,0.01,500.0,-16.10016920289287,2,1.0,-16.10016920289287,-16.10016920289287,0.01,-16.10017,1.0,1.0,0.009999998,100,,1.0,100.0
-14.515169,12.980266,2.179301e-19,153.98149804929747,200.0,1.0,500,153.98149804929747,0.005,500.0,-12.930172091407888,2,1.0,-12.930172091407888,-12.930172091407888,0.005,-14.515169,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-15.266075,13.2245865,5.4391416e-20,186.17306398075834,200.0,1.0,500,186.17306398075834,0.0033333334,500.0,-16.76788067508251,2,1.0,-16.76788067508251,-16.76788067508251,0.0033333334,-15.266075,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-15.303188,13.574082,5.434597e-20,214.48204839457293,200.0,1.0,500,214.48204839457293,0.0025,500.0,-15.414536915159534,2,1.0,-15.414536915159534,-15.414536915159534,0.0025,-15.303188,1.0,1.0,0.0024999997,100,,1.0,400.0
-15.281308,13.65346,5.431875e-20,197.0224860381908,200.0,1.0,500,197.0224860381908,0.002,500.0,-15.19378000706811,1,1.0,-15.19378000706811,-15.19378000706811,0.002,-15.281308,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-13.241193,13.158347,3.5044917e-18,174.89100985271162,200.0,1.0,500,174.89100985271162,0.01,500.0,-13.241192990048678,2,1.0,-13.241192990048678,-13.241192990048678,0.01,-13.241193,1.0,1.0,0.009999998,100,,1.0,100.0
-13.390736,12.744862,2.179301e-19,153.2082629273983,200.0,1.0,500,153.2082629273983,0.005,500.0,-13.540279203126724,2,1.0,-13.540279203126724,-13.540279203126724,0.005,-13.390736,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
-13.482928,12.739703,5.4391416e-20,163.62235790073416,200.0,1.0,500,163.62235790073416,0.0033333334,500.0,-13.667314276779988,2,1.0,-13.667314276779988,-13.667314276779988,0.0033333334,-13.482928,1.0,1.0,0.0033333336,100,,1.0,299.999969473632
-14.038681,12.8275795,5.434597e-20,169.27347761766103,200.0,1.0,500,169.27347761766103,0.0025,500.0,-15.705938943911704,2,1.0,-15.705938943911704,-15.705938943911704,0.0025,-14.038681,1.0,1.0,0.0024999997,100,,1.0,400.0
-14.180898,12.850747,5.431875e-20,168.80469179154292,200.0,1.0,500,168.80469179154292,0.002,500.0,-14.74976239121998,1,1.0,-14.74976239121998,-14.74976239121998,0.002,-14.180898,1.0,1.0,0.0020000003,100,,1.0,500.00000664260017
-14.985426,12.950269,3.5044917e-18,169.40350136805063,200.0,1.0,500,169.40350136805063,0.01,500.0,-14.985425528190394,2,1.0,-14.985425528190394,-14.985425528190394,0.01,-14.985426,1.0,1.0,0.009999998,100,,1.0,100.0
-15.00388,13.0947275,2.179301e-19,177.00368115679984,200.0,1.0,500,177.00368115679984,0.005,500.0,-15.022333462289934,2,1.0,-15.022333462289934,-15.022333462289934,0.005,-15.00388,1.0,1.0,0.0049999994,100,,1.0,200.00000010221265
