Bound,VarRet,AvgEpLen,MaxNormIw,Delta,VarJ,MinVanillaIw,J,BatchSize,VarVanillaIw,AvgNormIw,VarDiscRet,VarNormIw,AvgRet,AvgVanillaIw,MaxVanillaIw,EpsThisIter,MinNormIw,eRenyi2,ESSRenyi,IterType,VanillaAvgRet,AvgDiscRet,ESSClassic
-1405.58,133464.220469,500.0,0.0338089,0.6,113.358,9.76117e-06,-1165.81,100,1.4553,0.01,133464.220469,0.000107976,-1425.44948405,1.16095,3.92504,100,8.40792e-08,2.15655,46.3702949143,1,-1425.44948405,-1425.44948405,48.3334125498
-1307.02,19620.0050089,500.0,0.0152009,0.6,79.6302,0.211341,-1140.2,100,0.0838532,0.01,19620.0050089,9.85849e-06,-1157.55012453,0.922263,1.40192,100,0.00229155,1.0855,92.1237487651,1,-1157.55012453,-1157.55012453,91.1079487463
-1297.71,15712.3940704,500.0,0.0292805,0.6,118.013,0.117063,-1125.54,100,0.178734,0.01,15712.3940704,1.7518e-05,-1145.30782794,1.0101,2.95761,100,0.00115893,1.12976,88.5145594209,1,-1145.30782794,-1145.30782794,85.2204391413
-1294.41,32482.4953822,500.0,0.0534958,0.6,248.866,0.0103632,-1107.31,100,0.754281,0.01,32482.4953822,6.48677e-05,-1162.30123173,1.07833,5.76862,100,9.61036e-05,1.36453,73.2854112234,1,-1162.30123173,-1162.30123173,60.894303016
-1212.21,2925.58926075,500.0,0.0733699,0.6,200.559,0.0524638,-1088.81,100,1.1293,0.01,2925.58926075,8.94876e-05,-1122.44446142,1.12337,8.24217,100,0.00046702,1.47389,67.8475556188,1,-1122.44446142,-1122.44446142,53.0243069519
-1029.73,17587.4116915,500.0,0.357002,0.6,740.541,0.000663794,-757.307,100,42.2438,0.01,17587.4116915,0.00166921,-1088.12282125,1.59084,56.7932,100,4.17261e-06,6.68093,14.9679831851,1,-1088.12282125,-1088.12282125,5.70606978332
-inf,17587.4116915,500.0,0.170923,0.6,342.664,0.0176077,-1074.89,200,83288.4,0.01,25558.6083077,0.00107214,-1088.12282125,88.1388,1506.49,100,1.99773e-06,7.52406e-08,2658138619.2,,-1088.12282125,-1075.95793987,8.61018881561
-1151.89,28101.7947659,500.0,0.0964781,0.6,728.645,0.00601575,-925.79,200,7.0114,0.005,28101.7947659,0.00012959,-1108.8480217,1.16302,22.4412,100,2.58626e-05,3.99362,50.079935228,1,-1108.8480217,-1108.8480217,32.4797898776
-1225.83,57173.9319453,500.0,0.01,0.6,237.912,1.0,-1065.75,200,,0.01,57173.9319453,3.50449e-18,-1065.75283324,1.0,1.0,100,0.01,1.0,200.0,2,-1065.75283324,-1065.75283324,100.0
-1067.6,59560.762269,500.0,0.0999997,0.6,404.762,8.75985e-13,-811.264,200,4.93202,0.005,59560.762269,0.000157557,-1077.97901134,0.884636,17.6927,100,4.9511e-15,5.12854,38.9974350399,1,-1077.97901134,-1077.97901134,27.5074808528
-1030.18,118944.973656,500.0,0.01,0.6,343.155,1.0,-869.928,200,,0.01,118944.973656,3.50449e-18,-869.928055204,1.0,1.0,100,0.01,1.0,200.0,2,-869.928055204,-869.928055204,100.0
-924.783,118137.248843,500.0,0.0245547,0.6,382.821,0.00160712,-764.159,200,1.23608,0.005,118137.248843,2.53968e-05,-886.939583414,1.10307,5.41714,100,7.28475e-06,2.00655,99.673387756,1,-886.939583414,-886.939583414,99.4633548675
-936.952,94523.2981124,500.0,0.01,0.6,305.905,1.0,-776.785,200,,0.01,94523.2981124,3.50449e-18,-776.785334615,1.0,1.0,100,0.01,1.0,200.0,2,-776.785334615,-776.785334615,100.0
-825.805,94191.5139959,500.0,0.0325706,0.6,175.274,0.00366218,-671.596,200,0.937892,0.005,94191.5139959,2.68922e-05,-760.676053885,0.933756,6.0826,100,1.96099e-05,1.85228,107.975257335,1,-760.676053885,-760.676053885,96.6038734398
-860.455,44199.8907967,500.0,0.01,0.6,209.184,1.0,-700.346,200,,0.01,44199.8907967,3.50449e-18,-700.346527042,1.0,1.0,100,0.01,1.0,200.0,2,-700.346527042,-700.346527042,100.0
-793.214,78740.4534261,500.0,0.0129149,0.6,198.351,0.0231678,-663.982,200,0.338147,0.005,78740.4534261,8.58019e-06,-721.33466359,0.9926,2.56387,100,0.000116703,1.30299,153.493321018,1,-721.33466359,-721.33466359,149.087803422
-712.79,6491.37170967,500.0,0.01,0.6,80.1652,1.0,-638.238,200,,0.01,6491.37170967,3.50449e-18,-638.238216742,1.0,1.0,100,0.01,1.0,200.0,2,-638.238216742,-638.238216742,100.0
-754.417,59137.127742,500.0,0.0122582,0.6,77.53,0.0214727,-627.299,200,0.256686,0.005,59137.127742,6.31824e-06,-690.762741846,1.0078,2.47076,100,0.000106533,1.26189,158.492338486,1,-690.762741846,-690.762741846,159.812561687
-722.844,7004.29056116,500.0,0.01,0.6,83.2721,1.0,-627.225,200,,0.01,7004.29056116,3.50449e-18,-627.225224616,1.0,1.0,100,0.01,1.0,200.0,2,-627.225224616,-627.225224616,100.0
-683.031,4062.11144345,500.0,0.0105315,0.6,63.6631,0.181725,-609.422,200,0.183855,0.005,4062.11144345,4.09651e-06,-618.546807324,1.05925,2.23111,100,0.000857796,1.18525,168.740918487,1,-618.546807324,-618.546807324,171.962947538
-669.398,3912.94904061,500.0,0.01,0.6,62.24,1.0,-604.063,200,,0.01,3912.94904061,3.50449e-18,-604.063109152,1.0,1.0,100,0.01,1.0,200.0,2,-604.063109152,-604.063109152,100.0
-722.482,40219.3412654,500.0,0.0241714,0.6,83.8462,0.117747,-600.173,200,0.216376,0.005,40219.3412654,5.2958e-06,-639.442639964,1.01067,4.88585,100,0.000582522,1.16723,171.346429382,1,-639.442639964,-639.442639964,165.183831521
-657.378,2893.7329282,500.0,0.01,0.6,53.5238,1.0,-596.64,200,,0.01,2893.7329282,3.50449e-18,-596.639545449,1.0,1.0,100,0.01,1.0,200.0,2,-596.639545449,-596.639545449,100.0
-632.366,2951.34529586,500.0,0.0211543,0.6,68.7668,0.00559345,-578.327,200,0.552959,0.005,2951.34529586,1.49122e-05,-598.602905954,0.962821,4.07356,100,2.90472e-05,1.50962,132.483790745,1,-598.602905954,-598.602905954,125.509425008
-660.2,3446.91231849,500.0,0.01,0.6,58.4161,1.0,-595.072,200,,0.01,3446.91231849,3.50449e-18,-595.071963456,1.0,1.0,100,0.01,1.0,200.0,2,-595.071963456,-595.071963456,100.0
-624.646,3718.33930921,500.0,0.0217092,0.6,71.2306,0.00810025,-565.07,200,0.696337,0.005,3718.33930921,1.79827e-05,-588.68439782,0.983903,4.27194,100,4.11639e-05,1.67359,119.503254084,1,-588.68439782,-588.68439782,116.569656441
