AvgNormIw,MinVanillaIw,ESSRenyi,AvgVanillaIw,Bound,AvgRet,AvgDiscRet,BatchSize,VanillaAvgRet,ESSClassic,VarNormIw,MaxVanillaIw,J,VarDiscRet,AvgEpLen,MinNormIw,VarVanillaIw,VarJ,VarRet,MaxNormIw,eRenyi2
0.010000002,,2.6253725455359582,0.8700809,221.74713,70.55286922743636,70.55286922743636,100,70.55286922743636,1.2892794095702016,0.00773361,76.48789,517.6344,5523.767704460462,8.06,,58.54655,498.3111,5523.767704460462,0.8790895,38.089832
0.01,4.269127e-13,5.5587645795005285,1.5796807,856.29614,239.39268196287395,239.39268196287395,100,239.39268196287395,3.2203959030170943,0.0030355647,70.508484,1638.038,99400.77332288849,24.95,2.7025255e-15,75.7492,2498.714,99400.77332288849,0.44634646,17.989609
0.01,8.5242465e-21,4.002277907805804,0.7133269,2584.3362,786.7945012919606,786.7945012919606,100,786.7945012919606,1.2475634023777809,0.007995582,63.82458,4687.79,915685.4983769187,79.67,1.1949987e-22,40.684334,2923.898,915685.4983769187,0.89474523,24.985771
0.01,5.561336e-17,32.716879875195005,1.2573154,4169.95,3098.3663569196574,3098.3663569196574,100,3098.3663569196574,36.127002201356824,0.00017858713,4.9910097,4905.65,3284434.7754654796,310.43,4.423183e-19,2.823181,333.1173,3284434.7754654796,0.039695766,3.0565262
0.009999998,0.0018451731,71.20390903876088,0.9537479,4458.656,4737.492740085337,4737.492740085337,100,4737.492740085337,68.4433302046065,4.657201e-05,2.0499017,4957.3506,603548.3995069884,473.92,1.9346548e-05,0.4236354,143.78177,603548.3995069884,0.021493118,1.4044173
0.01,0.50618243,98.89068443709249,0.9916132,4569.3423,4986.881636533696,4986.881636533696,100,4986.881636533696,98.57972819224305,1.4553069e-06,1.1343551,4992.5063,16934.53510229232,498.71,0.005104636,0.0143099865,73.8616,16934.53510229232,0.011439491,1.0112176
0.01,0.99987197,100.0,1.000002,4579.063,4999.872625889118,4999.872625889118,100,4999.872625889118,99.99999237062163,7.818144e-14,1.0000312,4999.8735,0.15496537564071994,500.0,0.009998699,7.8177226e-10,0.39164168,0.15496537564071994,0.010000291,1.0
0.01,0.32405245,96.38886249277682,1.0182775,4560.4077,4966.300604755627,4966.300604755627,100,4966.300604755627,96.64231244662993,3.509436e-06,1.2700094,4989.0283,110943.07394058786,496.66,0.003182359,0.03638896,106.24985,110943.07394058786,0.012472134,1.0374643
0.01,0.624013,99.16742286000438,1.0080544,4570.9,4989.50987352123,4989.50987352123,100,4989.50987352123,99.35495401372414,6.5578905e-07,1.0894352,4993.473,10816.525255906614,498.97,0.006190271,0.006663957,64.30588,10816.525255906614,0.010807306,1.0083957
0.01,0.27687097,97.1437319620245,1.0079622,4564.9453,4970.695012644373,4970.695012644373,100,4970.695012644373,97.25529097543965,2.8506602e-06,1.284344,4991.8975,85321.89854385758,497.09,0.0027468388,0.028962366,80.42806,85321.89854385758,0.012741986,1.0294025
0.01,0.9980702,99.99996423722592,0.99992335,4579.1,4999.909767234285,4999.909767234285,100,4999.909767234285,99.99994277517784,4.91162e-11,1.0012448,4999.9106,0.010599981637870102,500.0,0.009981467,4.910927e-07,0.10234476,0.010599981637870102,0.010013215,1.0000004
0.01,0.6190343,99.57277496854451,0.9903429,4574.7656,4994.41529892297,4994.41529892297,100,4994.41529892297,99.34550765642922,6.654423e-07,1.1078033,4996.478,3024.7185656092906,499.46,0.0062507065,0.006526518,34.335453,3024.7185656092906,0.011186058,1.0042906
0.010000002,0.14748071,95.07726337870673,0.9610895,4551.693,4947.409525988689,4947.409525988689,100,4947.409525988689,92.81198627543556,7.822902e-06,1.2906654,4983.26,208234.42804151945,494.77,0.0015345159,0.072259605,120.45435,208234.42804151945,0.013429191,1.0517762
0.01,0.59080744,99.33730195853667,1.0137677,4572.4775,4991.298889511705,4991.298889511705,100,4991.298889511705,99.34351744304335,6.674998e-07,1.1169326,4994.6895,7410.672882163314,499.15,0.0058278386,0.0068600615,52.14106,7410.672882163314,0.011017639,1.0066712
0.01,0.24778672,97.54643381876261,0.9899213,4567.5957,4974.918519070895,4974.918519070895,100,4974.918519070895,97.13514241403276,2.9791527e-06,1.206881,4993.6655,62529.67115396245,497.51,0.0025030952,0.029194035,62.757504,62529.67115396245,0.012191688,1.0251528
0.01,0.09953872,97.73165517672851,0.96366495,4570.7324,4965.818519442794,4965.818519442794,100,4965.818519442794,96.52000467532277,3.6418746e-06,1.1432359,4996.3984,116287.57381896692,496.6,0.0010329183,0.03382028,35.36938,116287.57381896692,0.011863417,1.0232099
