VarJ,J,AvgEpLen,AvgDiscRet,ESSRenyi,MinVanillaIw,IterType,BatchSize,VarRet,VarNormIw,VarDiscRet,AvgRet,VanillaAvgRet,AvgVanillaIw,eRenyi2,VarVanillaIw,Bound,AvgNormIw,MinNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,EpsThisIter,Delta
3.50253,-106.352,18.48,-106.569136199,95.795949774,0.778764,1,100,6.73437412133,4.37355e-06,6.73437412133,-106.569136199,-106.569136199,0.977783,1.04389,0.0418137,-112.109,0.01,0.00796459,2.44796,95.8498693057,0.0250358,100,0.8
36.4037,-101.534,18.55,-106.176225349,48.2102799764,0.0305301,1,100,11.4231437271,0.000347052,11.4231437271,-106.176225349,-106.176225349,1.15015,2.07425,4.59097,-109.788,0.01,0.000265445,20.9469,22.543760427,0.182123,100,0.8
14.368,-103.862,21.1,-106.051975575,64.0416139546,0.0110893,1,100,19.1057421222,7.19235e-05,19.1057421222,-106.051975575,-106.051975575,0.929119,1.56148,0.620889,-111.105,0.01,0.000119353,5.72148,58.4097500979,0.0615796,100,0.8
198.287,-89.1871,31.22,-105.234848845,37.5635069664,0.00242454,1,100,535.003471058,0.000252157,535.003471058,-105.234848845,-105.234848845,0.923856,2.66216,2.15219,-109.396,0.01,2.62436e-05,11.1899,28.6011881655,0.121122,100,0.8
17.6284,-102.104,61.2,-105.823364222,85.1967640576,0.202416,1,100,1135.41633322,1.54826e-05,1135.41633322,-105.823364222,-105.823364222,0.993678,1.17375,0.152875,-123.718,0.01,0.00203703,2.41223,86.7093511654,0.0242758,100,0.8
8.01207,-101.986,47.09,-103.414607041,79.8664571197,0.00420655,1,100,53.381147404,2.85423e-05,53.381147404,-103.414607041,-103.414607041,0.948009,1.25209,0.256516,-109.053,0.01,4.43724e-05,1.79247,77.9685024937,0.0189077,100,0.8
12.4803,-98.8236,41.61,-100.860215021,72.3099011526,0.0376947,1,100,76.4983324282,4.48237e-05,76.4983324282,-100.860215021,-100.860215021,0.974484,1.38294,0.425655,-105.47,0.01,0.000386817,3.50301,69.2638672065,0.0359473,100,0.8
11.5383,-99.2531,40.03,-102.328138667,57.2456336649,0.00201911,1,100,56.4465469631,0.000155963,56.4465469631,-102.328138667,-102.328138667,1.13376,1.74686,2.00475,-107.497,0.01,1.7809e-05,13.0458,39.3077099863,0.115067,100,0.8
10.6797,-97.768,40.32,-99.778059746,67.5961565813,0.0149855,1,100,48.7573990465,6.18367e-05,48.7573990465,-99.778059746,-99.778059746,0.961217,1.47937,0.571333,-104.65,0.01,0.000155902,4.18945,62.0277112109,0.0435848,100,0.8
9.63436,-98.2576,45.47,-99.5819828657,78.4449720071,0.0700215,1,100,52.9899718967,2.7757e-05,52.9899718967,-99.5819828657,-99.5819828657,0.927926,1.27478,0.239001,-104.658,0.01,0.000754603,2.03763,78.4440496714,0.021959,100,0.8
9.78969,-99.1075,43.63,-100.580919459,74.7287115888,0.0257142,1,100,49.3315397461,3.16789e-05,49.3315397461,-100.580919459,-100.580919459,1.104,1.33817,0.386111,-105.798,0.01,0.000232918,2.41042,76.1254265373,0.0218334,100,0.8
9.46679,-97.7011,41.98,-98.6830201735,83.362016348,0.125578,1,100,74.462781289,1.96121e-05,74.462781289,-98.6830201735,-98.6830201735,0.998299,1.19959,0.195454,-103.833,0.01,0.00125792,2.11679,83.7408969284,0.021204,100,0.8
8.22062,-99.2819,43.34,-100.020010797,87.5631088747,0.0743193,1,100,56.2446472492,1.59503e-05,56.2446472492,-100.020010797,-100.020010797,0.992858,1.14203,0.157233,-105.597,0.01,0.000748538,1.83699,86.3626536165,0.018502,100,0.8
27.5779,-91.7026,43.1,-97.9837297594,33.3306473671,0.00546914,1,100,83.7586979484,0.000288516,83.7586979484,-97.9837297594,-97.9837297594,1.18031,3.00024,4.01943,-101.662,0.01,4.63363e-05,11.64,25.9315448979,0.0986176,100,0.8
10.0313,-96.5507,42.0,-98.7130370453,69.8188055324,0.00856286,1,100,55.2155870397,5.32752e-05,55.2155870397,-98.7130370453,-98.7130370453,1.00929,1.43228,0.542691,-103.299,0.01,8.48409e-05,2.51522,65.469683545,0.0249208,100,0.8
11.4198,-98.4676,43.13,-99.5823825522,82.8343161213,0.113114,1,100,67.6374049958,3.31513e-05,67.6374049958,-99.5823825522,-99.5823825522,0.975733,1.20723,0.315619,-104.802,0.01,0.00115927,4.91211,75.2900009433,0.0503428,100,0.8
15.0443,-96.8187,42.33,-98.8538624505,67.3030035519,0.105947,1,100,63.8877339146,4.80518e-05,63.8877339146,-98.8538624505,-98.8538624505,0.97685,1.48582,0.458527,-103.759,0.01,0.00108458,4.45948,67.7638876843,0.0456517,100,0.8
10.5244,-97.393,41.6,-98.5087831787,81.927280647,0.113182,1,100,56.6504363826,2.22938e-05,56.6504363826,-98.5087831787,-98.5087831787,1.08205,1.22059,0.261022,-103.49,0.01,0.001046,3.13649,81.9196426528,0.0289866,100,0.8
21.5447,-96.6614,39.15,-99.2328476266,57.5928443949,0.00297108,1,100,69.1937902324,8.51281e-05,69.1937902324,-99.2328476266,-99.2328476266,0.922683,1.73633,0.724733,-104.333,0.01,3.22004e-05,4.24813,54.2661802798,0.046041,100,0.8
7.5904,-99.2453,38.67,-99.6198583862,93.4805913679,0.319727,1,100,45.3666189908,6.95403e-06,45.3666189908,-99.6198583862,-99.6198583862,0.990624,1.06974,0.0682423,-104.986,0.01,0.00322753,1.43891,93.5589498779,0.0145253,100,0.8
28.2579,-93.1701,45.45,-96.3709137602,48.4292520578,0.0010874,1,100,76.9912875117,9.54312e-05,76.9912875117,-96.3709137602,-96.3709137602,1.03726,2.06487,1.02676,-100.951,0.01,1.04834e-05,6.33202,51.4199961397,0.0610455,100,0.8
