AvgVanillaIw,ESSRenyi,AvgRet,AvgDiscRet,VarDiscRet,AvgEpLen,VarNormIw,AvgNormIw,MaxVanillaIw,BatchSize,MinVanillaIw,eRenyi2,MaxNormIw,ESSClassic,MinNormIw,VarVanillaIw,J,Bound,Delta,VanillaAvgRet,VarJ,VarRet,IterType,EpsThisIter
8.36488,41.3793130664,-5.06895375081,-5.06895375081,302.594969884,500.0,0.00034624,0.01,37.5257,100,0.081799,2.41667,0.0448611,22.5846954486,9.77886e-05,242.269,23.8838,20.0888,0.5,-5.06895375081,1.10987,302.594969884,1,100
6.32901,43.3113002806,-5.06895375081,4.43303286677,39.9293459153,500.0,4.43897e-05,0.01,12.2251,200,0.0266484,4.61773,0.0193159,69.4706634359,4.21051e-05,17.7809,5.85791,1.26432,0.5,-5.06895375081,4.90789,302.594969884,,100
12.8957,59.6104976512,3.30485156696,3.30485156696,110.905221603,500.0,0.000190807,0.005,113.968,200,0.0403904,3.35511,0.0441885,23.2717532305,1.56605e-05,1269.23,23.8897,20.7279,0.5,3.30485156696,1.44702,110.905221603,1,100
1.0,200.0,-2.96733773621,-2.96733773621,105.364205197,500.0,3.50449e-18,0.01,1.0,200,1.0,1.0,0.01,100.0,0.01,,-2.96734,-5.72758,0.5,-2.96733773621,10.2133,105.364205197,2,100
5.92046,26.7504659627,3.30485156696,-5.56250578056,104.53443187,500.0,2.38971e-05,0.005,24.7583,300,0.00877439,11.2148,0.0209091,102.50599378,7.41022e-06,33.5055,-0.56942,-7.10565,0.5,3.30485156696,15.1773,110.905221603,,100
10.893,89.0970706735,-12.8581152277,-12.8581152277,218.084382008,500.0,0.000127936,0.00333333,142.05,300,0.0558598,3.36711,0.0434682,24.0464678773,1.70935e-05,1366.25,23.4157,19.08,0.5,-12.8581152277,3.45528,218.084382008,1,100
1.0,300.0,-3.07563828375,-3.07563828375,61.8169941852,500.0,3.50449e-18,0.01,1.0,300,1.0,1.0,0.01,100.0,0.01,,-3.07564,-4.71907,0.5,-3.07563828375,7.82297,61.8169941852,2,100
1.0,300.0,-8.94329547409,-8.94329547409,178.426790319,500.0,2.1793e-19,0.005,1.0,300,1.0,1.0,0.005,200.000000102,0.005,,-6.00947,-8.74775,0.5,-8.94329547409,11.2928,178.426790319,2,100
3.8838,23.1163700869,-12.8581152277,-10.7285991087,185.296667383,500.0,1.01961e-05,0.00333333,17.902,400,0.00703978,17.3038,0.0153647,156.691166128,6.04201e-06,13.8417,-10.5434,-19.8438,0.5,-12.8581152277,20.2485,218.084382008,,100
12.652,98.5328502426,-9.20020346999,-9.20020346999,93.2436376442,500.0,0.000100648,0.0025,222.831,400,0.0141236,4.05956,0.0440307,23.4420194324,2.79078e-06,2577.77,23.6328,19.51,0.5,-9.20020346999,3.06989,93.2436376442,1,100
