MinVanillaIw,ESSClassic,AvgRet,MinNormIw,AvgDiscRet,MaxVanillaIw,MaxNormIw,VarNormIw,VarDiscRet,VarJ,eRenyi2,AvgEpLen,J,ESSRenyi,VarVanillaIw,VarRet,BatchSize,AvgVanillaIw,Bound,AvgNormIw
,11.20281977321768,-4066.23450637783,,-4066.23450637783,11.291816,0.13500208,0.0008006387,4392402.075036766,199.80792,7.892927,200.0,-42.317577,12.669570851055552,5.6012273,4392402.075036766,100,0.8364179,-568.93945,0.01
,4.3003890460113885,-9.21467028936625,,-9.21467028936625,1.098258,0.32979095,0.0022478497,75.89513766232385,5.110718,32.446514,200.0,-1.0971164,3.0819951752121733,0.024928633,75.89513766232385,100,0.03330164,-4.630287,0.01
,inf,-8.223941615728178,,-8.223941615728178,1.9635665e-38,1.0,0.010000003,54.805325986950336,,nan,200.0,-0.16344191,nan,,54.805325986950336,100,1.96357e-40,-6.3896403,0.01
,1.6077403298536976,-3779.2282456055464,,-3779.2282456055464,113.55588,0.75166714,0.006181729,90268.37200458592,427.73923,68.31658,200.0,-3104.8887,1.463773471585058,141.08406,90268.37200458592,100,1.5107203,-3304.172,0.010000002
,inf,-3147.4927230593876,,-3147.4927230593876,1.243196e-38,1.0,0.0100000035,7456.000458968738,,inf,200.0,-2876.2998,,,7456.000458968738,100,1.24319e-40,-2948.9211,0.01
,5.384723106835152,-41.0144943216807,,-41.0144943216807,26.080584,0.23471355,0.0017748541,2767.250884030186,23.759212,32.794243,200.0,-6.9486856,3.0493157116113014,21.913961,2767.250884030186,100,1.1111665,-26.014446,0.009999999
,2.8493317407819663,-27.184758968372368,,-27.184758968372368,32.50901,0.41053778,0.0034440348,672.3471516753875,17.149479,27.477379,200.0,-3.4843197,3.639357326014191,21.595774,672.3471516753875,100,0.79186404,-16.403553,0.01
,5.101476897920354,-26.609230785428146,,-26.609230785428146,32.115917,0.32749102,0.001879007,711.1339186208222,28.014168,23.431166,200.0,-6.0148745,4.267820103398713,18.070503,711.1339186208222,100,0.98066556,-15.944647,0.01
8.645261e-07,51.02835424394698,-30.64224124389222,1.0110253e-08,-30.64224124389222,2.4466064,0.028611988,9.693884e-05,678.3502738574523,33.06597,1.7612574,200.0,-29.020899,56.777617757300455,0.7088102,678.3502738574523,100,0.85509837,-32.087326,0.01
,inf,-31.383540975308907,,-31.383540975308907,1.5735626e-38,1.0,0.010000002,779.6965977865378,,nan,200.0,-1.1237713,nan,,779.6965977865378,100,1.57356e-40,-24.607893,0.01
,1.0,-29.670082011155383,,-29.670082011155383,4.5372065e-12,1.0,0.0100000035,658.2418638453797,,626.1139,200.0,-1.6625781,0.1597153510589038,2.0586249e-25,658.2418638453797,100,4.5372065e-14,-23.240234,0.01
,2.7381456518151968,-31.233271947411218,,-31.233271947411218,35.420788,0.48501867,0.0035879866,842.3914446206945,18.963564,25.100733,200.0,-4.2807083,3.9839474322707735,19.135963,842.3914446206945,100,0.7302974,-19.032345,0.01
,51.000001518571416,-35.121620937830755,,-35.121620937830755,54.595337,0.019607842,9.704891e-05,838.2055756022313,37.998695,38.608074,200.0,-32.29425,2.590131782084059,752.3885,838.2055756022313,100,27.843622,-35.70384,0.01
1.0,100.0,-33.530662594258985,0.01,-33.530662594258985,1.0,0.01,3.5044917e-18,825.6183337556973,28.589546,1.0,200.0,-33.530663,100.0,,825.6183337556973,100,1.0,-35.947243,0.009999998
1.0,100.0,-27.225630548610514,0.01,-27.225630548610514,1.0,0.01,3.5044917e-18,636.4747430067807,25.101992,1.0,200.0,-27.22563,100.0,,636.4747430067807,100,1.0,-29.347418,0.009999998
1.0,100.0,-33.686692346991606,0.01,-33.686692346991606,1.0,0.01,3.5044917e-18,888.4200225509775,29.65697,1.0,200.0,-33.68669,100.0,,888.4200225509775,100,1.0,-36.193497,0.009999998
1.0,100.0,-33.0049252773943,0.01,-33.0049252773943,1.0,0.01,3.5044917e-18,843.3893452377922,28.895594,1.0,200.0,-33.004925,100.0,,843.3893452377922,100,1.0,-35.447372,0.009999998
1.0,100.0,-34.356761011233075,0.01,-34.356761011233075,1.0,0.01,3.5044917e-18,805.9570785385878,28.24708,1.0,200.0,-34.356762,100.0,,805.9570785385878,100,1.0,-36.744392,0.009999998
1.0,100.0,-29.955367219967876,0.01,-29.955367219967876,1.0,0.01,3.5044917e-18,821.8964291250426,28.525032,1.0,200.0,-29.955364,100.0,,821.8964291250426,100,1.0,-32.36649,0.009999998
1.0,100.0,-29.154884098003794,0.01,-29.154884098003794,1.0,0.01,3.5044917e-18,777.2565365709904,27.739574,1.0,200.0,-29.154884,100.0,,777.2565365709904,100,1.0,-31.499619,0.009999998
1.0,100.0,-33.274942123132504,0.01,-33.274942123132504,1.0,0.01,3.5044917e-18,721.8765176738772,26.733084,1.0,200.0,-33.27494,100.0,,721.8765176738772,100,1.0,-35.5346,0.009999998
1.0,100.0,-26.7242477686777,0.01,-26.7242477686777,1.0,0.01,3.5044917e-18,616.7790670825487,24.71055,1.0,200.0,-26.724247,100.0,,616.7790670825487,100,1.0,-28.812948,0.009999998
1.0,100.0,-31.046226879491783,0.01,-31.046226879491783,1.0,0.01,3.5044917e-18,745.0554943444365,27.158884,1.0,200.0,-31.046228,100.0,,745.0554943444365,100,1.0,-33.34188,0.009999998
1.0,100.0,-27.06457331883228,0.01,-27.06457331883228,1.0,0.01,3.5044917e-18,667.1163746922513,25.69913,1.0,200.0,-27.064571,100.0,,667.1163746922513,100,1.0,-29.236834,0.009999998
1.0,100.0,-34.09127370998381,0.01,-34.09127370998381,1.0,0.01,3.5044917e-18,713.2957562494929,26.573725,1.0,200.0,-34.091274,100.0,,713.2957562494929,100,1.0,-36.337463,0.009999998
1.0,100.0,-27.139337622586304,0.01,-27.139337622586304,1.0,0.01,3.5044917e-18,765.4660776486913,27.528376,1.0,200.0,-27.139338,100.0,,765.4660776486913,100,1.0,-29.46622,0.009999998
1.0,100.0,-29.31328427532768,0.01,-29.31328427532768,1.0,0.01,3.5044917e-18,665.3716343104009,25.665499,1.0,200.0,-29.313284,100.0,,665.3716343104009,100,1.0,-31.482704,0.009999998
1.0,100.0,-31.850604269474864,0.01,-31.850604269474864,1.0,0.01,3.5044917e-18,916.2540910815559,30.11796,1.0,200.0,-31.850603,100.0,,916.2540910815559,100,1.0,-34.396374,0.009999998
1.0,100.0,-31.80273219563999,0.01,-31.80273219563999,1.0,0.01,3.5044917e-18,876.2088119305308,29.452446,1.0,200.0,-31.80273,100.0,,876.2088119305308,100,1.0,-34.292248,0.009999998
1.0,100.0,-30.81216805506052,0.01,-30.81216805506052,1.0,0.01,3.5044917e-18,745.7190362577928,27.170973,1.0,200.0,-30.81217,100.0,,745.7190362577928,100,1.0,-33.10884,0.009999998
1.0,100.0,-29.61679198055003,0.01,-29.61679198055003,1.0,0.01,3.5044917e-18,743.9063969443242,27.13793,1.0,200.0,-29.61679,100.0,,743.9063969443242,100,1.0,-31.910671,0.009999998
1.0,100.0,-29.709022799818758,0.01,-29.709022799818758,1.0,0.01,3.5044917e-18,686.4432893744573,26.068731,1.0,200.0,-29.70902,100.0,,686.4432893744573,100,1.0,-31.912525,0.009999998
1.0,100.0,-27.137359404968834,0.01,-27.137359404968834,1.0,0.01,3.5044917e-18,754.6144739148365,27.33255,1.0,200.0,-27.13736,100.0,,754.6144739148365,100,1.0,-29.44769,0.009999998
1.0,100.0,-28.51493233962179,0.01,-28.51493233962179,1.0,0.01,3.5044917e-18,751.8283088988239,27.282047,1.0,200.0,-28.514933,100.0,,751.8283088988239,100,1.0,-30.820993,0.009999998
1.0,100.0,-35.024772434383436,0.01,-35.024772434383436,1.0,0.01,3.5044917e-18,666.4034182014857,25.685392,1.0,200.0,-35.024773,100.0,,666.4034182014857,100,1.0,-37.195873,0.009999998
1.0,100.0,-33.653937290746256,0.01,-33.653937290746256,1.0,0.01,3.5044917e-18,746.7667983457493,27.190056,1.0,200.0,-33.65394,100.0,,746.7667983457493,100,1.0,-35.952225,0.009999998
1.0,100.0,-28.601122458090845,0.01,-28.601122458090845,1.0,0.01,3.5044917e-18,699.8055173640521,26.321236,1.0,200.0,-28.601124,100.0,,699.8055173640521,100,1.0,-30.825972,0.009999998
1.0,100.0,-31.27038437140404,0.01,-31.27038437140404,1.0,0.01,3.5044917e-18,867.129070956676,29.29945,1.0,200.0,-31.270382,100.0,,867.129070956676,100,1.0,-33.746967,0.009999998
1.0,100.0,-26.952599239072107,0.01,-26.952599239072107,1.0,0.01,3.5044917e-18,726.9152012917148,26.82622,1.0,200.0,-26.9526,100.0,,726.9152012917148,100,1.0,-29.220133,0.009999998
1.0,100.0,-29.890016652370925,0.01,-29.890016652370925,1.0,0.01,3.5044917e-18,749.6325017918466,27.242176,1.0,200.0,-29.890017,100.0,,749.6325017918466,100,1.0,-32.192707,0.009999998
1.0,100.0,-30.914294986465993,0.01,-30.914294986465993,1.0,0.01,3.5044917e-18,740.4304014218645,27.074455,1.0,200.0,-30.914293,100.0,,740.4304014218645,100,1.0,-33.20281,0.009999998
1.0,100.0,-32.00936366450796,0.01,-32.00936366450796,1.0,0.01,3.5044917e-18,874.0482920146787,29.416115,1.0,200.0,-32.00936,100.0,,874.0482920146787,100,1.0,-34.495808,0.009999998
1.0,100.0,-30.321991813660475,0.01,-30.321991813660475,1.0,0.01,3.5044917e-18,726.8340950792814,26.82472,1.0,200.0,-30.32199,100.0,,726.8340950792814,100,1.0,-32.589394,0.009999998
1.0,100.0,-30.225014029720146,0.01,-30.225014029720146,1.0,0.01,3.5044917e-18,842.7457593700246,28.884567,1.0,200.0,-30.225014,100.0,,842.7457593700246,100,1.0,-32.66653,0.009999998
1.0,100.0,-34.138083340332905,0.01,-34.138083340332905,1.0,0.01,3.5044917e-18,812.4615253170426,28.360834,1.0,200.0,-34.138084,100.0,,812.4615253170426,100,1.0,-36.53533,0.009999998
1.0,100.0,-29.879876550552083,0.01,-29.879876550552083,1.0,0.01,3.5044917e-18,694.5395802665198,26.222015,1.0,200.0,-29.879875,100.0,,694.5395802665198,100,1.0,-32.096336,0.009999998
1.0,100.0,-31.72832177416426,0.01,-31.72832177416426,1.0,0.01,3.5044917e-18,766.5072585417249,27.54709,1.0,200.0,-31.728323,100.0,,766.5072585417249,100,1.0,-34.05679,0.009999998
1.0,100.0,-33.63111752174329,0.01,-33.63111752174329,1.0,0.01,3.5044917e-18,735.7342544226743,26.988459,1.0,200.0,-33.631115,100.0,,735.7342544226743,100,1.0,-35.91236,0.009999998
1.0,100.0,-35.06329450166394,0.01,-35.06329450166394,1.0,0.01,3.5044917e-18,731.8167707088639,26.91651,1.0,200.0,-35.06329,100.0,,731.8167707088639,100,1.0,-37.338455,0.009999998
1.0,100.0,-26.09393813035974,0.01,-26.09393813035974,1.0,0.01,3.5044917e-18,634.0732248867774,25.05459,1.0,200.0,-26.093937,100.0,,634.0732248867774,100,1.0,-28.21172,0.009999998
1.0,100.0,-28.904861661573236,0.01,-28.904861661573236,1.0,0.01,3.5044917e-18,669.9344592301173,25.753351,1.0,200.0,-28.90486,100.0,,669.9344592301173,100,1.0,-31.081705,0.009999998
1.0,100.0,-32.801648095927874,0.01,-32.801648095927874,1.0,0.01,3.5044917e-18,768.9853123408583,27.591585,1.0,200.0,-32.801647,100.0,,768.9853123408583,100,1.0,-35.133873,0.009999998
1.0,100.0,-29.18806927655044,0.01,-29.18806927655044,1.0,0.01,3.5044917e-18,665.9836697701805,25.677301,1.0,200.0,-29.188066,100.0,,665.9836697701805,100,1.0,-31.358484,0.009999998
1.0,100.0,-33.46386412903842,0.01,-33.46386412903842,1.0,0.01,3.5044917e-18,808.8314641194089,28.297405,1.0,200.0,-33.463863,100.0,,808.8314641194089,100,1.0,-35.85575,0.009999998
1.0,100.0,-30.18244531631099,0.01,-30.18244531631099,1.0,0.01,3.5044917e-18,757.0945692618935,27.37743,1.0,200.0,-30.182446,100.0,,757.0945692618935,100,1.0,-32.49657,0.009999998
1.0,100.0,-33.670428644862675,0.01,-33.670428644862675,1.0,0.01,3.5044917e-18,780.7926641179677,27.802603,1.0,200.0,-33.67043,100.0,,780.7926641179677,100,1.0,-36.020493,0.009999998
1.0,100.0,-27.51639589248652,0.01,-27.51639589248652,1.0,0.01,3.5044917e-18,756.7478700702081,27.371159,1.0,200.0,-27.516396,100.0,,756.7478700702081,100,1.0,-29.82999,0.009999998
1.0,100.0,-28.773908034610216,0.01,-28.773908034610216,1.0,0.01,3.5044917e-18,660.1484531770731,25.564564,1.0,200.0,-28.773905,100.0,,660.1484531770731,100,1.0,-30.934793,0.009999998
1.0,100.0,-29.70610572620279,0.01,-29.70610572620279,1.0,0.01,3.5044917e-18,751.8986452975771,27.283321,1.0,200.0,-29.706106,100.0,,751.8986452975771,100,1.0,-32.012276,0.009999998
1.0,100.0,-26.835451624814525,0.01,-26.835451624814525,1.0,0.01,3.5044917e-18,722.1703676708953,26.738523,1.0,200.0,-26.835451,100.0,,722.1703676708953,100,1.0,-29.09557,0.009999998
1.0,100.0,-27.133678965587997,0.01,-27.133678965587997,1.0,0.01,3.5044917e-18,666.250788666711,25.682451,1.0,200.0,-27.133677,100.0,,666.250788666711,100,1.0,-29.30453,0.009999998
1.0,100.0,-29.25605017859573,0.01,-29.25605017859573,1.0,0.01,3.5044917e-18,684.4279734513784,26.030436,1.0,200.0,-29.256048,100.0,,684.4279734513784,100,1.0,-31.456316,0.009999998
1.0,100.0,-33.73028577202141,0.01,-33.73028577202141,1.0,0.01,3.5044917e-18,944.3314544466756,30.575941,1.0,200.0,-33.730286,100.0,,944.3314544466756,100,1.0,-36.31477,0.009999998
1.0,100.0,-30.6210500644392,0.01,-30.6210500644392,1.0,0.01,3.5044917e-18,605.7459460292349,24.488537,1.0,200.0,-30.62105,100.0,,605.7459460292349,100,1.0,-32.690987,0.009999998
1.0,100.0,-31.702629888696595,0.01,-31.702629888696595,1.0,0.01,3.5044917e-18,795.2169536097808,28.058239,1.0,200.0,-31.702631,100.0,,795.2169536097808,100,1.0,-34.074303,0.009999998
1.0,100.0,-34.00885207208338,0.01,-34.00885207208338,1.0,0.01,3.5044917e-18,749.2405704774047,27.235054,1.0,200.0,-34.008854,100.0,,749.2405704774047,100,1.0,-36.310944,0.009999998
1.0,100.0,-31.079506146495515,0.01,-31.079506146495515,1.0,0.01,3.5044917e-18,767.0815579278325,27.557407,1.0,200.0,-31.079504,100.0,,767.0815579278325,100,1.0,-33.40884,0.009999998
1.0,100.0,-27.80248661369519,0.01,-27.80248661369519,1.0,0.01,3.5044917e-18,751.298506603589,27.272432,1.0,200.0,-27.802485,100.0,,751.298506603589,100,1.0,-30.107733,0.009999998
1.0,100.0,-30.555538640846738,0.01,-30.555538640846738,1.0,0.01,3.5044917e-18,792.0844017972788,28.002922,1.0,200.0,-30.555536,100.0,,792.0844017972788,100,1.0,-32.92253,0.009999998
1.0,100.0,-31.10673659063674,0.01,-31.10673659063674,1.0,0.01,3.5044917e-18,765.6907956892337,27.532415,1.0,200.0,-31.106735,100.0,,765.6907956892337,100,1.0,-33.43396,0.009999998
1.0,100.0,-29.12453989620396,0.01,-29.12453989620396,1.0,0.01,3.5044917e-18,711.3621464511581,26.53768,1.0,200.0,-29.124538,100.0,,711.3621464511581,100,1.0,-31.367682,0.009999998
1.0,100.0,-29.134649842847193,0.01,-29.134649842847193,1.0,0.01,3.5044917e-18,779.2804144257162,27.775665,1.0,200.0,-29.134647,100.0,,779.2804144257162,100,1.0,-31.482433,0.009999998
