Bound,Delta,VarRet,MinVanillaIw,MaxNormIw,J,eRenyi2,MinNormIw,VarNormIw,AvgNormIw,VarJ,AvgDiscRet,IterType,BatchSize,EpsThisIter,VarVanillaIw,MaxVanillaIw,AvgEpLen,VanillaAvgRet,ESSRenyi,ESSClassic,AvgVanillaIw,VarDiscRet,AvgRet
-182.896,0.6,23344.6619147,6.20557e-28,0.0718724,-97.2528,6.32279,5.00687e-30,0.000390827,0.01,60.3677,-309.32856151,1,100,100,6.00365,8.90795,379.06,-309.32856151,15.8158108183,20.5373186524,1.23941,23344.6619147,-309.32856151
-138.071,0.6,7792.07780802,0.006438,0.0169956,-100.674,1.20587,6.68266e-05,2.11063e-05,0.01,87.0791,-109.484378107,1,100,100,0.195891,1.63733,150.93,-109.484378107,82.9274715993,82.7162258665,0.963388,7792.07780802,-109.484378107
-127.663,0.6,7930.14193345,0.0145291,0.0154281,-90.9578,1.16137,0.000142646,1.88965e-05,0.01,80.5089,-98.4511525479,1,100,100,0.196038,1.57142,135.3,-98.4511525479,86.1053065067,84.240691253,1.01854,7930.14193345,-98.4511525479
-129.938,0.6,7933.52802295,0.0746332,0.0214622,-90.8269,1.31866,0.00078011,3.43299e-05,0.01,79.2037,-99.4277441067,1,100,100,0.314213,2.05328,136.12,-99.4277441067,75.8348186406,74.634346732,0.9567,7933.52802295,-99.4277441067
-129.662,0.6,9077.6441218,0.0235765,0.0214297,-91.3434,1.26576,0.000256611,2.77939e-05,0.01,93.2483,-99.006290365,1,100,100,0.234617,1.96889,135.13,-99.006290365,79.00362441,78.4215529219,0.918766,9077.6441218,-99.006290365
-124.616,0.6,6990.80816631,0.786999,0.0216593,-89.0845,1.08841,0.00767299,8.52309e-06,0.01,70.4544,-92.8400316164,1,100,100,0.0896635,2.22154,128.08,-92.8400316164,91.8774521605,92.2187391406,1.02567,6990.80816631,-92.8400316164
-121.317,0.6,5931.38248763,0.382316,0.0159547,-86.2236,1.06162,0.00379858,5.09233e-06,0.01,71.6176,-88.33100159,1,100,100,0.0515846,1.60579,122.94,-88.33100159,94.1958433089,95.200552937,1.00647,5931.38248763,-88.33100159
-124.308,0.6,6983.73406044,0.0149235,0.0209614,-85.9003,1.27164,0.000153403,2.81579e-05,0.01,68.2484,-92.5474534425,1,100,100,0.266487,2.03919,127.0,-92.5474534425,78.6388625752,78.2005709993,0.972832,6983.73406044,-92.5474534425
-120.907,0.6,7076.63346869,0.564753,0.0288986,-84.5888,1.13718,0.005517,1.6889e-05,0.01,69.1997,-89.5719861616,1,100,100,0.176977,2.95823,123.41,-89.5719861616,87.9366625172,85.6750067071,1.02366,7076.63346869,-89.5719861616
-120.835,0.6,7053.08928947,0.0893221,0.0173989,-84.9379,1.11086,0.000903661,9.87064e-06,0.01,75.6856,-88.825384167,1,100,100,0.0964389,1.71979,123.11,-88.825384167,90.0206062279,91.0979684442,0.988447,7053.08928947,-88.825384167
-130.669,0.6,11132.7877833,0.0366458,0.0489057,-92.6954,1.24305,0.000363891,4.37135e-05,0.01,90.6289,-103.368518267,1,100,100,0.443324,4.92507,139.67,-103.368518267,80.4476045748,69.7951936862,1.00705,11132.7877833,-103.368518267
-125.776,0.6,9233.21716816,0.685315,0.0350773,-89.1729,1.15495,0.00674869,1.93052e-05,0.01,80.4271,-95.4863925125,1,100,100,0.199074,3.56203,130.34,-95.4863925125,86.5834666878,83.9545435196,1.01548,9233.21716816,-95.4863925125
-124.425,0.6,8152.32633405,0.225277,0.027139,-88.5151,1.11159,0.0023715,1.4246e-05,0.01,81.0213,-92.568750376,1,100,100,0.128553,2.57803,126.96,-92.568750376,89.9612726989,87.6396761757,0.949936,8152.32633405,-92.568750376
-134.391,0.6,12923.1926238,0.000102815,0.0536244,-87.1554,1.92336,1.0362e-06,0.000107902,0.01,83.9035,-113.011832932,1,100,100,1.06232,5.32079,150.76,-113.011832932,51.9924501129,48.3505652192,0.992232,12923.1926238,-113.011832932
-112.226,0.6,3751.2591179,0.816815,0.0139016,-77.7618,1.02391,0.00796322,2.13761e-06,0.01,54.9114,-78.6306584257,1,100,100,0.0224904,1.42594,110.67,-78.6306584257,97.6652729301,97.9276490772,1.02573,3751.2591179,-78.6306584257
-125.165,0.6,11177.775391,4.26635e-08,0.0692383,-78.5476,1.87337,4.32897e-10,0.000131324,0.01,78.1904,-102.999840153,1,100,100,1.27552,6.82367,139.37,-102.999840153,53.3798453509,43.4762644907,0.985533,11177.775391,-102.999840153
-111.702,0.6,3750.8225052,0.849064,0.0187973,-77.0423,1.03555,0.00829695,3.32095e-06,0.01,55.1144,-78.4253491239,1,100,100,0.0347782,1.92361,110.14,-78.4253491239,96.5674309077,96.8169316581,1.02334,3750.8225052,-78.4253491239
-113.776,0.6,4879.02126695,0.505481,0.0235939,-78.7671,1.05657,0.00524453,7.26684e-06,0.01,63.0457,-80.902408738,1,100,100,0.0675059,2.27404,113.59,-80.902408738,94.6460378532,93.2886145889,0.963824,4879.02126695,-80.902408738
-119.124,0.6,7139.38865254,0.0925167,0.0199453,-82.8412,1.13482,0.000905044,1.11449e-05,0.01,72.4289,-88.0590916191,1,100,100,0.11646,2.03887,121.0,-88.0590916191,88.119656728,90.0629384121,1.02223,7139.38865254,-88.0590916191
-113.111,0.6,7113.80557409,1.28369e-07,0.0258768,-69.0803,1.67119,1.38725e-09,7.1543e-05,0.01,37.3503,-87.6789463402,1,100,100,0.612596,2.3945,121.42,-87.6789463402,59.8377151582,58.5385871746,0.925345,7113.80557409,-87.6789463402
-105.809,0.6,3803.67462066,0.0257566,0.039295,-67.6554,1.25487,0.000276983,3.35253e-05,0.01,34.6926,-74.4763864194,1,100,100,0.289895,3.65403,105.14,-74.4763864194,79.6895032554,75.0806804758,0.929896,3803.67462066,-74.4763864194
-119.098,0.6,9407.22477347,0.00742683,0.024103,-77.0979,1.52067,7.02083e-05,5.00567e-05,0.01,66.3661,-91.5783699116,1,100,100,0.560135,2.54968,124.62,-91.5783699116,65.76039708,66.8645362272,1.05783,9407.22477347,-91.5783699116
-123.555,0.6,8259.91739039,0.341761,0.0226457,-88.2851,1.07215,0.00327764,7.33973e-06,0.01,86.6825,-90.410773344,1,100,100,0.0797995,2.36127,123.76,-90.410773344,93.2703763156,93.2258999655,1.0427,8259.91739039,-90.410773344
-118.866,0.6,8311.63053617,0.155336,0.0192381,-82.9041,1.11491,0.0016051,1.32471e-05,0.01,80.391,-88.9962752235,1,100,100,0.124069,1.8618,121.63,-88.9962752235,89.6934146731,88.4058448185,0.967768,8311.63053617,-88.9962752235
-117.653,0.6,7231.66413866,0.305288,0.0186641,-82.5312,1.06337,0.00316558,6.6355e-06,0.01,77.7382,-84.5471250378,1,100,100,0.0617145,1.79997,116.76,-84.5471250378,94.0410775465,93.8357829846,0.964399,7231.66413866,-84.5471250378
-120.822,0.6,8270.29997121,0.659054,0.0342156,-84.5877,1.13181,0.00621957,1.92803e-05,0.01,72.0055,-90.0889837249,1,100,100,0.216489,3.62565,123.23,-90.0889837249,88.3541865558,83.971841607,1.05965,8270.29997121,-90.0889837249
-119.441,0.6,7151.50717074,0.75265,0.0196613,-84.4575,1.05501,0.00738211,4.33289e-06,0.01,77.4047,-86.7056232056,1,100,100,0.0450405,2.00459,119.9,-86.7056232056,94.7861455027,95.8868548008,1.01956,7151.50717074,-86.7056232056
