ESSRenyi,MinVanillaIw,EpsThisIter,IterType,AvgDiscRet,VarJ,ESSClassic,AvgNormIw,VarRet,AvgEpLen,AvgVanillaIw,VanillaAvgRet,VarDiscRet,VarNormIw,AvgRet,J,eRenyi2,MaxVanillaIw,BatchSize,MaxNormIw,MinNormIw,VarVanillaIw,Bound
2.367700840767548,,100,1,111.84176680219848,3178.2732,1.7048229401654607,0.01,38126.43863718084,12.19,0.8092847,111.84176680219848,38126.43863718084,0.0058239535,111.84176680219848,1458.1987,42.235065,61.33199,100,0.75785434,,38.143494,452.0869
22.24026011900911,0.0016890359,100,1,264.3721266510679,1031.9904,11.110841665742349,0.010000002,73794.19979584016,27.45,1.233261,264.3721266510679,73794.19979584016,0.0008081029,264.3721266510679,672.0212,4.4963503,27.64568,100,0.2241673,1.3695689e-05,12.290703,334.81976
10.942647256641841,1.0730733e-10,100,1,632.1226194812957,3375.6,10.523564384784377,0.01,382372.0884010314,64.23,1.1072158,632.1226194812957,382372.0884010314,0.00085883687,632.1226194812957,1883.0823,9.1385565,22.830547,100,0.20619783,9.691637e-13,10.528711,1063.8458
9.030497962493552,6.7264123e-06,100,1,1433.114978259166,5990.2217,2.529586189081296,0.01,1300899.6135066992,144.3,1.5196936,1433.114978259166,1300899.6135066992,0.003892138,1433.114978259166,4070.5938,11.073586,94.57541,100,0.6223321,4.4261636e-08,89.8877,2670.2627
37.66063760028079,2.6451721e-06,100,1,3599.2538077258905,510.07788,41.476912041243196,0.010000002,2888866.164217337,360.43,1.199237,3599.2538077258905,2888866.164217337,0.00014252319,3599.2538077258905,4847.4243,2.6552923,4.9531593,100,0.04130259,2.2057126e-08,2.0497248,4161.711
74.73193376422536,0.055583335,100,1,4721.972616656306,168.79472,69.96000545285597,0.01,780761.4276126745,472.35,0.9654959,4721.972616656306,780761.4276126745,4.3372533e-05,4721.972616656306,4949.4277,1.338116,2.2092395,100,0.022881914,0.0005756973,0.40431112,4462.647
98.64766766565474,0.5311903,100,1,4982.936359431537,76.124756,98.93913803307048,0.01,17535.988181031622,498.32,1.0005528,4982.936359431537,17535.988181031622,1.0830448e-06,4982.936359431537,4989.53,1.0137087,1.1522646,100,0.01151628,0.005308968,0.010842426,4565.8447
196.29316416716003,0.8678562,100,,4972.936564266113,194.88661,98.12215848393684,0.009999998,17535.988181031622,498.32,1.0135164,4982.936359431537,47560.54931473146,1.9331294e-06,4982.936359431537,4975.504,1.0188842,1.8825645,200,0.018574584,0.008562824,0.0198574,4550.739
188.15536990104616,0.17705157,100,1,4955.994031127463,79.85754,188.3528539949823,0.005,109250.0896668445,495.645,1.0008559,4955.994031127463,109250.0896668445,1.55369e-06,4955.994031127463,4985.763,1.0629513,1.33279,200,0.006658251,0.0008845008,0.062254038,4678.9824
200.0,1.0,100,2,4918.811062641507,505.47076,100.0,0.009999998,258081.45640330864,491.92,1.0,4918.811062641507,258081.45640330864,3.5044917e-18,4918.811062641507,4918.8115,1.0,1.0,200,0.01,0.01,,4498.001
268.62187241620694,0.7503058,100,,4944.960741171633,323.86453,158.7548512881893,0.005,109250.0896668445,495.645,1.1194175,4955.994031127463,141439.65233864234,6.5277395e-06,4955.994031127463,4955.1943,1.1168115,5.6480713,300,0.025227726,0.0033513224,0.3271952,4640.7373
277.7225575727104,0.1927651,100,1,4958.799442561066,72.24044,278.0004641041546,0.0033333334,95591.50996266394,495.92,0.9995756,4958.799442561066,95591.50996266394,8.8221714e-07,4958.799442561066,4988.8267,1.0802147,1.3997691,300,0.004667878,0.0006428232,0.07933215,4736.3154
300.0,1.0,100,2,4965.614471088809,208.2158,100.0,0.009999998,43791.74289524874,496.6,1.0,4965.614471088809,43791.74289524874,3.5044917e-18,4965.614471088809,4965.6143,1.0,1.0,300,0.01,0.01,,4544.8037
300.0,1.0,100,2,4972.860828967193,186.90886,200.00000010221265,0.0049999994,35110.4772703938,497.32,1.0,4972.860828967193,35110.4772703938,2.179301e-19,4972.860828967193,4972.861,1.0,1.0,300,0.005,0.005,,4675.3027
286.2187863697216,0.26097322,100,1,4975.5546971923095,52.722878,284.9702039909558,0.0033333332,27484.31631241576,497.59,0.9856439,4975.5546971923095,27484.31631241576,5.879784e-07,4975.5546971923095,4991.9653,1.0481492,1.2555073,300,0.00424598,0.0008825811,0.05140956,4743.23
300.0,1.0,100,2,4953.543822826839,461.6974,100.0,0.009999998,215317.66962547528,495.37,1.0,4953.543822826839,215317.66962547528,3.5044917e-18,4953.543822826839,4953.544,1.0,1.0,300,0.01,0.01,,4532.7334
300.0,1.0,100,2,4972.628971044703,332.07608,200.00000010221265,0.0049999994,110828.66083201412,497.28,1.0,4972.628971044703,110828.66083201412,2.179301e-19,4972.628971044703,4972.629,1.0,1.0,300,0.005,0.005,,4675.071
289.0246469713701,0.17591299,100,1,4978.521013765332,88.52781,288.08492396834487,0.0033333332,76363.09268132686,497.87333333333333,0.98736787,4978.521013765332,76363.09268132686,4.6108906e-07,4978.521013765332,4992.1606,1.0379738,1.2669532,300,0.004277208,0.0005938786,0.04045622,4744.6357
300.0,1.0,100,2,4990.530859437406,93.53296,100.0,0.009999998,8836.782075608753,499.07,1.0,4990.530859437406,8836.782075608753,3.5044917e-18,4990.530859437406,4990.5303,1.0,1.0,300,0.01,0.01,,4569.7197
300.0,1.0,100,2,4995.2320774939835,66.30468,200.00000010221265,0.0049999994,4418.402707230854,499.535,1.0,4995.2320774939835,4418.402707230854,2.179301e-19,4995.2320774939835,4995.232,1.0,1.0,300,0.005,0.005,,4697.674
