MaxVanillaIw,AvgDiscRet,eRenyi2,MinNormIw,AvgVanillaIw,ESSRenyi,Bound,VarVanillaIw,IterType,MinVanillaIw,AvgNormIw,ESSClassic,VanillaAvgRet,VarNormIw,J,VarRet,AvgRet,VarDiscRet,BatchSize,VarJ,Delta,AvgEpLen,EpsThisIter,MaxNormIw
4.44573,-1440.71148367,2.54509,3.7716e-12,1.14309,39.291356706,-1249.53,1.93736,1,4.31127e-10,0.01,40.5207663491,-1440.71148367,0.00014827,-1144.3,139465.810687,-1440.71148367,139465.810687,100,60.2293,0.9,500.0,100,0.0388923
1.80587,-1158.95058499,1.16076,0.00130235,1.01985,86.1502109233,-1208.47,0.158605,1,0.132821,0.01,86.8835564166,-1158.95058499,1.52491e-05,-1138.12,19866.5967109,-1158.95058499,19866.5967109,100,34.4551,0.9,500.0,100,0.0177072
1.19483,-1135.55398831,1.01206,0.00642803,1.01368,98.8087389689,-1177.25,0.00879639,1,0.651597,0.01,99.1596160156,-1135.55398831,8.56055e-07,-1134.99,186.094087858,-1135.55398831,186.094087858,100,9.42248,0.9,500.0,100,0.011787
60.9194,-1130.0482837,13.2776,2.20549e-12,1.07187,7.53147277421,-1068.19,37.5932,1,2.36401e-10,0.01,2.99460520608,-1130.0482837,0.00327206,-901.256,3341.80045633,-1130.0482837,3341.80045633,100,817.491,0.9,500.0,100,0.568344
4.23011e+09,-1120.37412531,0.140503,2.22605e-12,7.37411e+07,1423.45695693,-inf,2.74207e+17,,0.0164151,0.01,1.96377434344,-1130.0482837,0.00504266,-1133.87,3341.80045633,-1130.0482837,12152.7146534,200,2.03298,0.9,500.0,100,0.573643
8.20729,-1138.50592673,1.97278,1.30479e-05,1.05352,101.379779342,-1162.42,1.09192,1,0.00274925,0.005,101.067841272,-1138.50592673,2.45947e-05,-1109.5,2158.9879526,-1138.50592673,2158.9879526,200,244.941,0.9,500.0,100,0.0389516
1.0,-1128.50671707,1.0,0.01,1.0,200.0,-1182.03,,2,1.0,0.01,100.0,-1128.50671707,3.50449e-18,-1128.51,11779.3264458,-1128.50671707,11779.3264458,200,107.989,0.9,500.0,100,0.01
130.83,-1134.16963548,10.8551,8.34439e-08,2.21608,18.4245506519,-1005.25,168.295,1,3.69837e-05,0.005,5.69842334192,-1134.16963548,0.000856719,-850.026,26701.2681991,-1134.16963548,26701.2681991,200,708.783,0.9,500.0,100,0.295184
1.0,-1097.5620668,1.0,0.01,1.0,200.0,-1146.47,,2,1.0,0.01,100.0,-1097.5620668,3.50449e-18,-1097.56,15867.9194539,-1097.5620668,15867.9194539,200,125.337,0.9,500.0,100,0.01
27038.9,-1093.6787419,3.2862,9.50328e-08,402.15,91.2908447404,-1293.18,7.53722e+06,,0.00764349,0.005,4.22188345481,-1134.16963548,0.00116513,-1230.49,26701.2681991,-1134.16963548,17423.0404033,300,1140.43,0.9,500.0,100,0.33618
201.391,-1157.11821578,9.04022,2.13346e-06,1.71946,33.1850321509,-1049.52,145.202,1,0.00110052,0.00333333,6.00622526509,-1157.11821578,0.000545687,-933.853,21939.2559336,-1157.11821578,21939.2559336,300,946.09,0.9,500.0,100,0.390413
1.0,-1096.32784109,1.0,0.01,1.0,300.0,-1161.67,,2,1.0,0.01,100.0,-1096.32784109,3.50449e-18,-1096.33,30970.4769348,-1096.32784109,30970.4769348,300,175.102,0.9,500.0,100,0.01
1.0,-1110.54672595,1.0,0.005,1.0,300.0,-1149.64,,2,1.0,0.005,200.000000102,-1110.54672595,2.1793e-19,-1103.44,21912.7788414,-1110.54672595,21912.7788414,300,161.95,0.9,500.0,100,0.005
908.658,-1099.31329983,nan,1.03632e-06,15.9715,nan,-inf,4604.3,,0.00496548,0.00333333,15.798043209,-1157.11821578,0.000200554,-1112.73,21939.2559336,-1157.11821578,17337.1675137,400,253.368,0.9,500.0,100,0.189642
285.479,-1148.67428177,12.0061,4.98428e-07,1.75989,33.3163215823,-1057.05,216.981,1,0.00035087,0.0025,5.64318102685,-1148.67428177,0.000437857,-941.613,7581.08572632,-1148.67428177,7581.08572632,400,1177.16,0.9,500.0,100,0.405537
1.0,-1099.76425547,1.0,0.01,1.0,400.0,-1152.06,,2,1.0,0.01,100.0,-1099.76425547,3.50449e-18,-1099.76,17144.0523918,-1099.76425547,17144.0523918,400,130.279,0.9,500.0,100,0.01
1.0,-1118.27539405,1.0,0.005,1.0,400.0,-1155.26,,2,1.0,0.005,200.000000102,-1118.27539405,2.1793e-19,-1109.02,23442.5918022,-1118.27539405,23442.5918022,400,142.042,0.9,500.0,100,0.005
1.0,-1090.55343932,1.0,0.00333333,1.0,400.0,-1140.63,,2,1.0,0.00333333,299.999969474,-1090.55343932,5.43914e-20,-1102.86,35374.3163954,-1090.55343932,35374.3163954,400,158.745,0.9,500.0,100,0.00333333
2850.06,-1106.21212911,nan,2.30706e-07,37.9583,nan,-inf,46034.3,,0.00350288,0.0025,12.1691868673,-1148.67428177,0.000199686,-1086.1,7581.08572632,-1148.67428177,22487.7855941,500,711.28,0.9,500.0,100,0.18771
206.988,-1132.77711159,11.7091,7.96083e-07,1.50587,42.7017197467,-1072.57,97.6525,1,0.0005994,0.002,11.3695640021,-1132.77711159,0.000172253,-970.606,15455.8369162,-1132.77711159,15455.8369162,500,1173.55,0.9,500.0,100,0.274908
1.0,-1078.02603473,1.0,0.01,1.0,500.0,-1120.39,,2,1.0,0.01,100.0,-1078.02603473,3.50449e-18,-1078.03,19011.7285286,-1078.02603473,19011.7285286,500,137.192,0.9,500.0,100,0.01
1.0,-1094.40124354,1.0,0.005,1.0,500.0,-1132.45,,2,1.0,0.005,200.000000102,-1094.40124354,2.1793e-19,-1086.21,36751.7376869,-1094.40124354,36751.7376869,500,166.343,0.9,500.0,100,0.005
1.0,-1107.0996721,1.0,0.00333333,1.0,500.0,-1130.93,,2,1.0,0.00333333,299.999969474,-1107.0996721,5.43914e-20,-1093.18,24617.442875,-1107.0996721,24617.442875,500,163.301,0.9,500.0,100,0.00333333
1.0,-1115.57569775,1.0,0.0025,1.0,500.0,-1131.47,,2,1.0,0.0025,400.0,-1115.57569775,5.4346e-20,-1098.78,32555.0802814,-1115.57569775,32555.0802814,500,167.785,0.9,500.0,100,0.0025
101.913,-1112.78676602,29.4356,,0.921423,16.9862308917,-926.096,36.1532,1,,0.002,11.4950204818,-1112.78676602,0.000170329,-767.442,22635.4352651,-1112.78676602,22635.4352651,500,659.647,0.9,500.0,100,0.221208
1.0,-815.930110549,1.0,0.01,1.0,500.0,-881.27,,2,1.0,0.01,100.0,-815.930110549,3.50449e-18,-815.93,48094.4526121,-815.930110549,48094.4526121,500,218.205,0.9,500.0,100,0.01
1.0,-815.688409513,1.0,0.005,1.0,500.0,-862.019,,2,1.0,0.005,200.000000102,-815.688409513,2.1793e-19,-815.809,56968.331569,-815.688409513,56968.331569,500,228.048,0.9,500.0,100,0.005
1.0,-774.247838897,1.0,0.00333333,1.0,500.0,-839.686,,2,1.0,0.00333333,299.999969474,-774.247838897,5.43914e-20,-801.955,29085.8147316,-774.247838897,29085.8147316,500,211.312,0.9,500.0,100,0.00333333
1.0,-780.115471626,1.0,0.0025,1.0,500.0,-829.184,,2,1.0,0.0025,400.0,-780.115471626,5.4346e-20,-796.495,40476.8752183,-780.115471626,40476.8752183,500,208.799,0.9,500.0,100,0.0025
