Delta,MaxNormIw,AvgNormIw,AvgEpLen,AvgVanillaIw,AvgDiscRet,VarRet,VarNormIw,VarVanillaIw,ESSRenyi,VarDiscRet,IterType,J,VarJ,MinNormIw,ESSClassic,eRenyi2,EpsThisIter,AvgRet,VanillaAvgRet,MaxVanillaIw,BatchSize,Bound,MinVanillaIw
0.2,0.07111738,0.01,11.89,1.0377715,108.8423725164873,27085.56038992746,0.00020880025,2.2487152,37.20181060524219,27085.56038992746,1,285.8907,620.9075,0.00014927369,32.603854708604906,2.6880412,100,108.8423725164873,108.8423725164873,7.3803587,100,3.947235,0.015491197
0.2,0.031070564,0.01,28.1,0.9306309,270.90524457108654,170676.31717331093,3.952905e-05,0.3423508,76.76254639917511,170676.31717331093,1,426.4145,858.9952,8.345463e-05,71.87327153868168,1.3027186,100,270.90524457108654,270.90524457108654,2.891523,100,-372.54047,0.007766546
0.2,0.18772508,0.01,37.79,1.013286,367.9732086271673,508985.15901789436,0.0004896617,5.0275936,31.900947208443508,508985.15901789436,1,1756.1685,7129.141,3.7185407e-07,17.10088452361127,3.1347032,100,367.9732086271673,367.9732086271673,19.02192,100,-14.284302,3.7679452e-05
0.2,0.1264054,0.01,99.12,1.2905768,981.8071873693411,1776641.0061890238,0.00038496326,6.411903,22.744721210274186,1776641.0061890238,1,2741.1616,4738.834,1.09055945e-05,20.785113777093713,4.3966246,100,981.8071873693411,981.8071873693411,16.313587,100,644.3489,0.0014074508
0.2,0.07529831,0.01,219.24,1.0366113,2185.1463182884268,4038924.9997602785,0.00027294736,2.9329915,30.600122377026736,4038924.9997602785,1,4393.3247,1560.429,7.89723e-12,27.011118551049183,3.2679608,100,2185.1463182884268,2185.1463182884268,7.8055077,100,2585.5745,8.186358e-10
0.2,0.03095612,0.01,399.34,0.9716735,3989.9553338990645,2704346.0733906054,6.542803e-05,0.61773837,64.75954819515916,2704346.0733906054,1,4775.8003,564.7053,9.089562e-05,60.68927171034005,1.5441738,100,3989.9553338990645,3989.9553338990645,3.007924,100,3533.1523,0.008832087
0.2,0.013341757,0.010000002,482.23,1.0156568,4821.4721809493585,653635.6007012448,6.0251173e-06,0.062152617,93.27012742546742,653635.6007012448,1,4925.323,358.8647,0.00076664693,94.37089238694152,1.0721546,100,4821.4721809493585,4821.4721809493585,1.3550646,100,3889.8743,0.07786502
0.2,0.011397091,0.009999998,497.3,0.9948643,4972.666596811347,64818.389255801856,7.3993203e-07,0.007323514,99.40494078321814,64818.389255801856,1,4979.252,193.67432,0.00698648,99.27281046127509,1.0059862,100,4972.666596811347,4972.666596811347,1.1338558,100,3976.2634,0.69505996
0.2,0.012308477,0.010000002,492.36,1.002164,4923.21863310003,279094.08736803016,3.7571392e-06,0.037734173,97.07607861435214,279094.08736803016,1,4968.9487,189.51767,0.0026584172,96.413811451526,1.0301199,100,4923.21863310003,4923.21863310003,1.2335113,100,3954.0005,0.266417
0.2,0.010037982,0.010000002,499.9,0.9998937,4998.807662810518,120.92411303319949,1.0538145e-09,1.05359e-05,99.99899865199485,120.92411303319949,1,4998.822,10.80545,0.009874411,99.998962300135,1.00001,100,4998.807662810518,4998.807662810518,1.0036916,100,3998.817,0.98733616
