MaxNormIw,J,VarRet,ESSClassic,VarVanillaIw,AvgRet,BatchSize,VarDiscRet,Bound,VanillaAvgRet,AvgNormIw,VarNormIw,MinVanillaIw,AvgEpLen,AvgDiscRet,AvgVanillaIw,VarJ,MinNormIw,ESSRenyi,eRenyi2,MaxVanillaIw
0.8654488,282.68988,10227.808512365953,1.3178841213628685,73.809654,107.93890164360731,100,10227.808512365953,229.96645,107.93890164360731,0.01,0.0075635584,,11.8,2.7000623958883807e-15,0.9878556,87.91048,,2.602545519528225,38.42392,85.49384
0.95839393,1353.7372,145284.55998713878,1.0884650590183063,498.1024,420.8377874126204,100,145284.55998713878,1085.6906,420.8377874126204,0.01,0.009179041,,43.1,1.1368683772161604e-14,2.3294892,448.4015,,1.4302824598344142,69.91626,223.25684
0.61073655,3110.9138,1440495.747371655,2.078052550278319,356.26303,1734.3961453667134,100,1440495.7473716552,2347.1292,1734.3961453667134,0.010000002,0.004759796,,174.44,2.2282620193436741e-13,2.7358432,1229.8212,,1.746599084205459,57.254124,167.08794
0.5691672,1580.7799,2735540.998328142,2.863327268470707,150.05093,3221.217797191065,100,2735540.998328142,1035.2278,3221.217797191065,0.009999999,0.003426707,6.0006454e-36,322.88,-4.547473508864641e-15,2.0925741,1308.7308,2.8675906e-38,6.50120153460636,15.381772,119.10245
0.41941205,1115.2896,1261853.5995169368,3.611255313989591,16.625647,3803.288877714209,100,1261853.5995169368,723.9314,3803.288877714209,0.010000002,0.0026960808,2.0208089e-17,381.16,-1.8644641386345028e-13,0.7852768,483.89404,2.5733713e-19,5.8275130043879075,17.159979,32.935455
0.3750389,500.29593,985912.0524194237,5.458600131820395,72.12195,4395.617628074961,100,985912.0524194236,239.2944,4395.617628074961,0.01,0.0017494662,,440.08,8.822098607197404e-13,2.030397,554.33105,,10.237054847306624,9.768435,76.14778
0.27557147,511.1979,900321.078163694,6.632624758249726,11.175927,4439.761448218886,100,900321.078163694,248.72467,4439.761448218886,0.009999999,0.001421918,,444.52,8.640199666842818e-14,0.88655275,251.05139,,9.243796746772002,10.818066,24.430864
0.16163626,618.83887,1277275.0964888409,11.56608994647269,11.332493,4322.155463930205,100,1277275.0964888409,347.93857,4322.155463930205,0.010000002,0.00077231956,1.0543815e-25,432.73,-3.9108272176235914e-13,1.2113348,247.13753,8.704294e-28,12.310862618382936,8.122908,19.579563
0.115351185,485.46265,843639.4950734525,14.71453848076489,6.1140766,4468.776671681035,100,843639.4950734522,272.57318,4468.776671681035,0.010000002,0.0005854545,1.1278501e-12,447.4,2.0008883439004421e-13,1.0219246,172.81177,1.10365284e-14,13.166538296467605,7.5950108,11.788022
0.14349483,498.44687,1019789.7040027952,11.095087119338043,8.545936,4446.68697751086,100,1019789.7040027954,248.00212,4446.68697751086,0.010000002,0.00080939376,4.645875e-16,445.22,-2.2737367544323206e-13,1.0275426,251.94691,4.5213452e-18,11.500318059180943,8.695412,14.744706
0.13961598,477.1312,950766.1001498364,12.214584917830678,20.124458,4451.0329665282925,100,950766.1001498364,241.31789,4451.0329665282925,0.010000002,0.00072595273,9.6265984e-23,445.64,-3.637978807091713e-14,1.6649756,346.52695,5.7818253e-25,12.093727495302415,8.268749,23.24572
0.24782908,552.3153,715451.5246698018,6.810076317530849,19.398447,4399.533971660887,100,715451.5246698018,330.44485,4399.533971660887,0.010000002,0.0013822346,2.0914036e-14,440.61,-3.228706191293895e-13,1.1846569,235.92734,1.7654087e-16,10.280263696858027,9.727377,29.359243
0.32981387,446.58313,579181.3304475879,5.564006865491226,12.5676565,4525.326898094358,100,579181.3304475879,230.55083,4525.326898094358,0.010000002,0.0017144103,,453.14,4.82032191939652e-13,0.85618937,164.05211,,8.778093409054703,11.391995,28.238312
0.18716101,523.22424,483484.8659968214,7.997516657485073,20.145292,4448.226987642077,100,483484.86599682114,313.63318,4448.226987642077,0.01,0.0011620083,1.6342126e-38,445.5,4.2746250983327625e-13,1.3166859,144.59827,1.24116e-40,7.78503197942495,12.845162,24.643227
