Delta,AvgDiscRet,VarNormIw,VarRet,AvgRet,ESSRenyi,VarDiscRet,AvgNormIw,IterType,MaxVanillaIw,VanillaAvgRet,MinVanillaIw,ESSClassic,VarJ,Bound,MaxNormIw,eRenyi2,VarVanillaIw,AvgEpLen,J,MinNormIw,BatchSize,EpsThisIter,AvgVanillaIw
0.7,-316.368276557,0.000401995,22064.8357928,-316.368276557,14.9812901035,22064.8357928,0.01,1,12.0114,-316.368276557,6.15705e-21,20.0813367439,89.7912,-159.26,0.0749342,6.67499,10.3287,388.84,-88.708,3.84113e-23,100,100,1.60293
0.7,-100.073886357,4.6833e-05,8701.65060436,-100.073886357,67.5737062281,8701.65060436,0.01,1,2.03317,-100.073886357,0.000143773,68.3225254016,35.9529,-107.163,0.0201333,1.47987,0.477606,137.37,-73.9429,1.4237e-06,100,100,1.00985
0.7,-86.6362522681,4.06677e-05,5925.58208158,-86.6362522681,72.8797951938,5925.58208158,0.01,1,1.86163,-86.6362522681,0.0217797,71.2956814553,45.7836,-106.892,0.0200289,1.37212,0.351337,120.77,-74.9038,0.000234323,100,100,0.929474
0.7,-97.9317658412,0.000181594,10328.2683413,-97.9317658412,43.7468950978,10328.2683413,0.01,1,4.03294,-97.9317658412,3.31953e-06,35.7426027421,61.7795,-116.138,0.0510976,2.28588,1.13121,132.07,-74.8504,4.20587e-08,100,100,0.789261
0.7,-79.960623493,2.31637e-06,4904.48243085,-79.960623493,95.8252551842,4904.48243085,0.01,1,1.84912,-79.960623493,0.836644,97.7582036163,62.4182,-106.375,0.0187608,1.04357,0.0225026,111.58,-78.4782,0.00848843,100,100,0.985628
0.7,-85.5090260364,3.99627e-05,6046.13646548,-85.5090260364,74.1670384475,6046.13646548,0.01,1,2.16152,-85.5090260364,0.0390055,71.6521847776,54.9013,-105.837,0.0230214,1.34831,0.352298,118.14,-74.1271,0.00041543,100,100,0.938917
0.7,-76.0783914438,3.30444e-05,3791.90223182,-76.0783914438,73.1010443245,3791.90223182,0.01,1,1.87273,-76.0783914438,0.00827441,75.3500749099,18.9692,-98.2147,0.0176435,1.36797,0.372286,106.05,-66.2752,7.79555e-05,100,100,1.06143
0.7,-73.1195320329,2.63006e-05,2564.20546025,-73.1195320329,83.2553458256,2564.20546025,0.01,1,1.76724,-73.1195320329,0.016844,79.3414040867,18.8994,-97.6651,0.0193012,1.20112,0.220489,103.67,-67.7367,0.000183964,100,100,0.91561
0.7,-80.403099269,5.5255e-05,4895.04893728,-80.403099269,63.6601492596,4895.04893728,0.01,1,2.1771,-80.403099269,0.00137637,64.6402366048,21.6214,-100.804,0.0210858,1.57084,0.589044,111.93,-66.5777,1.33305e-05,100,100,1.0325
0.7,-80.2350703868,1.78846e-05,4918.39717891,-80.2350703868,85.4058428105,4918.39717891,0.01,1,2.40386,-80.2350703868,0.0959252,84.9576424324,55.0572,-105.111,0.0237513,1.17088,0.183199,111.68,-75.5617,0.000947787,100,100,1.0121
0.7,-85.7162003325,2.28426e-05,7198.40639763,-85.7162003325,81.7309970693,7198.40639763,0.01,1,2.17548,-85.7162003325,0.0148873,81.5566529296,62.2594,-107.16,0.0221383,1.22353,0.22058,117.97,-76.953,0.000151498,100,100,0.982676
0.7,-79.2063326836,2.26633e-05,4919.99630857,-79.2063326836,84.542280271,4919.99630857,0.01,1,1.80009,-79.2063326836,0.12561,81.674882234,54.0284,-102.912,0.0195,1.18284,0.193128,110.73,-73.2121,0.0013607,100,100,0.923126
0.7,-77.5630698901,4.10631e-05,4959.32736229,-77.5630698901,73.791713091,4959.32736229,0.01,1,2.22783,-77.5630698901,0.00049578,71.097216811,44.5848,-100.735,0.0226764,1.35517,0.39634,108.2,-68.9449,5.0464e-06,100,100,0.982444
0.7,-82.9304905091,2.95597e-05,6060.94526693,-82.9304905091,79.7847907047,6060.94526693,0.01,1,1.77312,-82.9304905091,0.0580856,77.3610163678,61.0985,-104.304,0.0184112,1.25337,0.274166,115.18,-73.7318,0.000603131,100,100,0.963068
0.7,-79.8135454777,2.17448e-05,4943.01766799,-79.8135454777,81.4917782135,4943.01766799,0.01,1,1.81585,-79.8135454777,0.0582477,82.2859924803,56.3813,-105.769,0.0178898,1.22712,0.224029,111.38,-75.5201,0.000573859,100,100,1.01502
0.7,-71.3863859025,1.04703e-05,2605.03761719,-71.3863859025,90.7954601664,2605.03761719,0.01,1,1.39549,-71.3863859025,0.0289882,90.6079948465,15.522,-93.7154,0.0136179,1.10138,0.109949,100.85,-65.057,0.000282881,100,100,1.02475
0.7,-74.2916331975,1.29022e-05,3803.85139109,-74.2916331975,87.758603915,3803.85139109,0.01,1,1.67841,-74.2916331975,0.155415,88.6735552053,39.2992,-98.7014,0.0166438,1.13949,0.131207,104.48,-69.5512,0.00154115,100,100,1.00843
0.7,-82.6470590104,3.05292e-05,6069.11746982,-82.6470590104,76.3637538786,6069.11746982,0.01,1,2.50942,-82.6470590104,0.018709,76.7908274314,52.2853,-106.768,0.0248844,1.30952,0.310462,113.36,-75.5178,0.000185526,100,100,1.00843
0.7,-82.4605911346,4.10297e-05,6087.35330461,-82.4605911346,73.8710754322,6087.35330461,0.01,1,2.04695,-82.4605911346,0.00516279,71.1139418129,50.9039,-106.123,0.0218668,1.35371,0.359536,113.99,-74.3502,5.51521e-05,100,100,0.936101
0.7,-71.5438410297,1.3688e-05,2597.94192602,-71.5438410297,89.2795752014,2597.94192602,0.01,1,1.4936,-71.5438410297,0.10382,88.0660800655,19.292,-95.2862,0.0154963,1.12008,0.12716,100.8,-66.389,0.00107714,100,100,0.963844
