AvgDiscRet,Bound,BatchSize,Delta,MinNormIw,MaxNormIw,IterType,AvgNormIw,VanillaAvgRet,VarRet,ESSClassic,EpsThisIter,AvgRet,J,VarJ,VarNormIw,MaxVanillaIw,eRenyi2,VarVanillaIw,AvgVanillaIw,MinVanillaIw,VarDiscRet,AvgEpLen,ESSRenyi
148.23435896617477,1190.7683,100,0.9,1.1443225e-16,0.53402394,1,0.01,148.23435896617477,83958.67826312238,2.6086637539122326,100,148.23435896617477,1537.4324,1503.5322,0.0037710913,161.80107,34.14945,346.18512,3.029847,3.4671217e-14,83958.67826312238,15.83,2.9283049858954455
766.3392292067122,-37521.65,200,0.9,9.9768636e-17,0.46559286,,0.009999999,148.23435896617477,83958.67826312238,2.817095145854738,100,148.23435896617477,252.0607,1115.1227,0.0034846023,28842366000000.0,51372.29,1.3372185e+25,619476160000.0,0.006180429,935549.9574027515,15.83,0.003893149471238826
97.6412904015059,1257.8478,200,0.9,,0.70025927,1,0.005,97.6412904015059,7833.857347042604,1.9041536033013258,100,97.6412904015059,1596.7441,1921.3566,0.0026139081,340.50867,65.27243,618.0577,2.4313042,,7833.857347042604,10.77,3.064080787452305
785.0889909093073,618.4231,200,0.9,0.01,0.01,2,0.009999998,785.0889909093073,1286852.8382642097,100.0,100,785.0889909093073,785.08887,1128.7091,3.5044917e-18,1.0,1.0,,1.0,1.0,1286852.8382642097,79.5,200.0
678.505616509418,nan,300,0.9,nan,nan,,nan,97.6412904015059,7833.857347042604,nan,100,97.6412904015059,nan,nan,nan,inf,inf,nan,inf,0.0029367828,881176.4229017335,10.77,
107.54677848749593,1379.142,300,0.9,,0.8994108,1,0.0033333332,107.54677848749593,25096.154775191146,1.2333279214356214,100,107.54677848749593,1687.6604,1523.8213,0.0027006054,448.47336,81.14273,671.45715,1.6621007,,25096.154775191146,11.76,3.697188859239869
559.4427312168633,392.7761,300,0.9,0.01,0.01,2,0.009999998,559.4427312168633,659742.4343863584,100.0,100,559.4427312168633,559.4427,808.1738,3.5044917e-18,1.0,1.0,,1.0,1.0,659742.4343863584,56.94,300.0
753.1384365599781,538.4396,300,0.9,0.005,0.005,2,0.0049999994,753.1384365599781,1456564.5094004795,200.00000010221265,100,753.1384365599781,656.29065,1028.0814,2.179301e-19,1.0,1.0,,1.0,1.0,1456564.5094004795,76.28,300.0
546.7292782908781,nan,400,0.9,nan,nan,,nan,107.54677848749593,25096.154775191146,nan,100,107.54677848749593,nan,nan,nan,inf,nan,nan,inf,0.002229787,787286.6115928104,11.76,nan
108.94005508578648,1297.4978,400,0.9,,0.84587,1,0.0025,108.94005508578648,12241.738325445816,1.3856983369709182,100,108.94005508578648,1656.2169,2179.4592,0.0018024006,724.28784,146.26321,1321.4977,2.1406593,,12241.738325445816,11.9,2.734795638331456
854.6795860984197,688.0129,400,0.9,0.01,0.01,2,0.009999998,854.6795860984197,1297313.0102765895,100.0,100,854.6795860984197,854.67957,1133.2872,3.5044917e-18,1.0,1.0,,1.0,1.0,1297313.0102765895,86.45,400.0
1007.4917489215519,813.2345,400,0.9,0.005,0.005,2,0.0049999994,1007.4917489215519,1478389.3781554978,200.00000010221265,100,1007.4917489215519,931.08563,1174.6533,2.179301e-19,1.0,1.0,,1.0,1.0,1478389.3781554978,101.72,400.0
863.6201238202007,812.37213,400,0.9,0.0033333334,0.0033333334,2,0.0033333336,863.6201238202007,1607321.6845917867,299.999969473632,100,863.6201238202007,908.59717,1204.6997,5.4391416e-20,1.0,1.0,,1.0,1.0,1607321.6845917867,87.32,400.0
967.8210173960422,nan,500,0.9,nan,nan,,nan,108.94005508578648,12241.738325445816,nan,100,108.94005508578648,nan,nan,nan,inf,7.1521304e-09,nan,inf,0.0013806666,1827305.5721833385,11.9,69909239485.18283
124.33778157093816,1260.7567,500,0.9,,0.79869694,1,0.0019999999,124.33778157093816,30029.62922335965,1.534038607452435,100,124.33778157093816,1645.7523,2522.0098,0.0013023529,1067.1674,210.59473,2325.0369,2.672271,,30029.62922335965,13.44,2.3742284916693333
1194.0003898517875,1027.3348,500,0.9,0.01,0.01,2,0.009999998,1194.0003898517875,2368130.949091922,100.0,100,1194.0003898517875,1194.0004,1531.1594,3.5044917e-18,1.0,1.0,,1.0,1.0,2368130.949091922,120.33,500.0
1027.0677389764742,992.68304,500,0.9,0.005,0.005,2,0.0049999994,1027.0677389764742,1852221.3978280106,200.00000010221265,100,1027.0677389764742,1110.5339,1447.771,2.179301e-19,1.0,1.0,,1.0,1.0,1852221.3978280106,103.68,500.0
1223.0787683296348,1051.8239,500,0.9,0.0033333334,0.0033333334,2,0.0033333336,1223.0787683296348,2543131.3215067517,299.999969473632,100,1223.0787683296348,1148.0488,1496.4655,5.4391416e-20,1.0,1.0,,1.0,1.0,2543131.3215067517,123.22,500.0
1067.4712681318033,1044.571,500,0.9,0.0025,0.0025,2,0.0024999997,1067.4712681318033,2038872.829096486,400.0,100,1067.4712681318033,1127.9044,1478.3081,5.434597e-20,1.0,1.0,,1.0,1.0,2038872.829096486,107.69,500.0
980.4106559300519,4449.82,500,0.9,,0.13439444,1,0.002,980.4106559300519,2189139.4866995327,15.992405561519433,100,980.4106559300519,4880.301,822.4199,0.00012130198,115.91871,33.356483,90.24276,1.7250522,,2189139.4866995327,98.96,14.989589673248629
4317.032502624195,4150.3657,500,0.9,0.01,0.01,2,0.009999998,4317.032502624195,2209911.8995914236,100.0,100,4317.032502624195,4317.032,1479.1256,3.5044917e-18,1.0,1.0,,1.0,1.0,2209911.8995914236,431.94,500.0
4356.099483106922,4218.7153,500,0.9,0.005,0.005,2,0.0049999994,4356.099483106922,2085214.269691247,200.00000010221265,100,4356.099483106922,4336.5664,1458.2417,2.179301e-19,1.0,1.0,,1.0,1.0,2085214.269691247,435.84,500.0
4542.104350238104,4308.854,500,0.9,0.0033333334,0.0033333334,2,0.0033333336,4542.104350238104,1430584.770905219,299.999969473632,100,4542.104350238104,4405.079,1378.0883,5.4391416e-20,1.0,1.0,,1.0,1.0,1430584.770905219,454.41,500.0
4447.173400472497,4332.269,500,0.9,0.0025,0.0025,2,0.0024999997,4447.173400472497,1699078.854744857,400.0,100,4447.173400472497,4415.6025,1358.3811,5.434597e-20,1.0,1.0,,1.0,1.0,1699078.854744857,444.94,500.0
4359.4594997113845,4858.628,500,0.9,2.924868e-10,0.011227252,1,0.002,4359.4594997113845,1799083.3169126078,191.27763978841668,100,4359.4594997113845,4983.0586,76.240524,6.468942e-06,6.3750343,2.786949,2.0856977,1.1356357,1.6607925e-07,1799083.3169126078,436.2,179.40766568705376
4981.014866966542,4814.348,500,0.9,0.01,0.01,2,0.009999998,4981.014866966542,35398.79660290946,100.0,100,4981.014866966542,4981.0146,187.20259,3.5044917e-18,1.0,1.0,,1.0,1.0,35398.79660290946,498.13,500.0
4973.6533164031225,4859.483,500,0.9,0.005,0.005,2,0.0049999994,4973.6533164031225,68669.47430181885,200.00000010221265,100,4973.6533164031225,4977.334,226.99635,2.179301e-19,1.0,1.0,,1.0,1.0,68669.47430181885,497.39,500.0
4966.424162139429,4877.472,500,0.9,0.0033333334,0.0033333334,2,0.0033333336,4966.424162139429,101325.81702853141,299.999969473632,100,4966.424162139429,4973.6973,260.41415,5.4391416e-20,1.0,1.0,,1.0,1.0,101325.81702853141,496.68,500.0
4986.321787464319,4893.521,500,0.9,0.0025,0.0025,2,0.0024999997,4986.321787464319,18244.694982623394,400.0,100,4986.321787464319,4976.8545,235.38712,5.434597e-20,1.0,1.0,,1.0,1.0,18244.694982623394,498.66,500.0
4970.233148339332,4917.7383,500,0.9,6.043878e-05,0.003206215,1,0.002,4970.233148339332,82452.39485280585,447.67125088388644,100,4970.233148339332,4996.2036,36.83794,4.685011e-07,1.607584,1.1082277,0.1177803,1.0027924,0.030303773,82452.39485280585,497.06,451.17080772868206
4967.777428689616,4801.111,500,0.9,0.01,0.01,2,0.009999998,4967.777428689616,62518.33541690282,100.0,100,4967.777428689616,4967.7773,248.78333,3.5044917e-18,1.0,1.0,,1.0,1.0,62518.33541690282,496.81,500.0
4999.847715862544,4865.9614,500,0.9,0.005,0.005,2,0.0049999994,4999.847715862544,0.02220898485517798,200.00000010221265,100,4999.847715862544,4983.8125,176.64574,2.179301e-19,1.0,1.0,,1.0,1.0,0.02220898485517798,500.0,500.0
4997.378643144508,4892.1094,500,0.9,0.0033333334,0.0033333334,2,0.0033333336,4997.378643144508,624.7374293630313,299.999969473632,100,4997.378643144508,4988.3345,145.08458,5.4391416e-20,1.0,1.0,,1.0,1.0,624.7374293630313,499.76,500.0
4999.883812114062,4907.888,500,0.9,0.0025,0.0025,2,0.0024999997,4999.883812114062,0.01883259171972019,400.0,100,4999.883812114062,4991.2217,125.74644,5.434597e-20,1.0,1.0,,1.0,1.0,0.01883259171972019,500.0,500.0
4999.881330760407,4921.8843,500,0.9,0.00049620325,0.002565886,1,0.002,4999.881330760407,0.011844910379553424,477.98681924644893,100,4999.881330760407,4997.99,29.655941,1.8458435e-07,1.2733668,1.0425853,0.04545977,0.99253577,0.24624975,0.011844910379553424,500.0,479.57708803009064
4999.863003338982,4833.1963,500,0.9,0.01,0.01,2,0.009999998,4999.863003338982,0.017257022257016627,100.0,100,4999.863003338982,4999.863,0.13069539,3.5044917e-18,1.0,1.0,,1.0,1.0,0.017257022257016627,500.0,500.0
4949.824387684497,4856.9927,500,0.9,0.005,0.005,2,0.0049999994,4949.824387684497,249982.34691884884,200.00000010221265,100,4949.824387684497,4974.8438,352.65738,2.179301e-19,1.0,1.0,,1.0,1.0,249982.34691884884,495.01,500.0
4999.864654989765,4886.959,500,0.9,0.0033333334,0.0033333334,2,0.0033333336,4999.864654989765,0.019056781563795946,299.999969473632,100,4999.864654989765,4983.184,288.18503,5.4391416e-20,1.0,1.0,,1.0,1.0,0.019056781563795946,500.0,500.0
4999.8799021188,4904.0244,500,0.9,0.0025,0.0025,2,0.0024999997,4999.8799021188,0.0191208394975769,400.0,100,4999.8799021188,4987.358,249.68024,5.434597e-20,1.0,1.0,,1.0,1.0,0.0191208394975769,500.0,500.0
4999.867255677503,4918.4087,500,0.9,0.00038900302,0.0034255283,1,0.0020000003,4999.867255677503,0.01659891910025903,473.9806666802342,100,4999.867255677503,4995.1294,105.96134,2.2002149e-07,1.7220496,1.0594976,0.055603396,1.0054213,0.19555597,0.01659891910025903,500.0,471.9217886272167
4999.8672392373965,4833.2007,500,0.9,0.01,0.01,2,0.009999998,4999.8672392373965,0.017208178057229667,100.0,100,4999.8672392373965,4999.867,0.1305082,3.5044917e-18,1.0,1.0,,1.0,1.0,0.017208178057229667,500.0,500.0
