AvgRet,J,MinVanillaIw,EpsThisIter,ESSRenyi,VarVanillaIw,MaxNormIw,Delta,IterType,MinNormIw,MaxVanillaIw,VarNormIw,AvgNormIw,eRenyi2,AvgEpLen,VarRet,AvgDiscRet,BatchSize,VarDiscRet,VarJ,ESSClassic,AvgVanillaIw,VanillaAvgRet,Bound
-1425.44948405,-1072.2,,100,,0.0960974,0.969796,1.0,1,,3.10022,0.00940346,0.01,inf,500.0,133464.220469,-1425.44948405,100,133464.220469,28.6752,1.0627636252,0.0319677,-1425.44948405,-1072.2
-1425.44948405,nan,0.322558,100,21233.7044094,nan,nan,1.0,,nan,inf,nan,nan,0.00941899,500.0,133464.220469,-1136.15594785,200,442.994942689,nan,nan,inf,-1425.44948405,nan
-1460.51384236,-1133.27,,100,,0.288232,0.936453,1.0,1,,7.58612,0.00439212,0.005,inf,500.0,146843.960118,-1460.51384236,200,146843.960118,0.502718,1.13761456208,0.0405046,-1460.51384236,-1133.27
-1135.48810389,-1135.49,1.0,100,200.0,,0.01,1.0,2,0.01,1.0,3.50449e-18,0.01,1.0,500.0,232.910505352,-1135.48810389,200,232.910505352,15.1849,100.0,1.0,-1135.48810389,-1135.49
-1460.51384236,nan,0.13182,100,2738811.62101,nan,nan,1.0,,nan,inf,nan,nan,0.000109537,500.0,146843.960118,-1133.72045522,300,0.355214227986,nan,nan,inf,-1460.51384236,nan
-1476.93812924,-1133.11,,100,1.19091099775e-07,,1.0,1.0,1,,4.89211e-37,0.00333333,0.00333333,2.51908e+09,500.0,160895.00617,-1476.93812924,300,160895.00617,,inf,1.6307e-39,-1476.93812924,-1133.11
-1133.72798319,-1133.73,1.0,100,300.0,,0.01,1.0,2,0.01,1.0,3.50449e-18,0.01,1.0,500.0,0.347381285762,-1133.72798319,300,0.347381285762,0.586429,100.0,1.0,-1133.72798319,-1133.73
-1133.62691279,-1133.68,1.0,100,300.0,,0.005,1.0,2,0.005,1.0,2.1793e-19,0.005,1.0,500.0,0.303050447068,-1133.62691279,300,0.303050447068,0.569658,200.000000102,1.0,-1133.62691279,-1133.68
-1476.93812924,nan,2.04411e+36,100,nan,nan,nan,1.0,,nan,inf,nan,nan,nan,500.0,160895.00617,-1133.8377963,400,0.475576874264,nan,nan,inf,-1476.93812924,nan
-1445.7202038,-1133.25,,100,,6.523e-10,0.916488,1.0,1,,0.000509624,0.00210961,0.0025,inf,500.0,149043.298348,-1445.7202038,400,149043.298348,3.23317,1.18450598137,1.39015e-06,-1445.7202038,-1133.25
-1133.7815683,-1133.78,1.0,100,400.0,,0.01,1.0,2,0.01,1.0,3.50449e-18,0.01,1.0,500.0,0.45656670261,-1133.7815683,400,0.45656670261,0.672315,100.0,1.0,-1133.7815683,-1133.78
-1133.64339753,-1133.71,1.0,100,400.0,,0.005,1.0,2,0.005,1.0,2.1793e-19,0.005,1.0,500.0,0.466922122911,-1133.64339753,400,0.466922122911,0.679637,200.000000102,1.0,-1133.64339753,-1133.71
-1133.60324495,-1133.68,1.0,100,400.0,,0.00333333,1.0,2,0.00333333,1.0,5.43914e-20,0.00333333,1.0,500.0,0.34305236777,-1133.60324495,400,0.34305236777,0.650994,299.999969474,1.0,-1133.60324495,-1133.68
-1445.7202038,nan,1962.23,100,nan,nan,nan,1.0,,nan,inf,nan,nan,nan,500.0,149043.298348,-1133.6508673,500,0.327606305525,nan,nan,inf,-1445.7202038,nan
-1445.34514225,-1133.57,,100,,2.91939e-08,0.439392,1.0,1,,0.00301024,0.000622005,0.002,inf,500.0,159715.966177,-1445.34514225,500,159715.966177,6.16943,3.20122096618,1.37018e-05,-1445.34514225,-1133.57
-1133.80153157,-1133.8,1.0,100,500.0,,0.01,1.0,2,0.01,1.0,3.50449e-18,0.01,1.0,500.0,0.446498297307,-1133.80153157,500,0.446498297307,0.664848,100.0,1.0,-1133.80153157,-1133.8
-1133.80590333,-1133.8,1.0,100,500.0,,0.005,1.0,2,0.005,1.0,2.1793e-19,0.005,1.0,500.0,0.519008831437,-1133.80590333,500,0.519008831437,0.691319,200.000000102,1.0,-1133.80590333,-1133.8
-1133.7945674,-1133.8,1.0,100,500.0,,0.00333333,1.0,2,0.00333333,1.0,5.43914e-20,0.00333333,1.0,500.0,0.431073415724,-1133.7945674,500,0.431073415724,0.678886,299.999969474,1.0,-1133.7945674,-1133.8
-1133.66345156,-1133.77,1.0,100,500.0,,0.0025,1.0,2,0.0025,1.0,5.4346e-20,0.0025,1.0,500.0,0.305648678923,-1133.66345156,500,0.305648678923,0.651801,400.0,1.0,-1133.66345156,-1133.77
-1133.74346401,-1133.62,0.238896,100,,0.909789,0.0164461,1.0,1,0.000464375,8.46066,3.43763e-06,0.002,inf,500.0,0.334031101019,-1133.74346401,500,0.334031101019,0.564923,269.151442653,1.02889,-1133.74346401,-1133.62
-1133.66195049,-1133.66,1.0,100,500.0,,0.01,1.0,2,0.01,1.0,3.50449e-18,0.01,1.0,500.0,0.493051405373,-1133.66195049,500,0.493051405373,0.698658,100.0,1.0,-1133.66195049,-1133.66
-1133.64228239,-1133.65,1.0,100,500.0,,0.005,1.0,2,0.005,1.0,2.1793e-19,0.005,1.0,500.0,0.333846627103,-1133.64228239,500,0.333846627103,0.639858,200.000000102,1.0,-1133.64228239,-1133.65
-1133.76379502,-1133.69,1.0,100,500.0,,0.00333333,1.0,2,0.00333333,1.0,5.43914e-20,0.00333333,1.0,500.0,0.382502214011,-1133.76379502,500,0.382502214011,0.633989,299.999969474,1.0,-1133.76379502,-1133.69
-1133.62343189,-1133.67,1.0,100,500.0,,0.0025,1.0,2,0.0025,1.0,5.4346e-20,0.0025,1.0,500.0,0.239419246556,-1133.62343189,500,0.239419246556,0.60127,400.0,1.0,-1133.62343189,-1133.67
-1133.79571447,-1133.46,0.000670058,100,,2.26304,0.0465894,1.0,1,1.85423e-06,16.8358,1.73299e-05,0.002,inf,500.0,0.651905554021,-1133.79571447,500,0.651905554021,0.636882,93.9178689277,0.722733,-1133.79571447,-1133.46
-1133.47773258,-1133.48,1.0,100,500.0,,0.01,1.0,2,0.01,1.0,3.50449e-18,0.01,1.0,500.0,0.223864782761,-1133.47773258,500,0.223864782761,0.470774,100.0,1.0,-1133.47773258,-1133.48
-1133.43846644,-1133.46,1.0,100,500.0,,0.005,1.0,2,0.005,1.0,2.1793e-19,0.005,1.0,500.0,0.154652408581,-1133.43846644,500,0.154652408581,0.433305,200.000000102,1.0,-1133.43846644,-1133.46
-1133.42404976,-1133.45,1.0,100,500.0,,0.00333333,1.0,2,0.00333333,1.0,5.43914e-20,0.00333333,1.0,500.0,0.192444229342,-1133.42404976,500,0.192444229342,0.434664,299.999969474,1.0,-1133.42404976,-1133.45
-1133.40644588,-1133.44,1.0,100,500.0,,0.0025,1.0,2,0.0025,1.0,5.4346e-20,0.0025,1.0,500.0,0.116990804736,-1133.40644588,500,0.116990804736,0.413472,400.0,1.0,-1133.40644588,-1133.44
