EpThisIter,Max_iw,Our_bound,EpRewMean,EpisodesSoFar,TimestepsSoFar,DiscEpRewMean,entloss,surrgain,optimgain,Step_size,Reny_4,EpLenMean,meankl,ev_tdlam_before,TimeElapsed,Var_J,J_hat,entropy
100,67.31948852539062,1.40327796694,-0.615285996844,100,50000,-0.394662264654,,0.0185961,0.0185961,1.0,1.34672,500.0,0.00917699,-0.0644416809082,71.6758553981781,239.7481689453125,6.048418998718262,2.83008
100,3546.009765625,-1.90499223954,12.3163724815,200,100000,7.1505075794,,0.0177606,0.0177606,1.0,1.19777,500.0,0.00945268,0.0734498500824,141.9935064315796,2105.418701171875,11.86046028137207,2.81033
100,2946.76953125,-29.0439509398,18.1301361274,300,150000,11.6457499988,,0.0140019,0.0140019,1.0,1.30046,500.0,0.00870224,0.0459915399551,211.16466331481934,12464.212890625,4.449020862579346,2.79583
100,125.69417572021484,11.2006425739,22.1955924292,400,200000,15.667688092,,0.0108888,0.0108888,1.0,1.38774,500.0,0.00834594,0.0558945536613,276.9448688030243,302.74078369140625,16.42047691345215,2.7713
100,44.256778717041016,12.7456578437,22.0941786304,500,250000,17.9232261133,,0.00821804,0.00821804,1.0,1.6528,500.0,0.00786899,0.054678440094,348.01814556121826,485.66864013671875,19.357025146484375,2.72146
100,55.92452621459961,13.6698909789,25.5271234103,600,300000,21.5719325205,,0.00547923,0.00547923,1.0,2.07947,500.0,0.00838692,0.0752071738243,418.44341230392456,1045.2156982421875,23.36882972717285,2.67087
100,604.6614990234375,9.34045280299,24.9329566977,700,350000,21.0654617414,,0.00421554,0.00421554,1.0,1.78858,500.0,0.00931239,0.0965486168861,488.272264957428,3031.835693359375,25.859085083007812,2.6065
100,276.5246887207031,-9.88906942388,25.6148356186,800,400000,22.0740088246,,0.00844098,0.00844098,1.0,8.50352,500.0,0.00839298,0.11665892601,551.5932049751282,110097.4375,89.65373229980469,2.60919
100,217.92437744140625,-6.25774258105,26.1837615104,900,450000,21.8369426344,,0.00362689,0.00362689,1.0,3.66431,500.0,0.00856739,0.121762275696,624.1484885215759,22298.224609375,38.5400276184082,2.56743
100,10.896186828613281,7.78312181889,27.3478318097,1000,500000,23.3090901264,,0.00261575,0.00261575,1.0,3.61248,500.0,0.00972764,0.1350928545,689.9151892662048,409.54022216796875,13.854251861572266,2.49238
100,72.37105560302734,9.7083428867,27.4228556826,1100,550000,23.9193866055,,0.00455303,0.00455303,1.0,2.23393,500.0,0.00900016,0.16889154911,760.2675034999847,4507.98486328125,29.850801467895508,2.4578
100,41.825469970703125,8.33086057917,27.7783187344,1200,600000,24.2762780408,,0.00629235,0.00629235,1.0,5.03679,500.0,0.00894337,0.162064313889,827.8018281459808,1836.7783203125,21.188156127929688,2.43242
100,154.5821533203125,-1.32174083364,26.8327833431,1300,650000,22.5352792669,,0.00401387,0.00401387,1.0,2.18402,500.0,0.00909538,0.150198042393,899.7261912822723,14155.482421875,34.37130355834961,2.37012
100,177.12252807617188,3.24334525495,27.4352757798,1400,700000,23.289667536,,0.00654445,0.00654445,1.0,3.91777,500.0,0.00945911,0.166401863098,969.9169590473175,15996.33984375,41.186336517333984,2.35177
100,412.6505432128906,-46.6614567445,28.6980671049,1500,750000,24.6115388583,,0.00708003,0.00708003,1.0,7.26947,500.0,0.00941801,0.174913227558,1039.7794251441956,216947.421875,93.0713882446289,2.35351
100,166.49549865722656,-18.9972723574,28.0059064434,1600,800000,23.3296519146,,0.00392439,0.00392439,1.0,3.50389,500.0,0.00955825,0.170273244381,1104.809101343155,26985.29296875,30.284330368041992,2.35813
100,109.66419982910156,5.4537021493,29.3912575924,1700,850000,24.8850473204,,0.00435751,0.00435751,1.0,2.89344,500.0,0.00878933,0.177512764931,1166.1558437347412,5737.33203125,28.177255630493164,2.35763
