TimestepsSoFar,InitialReturnMin,MinTargetPdf,ReturnStepMax,StdWReturnMean,EpRewMean,Bound,Iteration,WReturnMean,InitialReturnMax,OptimizationReturnMin,MaxIW,InitialReturnMean,EmpiricalD2Arithmetic,OptimizationReturnMax,EpLenMean,MeanEntropy,OptimizationReturnMean,ReturnMeanIW,TimeElapsed,EpisodesSoFar,InitialBound,MinBehavPdf,MeanD2-0,MinIW,Epsilon,LearnableVariance,ESSRenyiHarmonic,InitialReturnStd,Weights,DivergenceHarmonic,EmpiricalD2Harmonic,MeanIW,ESSRenyiArithmetic,Inner Iteration,Penalization,StdIW,ReturnStepMaxmin,EpThisIter,VarianceInitializer
449,9.981951,-18.893635,9.999998,,79.7524968927668,-1119728800.0,1,9848.464,329.90155,,21.290764,79.7525,1.0,319.9196,8.98,0.4189424,69.770546,32645.996,2.3939871788024902,50,-18734.812,-18.893635,1.0,0.2265588,1.0,,50.0,59.05931,[ 0. -0. -0.  0.],15876481000.0,1.0,1.9657327,50.0,1,True,2.9016113,9.999998,50,-1.0
915,9.980019,-19.354193,10.0,,83.14538036821176,-inf,1,13351.379,209.96558,,10.623339,83.14538,108788070000.0,199.98557,9.32,0.4189424,73.16536,13351.379,5.671468019485474,100,-inf,-17.087387,108788070000.0,2.368208e-10,1.0,,4.596092e-10,49.71158,[ 0.285  0.31  -0.26  -0.072],inf,108788070000.0,1.4540437,4.596092e-10,2,True,1.8758653,10.0,50,-1.0
1292,9.984445,-11.910755,9.999998,,65.35449563015965,-2270211900000.0,2,6269.823,259.82874,,278.24176,65.3545,1.0,249.84428,7.54,0.4189424,55.370052,500333.7,6.593074560165405,150,-11782.073,-11.910755,1.0,0.13976178,1.0,,50.0,44.705856,[ 0.285  0.31  -0.26  -0.072],1.6961925e+17,1.0,16.027615,50.0,1,True,46.400444,9.999998,50,-1.0
1638,9.979982,-10.481338,9.999999,,59.167867650077206,-180249440000000.0,2,55155.97,249.90935,,33.839973,59.167866,130.2674,239.92937,6.92,0.4189424,49.187885,55155.97,7.621876955032349,200,-180249440000000.0,-11.407738,130.2674,0.001545209,1.0,,0.3838259,43.204956,[ 0.861 -0.276 -0.055  0.46 ],1.2494218e+21,130.2674,1.8793253,0.3838259,2,True,5.4300895,9.999999,50,-1.0
1928,9.987786,-9.48761,9.999989,,47.968829252620274,-37376460.0,3,3408.5505,159.9531,,652.43524,47.968834,1.0,149.9653,5.8,0.4189424,37.98104,87944.266,8.523470640182495,250,-5497.557,-9.48761,1.0,0.08924598,1.0,,50.0,33.27976,[ 0.861 -0.276 -0.055  0.46 ],318618430.0,1.0,33.147694,50.0,1,True,99.545975,9.999989,50,-1.0
2313,9.983309,-19.931429,9.999942,,66.94857963348002,-34550657000000.0,3,1456.7345,159.95392,,319684060.0,66.948586,33.72696,149.97061,7.7,0.4189424,56.965267,163885290000.0,9.221545696258545,300,-11137948000.0,-14.803597,33.72696,0.68644625,1.0,,1.4824935,38.31182,[ 0.731 -0.236 -0.282  0.035],2.7095334e+20,33.72696,6438642.5,1.4824935,2,True,44749716.0,9.999942,50,-1.0
2560,9.98175,-6.2920876,9.999995,,39.37604086801948,-1227254300.0,4,1927.836,99.90405,,457.18698,39.37604,1.0,89.9223,4.94,0.4189424,29.394293,44716.535,9.660479545593262,350,-2742.7666,-6.2920876,1.0,0.17297551,1.0,,50.0,19.425848,[ 0.793  0.299 -0.194  0.874],2267756000000.0,1.0,20.136692,50.0,1,True,70.01102,9.999995,50,-1.0
2789,9.98037,-15.817797,9.999996,,35.77452534644516,-262986290000.0,4,4883.9434,99.97125,,99.778,35.774525,41.63946,89.99088,4.58,0.4189424,25.794155,4905.55,10.738190412521362,400,-263637220000.0,-9.557985,41.63946,2.7419338e-07,1.0,,1.200784,19.60183,[ 0.771  0.146 -0.213  0.678],1.0386207e+17,41.63946,4.7837954,1.200784,2,True,15.139426,9.999996,50,-1.0
3056,9.983471,-9.692411,9.9999895,,43.377537370225,-4.0794296e+19,5,2471.805,129.96094,,244730940.0,43.37754,1.0,119.97746,5.34,0.4189424,33.394066,5928950300.0,11.765678405761719,450,-3850.8555,-9.692411,1.0,0.09327178,1.0,,50.0,24.293917,[ 0.769  0.148 -0.216  0.677],8.7506175e+32,1.0,5138902.5,50.0,1,True,34267628.0,9.9999895,50,-1.0
3461,9.980302,-18.250273,9.999977,,70.95732399511125,-inf,5,264.57703,179.97675,,4.9879503,70.95732,863924100000.0,169.99644,8.1,0.4189424,60.97702,264.57703,12.849573135375977,500,-inf,-10.890247,863924100000.0,2.7560573e-12,1.0,,5.7875454e-11,42.99052,[ 0.701 -0.112 -0.29   0.261],inf,863924100000.0,0.2989946,5.7875454e-11,2,True,0.8341813,9.999977,50,-1.0
