Weights,MeanIW,MeanD2-0,VarianceInitializer,InitialReturnStd,InitialBound,TimestepsSoFar,Epsilon,WReturnMean,MinIW,EpLenMean,ReturnMeanIW,EpThisIter,OptimizationReturnMean,Penalization,OptimizationReturnMin,LearnableVariance,OptimizationReturnMax,Bound,EmpiricalD2Arithmetic,EpisodesSoFar,Inner Iteration,MinTargetPdf,InitialReturnMin,MeanEntropy,Iteration,ReturnStepMax,StdWReturnMean,StdIW,DivergenceHarmonic,ESSRenyiArithmetic,ReturnStepMaxmin,EmpiricalD2Harmonic,MinBehavPdf,EpRewMean,InitialReturnMean,InitialReturnMax,MaxIW,TimeElapsed,ESSRenyiHarmonic
[ 0.  0.  0. -0.],1087369.8,1.0,-1.0,62.654778,-21301.723,444,1.0,10128.124,0.24345373,8.88,24417190000.0,50,68.77503,True,,,359.94882,-1.7752971e+16,1.0,50,1,-11.2939,9.980936,0.4189424,1,9.999998,,7595506.0,2.5243827e+24,50.0,9.999998,1.0,-11.2939,78.75596785062045,78.75597,369.92975,54255844.0,5.419319152832031,50.0
[-0.227 -0.31  -0.112 -0.3  ],1.8068732,79.520096,-1.0,57.458454,-1979598800000.0,976,1.0,7120.3335,9.637957e-07,10.64,7226.2524,50,86.34859,True,,,269.92108,-1665041800000.0,79.520096,100,2,-28.815392,9.98207,0.4189424,1,9.999976,,5.5912137,6.775018e+16,0.6287719,9.999976,79.520096,-21.852478,96.33065854705553,96.33066,279.90314,29.800375,10.370892524719238,0.6287719
[-0.165 -0.292 -0.08  -0.318],1209066.9,1.0,-1.0,83.61076,-33224.89,1640,1.0,22052.209,0.02829222,13.28,123267260000.0,50,102.75664,True,,,349.94604,-4.426784e+21,1.0,150,1,-18.37947,19.968456,0.4189424,2,9.999999,,8368041.0,1.5698658e+35,50.0,9.999999,1.0,-18.37947,122.72509881928343,122.7251,369.9145,59783400.0,13.439749717712402,50.0
[-0.11  -0.145 -0.384 -1.258],1.020243,4632459000000000.0,-1.0,149.3667,-inf,2850,1.0,2810.4636,4.206862e-17,24.2,2810.4636,50,201.90361,True,,,649.9057,-inf,4632459000000000.0,200,2,-45.753483,29.953655,0.4189424,2,9.999998,,6.014783,inf,1.0793404e-14,9.999998,4632459000000000.0,-27.197924,231.85726635857446,231.85727,679.8594,42.87962,17.230633020401,1.0793404e-14
[-0.11  -0.145 -0.384 -1.258],34.794724,1.0,-1.0,149.04784,-118664.13,4156,1.0,85243.74,0.114539474,26.12,8372732.5,50,211.11896,True,,,599.84076,-323099800000.0,1.0,250,1,-34.98185,39.935753,0.4189424,3,9.999999,,97.52847,93460690000000.0,50.0,9.999999,1.0,-34.98185,251.0547406441539,251.05475,639.7765,433.9401,21.86144733428955,50.0
[-0.441 -0.28  -0.501 -1.587],2353696.5,54.14757,-1.0,115.84114,-3850553000000.0,5304,1.0,14812.475,0.94323736,22.96,352743400000.0,50,219.471,True,,,569.9039,-1.6137905e+18,54.14757,300,2,-34.69879,,0.4189424,3,9.999996,,9648942.0,3.7032146e+27,0.9234024,9.999996,54.14757,-31.369118,219.4709937977942,219.471,569.9039,62521388.0,26.699477195739746,0.9234024
[-0.261  0.447 -0.529 -0.926],17.737007,1.0,-1.0,245.3317,-283114.12,7224,1.0,199906.73,0.3294733,38.4,2961702.8,50,363.80722,True,,,999.50995,-4979020000000.0,1.0,350,1,-49.673477,9.982991,0.4189424,4,9.999999,,59.60789,3580678800000000.0,50.0,9.999999,1.0,-49.673477,373.79017267583396,373.79016,1009.4929,424.19846,34.139225482940674,50.0
[-0.326  0.352 -0.544 -0.971],15.382939,81009.31,-1.0,229.76868,-4.762366e+21,9906,1.0,1166283.1,1.2870439e-11,53.64,1166283.1,50,506.18527,True,,,1039.3949,-4.762366e+21,81009.31,400,2,-51.47033,19.973051,0.4189424,4,10.0,,93.32567,2.7011548e+33,0.00061721297,10.0,81009.31,-42.12861,526.1583125154574,526.1583,1059.3679,667.2382,43.27539348602295,0.00061721297
[-0.326  0.352 -0.544 -0.971],598.91315,1.0,-1.0,265.75922,-397310.5,12372,1.0,303915.8,0.028261103,49.32,245458420.0,50,473.01773,True,,,1059.525,-17717038000000.0,1.0,450,1,-48.66999,9.981091,0.4189424,5,9.999998,,2426.9932,3.5985572e+16,50.0,9.999998,1.0,-48.66999,482.99881757280093,482.99878,1069.5061,16872.05,51.67544150352478,50.0
[-0.23   0.422 -0.558 -1.008],1.0583187,26.396961,-1.0,221.73553,-1968088300000.0,14322,1.0,664667.2,0.0018228294,39.0,366139.34,50,359.84442,True,,,1059.6046,-1022880200000.0,26.396961,500,2,-55.9553,19.968418,0.4189424,5,9.999999,,4.756674,115539990000000.0,1.8941574,9.999999,26.396961,-54.63565,379.8128649994638,379.81287,1079.573,34.117157,56.94417428970337,1.8941574
[-0.266  0.436 -0.56  -0.978],16.981928,1.0,-1.0,244.36446,-354950.0,16537,1.0,247033.78,0.18343547,44.3,5303116.0,50,412.84067,True,,,1129.6862,-2205094200000.0,1.0,550,1,-48.163895,19.963902,0.4189424,6,10.0,,46.519566,417523430000000.0,50.0,10.0,1.0,-48.163895,432.80456362943414,432.80453,1149.65,329.98447,64.98943161964417,50.0
[-0.344  0.359 -0.57  -1.036],3.914392,30302.686,-1.0,238.97789,-6.6359295e+20,19058,1.0,1117025.4,2.8320327e-11,50.42,1117025.4,50,484.00235,True,,,1039.6719,-6.6359295e+20,30302.686,600,2,-55.165825,9.983506,0.4189424,6,9.999999,,14.959707,5.4413635e+31,0.0016500187,9.999999,30302.686,-52.05042,493.9858366360533,493.9858,1049.6554,77.33012,74.19184350967407,0.0016500187
[-0.344  0.359 -0.57  -1.036],5580.919,1.0,-1.0,253.96779,-480840.56,21618,1.0,316276.06,0.005523193,51.2,1031682900.0,50,501.77332,True,,,1419.6794,-7326248500000.0,1.0,650,1,-62.041748,,0.4189424,7,9.999999,,31450.61,1981394800000000.0,50.0,9.999999,1.0,-62.041748,501.77329997309585,501.77332,1419.6794,223521.88,82.49601125717163,50.0
[-0.266  0.442 -0.598 -1.079],184.4184,93947.71,-1.0,304.62036,-2.4284778e+22,24444,1.0,82123040.0,5.9834443e-10,56.52,82123040.0,50,554.92865,True,,,1069.5168,-2.4284778e+22,93947.71,700,2,-61.875614,,0.4189424,7,10.0,,1256.7953,6.7609714e+34,0.0005322109,10.0,93947.71,-52.786674,554.928626911739,554.92865,1069.5168,8979.567,91.33032751083374,0.0005322109
[-0.266  0.442 -0.598 -1.079],2532.908,1.0,-1.0,293.26105,-577120.44,27502,1.0,447590.44,0.1529676,61.16,2534824700.0,50,591.34265,True,,,1249.5469,-6.929413e+17,1.0,750,1,-52.75544,9.979526,0.4189424,8,9.999999,,10969.879,2.8619044e+25,50.0,9.999999,1.0,-52.75544,601.3222002233782,601.3222,1259.5264,75384.875,100.71072840690613,50.0
[-0.157  0.339 -0.648 -1.273],13.898785,2360191700.0,-1.0,373.5076,-inf,30825,1.0,6562839.5,1.09565696e-23,66.46,6562839.5,50,654.3063,True,,,1749.5322,-inf,2360191700.0,800,2,-70.77303,,0.4189424,8,10.0,,65.94113,inf,2.118472e-08,10.0,2360191700.0,-65.93185,654.3062802868131,654.3063,1749.5322,457.63678,110.9858181476593,2.118472e-08
[-0.157  0.339 -0.648 -1.273],210.24162,1.0,-1.0,351.208,-834263.2,34473,1.0,640704.6,0.04104976,72.96,84523730.0,50,679.3373,True,,,1499.7335,-1721552500000.0,1.0,850,1,-79.52696,39.938457,0.4189424,9,9.999999,,1046.5377,79099960000000.0,50.0,9.999999,1.0,-79.52696,719.2757266832599,719.2757,1539.672,7315.781,123.15655016899109,50.0
[-0.077  0.264 -0.655 -1.333],115.35206,6958.9263,-1.0,446.4849,-8.178986e+20,38538,1.0,204926980.0,6.595925e-07,81.3,204926980.0,50,782.72296,True,,,2209.3923,-8.178986e+20,6958.9263,900,2,-94.26908,19.968441,0.4189424,9,10.0,,796.408,4.0622685e+30,0.0071850163,10.0,6958.927,-90.23494,802.6913897858686,802.69135,2229.3608,5689.9336,139.2365710735321,0.007185016
[-0.077  0.264 -0.655 -1.333],6.6247554,1.0,-1.0,556.072,-1377113.8,42417,1.0,895200.3,0.06410149,77.58,8573781.0,50,755.51117,True,,,2419.4565,-16780107000.0,1.0,950,1,-95.412094,9.9849,0.4189424,10,10.0,,10.901339,1211186600.0,50.0,10.0,1.0,-95.412094,765.4960318220524,765.49603,2429.4414,64.53389,154.61476230621338,50.0
[-0.135  0.249 -0.667 -1.344],2.031536,21.09536,-1.0,332.54562,-74028250000.0,45469,1.0,1630427.9,0.000162434,61.04,1668829.2,50,600.1625,True,,,1439.6562,-67958845000.0,21.09536,1000,2,-68.098495,,0.4189424,10,10.0,,6.933061,161260030000.0,2.3701894,10.0,21.09536,-66.59053,600.1624721795301,600.1625,1439.6562,45.998707,170.76646614074707,2.3701894
[-0.131  0.241 -0.669 -1.344],7.7280955,1.0,-1.0,377.76416,-871652.44,49070,1.0,646756.9,0.0070670745,72.02,4867356.0,50,660.02435,True,,,1609.6934,-118370000000.0,1.0,1050,1,-67.11979,49.94119,0.4189424,11,9.999999,,18.645605,277005860000.0,50.0,9.999999,1.0,-67.11979,709.9655641801245,709.9656,1659.6345,128.78726,194.0230474472046,50.0
[-0.043  0.18  -0.67  -1.407],1.3025342,87623.49,-1.0,522.3295,-inf,52760,1.0,444406.94,2.2970985e-06,73.8,444406.94,50,727.7078,True,,,1749.6763,-inf,87623.49,1100,2,-82.54297,,0.4189424,11,9.999999,,5.6473827,inf,0.0005706232,9.999999,87623.49,-82.08344,727.7078207195091,727.7078,1749.6763,39.90404,213.49119520187378,0.0005706232
