Penalization,MinIW,OptimizationReturnMin,InitialReturnMin,Bound,TimestepsSoFar,InitialReturnMean,TimeElapsed,MeanEntropy,EmpiricalD2Arithmetic,InitialReturnStd,DivergenceHarmonic,ReturnMeanIW,OptimizationReturnMax,MaxIW,EpLenMean,MinBehavPdf,EpThisIter,Weights,StdWReturnMean,OptimizationReturnMean,StdIW,Iteration,EpRewMean,EpisodesSoFar,Inner Iteration,VarianceInitializer,ReturnStepMaxmin,WReturnMean,LearnableVariance,Epsilon,ReturnStepMax,InitialBound,ESSRenyiHarmonic,EmpiricalD2Harmonic,MeanD2-0,ESSRenyiArithmetic,MeanIW,MinTargetPdf,InitialReturnMax
True,0.06130365,,9.983019,-3.5966345e+17,31707,591.9484,23.084147214889526,0.4189424,1.0,395.0292,6.261422e+23,1053831700.0,2349.4233,165944.58,60.22,-96.73883,50,[-0.34   0.532 -0.564 -1.198],,581.96533,23201.234,8,591.9483688701071,750,1,-1.0,10.0,506450.94,,1.0,10.0,-960979.56,50.0,1.0,1.0,50.0,3607.5793,-96.73883,2359.4062
True,1.0560188e-12,,,-inf,35126,673.5455,25.156492471694946,0.4189424,772837.5,312.96893,inf,2035176.1,1209.5317,322.2064,68.38,-56.284664,50,[-0.25   0.4   -0.618 -1.382],,673.5455,45.05078,8,673.5454848804698,800,2,-1.0,9.999999,2035176.1,,1.0,9.999999,-inf,6.469665e-05,772837.5,772837.5,6.469665e-05,7.1412706,-66.401825,1209.5317
True,0.100118466,,19.965168,-61904844000000.0,38771,718.7061,26.91372585296631,0.4189424,1.0,287.29257,6.4243185e+16,1051804100.0,1709.5511,52838.746,72.9,-64.77867,50,[-0.25   0.4   -0.618 -1.382],,698.74097,8263.539,9,718.7061065998182,850,1,-1.0,9.999999,599075.44,,1.0,9.999999,-843309.0,50.0,1.0,1.0,50.0,2564.214,-64.77867,1729.5164
True,1.7827535e-08,,9.981688,-inf,42380,711.4861,29.964306592941284,0.4189424,581757.5,494.97424,inf,638230.5,2439.5637,18.093515,72.18,-94.246086,50,[-0.155  0.449 -0.634 -1.445],,701.5044,3.2446241,9,711.486099826508,900,2,-1.0,10.0,638230.5,,1.0,10.0,-inf,8.594646e-05,581757.5,581757.5,8.594646e-05,0.992849,-101.33284,2449.5454
True,0.048679363,,29.952438,-228772040000000.0,46197,753.0611,32.783483028411865,0.4189424,1.0,370.354,1.3614396e+18,83771425000.0,1519.3821,3378118.0,76.34,-68.38922,50,[-0.155  0.449 -0.634 -1.445],,723.10864,472874.06,10,753.0611119993581,950,1,-1.0,9.999999,704263.1,,1.0,9.999999,-900258.8,50.0,1.0,1.0,50.0,72875.33,-68.38922,1549.3345
True,5.050391e-06,,9.981336,-54623423000000.0,48710,492.36038,34.28172206878662,0.4189424,74.914696,312.70312,9.864819e+16,75711.45,1449.4713,1.2734063,50.26,-59.896725,50,[-0.094  0.533 -0.638 -1.375],,482.37903,0.33558714,10,492.3603670682427,1000,2,-1.0,9.999999,81533.43,,1.0,9.999999,-62197556000000.0,0.6674258,74.914696,74.914696,0.6674258,0.19681568,-60.13845,1459.4526
True,0.14243416,,19.96652,-1.2541636e+20,51514,550.5698,37.36229968070984,0.4189424,1.0,344.53925,3.887773e+29,25765260000.0,1549.5818,1177060.6,56.08,-75.20183,50,[-0.078  0.525 -0.638 -1.389],,530.60333,197141.77,11,550.5698450689082,1050,1,-1.0,10.0,421834.47,,1.0,10.0,-622977.5,50.0,1.0,1.0,50.0,49783.91,-75.20183,1569.5483
True,1.2035487e-33,,9.982666,-inf,54684,623.71875,40.56020784378052,0.4189424,1.3291011e+23,394.26508,inf,257468000.0,1829.0587,30466.146,63.4,-83.32279,50,[-0.025  0.297 -0.663 -1.475],,613.7361,4265.134,11,623.7187559271293,1100,2,-1.0,9.999999,257468000.0,,1.0,9.999999,-inf,3.761941e-22,1.3291011e+23,1.3291011e+23,3.761941e-22,610.2215,-121.22281,1839.0414
True,0.44178638,,9.980681,-11023216000000.0,58096,672.104,44.41778206825256,0.4189424,1.0,378.80762,4488586800000000.0,206767300.0,1409.5522,5086.5894,68.24,-71.9765,50,[-0.025  0.297 -0.663 -1.475],,662.1233,710.0125,12,672.1039658146553,1150,1,-1.0,9.999999,595218.9,,1.0,9.999999,-759749.56,50.0,1.0,1.0,50.0,119.504074,-71.9765,1419.533
True,4.430854e-11,,19.96362,-inf,62331,836.67346,49.440064430236816,0.4189424,46541196.0,451.42737,inf,10410664.0,2488.6477,472.2646,84.7,-111.83719,50,[-0.144  0.317 -0.687 -1.499],,816.7097,66.49514,12,836.6733551620268,1200,2,-1.0,10.0,10410664.0,,1.0,10.0,-inf,1.0743171e-06,46541196.0,46541196.0,1.0743171e-06,12.538638,-118.5484,2508.6113
True,0.103375606,,19.969648,-4785912000000.0,66762,875.8899,53.4943060874939,0.4189424,1.0,405.4665,120839170000000.0,77832170.0,2289.1675,1839.6842,88.62,-92.59536,50,[-0.144  0.317 -0.687 -1.499],,855.9203,277.34567,13,875.8899262715363,1250,1,-1.0,10.0,931586.2,,1.0,10.0,-1366953.5,50.0,1.0,1.0,50.0,86.512985,-92.59536,2309.1372
True,0.0627852,,9.98322,-2.834722e+17,70708,778.9096,58.51743412017822,0.4189424,89.07264,281.85956,3.1396546e+24,102715530000000.0,1389.536,2152555500.0,78.92,-70.072266,50,[-0.242  0.388 -0.705 -1.524],,768.92633,320126850.0,13,778.9095475597559,1300,2,-1.0,10.0,434357.38,,1.0,10.0,-42106815000000.0,0.5613396,89.07264,89.07264,0.5613396,76422480.0,-71.65223,1399.5193
True,0.06091993,,9.980889,-7.677431e+17,74217,691.4913,64.14653635025024,0.4189424,1.0,446.70016,5.998025e+24,72948570.0,1949.4445,1072.8246,70.18,-79.15373,50,[-4.488e-04  3.344e-01 -6.930e-01 -1.560e+00],,681.5104,184.75085,14,691.4912382225683,1350,1,-1.0,10.0,677701.1,,1.0,10.0,-991183.6,50.0,1.0,1.0,50.0,95.527565,-79.15373,1959.4253
