EmpiricalD2Arithmetic,Bound,MeanEntropy,OptimizationReturnMean,TimeElapsed,Inner Iteration,LearnableVariance,InitialReturnMax,ReturnMeanIW,MeanIW,Penalization,StdIW,MeanD2-0,DivergenceHarmonic,VarianceInitializer,EpLenMean,ReturnStepMax,InitialReturnMean,EpRewMean,ReturnStepMaxmin,InitialBound,Weights,EpisodesSoFar,MinTargetPdf,WReturnMean,EpThisIter,OptimizationReturnMax,Iteration,MaxIW,StdWReturnMean,TimestepsSoFar,InitialReturnMin,InitialReturnStd,MinBehavPdf,MinIW,Epsilon,ESSRenyiArithmetic,ESSRenyiHarmonic,OptimizationReturnMin,EmpiricalD2Harmonic
1.0,-84587635000.0,0.4189424,59.987232,0.6551597118377686,1,,239.95341,3469575.5,352.43936,True,2147.4243,1.0,323714100000000.0,-1.0,9.0,9.999988,79.95307,79.95306889481272,9.999988,-13432.505,[ 0. -0. -0. -0.],50,-12.651014,8731.308,50,219.98758,1,15371.452,,450,19.965832,48.3613,-12.651014,0.11661358,1e-07,50.0,50.0,,1.0
3114.6907,-7.518847e+18,0.4189424,105.548294,1.748244285583496,2,,479.89102,55102.324,21.692627,True,132.97777,3114.6907,1.5989072e+29,-1.0,13.56,9.999997,125.51832,125.51831992500146,9.999997,-7.518847e+18,[ 0.039 -0.094 -0.083 -0.482],100,-32.624916,55102.324,50,459.921,1,946.89716,,1128,19.97004,83.48773,-23.472004,1.1217124e-08,1e-07,0.016052958,0.016052958,,3114.6907
1.0,-5.1400135e+18,0.4189424,139.32892,2.242500066757202,1,,599.8091,4731567.5,14.483811,True,91.08697,1.0,3.0617352e+28,-1.0,15.94,9.999998,149.31213,149.31213537912555,9.999998,-63339.863,[ 0.039 -0.094 -0.083 -0.482],150,-25.724659,33964.664,50,589.82587,2,652.0552,,1925,9.98321,108.030334,-25.724659,0.3148987,1e-07,50.0,50.0,,1.0
2673606400000.0,-inf,0.4189424,133.72278,2.6832127571105957,2,,409.91687,51652.0,1.4552749,True,2.314126,2673606400000.0,inf,-1.0,15.38,9.999991,143.70563,143.7056376823962,9.999991,-inf,[ 0.171  0.075 -0.138 -0.599],200,-37.10976,51652.0,50,399.93402,2,15.953772,,2694,9.982859,111.54525,-19.214579,2.860505e-16,1e-07,1.8701332e-11,1.8701332e-11,,2673606400000.0
1.0,-7.181372e+18,0.4189424,119.54361,3.059817314147949,1,,479.85254,862482300.0,4376.6655,True,21711.469,1.0,1.4590661e+29,-1.0,14.96,9.999997,139.5091,139.50909572279653,9.999997,-53017.96,[ 0.171  0.075 -0.138 -0.599],250,-18.381033,34217.418,50,459.88705,3,142951.7,,3442,19.965483,121.46865,-18.381033,0.3375536,1e-07,50.0,50.0,,1.0
66181.56,-inf,0.4189424,117.14908,3.3535850048065186,2,,369.87296,115164.16,1.7482388,True,7.88319,66181.56,inf,-1.0,13.72,9.9999895,127.1297,127.1296928992593,9.9999895,-inf,[ 0.237  0.305 -0.208 -0.608],300,-24.380432,115164.16,50,359.89233,3,56.65886,,4128,9.980615,90.3723,-18.316166,1.4992144e-12,1e-07,0.0007554974,0.0007554974,,66181.56
1.0,-139400510.0,0.4189424,138.32983,3.7009201049804688,1,,379.7486,420519.56,11.281247,True,57.3517,1.0,139319250.0,-1.0,15.84,9.999993,148.31145,148.31144268843008,9.999993,-44216.28,[ 0.237  0.305 -0.208 -0.608],350,-21.472017,32441.656,50,369.76697,4,409.5748,,4920,9.981615,102.202614,-21.472017,0.1619844,1e-07,50.0,50.0,,1.0
293.23337,-700014200000000.0,0.4189424,144.91791,4.169724225997925,2,,439.75684,23036.566,1.1584692,True,1.9527588,293.23337,1.965416e+21,-1.0,16.5,10.0,154.90392,154.9039266474909,10.0,-700014200000000.0,[ 0.207  0.199 -0.209 -0.665],400,-22.426392,23036.566,50,429.7708,4,13.579491,,5745,9.9860325,125.78211,-19.332191,3.955593e-06,1e-07,0.17051266,0.17051266,,293.23337
1.0,-193342780.0,0.4189424,179.50223,4.609517335891724,1,,489.8422,262805.9,3.7341974,True,8.90436,1.0,97127240.0,-1.0,18.96,9.999993,179.50223,179.50223769015648,9.999993,-65694.54,[ 0.207  0.199 -0.209 -0.665],450,-23.4497,46103.062,50,489.8422,5,59.50291,,6693,,117.82194,-23.4497,0.2586761,1e-07,50.0,50.0,,1.0
217.47636,-1582596500000000.0,0.4189424,194.09116,5.136837959289551,2,,589.82806,436405.5,3.4089606,True,16.579285,217.47636,3.1040585e+21,-1.0,21.42,9.999999,204.07501,204.07503235410422,9.999999,-1582596500000000.0,[ 0.18   0.116 -0.229 -0.753],500,-24.90615,436405.5,50,579.8442,5,118.22062,,7764,9.983861,146.45816,-23.52604,1.0770934e-08,1e-07,0.22991005,0.22991005,,217.47636
1.0,-25359763000.0,0.4189424,186.89598,5.579226970672607,1,,609.7267,926669.25,9.695961,True,21.221375,1.0,697925700000.0,-1.0,19.7,9.999998,186.89598,186.8959767426079,9.999998,-87083.78,[ 0.18   0.116 -0.229 -0.753],550,-25.02536,56729.133,50,609.7267,6,102.753784,,8749,,147.64496,-25.02536,0.5479527,1e-07,50.0,50.0,,1.0
869.2251,-2.1743594e+16,0.4189424,184.4868,5.968550682067871,2,,709.7792,18500.422,1.288076,True,1.9781456,869.2251,2.7942222e+23,-1.0,20.46,9.999999,194.46939,194.46939762884136,9.999999,-2.1743594e+16,[ 0.122  0.039 -0.258 -0.827],600,-38.04897,18500.422,50,699.7966,6,9.78204,,9772,9.982609,179.15604,-30.536743,4.426164e-08,1e-07,0.057522498,0.057522498,,869.2251
1.0,-796740550000.0,0.4189424,207.07979,6.294756889343262,1,,649.85034,7628701.5,49.201683,True,207.71025,1.0,533904300000000.0,-1.0,22.72,10.0,217.06035,217.0603726572682,10.0,-108653.516,[ 0.122  0.039 -0.258 -0.827],650,-23.679686,74172.375,50,639.86975,7,1436.9019,,10908,9.980583,164.49062,-23.679686,0.45920992,1e-07,50.0,50.0,,1.0
669.6002,-3.538636e+16,0.4189424,186.29791,6.77530312538147,2,,519.73535,74398.56,1.70235,True,3.975415,669.6002,2.5741506e+24,-1.0,20.64,9.999999,196.28131,196.28131536753781,9.999999,-3.538636e+16,[ 0.142  0.159 -0.288 -0.833],700,-27.922985,74398.56,50,509.75192,7,23.90404,,11940,9.983415,151.46333,-26.771149,3.2717654e-07,1e-07,0.07467142,0.07467142,,669.6002
1.0,-4.8199415e+22,0.4189424,258.06583,7.301062345504761,1,,1009.7429,1990374700.0,19725.873,True,100281.36,1.0,3.352213e+35,-1.0,27.82,9.999998,268.04587,268.0458514461925,9.999998,-192031.31,[ 0.142  0.159 -0.288 -0.833],750,-44.847557,108782.766,50,999.7629,8,699989.3,,13331,9.980033,192.1827,-44.847557,0.17164822,1e-07,50.0,50.0,,1.0
1193848200000000.0,-inf,0.4189424,305.79492,7.883172273635864,2,,1499.7119,58826.137,0.7189917,True,2.0868487,1193848200000000.0,inf,-1.0,31.6,9.999998,305.79492,305.7949197692309,9.999998,-inf,[-0.047  0.1   -0.352 -0.972],800,-69.308685,58826.137,50,1499.7119,8,14.306271,,14911,,265.50778,-55.717922,7.95553e-16,1e-07,4.188137e-14,4.188137e-14,,1193848200000000.0
