Weights,OptimizationReturnMax,InitialReturnMin,ESSRenyiHarmonic,Iteration,MinIW,DivergenceHarmonic,Epsilon,MeanD2-0,EpisodesSoFar,InitialReturnMean,StdIW,Bound,Penalization,InitialReturnStd,MinTargetPdf,ReturnMeanIW,StdWReturnMean,ReturnStepMax,OptimizationReturnMin,VarianceInitializer,EmpiricalD2Arithmetic,InitialReturnMax,Inner Iteration,MinBehavPdf,EpLenMean,TimestepsSoFar,EpThisIter,EpRewMean,OptimizationReturnMean,InitialBound,EmpiricalD2Harmonic,ESSRenyiArithmetic,MaxIW,ReturnStepMaxmin,TimeElapsed,MeanIW,LearnableVariance,WReturnMean,MeanEntropy
[-0. -0.  0. -0.],319.91803,9.980229,50.0,1,0.10520902,1.3948122e+25,1.0,1.0,50,77.75584,1461900.1,-3.3187328e+16,True,63.925022,-15.862925,1670311600.0,,9.999998,,-1.0,1.0,329.89825,1,-15.862925,8.78,439,50,77.75583167934485,67.775604,-19018.547,1.0,50.0,10288603.0,9.999998,5.018617391586304,260948.72,,10132.378,0.4189424
[-0.082 -0.226 -0.094 -0.428],429.92136,9.983417,0.019155134,1,1.2972529e-10,6.353756e+28,1.0,2610.2664,100,117.727745,12.146822,-3.9827863e+18,True,91.862236,-34.6623,19386.646,,9.999998,,-1.0,2610.2664,439.9048,2,-23.2795,12.78,1078,50,117.7277414300243,107.74432,-3.9827863e+18,2610.2664,0.019155134,86.68776,9.999998,10.715283632278442,2.5129454,,19386.646,0.4189424
[-0.082 -0.226 -0.094 -0.428],219.96512,9.981093,50.0,2,0.52668566,8.24782e+17,1.0,1.0,150,101.52846,112.95865,-3920817600000.0,True,56.564495,-13.696766,1032229.94,,9.999998,,-1.0,1.0,229.94621,1,-13.696766,11.16,1636,50,101.52845684381789,91.54736,-17824.82,1.0,50.0,765.0303,9.999998,13.284180402755737,36.896286,,13507.569,0.4189424
[-0.715  0.102 -0.543  0.11 ],219.86719,9.989989,2.9468645e-13,2,1.0935958e-20,inf,1.0,169671860000000.0,200,100.14732,71.62305,-inf,True,56.917336,-35.614258,456820.75,,9.999998,,-1.0,169671860000000.0,229.85718,2,-18.97774,11.02,2187,50,100.14731258532025,90.157326,-inf,169671860000000.0,2.9468645e-13,512.1116,9.999998,15.649976968765259,10.902134,,456820.75,0.4189424
[-0.715  0.102 -0.543  0.11 ],349.7295,19.965591,50.0,3,0.07853429,195423680000.0,1.0,1.0,250,91.94119,34.954826,-4933386000.0,True,65.78108,-11.988556,169059.52,,9.999998,,-1.0,1.0,369.69507,1,-11.988556,10.2,2697,50,91.94119042461605,71.9756,-23939.762,1.0,50.0,191.84836,9.999998,17.84914207458496,12.103904,,12780.334,0.4189424
[-0.742 -0.083 -0.553 -0.056],339.95966,9.984501,6.8729744,3,3.7329497,2.1351196e+35,1.0,7.2748704,300,118.133255,37096153000.0,-4.6202234e+21,True,62.521896,-13.765527,155285000000000.0,,9.999999,,-1.0,7.2748704,349.94415,2,-11.133415,12.82,3338,50,118.13324773551,108.14875,-120217040.0,7.274871,6.872975,263864680000.0,9.999999,20.35850715637207,6081303600.0,,82124.555,0.4189424
[-0.642  0.714 -0.57   0.539],89.941414,9.982247,50.0,4,0.26276964,2659032300.0,1.0,1.0,350,43.776245,26.018166,-42066540.0,True,15.210039,-8.231174,27491.453,,9.999975,,-1.0,1.0,99.92366,1,-8.231174,5.38,3607,50,43.7762466393482,33.794,-2962.9556,1.0,50.0,154.55547,9.999975,21.87291193008423,10.7052965,,2147.705,0.4189424
[-0.639  0.872 -0.571  0.733],79.954,9.981287,0.08008348,4,1.13486394e-07,1.696145e+24,1.0,624.34845,400,37.37444,5.658955,-860094400000000.0,True,17.057823,-12.658499,2006.7068,,9.999979,,-1.0,624.34845,89.93529,2,-6.5562654,4.74,3844,50,37.37444009733918,27.393154,-860094400000000.0,624.34845,0.08008348,40.408203,9.999979,23.114417791366577,1.7136834,,2006.7068,0.4189424
[-0.639  0.872 -0.571  0.733],79.9887,9.982889,50.0,5,0.33490837,2815855200000.0,1.0,1.0,450,39.773354,144.93616,-1109239300.0,True,17.71247,-7.047437,140246.56,,9.999993,,-1.0,1.0,89.97159,1,-7.047437,4.98,4093,50,39.773353316569086,29.79046,-2556.5962,1.0,50.0,863.8608,9.999993,24.479024171829224,44.67314,,1895.6512,0.4189424
[-0.649  0.722 -0.579  0.534],69.98449,19.968819,0.044986464,5,6.664371e-07,6.3125144e+24,1.0,1111.4454,500,43.37268,18.354242,-1659930200000000.0,True,17.948782,-13.197094,4059.1409,,9.999993,,-1.0,1111.4454,89.95331,2,-9.368016,5.34,4360,50,43.372682767402345,23.403862,-1659930200000000.0,1111.4454,0.044986464,127.567505,9.999993,26.51606512069702,4.174768,,4059.1409,0.4189424
