DivergenceHarmonic,MinTargetPdf,Bound,OptimizationReturnMean,EmpiricalD2Arithmetic,OptimizationReturnMax,EpThisIter,Inner Iteration,ReturnMeanIW,ReturnStepMax,MeanD2-0,EpLenMean,WReturnMean,Penalization,VarianceInitializer,InitialReturnMean,EmpiricalD2Harmonic,ESSRenyiHarmonic,Weights,Iteration,ReturnStepMaxmin,StdWReturnMean,TimestepsSoFar,ESSRenyiArithmetic,MinIW,InitialReturnMax,MeanIW,InitialReturnMin,MeanEntropy,StdIW,Epsilon,MaxIW,EpisodesSoFar,OptimizationReturnMin,LearnableVariance,InitialBound,EpRewMean,TimeElapsed,InitialReturnStd,MinBehavPdf
6.325807e+16,-64.35832,-44348155000000.0,568.9849,1.0,1459.4901,50,1,4045241000.0,10.0,1.0,58.92,428879.6,True,-1.0,578.96844,1.0,50.0,[-0.16   0.17  -1.173 -0.718],8,10.0,,16792,50.0,0.064705364,1469.4736,14674.827,9.983501,0.4189424,78233.25,1e-07,555984.94,750,,,-605190.56,578.9684128133144,7.737266540527344,306.06396,-64.35832
3.5677746e+34,-71.782715,-5.8002076e+22,496.16632,36692.484,1929.3156,50,2,23408.115,10.0,36692.484,51.64,23408.115,True,-1.0,506.1518,36692.484,0.0013626768,[-0.072  0.246 -1.207 -0.747],8,10.0,,19374,0.0013626768,1.9611432e-06,1939.301,0.24725996,9.98547,0.4189424,0.43825445,1e-07,1.8181401,800,,,-5.8002076e+22,506.15179754948,8.45795726776123,368.6934,-69.56195
6.5522483e+24,-65.9762,-5.5488194e+17,493.57745,1.0,1629.3918,50,1,40583104.0,9.999999,1.0,50.38,371673.28,True,-1.0,493.57745,1.0,50.0,[-0.072  0.246 -1.207 -0.747],9,9.999999,,21893,50.0,0.3638273,1629.3918,58.96163,,0.4189424,184.13773,1e-07,1146.608,850,,,-588447.0,493.5774609946865,9.035994291305542,357.84717,-65.9762
inf,-76.277565,-inf,683.17096,235784.73,1699.7911,50,2,524730.25,9.999999,235784.73,70.34,524730.25,True,-1.0,693.15125,235784.73,0.00021205783,[-0.152  0.173 -1.226 -0.805],9,9.999999,,25410,0.00021205783,1.2402768e-10,1709.7715,3.12226,9.980354,0.4189424,11.969614,1e-07,61.89968,900,,,-inf,693.151248019629,9.804063081741333,368.8804,-67.84117
1.7588984e+18,-82.977356,-382557030000000.0,641.18524,1.0,1859.5986,50,1,5880783000.0,9.999999,1.0,67.14,549031.2,True,-1.0,661.1518,1.0,50.0,[-0.152  0.173 -1.226 -0.805],10,9.999999,,28767,50.0,0.07337044,1879.5652,17885.69,19.966534,0.4189424,85864.44,1e-07,537823.5,950,,,-837481.3,661.1517474369012,10.508051633834839,334.52884,-82.977356
inf,-95.49225,-inf,564.98267,411747.4,1929.4705,50,2,66544.82,9.999999,411747.4,58.52,66544.82,True,-1.0,574.96533,411747.4,0.00012143367,[-0.084  0.276 -1.245 -0.807],10,9.999999,,31693,0.00012143367,4.1447277e-07,1939.4531,0.46322381,9.982681,0.4189424,0.9606197,1e-07,4.675078,1000,,,-inf,574.9653238736331,11.356986999511719,459.54922,-90.63727
1.2246884e+18,-115.95604,-672880800000000.0,657.1499,1.0,2718.9045,50,1,20361684.0,10.0,1.0,67.74,699790.5,True,-1.0,667.1319,1.0,50.0,[-0.084  0.276 -1.245 -0.807],11,10.0,,35080,50.0,0.08171758,2728.8865,22.979534,9.981912,0.4189424,118.30952,1e-07,846.469,1050,,,-1307823.2,667.1318643807729,12.310931921005249,504.70346,-115.95604
inf,-111.95688,-inf,612.96387,117847.27,2109.0679,50,2,1542294.0,9.999999,117847.27,72.32,1542294.0,True,-1.0,712.89795,117847.27,0.00042427794,[-0.018  0.209 -1.261 -0.888],11,9.999999,,38696,0.00042427794,1.3925957e-07,2209.002,5.1823487,99.9341,0.4189424,17.440348,1e-07,108.22493,1100,,,-inf,712.8979446864124,13.090624809265137,433.9421,-104.063416
976356800000000.0,-135.12918,-36427576000000.0,823.8747,1.0,3768.6572,50,1,6049270.5,9.999999,1.0,84.42,1173812.6,True,-1.0,833.8597,1.0,50.0,[-0.018  0.209 -1.261 -0.888],12,9.999999,,42917,50.0,0.21529058,3778.6423,3.3755014,9.985041,0.4189424,7.6864724,1e-07,37.94591,1150,,,-2339623.0,833.8596678731037,14.060407638549805,691.7302,-135.12918
5.3773403e+18,-99.61752,-1419930700000000.0,522.74506,23.368828,2728.5295,50,2,10528621.0,10.0,23.368828,54.3,290026.1,True,-1.0,532.7265,23.368828,2.1396024,[ 0.022  0.164 -1.266 -0.905],12,10.0,,45632,2.1396024,0.019805588,2738.511,5.261547,9.981454,0.4189424,16.533148,1e-07,94.61789,1200,,,-94055200000000.0,532.7265082830677,14.992945671081543,488.97308,-98.50107
5.3193435e+28,-73.7688,-4.462373e+19,482.9851,1.0,1529.3812,50,1,70191860000.0,9.999999,1.0,50.32,371436.0,True,-1.0,492.96774,1.0,50.0,[ 0.046  0.217 -1.264 -0.891],13,9.999999,,48148,50.0,0.06192698,1539.3638,237485.77,9.982604,0.4189424,1614949.2,1e-07,11540614.0,1250,,,-564916.9,492.96774242658574,15.540871143341064,358.3557,-73.7688
inf,-92.580826,-inf,527.3956,337549.44,1829.335,50,2,33436404.0,9.999999,337549.44,55.76,33436404.0,True,-1.0,547.35864,337549.44,0.00014812645,[-0.011  0.443 -1.353 -0.911],13,9.999999,,50936,0.00014812645,8.0754665e-12,1849.298,189.90411,19.963072,0.4189424,1144.6855,1e-07,8089.8647,1300,,,-inf,547.3586758085181,16.12654161453247,456.61734,-79.80973
9.7650144e+35,-83.56356,-2.6125158e+23,479.019,1.0,1779.4585,50,1,2719247600.0,9.999999,1.0,50.92,365964.84,True,-1.0,498.9868,1.0,50.0,[-0.011  0.443 -1.353 -0.911],14,9.999999,,53482,50.0,1.0189416,1799.4263,7369.0317,19.967815,0.4189424,32116.375,1e-07,210398.72,1350,,,-630341.9,498.9867801417783,16.76593279838562,342.019,-83.56356
inf,-200.8563,-inf,1119.4026,3.4422801e+31,3709.1687,50,2,52369.76,9.999999,3.4422801e+31,114.98,52369.76,True,-1.0,1139.3699,3.4422801e+31,1.45252555e-30,[-0.009  0.212 -1.403 -0.992],14,9.999999,,59231,1.45252555e-30,,3729.136,0.5506482,19.9672,0.4189424,3.1256351,1e-07,22.247509,1400,,,-inf,1139.3698076007424,17.95320701599121,843.9018,-152.52177
1.2625528e+32,-155.06653,-1.5038187e+22,1260.9288,1.0,4038.6475,50,1,382181730.0,10.0,1.0,128.14,2509679.2,True,-1.0,1270.9122,1.0,50.0,[-0.009  0.212 -1.403 -0.992],15,10.0,,65638,50.0,0.052329484,4048.6309,120.72091,9.983502,0.4189424,290.1667,1e-07,1395.2828,1450,,,-3848041.5,1270.9122580640508,19.20488667488098,945.7597,-155.06653
inf,-139.21533,-inf,875.4955,1238330800.0,3038.8071,50,2,7288927.5,9.999999,1238330800.0,98.58,7288927.5,True,-1.0,975.4139,1238330800.0,4.0376936e-08,[ 0.029  0.104 -1.414 -1.042],15,9.999999,,70567,4.0376936e-08,1.7623222e-13,3138.7256,6.523905,99.918465,0.4189424,35.192123,1e-07,246.22566,1500,,,-inf,975.4139908670569,20.36284303665161,743.7479,-129.44144
5.7914246e+18,-115.02568,-1685358300000000.0,882.25385,1.0,2928.6846,50,1,15422857.0,9.999998,1.0,89.26,1129514.6,True,-1.0,882.25385,1.0,50.0,[ 0.029  0.104 -1.414 -1.042],16,9.999998,,75030,50.0,0.04019441,2928.6846,9.121171,,0.4189424,10.197142,1e-07,46.76623,1550,,,-1829842.8,882.2537884758813,21.333781480789185,592.5732,-115.02568
1.051142e+19,-85.15881,-1245432600000000.0,777.55,196.79478,2169.04,50,2,316256.4,9.999999,196.79478,78.78,314163.12,True,-1.0,777.55,196.79478,0.25407177,[-0.028  0.087 -1.421 -1.025],16,9.999999,,78969,0.25407177,3.871501e-06,2169.04,0.4104706,,0.4189424,1.1019619,1e-07,6.1021867,1600,,,-1501422900000000.0,777.5500113590142,22.12990403175354,457.72684,-81.604355
26640350000000.0,-105.79203,-1966181800000.0,731.7328,1.0,1989.978,50,1,299989060.0,9.999999,1.0,91.18,1028907.2,True,-1.0,901.5697,1.0,50.0,[-0.025  0.079 -1.424 -1.025],17,9.999999,,83528,50.0,0.017144756,2159.815,323.35342,169.83685,0.4189424,1291.9374,1e-07,8764.197,1650,,,-1409788.5,901.5696860523117,22.937844038009644,464.84332,-105.79203
3.5292323e+28,-112.81451,-8.5409316e+19,667.31665,3052.8618,2279.81,50,2,1383936.0,10.0,3052.8618,75.74,1383936.0,True,-1.0,747.199,3052.862,0.016378073,[-0.013  0.023 -1.504 -1.254],17,10.0,,87315,0.016378075,4.4326502e-09,2359.6924,2.5273242,79.882385,0.4189424,9.185764,1e-07,58.812145,1700,,,-8.5409316e+19,747.1990004360136,23.735320329666138,486.78775,-109.521225
5885803300000000.0,-71.57598,-28406530000000.0,643.8183,1.0,2109.422,50,1,3256223000.0,10.0,1.0,67.4,617116.1,True,-1.0,663.7879,1.0,50.0,[-0.013  0.023 -1.504 -1.254],18,10.0,,90685,50.0,0.08169218,2129.3918,2538.31,19.96962,0.4189424,16474.727,1e-07,117628.34,1750,,,-987342.25,663.7879139494398,24.443264484405518,420.12106,-71.57598
110907145000000.0,-71.8139,-1757894800000.0,490.40762,64.44236,1409.8492,50,2,312079.16,10.0,64.44236,52.06,510310.0,True,-1.0,510.37177,64.44236,0.7758872,[-0.053 -0.035 -1.511 -1.358],18,10.0,,93288,0.7758872,0.00030611406,1429.8134,0.6128372,19.964142,0.4189424,1.7049499,1e-07,10.699952,1800,,,-7255006600000.0,510.37174497887776,25.094794034957886,271.39114,-67.844604
1.9101297e+33,-64.285324,-9.595429e+21,505.56702,1.0,1629.8136,50,1,389033460000.0,9.999999,1.0,52.58,370094.16,True,-1.0,515.5474,1.0,50.0,[-0.058 -0.013 -1.511 -1.337],19,9.999999,,95917,50.0,0.10527546,1639.794,144714.69,9.980385,0.4189424,1012716.9,1e-07,7233732.5,1850,,,-589644.5,515.5474232408192,25.74181079864502,322.96286,-64.285324
3.4152006e+20,-73.13688,-3623611600000000.0,634.4162,375.86438,1519.7195,50,2,2174797.0,10.0,375.86438,67.46,2174797.0,True,-1.0,664.36804,375.86438,0.1330267,[-0.218  0.106 -1.759 -1.722],19,10.0,,99290,0.1330267,1.3919113e-06,1549.6713,11.368387,29.951838,0.4189424,41.283096,1e-07,239.68562,1900,,,-3623611600000000.0,664.3680705544258,26.499212503433228,283.78387,-66.39446
3.231108e+17,-79.13269,-124785980000000.0,652.38873,1.0,1629.7175,50,1,2227563000.0,10.0,1.0,67.26,509335.7,True,-1.0,662.3695,1.0,50.0,[-0.218  0.106 -1.759 -1.722],20,10.0,,102653,50.0,0.41093493,1639.6984,7501.536,9.980849,0.4189424,21266.412,1e-07,117523.4,1950,,,-728860.56,662.3695474411469,27.308584690093994,265.7109,-79.13269
inf,-122.96486,-inf,570.93555,488489.8,2140.1274,50,2,24210.158,10.0,488489.8,95.08,24210.158,True,-1.0,940.6334,488489.78,0.00010235629,[-0.158  0.215 -1.774 -1.718],20,10.0,,107407,0.00010235628,2.2476023e-15,2509.8254,0.07203521,369.69788,0.4189424,0.50050837,1e-07,3.5755684,2000,,,-inf,940.6334473403426,28.366018533706665,521.0293,-116.93798
2.7801932e+22,-95.18611,-6.829559e+16,712.4011,1.0,2139.9128,50,1,60265742000.0,10.0,1.0,82.24,823721.6,True,-1.0,812.24164,1.0,50.0,[-0.158  0.215 -1.774 -1.718],21,10.0,,111519,50.0,0.6339629,2239.7534,264945.6,99.84064,0.4189424,1615951.1,1e-07,11540835.0,2050,,,-1233318.5,812.2417198366819,29.12882375717163,404.95068,-95.18611
inf,-238.90205,-inf,1837.6647,4.0700834e+18,4989.424,50,2,157455.55,10.0,4.0700834e+18,185.78,157455.55,True,-1.0,1847.6458,4.0700834e+18,1.228476e-17,[-0.064  0.296 -1.789 -1.721],21,10.0,,120808,1.228476e-17,3.3626467e-34,4999.405,0.13993746,9.980935,0.4189424,0.83634746,1e-07,5.9462495,2100,,,-inf,1847.6458126588427,30.620443105697632,1072.0109,-215.90125
1.1081044e+16,-231.07907,-214810910000000.0,1777.966,1.0,4519.4224,50,1,522466240.0,10.0,1.0,226.76,6418571.0,True,-1.0,2257.7983,1.0,50.0,[-0.064  0.296 -1.789 -1.721],22,10.0,,132146,50.0,0.015469629,4999.255,99.09514,479.8323,0.4189424,140.90753,1e-07,658.8587,2150,,,-8459227.0,2257.7982247646855,32.37241458892822,1149.312,-231.07907
inf,-266.66525,-inf,3414.0388,61432813000000.0,4070.0198,50,2,2712381.2,10.0,61432813000000.0,434.8,2712381.2,True,-1.0,4343.5615,61432813000000.0,8.138973e-13,[-0.004  0.313 -1.79  -1.729],22,10.0,,153886,8.138973e-13,8.5067876e-17,4999.5425,0.3224903,929.52264,0.4189424,1.3277762,1e-07,8.172702,2200,,,-inf,4343.561607523848,35.119401931762695,1142.0416,-261.89993
94064450000.0,-230.81952,-646395660000.0,3577.5796,1.0,4989.5615,50,1,20463335000.0,10.0,1.0,359.3,16308343.0,True,-1.0,3587.5593,1.0,50.0,[-0.004  0.313 -1.79  -1.729],23,10.0,,171851,50.0,0.024861684,4999.541,823.29865,9.97935,0.4189424,4966.929,1e-07,35515.418,2250,,,-18349248.0,3587.55935159872,37.941797971725464,1854.1196,-230.81952
5.178575e+19,-230.22604,-1.4685712e+16,2204.2068,353.06024,4619.7,50,2,28664132.0,10.0,353.06024,259.26,28664132.0,True,-1.0,2583.9053,353.06024,0.1416189,[-0.026  0.286 -1.848 -1.834],23,10.0,,184814,0.1416189,8.232523e-09,4999.3984,1.235322,379.69824,0.4189424,7.698048,1e-07,55.056602,2300,,,-1.4685712e+16,2583.9051673274853,40.110121726989746,1506.8693,-227.52469
1.3334543e+35,-233.87946,-7.4522504e+23,3334.5557,1.0,4999.4473,50,1,2294156000000.0,10.0,1.0,334.2,13567387.0,True,-1.0,3334.5557,1.0,50.0,[-0.026  0.286 -1.848 -1.834],24,10.0,,201524,50.0,0.04130675,4999.4473,103983.54,,0.4189424,698542.2,1e-07,4993029.5,2350,,,-15608211.0,3334.5557610863852,42.86473035812378,1564.6484,-233.87946
inf,-247.24449,-inf,3309.7678,240116.78,4649.697,50,2,911490100.0,10.0,240116.78,366.52,911490100.0,True,-1.0,3659.4907,240116.77,0.00020823203,[ 0.036  0.295 -1.85  -1.84 ],24,10.0,,219850,0.00020823201,2.401568e-07,4999.4194,36.472885,349.72266,0.4189424,239.31085,1e-07,1708.2715,2400,,,-inf,3659.4907342832453,45.52756381034851,1746.8461,-242.3085
1.1251708e+17,-247.66142,-684537600000000.0,3659.8296,1.0,4979.427,50,1,522026620.0,10.0,1.0,368.54,16597609.0,True,-1.0,3679.789,1.0,50.0,[ 0.036  0.295 -1.85  -1.84 ],25,10.0,,238277,50.0,0.13874777,4999.386,28.262312,19.959305,0.4189424,63.106586,1e-07,412.68085,2450,,,-18638388.0,3679.788797697042,48.37743353843689,1748.3605,-247.66142
inf,-236.5112,-inf,3293.781,7129092.0,4949.471,50,2,40818800.0,10.0,7129092.0,335.1,40818800.0,True,-1.0,3343.7139,7129092.0,7.013516e-06,[-0.018  0.315 -1.873 -1.838],25,10.0,,255032,7.013516e-06,2.3516138e-09,4999.4043,2.3961513,49.932964,0.4189424,7.407504,1e-07,38.416943,2500,,,-inf,3343.713955413964,51.55303502082825,1590.9639,-231.95718
194710200.0,-245.54857,-28556378000.0,3084.8037,1.0,4609.8516,50,1,78738800.0,10.0,1.0,348.16,14368088.0,True,-1.0,3474.4644,1.0,50.0,[-0.018  0.315 -1.873 -1.838],26,10.0,,272440,50.0,0.12317531,4999.512,12.304693,389.66058,0.4189424,25.792337,1e-07,168.94833,2550,,,-16408968.0,3474.464564917877,54.313979625701904,1515.3167,-245.54857
25077272000000.0,-248.29051,-10219402000000.0,3742.8494,25.559227,4699.635,50,2,15430528.0,10.0,25.559227,404.7,14966580.0,True,-1.0,4042.5837,25.559227,1.9562407,[ 0.01   0.327 -1.873 -1.837],26,10.0,,292675,1.9562407,0.0024607389,4999.3687,1.6822917,299.73413,0.4189424,6.0075345,1e-07,34.931553,2600,,,-11190015000000.0,4042.5837183252174,57.06262683868408,1578.0396,-246.23326
9.994205e+32,-237.63197,-6.451845e+22,3963.2358,1.0,4549.8477,50,1,60034793000000.0,10.0,1.0,441.68,21101108.0,True,-1.0,4412.9014,1.0,50.0,[ 0.011  0.323 -1.873 -1.839],27,10.0,,314759,50.0,0.06625168,4999.513,2473142.5,449.66553,0.4189424,15966789.0,1e-07,113828264.0,2650,,,-23141996.0,4412.9015727814,60.368252992630005,1275.699,-237.63197
8.3370334e+23,-245.62071,-1.8631559e+18,2899.449,516.6387,4529.427,50,2,55315028.0,9.999999,516.6387,337.78,55315028.0,True,-1.0,3369.1533,516.6387,0.096779436,[ 0.065  0.293 -1.878 -1.842],27,9.999999,,331648,0.096779436,4.7930093e-06,4999.131,2.9985697,469.70392,0.4189424,10.820172,1e-07,66.047134,2700,,,-1.8631559e+18,3369.1531443763174,63.09291958808899,1530.4834,-245.29639
70156980000.0,-228.20126,-540766860000.0,2892.6462,1.0,4979.369,50,1,243012220.0,10.0,1.0,292.06,11765152.0,True,-1.0,2912.615,1.0,50.0,[ 0.065  0.293 -1.878 -1.842],28,10.0,,346251,50.0,0.13643835,4999.3384,22.979177,19.96932,0.4189424,62.345127,1e-07,442.62033,2750,,,-13805884.0,2912.6153624946483,65.80768942832947,1811.5808,-228.20126
inf,-239.13487,-inf,4069.7668,486682780.0,4989.617,50,2,5367345.0,10.0,486682780.0,408.42,5367345.0,True,-1.0,4079.7466,486682800.0,1.02736315e-07,[ 0.006  0.28  -1.89  -1.848],28,10.0,,366672,1.0273632e-07,7.4417234e-16,4999.597,0.6893077,9.979979,0.4189424,3.3251796,1e-07,23.249556,2800,,,-inf,4079.74661058149,69.52112197875977,1540.6946,-235.446
1376628400.0,-240.50813,-77133365000.0,4074.864,1.0,4559.972,50,1,1410700200.0,10.0,1.0,451.78,21521834.0,True,-1.0,4514.4497,1.0,50.0,[ 0.006  0.28  -1.89  -1.848],29,10.0,,389261,50.0,0.38133356,4999.5576,58.699062,439.5854,0.4189424,165.63016,1e-07,879.96027,2850,,,-23562760.0,4514.449392947563,72.9794385433197,1068.4471,-240.50813
3.6165133e+24,-225.65636,-3.8808931e+18,3243.3687,1182.1595,4939.4595,50,2,2716316.2,10.0,1182.1595,330.98,2716316.2,True,-1.0,3303.2888,1182.1595,0.042295475,[ 0.028  0.227 -1.898 -1.87 ],29,10.0,,405810,0.042295475,1.5393995e-08,4999.38,0.6791774,59.920414,0.4189424,2.8741503,1e-07,20.36296,2900,,,-3.8808931e+18,3303.288876530978,76.20801758766174,1852.8204,-221.4634
3.4263822e+20,-230.67442,-3.777858e+16,3578.5093,1.0,4999.616,50,1,6037158400.0,10.0,1.0,358.42,16173109.0,True,-1.0,3578.5093,1.0,50.0,[ 0.028  0.227 -1.898 -1.87 ],30,10.0,,423731,50.0,0.2317639,4999.616,295.36066,,0.4189424,771.7212,1e-07,4782.931,2950,,,-18214074.0,3578.5094098330364,79.72129774093628,1835.042,-230.67442
inf,-215.14467,-inf,2595.5159,833214.4,4999.4375,50,2,62383092.0,10.0,833214.4,260.48,62383092.0,True,-1.0,2595.5159,833214.4,6.0008566e-05,[-0.024  0.257 -1.908 -1.857],30,10.0,,436755,6.0008566e-05,2.2372246e-09,4999.4375,5.3625026,,0.4189424,20.776268,1e-07,141.54338,3000,,,-inf,2595.516008591531,82.82028937339783,1401.4318,-216.7636
2.0626704e+30,-228.18706,-2.9310504e+21,1998.5479,1.0,4599.7397,50,1,5514003500.0,10.0,1.0,240.76,7719288.0,True,-1.0,2398.3132,1.0,50.0,[-0.024  0.257 -1.908 -1.857],31,10.0,,448793,50.0,0.07799688,4999.505,872.5513,399.7653,0.4189424,2319.5237,1e-07,15341.328,3050,,,-9760150.0,2398.3129992362674,85.14985728263855,1402.6343,-228.18706
4.431238e+34,-248.56401,-4.295743e+23,4189.0425,67449.25,4989.3354,50,2,13447717.0,9.999999,67449.25,420.34,13447717.0,True,-1.0,4199.0244,67449.25,0.0007412981,[ 0.029  0.289 -1.909 -1.848],31,9.999999,,469810,0.0007412981,1.7411713e-07,4999.3174,0.65586615,9.981991,0.4189424,2.8802028,1e-07,18.767542,3100,,,-4.295743e+23,4199.024473970053,89.48132824897766,1485.8746,-243.10638
3498799300000.0,-237.32547,-3818853500000.0,3588.7664,1.0,4669.6904,50,1,1708522100.0,10.0,1.0,392.36,18062656.0,True,-1.0,3918.4128,1.0,50.0,[ 0.029  0.289 -1.909 -1.848],32,10.0,,489428,50.0,0.098350875,4999.337,71.87359,329.64655,0.4189424,182.22913,1e-07,1092.5245,3150,,,-20103396.0,3918.412625584514,94.62119483947754,1645.813,-237.32547
9.348488e+18,-250.0552,-6239174400000000.0,3194.8652,261.56573,4959.27,50,2,36032510.0,10.0,261.56573,324.08,35254260.0,True,-1.0,3234.8013,261.56573,0.19115654,[ 0.041  0.348 -1.909 -1.832],32,10.0,,505632,0.19115654,8.9242684e-07,4999.206,1.877893,39.936203,0.4189424,7.3349204,1e-07,51.05596,3200,,,-6009623500000000.0,3234.8015775928025,99.36823606491089,1945.5323,-242.89433
