InitialBound,Bound,ReturnMeanIW,VarianceInitializer,InitialReturnMax,ReturnStepMax,EpRewMean,Weights,Epsilon,StdWReturnMean,Iteration,MeanIW,InitialReturnMean,TimestepsSoFar,EmpiricalD2Arithmetic,ReturnStepMaxmin,OptimizationReturnMean,ESSRenyiArithmetic,MaxIW,Penalization,EmpiricalD2Harmonic,TimeElapsed,ESSRenyiHarmonic,InitialReturnStd,DivergenceHarmonic,MinBehavPdf,MeanD2-0,StdIW,WReturnMean,MeanEntropy,MinIW,OptimizationReturnMin,EpLenMean,OptimizationReturnMax,MinTargetPdf,EpisodesSoFar,Inner Iteration,EpThisIter,InitialReturnMin,LearnableVariance
-13632.015,-1.0500974e+18,2514483700.0,-1.0,249.95085,9.999998,80.74985191877556,[ 0. -0. -0. -0.],1.0,,1,207873.38,80.749855,454,1.0,9.999998,60.783085,50.0,10304393.0,True,1.0,3.086432933807373,50.0,44.83721,4.2377166e+28,-22.841747,1.0,1442383.9,8530.914,0.4189424,0.0037011716,,9.08,229.98409,-22.841747,50,1,50,19.96677,
-1.8287916e+17,-1.8287916e+17,4062.9912,-1.0,369.94525,9.999992,103.53764779006633,[-0.075 -0.279 -0.074 -0.401],1.0,,1,0.95345557,103.53764,1022,1110.4658,9.999992,93.5535,0.04502615,13.595558,True,1110.4658,7.360920190811157,0.04502615,72.78627,2.6783662e+26,-13.329481,1110.4658,2.2547061,4062.9912,0.4189424,2.683445e-06,,11.36,359.9611,-19.095644,100,2,50,9.984148,
-17955.89,-232920840000.0,419900.34,-1.0,259.9451,10.0,91.93719481992514,[-0.075 -0.279 -0.074 -0.401],1.0,,2,14.674163,91.93719,1532,1.0,10.0,81.95586,50.0,165.34184,True,1.0,8.569670915603638,50.0,63.13678,1782296000000000.0,-15.865851,1.0,33.0808,12438.7,0.4189424,0.045198385,,10.2,249.96376,-15.865851,150,1,50,9.981338,
-inf,-inf,5643.663,-1.0,279.82837,9.999997,71.94967843345836,[-0.823 -0.075 -0.439  0.114],1.0,,2,1.7566423,71.94968,1942,83547000000000.0,9.999997,61.96667,5.984655e-13,17.843304,True,83547000000000.0,9.234858274459839,5.984655e-13,56.078297,inf,-15.147104,83547000000000.0,3.9112184,5643.663,0.4189424,8.633435e-17,,8.2,269.84537,-27.11579,200,2,50,9.983008,
-10827.508,-6.640922e+18,738180.7,-1.0,179.94427,10.0,79.15377128512456,[-0.823 -0.075 -0.439  0.114],1.0,,3,75.11866,79.15377,2388,1.0,10.0,69.17153,50.0,1165.1954,True,1.0,10.559006690979004,50.0,43.79926,6.3095144e+30,-12.806383,1.0,192.55188,8183.6953,0.4189424,0.35739303,,8.92,169.96204,-12.806383,250,1,50,9.98224,
-inf,-inf,3100.3328,-1.0,99.988495,10.0,57.56926252672968,[-0.729  0.392 -0.494  0.256],1.0,,3,0.7147778,57.569263,2726,6147874.5,10.0,37.598557,8.132892e-06,10.709656,True,6147874.5,11.749622583389282,8.132892e-06,21.026758,inf,-7.8721743,6147874.5,2.1928146,3100.3328,0.4189424,2.3685307e-16,,6.76,80.01779,-21.898674,300,2,50,19.970707,
-6710.9834,-69575770000.0,288795.25,-1.0,149.96277,9.999992,63.164663359424765,[-0.729  0.392 -0.494  0.256],1.0,,4,44.873444,63.16466,3092,1.0,9.999992,33.209187,50.0,869.33606,True,1.0,12.87781572341919,50.0,29.748987,1435720600000000.0,-8.66309,1.0,142.10004,4874.777,0.4189424,0.026559182,,7.32,120.00729,-8.66309,350,1,50,29.955477,
-138351700000000.0,-138351700000000.0,3613.3188,-1.0,219.90517,9.999998,87.15156993368788,[-0.752  0.256 -0.523  0.05 ],1.0,,4,0.7924854,87.15157,3578,235.74031,9.999998,67.167946,0.2120978,11.844123,True,235.74031,14.248576879501343,0.2120978,45.062828,1.2277744e+21,-9.796681,235.74031,2.0138714,3613.3188,0.4189424,5.452859e-06,,9.72,199.92154,-13.336189,400,2,50,19.98362,
-22711.445,-9764286000.0,126307.445,-1.0,309.84903,9.999991,102.14639539649785,[-0.752  0.256 -0.523  0.05 ],1.0,,5,6.7989726,102.14639,4139,1.0,9.999991,82.17288,50.0,63.73228,True,1.0,15.523378133773804,50.0,66.62331,1551531200000.0,-14.270047,1.0,11.900345,14872.55,0.4189424,0.091538735,,11.22,289.87552,-14.270047,450,1,50,19.973518,
-61072808000000.0,-42832486000.0,32227834.0,-1.0,429.9391,9.999999,152.31748010995477,[-0.777  0.143 -0.561 -0.169],1.0,,5,513.5452,152.31747,4951,99.44803,9.999999,142.33617,0.5027752,11751.75,True,99.44803,17.47521138191223,0.5027752,99.04299,8041855500000.0,-16.05801,99.44803,1915.9412,34819.758,0.4189424,1.0141433,,16.24,419.95776,-20.209118,500,2,50,9.981313,
