InitialBound,InitialReturnMax,MinTargetPdf,ESSRenyiArithmetic,StdIW,Inner Iteration,Weights,LearnableVariance,ReturnStepMaxmin,WReturnMean,InitialReturnMean,MaxIW,VarianceInitializer,EpThisIter,OptimizationReturnMax,Iteration,InitialReturnStd,EmpiricalD2Harmonic,ESSRenyiHarmonic,TimeElapsed,ReturnStepMax,StdWReturnMean,DivergenceHarmonic,ReturnMeanIW,MinBehavPdf,OptimizationReturnMin,MeanD2-0,EpRewMean,TimestepsSoFar,Bound,EpisodesSoFar,Epsilon,MinIW,EmpiricalD2Arithmetic,EpLenMean,Penalization,MeanIW,OptimizationReturnMean,InitialReturnMin,MeanEntropy
-14308.274,249.83664,-10.930424,50.0,3666571.5,1,[ 0. -0.  0.  0.],,10.0,9211.835,80.55048,26075472.0,-1.0,50,249.83664,1,52.186737,1.0,50.0,0.7271111011505127,10.0,,2.947489e+22,2769559000.0,-10.930424,,1.0,80.55047796447542,453,-874971900000000.0,50,1e-07,0.0554786,1.0,9.06,True,595985.94,80.55048,,0.4189424
-2.823028e+20,349.89294,-21.365227,0.0038071324,24.557491,2,[-0.058 -0.169 -0.117 -0.452],,9.999995,55670.914,99.13201,165.39325,-1.0,50,339.9083,1,72.094154,13133.244,0.0038071324,1.625910997390747,9.999995,,7.975922e+32,55670.914,-16.910774,,13133.244,99.13200795935263,999,-2.823028e+20,100,1e-07,8.713819e-06,13133.244,10.92,True,5.955459,89.147354,9.984653,0.4189424
-41915.656,459.86383,-23.719398,50.0,4.302445,1,[-0.058 -0.169 -0.117 -0.452],,9.999996,24648.8,124.32128,17.217894,-1.0,50,449.87973,2,95.88023,1.0,50.0,2.1320388317108154,9.999996,,2.283365e+19,159716.64,-23.719398,,1.0,124.32128685487143,1671,-82508860000000.0,150,1e-07,0.010339172,1.0,13.44,True,4.177675,114.33719,9.984106,0.4189424
-inf,639.8025,-63.624958,,10.145656,2,[ 0.131  0.15  -0.237 -0.765],,9.999995,118302.45,222.07794,67.32539,-1.0,50,629.8225,2,154.64154,inf,,2.6675961017608643,9.999995,,inf,118302.45,-27.709972,,inf,222.07793999649147,2832,-inf,200,1e-07,,inf,23.22,True,3.497368,212.09796,9.979975,0.4189424
-86470.125,549.744,-24.683216,50.0,215.9866,1,[ 0.131  0.15  -0.237 -0.765],,9.999995,61794.06,205.47832,1543.0532,-1.0,50,539.7608,3,139.90253,1.0,50.0,3.2796730995178223,9.999995,,299842830000.0,5829208.5,-24.683216,,1.0,205.47832105916874,3910,-13517911000.0,250,1e-07,0.05931517,1.0,21.56,True,35.679688,195.49512,9.983213,0.4189424
-616618050.0,679.85986,-30.228369,12.357282,3338.3687,2,[ 0.241  0.205 -0.238 -0.788],,9.999998,1348916.1,201.29129,20697.594,-1.0,50,649.9047,3,145.20822,4.0461974,12.357282,3.7905704975128174,9.999998,,1768357400.0,79887180.0,-29.106186,,4.0461974,201.29128995613934,4967,-1666891900.0,300,1e-07,0.54242796,4.0461974,21.14,True,905.1273,171.33617,29.95512,0.4189424
-53959.836,469.89514,-24.82936,50.0,2828.9539,1,[ 0.122 -0.006 -0.238 -0.847],,9.999995,35931.457,156.48839,20216.63,-1.0,50,449.92383,4,106.97121,1.0,50.0,4.087631464004517,9.999995,,3.1358081e+25,46933370.0,-24.82936,,1.0,156.48838792784673,5800,-1.0095574e+17,350,1e-07,0.28944114,1.0,16.66,True,422.49976,136.51707,19.97131,0.4189424
-1316967300000000.0,649.8882,-23.293968,0.36806932,1.9017546,2,[-0.023 -0.2   -0.237 -0.782],,9.999996,48817.918,169.4891,7.5859404,-1.0,50,639.90735,4,108.32115,135.84398,0.36806932,4.543736457824707,9.999996,,1.4584336e+21,48817.918,-20.095837,,135.84398,169.48909360634542,6698,-1316967300000000.0,400,1e-07,0.0016677779,135.84398,17.96,True,1.1515183,159.50827,9.980831,0.4189424
-74889.445,649.75226,-28.323626,50.0,1.4336592,1,[-0.023 -0.2   -0.237 -0.782],,10.0,40418.727,153.9041,8.578587,-1.0,50,639.7711,5,129.35323,1.0,50.0,5.099262714385986,10.0,,6.2847034e+31,104062.55,-28.323626,,1.0,153.90410303536703,7518,-2.7327025e+20,450,1e-07,0.02050245,1.0,16.4,True,1.832789,143.92297,9.98112,0.4189424
-inf,609.84015,-58.110626,2.8123505e-22,2.325078,2,[ 0.128 -0.006 -0.274 -0.808],,9.999994,26844.826,168.88936,13.9966345,-1.0,50,609.84015,5,142.92749,1.7778723e+23,2.8123505e-22,5.667978286743164,9.999994,,inf,26844.826,-27.058073,,1.7778723e+23,168.88935089041058,8413,-inf,500,1e-07,1.0674119e-34,1.7778723e+23,17.9,True,1.5766929,168.88936,,0.4189424
-79994.914,599.8379,-28.125664,50.0,1609.6013,1,[ 0.128 -0.006 -0.274 -0.808],,9.999996,50616.887,170.87909,11500.253,-1.0,50,589.855,6,146.34625,1.0,50.0,6.197635650634766,9.999996,,48622600000000.0,43236680.0,-28.125664,,1.0,170.87908534050123,9318,-204895730000.0,550,1e-07,0.22021621,1.0,18.1,True,233.44029,160.89615,9.982931,0.4189424
-5.1206645e+19,569.84326,-27.036734,0.0104497,0.51960516,2,[ 0.023 -0.069 -0.296 -0.817],,9.999996,35696.73,203.88885,2.6031103,-1.0,50,539.8861,6,149.91919,4784.826,0.0104497,6.797337293624878,9.999996,,3.7301155e+30,35696.73,-27.217957,,4784.826,203.88886013402845,10388,-5.1206645e+19,600,1e-07,0.00017563907,4784.826,21.4,True,0.7158405,173.93169,29.957184,0.4189424
-191590.64,1089.7605,-45.264545,50.0,2.1734917,1,[ 0.023 -0.069 -0.296 -0.817],,10.0,94625.164,233.46957,13.293161,-1.0,50,1079.7771,7,200.2926,1.0,50.0,7.251540422439575,10.0,,18740780000000.0,386735.97,-45.264545,,1.0,233.4695682002538,11606,-419769350000.0,650,1e-07,0.34924188,1.0,24.36,True,2.0427773,223.48618,9.983398,0.4189424
-3.9487213e+20,1009.6836,-47.77756,0.0022530996,4.801907,2,[ 0.07   0.041 -0.323 -0.84 ],,9.999999,130592.45,274.6529,26.695536,-1.0,50,999.70215,7,215.57153,22191.652,0.0022530996,7.848698854446411,9.999999,,2.2504173e+31,130592.45,-42.679367,,22191.652,274.6529230561913,13030,-3.9487213e+20,700,1e-07,4.3668777e-08,22191.652,28.48,True,2.2585104,264.67145,9.98145,0.4189424
-100578.41,569.7799,-31.072945,50.0,6946.1416,1,[ 0.07   0.041 -0.323 -0.84 ],,9.999997,74070.88,217.45863,49637.785,-1.0,50,539.8351,8,163.65399,1.0,50.0,8.463941812515259,9.999997,,2.6724226e+17,237859200.0,-31.072945,,1.0,217.45863087374855,14168,-13703413000000.0,750,1e-07,0.32178825,1.0,22.76,True,1081.2115,187.5138,29.944828,0.4189424
-1.5787615e+22,669.7527,-31.25621,0.0011922931,47.34026,2,[ 0.133  0.148 -0.339 -0.84 ],,9.999997,912853.3,230.45642,338.73245,-1.0,50,659.7732,8,159.97824,41935.996,0.0011922931,9.023226022720337,9.999997,,1.8580886e+35,912853.3,-25.33865,,41935.996,230.45641729933493,15371,-1.5787615e+22,800,1e-07,4.364821e-08,41935.996,24.06,True,7.591925,220.47691,9.979518,0.4189424
-109974.17,549.85846,-27.740032,50.0,175.00685,1,[ 0.133  0.148 -0.339 -0.84 ],,9.999997,85287.83,243.87332,1251.4822,-1.0,50,539.87494,9,160.66621,1.0,50.0,9.581777095794678,9.999997,,1517161700.0,4511614.5,-27.740032,,1.0,243.8733214815407,16641,-966062200.0,850,1e-07,0.2866666,1.0,25.4,True,29.567749,233.8898,9.983529,0.4189424
-128318005000.0,699.616,-37.645847,3.3697648,681889.56,2,[ 0.217  0.216 -0.368 -0.895],,9.999999,154937.77,248.86552,4671019.0,-1.0,50,699.616,9,164.72157,14.83783,3.369765,10.150532245635986,9.999999,,5.3205536e+17,50302157000.0,-37.089855,,14.837831,248.86552893661275,17936,-29201225000000.0,900,1e-07,0.4852028,14.837831,25.9,True,133537.33,248.86552,,0.4189424
-123807.34,659.61926,-29.186125,50.0,37.6028,1,[ 0.099  0.001 -0.361 -0.943],,9.999999,88281.73,245.03601,253.13383,-1.0,50,609.7091,10,168.04485,1.0,50.0,10.793370246887207,9.999999,,237507820.0,1949003.5,-29.186125,,1.0,245.03603220322245,19212,-549443800.0,950,1e-07,0.22404449,1.0,25.52,True,10.122092,195.12585,49.910156,0.4189424
-428439700.0,949.74,-42.213974,15.249938,7620.569,2,[ 0.062 -0.08  -0.385 -1.027],,9.999993,19882.605,200.25237,50207.96,-1.0,50,929.7684,10,151.01672,3.278702,15.249937,11.153221368789673,9.999993,,175049820000.0,194163000.0,-41.605934,,3.2787018,200.25236305301664,20264,-31007920000.0,1000,1e-07,0.6939195,3.2787018,21.04,True,1499.9856,180.28072,19.971642,0.4189424
-194786.6,759.6614,-30.893337,50.0,624905.44,1,[ 0.183  0.138 -0.403 -1.019],,9.999999,147667.67,339.83188,4463668.5,-1.0,50,749.67957,11,179.39333,1.0,50.0,11.80203104019165,9.999999,,58490807000000.0,20569360000.0,-30.893337,,1.0,339.83185997973584,22014,-380930800000.0,1050,1e-07,0.10076946,1.0,35.0,True,89330.25,329.85004,9.9818,0.4189424
-1166789100000000.0,829.67993,-48.659874,0.3189916,55.045628,2,[ 0.224  0.25  -0.436 -1.038],,9.999999,1971384.2,308.4486,393.882,-1.0,50,819.69934,11,194.12175,156.74394,0.3189916,12.50833010673523,9.999999,,4.3095666e+20,1971384.2,-47.944244,,156.74394,308.44862486359415,23607,-1166789100000000.0,1100,1e-07,0.0007081387,156.74394,31.86,True,9.063079,298.46802,9.980621,0.4189424
-174475.23,899.6748,-28.618103,50.0,25.953785,1,[ 0.224  0.25  -0.436 -1.038],,9.999997,108386.69,292.24808,156.28355,-1.0,50,849.7489,12,151.58409,1.0,50.0,13.214540481567383,9.999997,,1270105600.0,1303420.1,-28.618103,,1.0,292.2481082131758,25119,-2356598800.0,1150,1e-07,0.2068803,1.0,30.24,True,13.551654,242.32219,49.925926,0.4189424
