Penalization,Inner Iteration,Bound,EpLenMean,Iteration,InitialReturnMax,MinTargetPdf,OptimizationReturnMin,MeanEntropy,TimestepsSoFar,DivergenceHarmonic,Epsilon,MaxIW,ReturnStepMaxmin,TimeElapsed,WReturnMean,InitialBound,ESSRenyiHarmonic,Weights,EpThisIter,VarianceInitializer,InitialReturnMin,ESSRenyiArithmetic,ReturnMeanIW,ReturnStepMax,OptimizationReturnMean,InitialReturnStd,MeanD2-0,StdWReturnMean,EmpiricalD2Arithmetic,InitialReturnMean,EmpiricalD2Harmonic,MeanIW,LearnableVariance,MinBehavPdf,EpisodesSoFar,StdIW,OptimizationReturnMax,EpRewMean,MinIW
True,1,-7907497000.0,7.38,1,189.93498,-8.951916,,0.4189424,369,7206861000000.0,1.0,27.450218,9.999996,3.688453435897827,5572.1084,-8517.6455,50.0,[ 0. -0. -0.  0.],50,-1.0,9.983243,50.0,29959.672,9.999996,53.776215,38.818035,1.0,,1.0,63.759464,1.0,3.1549683,,-8.951916,50,5.1461797,179.95174,63.7594610790301,0.33164597
True,2,-inf,9.82,1,239.9177,-21.205498,,0.4189424,860,inf,1.0,14.6463785,9.999989,8.454764366149902,12777.85,-inf,7.391589e-10,[-0.305  0.766 -0.464 -0.325],50,-1.0,9.983,7.3915885e-10,12777.85,9.999989,78.16952,51.81718,67644457000.0,,67644457000.0,88.15251,67644453000.0,1.5748689,,-14.28417,100,2.8835628,229.9347,88.1525162967642,6.4176454e-14
True,1,-10906306000000.0,8.12,2,259.86185,-11.365835,,0.4189424,1266,3.9126995e+18,1.0,1018.2953,9.999997,9.738091707229614,7045.4185,-12559.073,50.0,[-0.305  0.766 -0.464 -0.325],50,-1.0,9.98898,50.0,180679.81,9.999997,61.172623,44.513424,1.0,,1.0,71.161606,1.0,37.11572,,-11.365835,150,149.28435,249.87286,71.16160598984013,0.31121358
True,2,-1.0295997e+19,11.52,2,209.93042,-21.376797,,0.4189424,1842,8.187034e+30,1.0,10.494112,9.999998,11.629367351531982,7203.1934,-1.0295997e+19,0.0034325083,[-0.323  0.612 -0.478 -0.52 ],50,-1.0,19.966896,0.0034325083,7203.1934,9.999998,85.16923,56.937748,14566.607,,14566.607,105.13612,14566.607,1.2068989,,-14.63447,200,2.3089786,189.96353,105.13611777849673,8.883323e-07
True,1,-23874383000000.0,13.18,3,419.9339,-20.106318,,0.4189424,2501,2.74936e+18,1.0,8391.809,9.999996,13.704095602035522,20229.15,-34627.625,50.0,[-0.323  0.612 -0.478 -0.52 ],50,-1.0,19.966417,50.0,5850745.0,9.999996,101.76094,73.56359,1.0,,1.0,121.72734,1.0,236.74303,,-20.106318,250,1214.5072,399.96747,121.72735388892403,0.16959508
True,2,-inf,26.86,3,879.84607,-45.873367,,0.4189424,3844,inf,1.0,58.098373,10.0,17.122462511062622,38544.098,-inf,1.3102994e-12,[-0.361  0.439 -0.486 -0.696],50,-1.0,29.951847,1.3102994e-12,38544.098,10.0,228.52016,174.17061,38159216000000.0,,38159216000000.0,258.472,38159216000000.0,2.8671253,,-31.611912,300,10.220653,849.8942,258.47200917888927,5.936748e-24
True,1,-450493550000.0,27.26,4,1029.6554,-43.062172,,0.4189424,5207,27083204000000.0,1.0,32.91294,10.0,20.266791105270386,120958.69,-207523.0,50.0,[-0.361  0.439 -0.486 -0.696],50,-1.0,,50.0,390184.1,10.0,262.47812,228.17523,1.0,,1.0,262.47812,1.0,4.1119404,,-43.062172,350,6.8377895,1029.6554,262.47809474449065,0.06655197
True,2,-5.7012165e+20,32.32,4,839.61694,-39.644394,,0.4189424,6823,9.810735e+31,1.0,52.89816,9.999999,24.65030837059021,219308.34,-5.7012165e+20,0.004875905,[-0.425  0.343 -0.493 -0.744],50,-1.0,,0.004875905,219308.34,9.999999,313.04062,191.21782,10254.507,,10254.507,313.04062,10254.507,3.120517,,-35.250694,400,8.378883,839.61694,313.04060825518764,4.4416236e-08
True,1,-1185971000000.0,32.92,5,1199.5975,-47.249435,,0.4189424,8469,101880550000000.0,1.0,646.4949,10.0,27.943113088607788,161332.02,-278828.88,50.0,[-0.425  0.343 -0.493 -0.744],50,-1.0,19.966825,50.0,7942660.5,10.0,299.0929,243.99367,1.0,,1.0,319.05972,1.0,48.45583,,-47.249435,450,127.81255,1179.6307,319.05972724305735,0.15565947
True,2,-463563270000000.0,43.78,5,1009.7829,-55.031174,,0.4189424,10658,3.1002538e+19,1.0,160.29546,9.999999,32.65902090072632,703415.44,-463563270000000.0,0.37254822,[-0.37   0.274 -0.555 -0.97 ],50,-1.0,39.94444,0.37254822,703415.44,9.999999,387.66235,227.70319,134.21082,,134.21082,427.6068,134.21082,5.3798466,,-48.07299,500,23.70427,969.83844,427.60680565237533,9.040632e-07
