MinBehavPdf,TimestepsSoFar,Weights,LearnableVariance,MeanD2-0,MinTargetPdf,EpLenMean,Penalization,InitialReturnMax,EmpiricalD2Arithmetic,Inner Iteration,WReturnMean,EpRewMean,MaxIW,EmpiricalD2Harmonic,ESSRenyiArithmetic,EpisodesSoFar,ESSRenyiHarmonic,EpThisIter,DivergenceHarmonic,InitialBound,VarianceInitializer,MinIW,StdWReturnMean,ReturnMeanIW,InitialReturnStd,Bound,MeanIW,InitialReturnMean,Iteration,StdIW,MeanEntropy,ReturnStepMaxmin,ReturnStepMax,TimeElapsed,InitialReturnMin
-16.948103,943,[ 0.  0.  0. -0.],,1.0,-16.948103,9.43,True,459.83575,1.0,1,11416.882,84.25223059444338,164769060.0,1.0,100.0,100,100.0,100,1.5402501e+28,-23624.898,-1,0.10635482,,4451670500.0,65.71487,-1.515097e+18,1652663.0,84.252235,1,16393846.0,0.4189424,9.999999,9.999999,3.478215456008911,9.9803915
-17.101814,2399,[-0.251 -0.127 -0.179 -0.373],,1.0,-17.101814,14.56,True,499.83624,1.0,1,26104.188,135.52262136665752,14.451074,1.0,100.0,200,100.0,100,1.931074e+17,-40528.504,-1,0.064599924,,91434.38,87.964806,-6338614000000.0,3.012798,135.52261,2,2.3428128,0.4189424,9.999997,9.999997,8.963402509689331,9.982706
-49.54438,5067,[-0.307  0.27  -0.361 -0.61 ],,1.0,-49.54438,26.68,True,969.5115,1.0,1,101523.86,256.6559041195596,13518.342,1.0,100.0,300,100.0,100,3.5322975e+28,-155792.12,-1,0.1312543,,49949540.0,188.81633,-1.0199383e+19,285.41592,256.6559,3,1498.3547,0.4189424,9.999998,9.999998,14.204612493515015,9.983006
-53.31532,8219,[-0.13   0.254 -0.393 -0.784],,1.0,-53.31532,31.52,True,1099.5498,1.0,1,147290.72,305.0268578634959,12726.61,1.0,100.0,400,100.0,100,1.0647642e+19,-217093.05,-1,0.13678595,,47683400.0,232.91486,-227769720000000.0,235.82121,305.02682,4,1321.7744,0.4189424,9.999999,9.999999,19.633986473083496,
-45.154465,11851,[-0.225  0.177 -0.41  -0.805],,1.0,-45.154465,36.32,True,1149.4501,1.0,1,182600.36,353.02412503569025,673.07587,1.0,100.0,500,100.0,100,48807027000000.0,-258882.08,-1,0.021315435,,6529797.0,240.77864,-532925000000.0,31.40401,353.02414,5,84.85201,0.4189424,10.0,10.0,26.842191696166992,9.980824
-47.360703,15992,[-0.162  0.269 -0.444 -0.851],,1.0,-47.360703,41.41,True,999.28973,1.0,1,231992.69,403.8850901275442,16529.44,1.0,100.0,600,100.0,100,45171966000000.0,-289645.88,-1,0.11117523,,69687670.0,262.43002,-387556340000.0,388.24564,403.88507,6,2048.0583,0.4189424,10.0,10.0,34.18847465515137,29.952124
-76.11922,20778,[-0.197  0.207 -0.524 -1.077],,1.0,-76.11922,47.86,True,1329.5371,1.0,1,316701.66,468.3877157189261,81917.89,1.0,100.0,700,100.0,100,4.903219e+21,-418758.3,-1,0.007721146,,640223000.0,311.95294,-7146295000000000.0,2936.817,468.38773,7,10305.398,0.4189424,10.0,10.0,40.309943199157715,9.982716
-58.810024,26442,[-0.107  0.291 -0.537 -1.096],,1.0,-58.810024,56.64,True,1409.1755,1.0,1,417097.53,556.13459477692,273035.97,1.0,100.0,800,100.0,100,11394371000000.0,-531746.7,-1,0.019186793,,576579140.0,328.34717,-387579970000.0,3202.2285,556.1346,8,27234.004,0.4189424,9.999999,9.999999,47.6249942779541,9.981605
-74.17839,32256,[-0.09   0.42  -0.717 -1.209],,1.0,-74.17839,58.14,True,1629.5195,1.0,1,472443.9,571.1678832824422,3476.7542,1.0,100.0,900,100.0,100,1.41092e+27,-625750.1,-1,0.08830993,,94964920.0,382.3757,-5.7585047e+18,55.298588,571.16785,9,351.391,0.4189424,10.0,10.0,56.659879207611084,
-84.214066,40009,[-0.195  0.371 -0.744 -1.246],,1.0,-84.214066,77.53,True,2099.348,1.0,1,719360.5,765.0001657275124,254333.95,1.0,100.0,1000,100.0,100,1.1695553e+23,-973814.9,-1,0.09179277,,5862767600.0,366.24478,-8.70199e+16,6260.4937,765.0002,10,33264.098,0.4189424,10.0,10.0,66.92833042144775,
