EmpiricalD2Arithmetic,MaxIW,ESSRenyiHarmonic,EpRewMean,DivergenceHarmonic,InitialReturnMax,ESSRenyiArithmetic,EmpiricalD2Harmonic,TimeElapsed,Iteration,Penalization,InitialBound,MinBehavPdf,EpisodesSoFar,MeanEntropy,LearnableVariance,ReturnStepMax,MeanIW,EpLenMean,InitialReturnMin,StdIW,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,Weights,Inner Iteration,Bound,WReturnMean,MinTargetPdf,ReturnStepMaxmin,MeanD2-0,EpThisIter,StdWReturnMean,MinIW,VarianceInitializer,InitialReturnMean
1.0,14231.666,100.0,79.45088302114604,3480216400000.0,269.841,100.0,1.0,0.9546854496002197,1,True,-13601.375,-13.698185,100,0.4189424,,9.999998,195.03383,8.95,9.986606,1424.2129,55.54281,895,1143703.9,[-0. -0. -0. -0.],1,-7843713500.0,9397.445,-13.698185,9.999998,1.0,100,,0.12284447,-1,79.45088
1.0,5835.0303,100.0,154.20359673239298,3.2773532e+22,739.6759,100.0,1.0,2.4288582801818848,2,True,-71310.61,-32.57366,200,0.4189424,,9.999999,89.588615,16.43,9.9801,631.49335,126.26883,2538,14959206.0,[ 0.013  0.074 -0.184 -0.459],1,-5718524000000000.0,39722.566,-32.57366,9.999999,1.0,100,,0.09225193,-1,154.2036
1.0,96285.12,100.0,192.787427961097,16934601000000.0,739.8411,100.0,1.0,3.2237789630889893,3,True,-87049.77,-26.636137,300,0.4189424,,10.0,1344.3322,20.29,9.985285,10001.208,135.20584,4567,112038664.0,[-0.106  0.015 -0.271 -0.652],1,-130160070000.0,55447.613,-26.636137,10.0,1.0,100,,0.099980876,-1,192.7874
1.0,16.301668,100.0,215.96468484375472,183873590000.0,789.8606,100.0,1.0,4.156686067581177,4,True,-107780.28,-35.090805,400,0.4189424,,9.999997,4.0377307,22.61,9.980524,3.1139286,158.4922,6828,317097.56,[-0.431  0.014 -0.442 -0.99 ],1,-15445745000.0,71760.52,-35.090805,9.999997,1.0,100,,0.56111395,-1,215.96466
1.0,141217.84,100.0,382.694554668094,9.692618e+22,1149.749,100.0,1.0,5.1509435176849365,5,True,-275033.88,-46.79343,500,0.4189424,,9.999999,5922.518,39.29,9.982868,23892.873,228.5987,10757,2123844700.0,[-0.359  0.201 -0.508 -1.124],1,-2.3761075e+16,198712.48,-46.79343,9.999999,1.0,100,,0.036879398,-1,382.69452
1.0,1525.274,100.0,431.3564705400371,1.7521623e+17,1259.692,100.0,1.0,6.287602424621582,6,True,-330253.5,-61.596016,600,0.4189424,,9.999999,146.24838,44.16,,260.77057,229.28062,15173,37622230.0,[-0.23   0.124 -0.639 -1.583],1,-38349146000000.0,238637.98,-61.596016,9.999999,1.0,100,,0.05486814,-1,431.35645
1.0,1352924.0,100.0,615.8909751104843,815774550000000.0,1889.7009,100.0,1.0,8.194969415664673,7,True,-693527.75,-74.3506,700,0.4189424,,10.0,29242.37,62.61,9.984827,154865.19,328.68732,21434,4483394600.0,[-0.171  0.231 -0.656 -1.605],1,-5893063000000.0,487357.03,-74.3506,10.0,1.0,100,,0.10389666,-1,615.891
1.0,465873.84,100.0,860.5598219255824,7.1801913e+25,2809.18,100.0,1.0,10.315211296081543,8,True,-1550947.1,-105.14009,800,0.4189424,,10.0,19528.98,87.09,9.980731,74884.36,595.62274,30143,10382168000.0,[-0.13   0.34  -0.676 -1.647],1,-3.860704e+18,1095329.6,-105.14009,10.0,1.0,100,,0.021062361,-1,860.5598
1.0,869328.25,100.0,871.7119000726411,5.2151565e+23,4508.036,100.0,1.0,12.68725872039795,9,True,-2377218.0,-213.0555,900,0.4189424,,10.0,8828.825,88.21,9.980099,86489.945,666.34656,38964,34545254000.0,[-0.09   0.454 -0.685 -1.616],1,-8.473208e+17,1203899.2,-213.0555,10.0,1.0,100,,0.031152623,-1,871.712
1.0,160506.8,100.0,891.5397447434241,3.1204143e+29,2249.6948,100.0,1.0,14.883033275604248,10,True,-1372441.2,-95.69823,1000,0.4189424,,9.999999,6314.46,90.19,9.984709,22823.525,534.22144,47983,13673698000.0,[-0.181  0.526 -0.729 -1.604],1,-1.6322729e+20,1080235.6,-95.69823,9.999999,1.0,100,,0.14712602,-1,891.5398
