StdIW,EmpiricalD2Arithmetic,DivergenceHarmonic,EpLenMean,ReturnStepMax,InitialReturnMin,InitialReturnMean,MaxIW,EmpiricalD2Harmonic,MinBehavPdf,MeanIW,Bound,MeanEntropy,WReturnMean,VarianceInitializer,InitialBound,InitialReturnStd,Inner Iteration,Weights,TimestepsSoFar,MinTargetPdf,MeanD2-0,TimeElapsed,StdWReturnMean,EpRewMean,ESSRenyiArithmetic,Penalization,ReturnMeanIW,EpisodesSoFar,ESSRenyiHarmonic,ReturnStepMaxmin,EpThisIter,InitialReturnMax,MinIW,Iteration,LearnableVariance
75186.01,1.0,2.1525622e+24,9.02,9.999999,9.982842,80.15479,712020.2,1.0,-17.212978,10327.152,-5291228400000000.0,0.4189424,9893.183,-1,-13499.624,58.893036,1,[ 0.  0.  0. -0.],902,-17.212978,1.0,0.996950626373291,,80.15480061925463,100.0,True,34582136.0,100,100.0,9.999999,100,249.93073,0.08209972,1,
10115.988,1.0,1.867847e+19,12.91,9.999998,,119.02654,75842.92,1.0,-23.30747,1811.0072,-57457260000000.0,0.4189424,21878.664,-1,-35173.234,87.81428,1,[-0.018 -0.201 -0.101 -0.446],2193,-23.30747,1.0,2.6761252880096436,,119.0265374004278,100.0,True,30906026.0,200,100.0,9.999998,100,479.86307,0.02112583,2,
1090.754,1.0,1.329777e+33,21.44,9.999997,,204.26987,6610.341,1.0,-34.992905,437.6234,-7.8312285e+20,0.4189424,55683.89,-1,-77159.28,118.14278,1,[-0.606 -0.081 -0.57  -1.093],4337,-34.992905,1.0,4.025499582290649,,204.26986385186657,100.0,True,28109418.0,300,100.0,9.999997,100,609.8887,0.58986443,3,
216516.95,1.0,2.963379e+22,53.13,10.0,19.96177,521.0838,2014736.4,1.0,-61.79284,37656.31,-2.05961e+16,0.4189424,310593.7,-1,-430238.1,197.64957,1,[-0.486  0.381 -0.691 -1.185],9650,-61.79284,1.0,6.323505878448486,,521.0838538817002,100.0,True,13793126000.0,400,100.0,10.0,100,1439.5471,0.063498154,4,
20.42897,1.0,1308366600000000.0,42.18,10.0,,411.57608,154.90979,1.0,-57.963326,16.415747,-2345789600000.0,0.4189424,211125.0,-1,-275977.2,204.27946,1,[-0.466  0.209 -0.72  -1.363],13868,-57.963326,1.0,8.387281894683838,,411.5761104670933,100.0,True,2890079.8,500,100.0,10.0,100,1059.8446,0.003708634,5,
24847.805,1.0,7.717882e+17,51.21,9.999998,29.951439,501.86804,183767.31,1.0,-49.292217,5470.112,-71787700000000.0,0.4189424,289582.97,-1,-371296.72,194.19432,1,[-0.409  0.319 -0.735 -1.351],18989,-49.292217,1.0,10.554046630859375,,501.8680620797124,100.0,True,1157417500.0,600,100.0,9.999998,100,1189.6721,0.019393492,6,
73162.945,1.0,2.1853115e+19,68.48,10.0,9.980651,674.55853,734988.7,1.0,-75.764084,8016.5293,-1068315000000000.0,0.4189424,559903.56,-1,-788433.56,323.84308,1,[-0.339  0.422 -0.743 -1.345],25837,-75.764084,1.0,13.284058570861816,,674.5585509198933,100.0,True,2469643000.0,700,100.0,10.0,100,1989.533,0.06452223,7,
167188.16,1.0,5.649208e+16,75.73,10.0,,747.0257,1677196.1,1.0,-68.951324,20374.22,-35120537000000.0,0.4189424,641944.1,-1,-789614.94,289.64932,1,[-0.508  0.581 -0.835 -1.348],33410,-68.951324,1.0,16.806052446365356,,747.0257375086903,100.0,True,22194688000.0,800,100.0,10.0,100,1599.2882,0.08998953,8,
1858612.6,1.0,7.2793573e+27,72.6,10.0,,715.7129,18661514.0,1.0,-94.89602,212478.5,-1.6485967e+19,0.4189424,660749.3,-1,-853977.1,385.36273,1,[-0.447  0.689 -0.852 -1.348],40670,-94.89602,1.0,19.62947154045105,,715.7128703924209,100.0,True,168080470000.0,900,100.0,10.0,100,1829.4236,0.031080691,9,
182728.7,1.0,3.7578089e+18,81.34,10.0,,803.133,1821614.1,1.0,-92.63878,24806.26,-403792220000000.0,0.4189424,751016.25,-1,-959313.25,325.56686,1,[-0.429  0.565 -0.923 -1.552],48804,-92.63878,1.0,22.70960307121277,,803.132926800462,100.0,True,8811951000.0,1000,100.0,10.0,100,1899.4194,0.0015089607,10,
811213.1,1.0,2.2138508e+19,85.43,10.0,19.965694,843.99896,7891660.5,1.0,-79.77635,115802.91,-1302751600000000.0,0.4189424,877209.6,-1,-1154052.8,406.0484,1,[-0.358  0.662 -0.932 -1.519],57347,-79.77635,1.0,26.015901565551758,,843.999050075771,100.0,True,166735050000.0,1100,100.0,10.0,100,2189.7585,0.059331015,11,
193135.33,1.0,1.5058635e+19,84.85,10.0,19.96355,838.21967,1630065.1,1.0,-86.5456,35571.79,-860465360000000.0,0.4189424,803644.2,-1,-1025363.5,317.8553,1,[-0.43   0.572 -0.941 -1.567],65832,-86.5456,1.0,29.35687017440796,,838.2196773596827,100.0,True,77254330000.0,1200,100.0,10.0,100,1959.6617,0.0056846878,12,
1710.8378,1.0,36046950000.0,66.95,10.0,29.94305,659.26483,13810.969,1.0,-53.52108,402.61777,-14696421000.0,0.4189424,467848.06,-1,-544164.6,182.25798,1,[-0.528  0.501 -0.935 -1.598],72527,-53.52108,1.0,32.36786341667175,,659.2648130244056,100.0,True,206984780.0,1300,100.0,10.0,100,1149.7117,0.063274495,13,
71701.08,1.0,3.5594517e+17,61.59,10.0,9.981461,605.6662,637294.06,1.0,-61.271904,14855.196,-72392920000000.0,0.4189424,418937.6,-1,-540272.44,228.26752,1,[-0.52   0.401 -0.982 -1.822],78686,-61.271904,1.0,35.037087202072144,,605.6662019816112,100.0,True,3398026800.0,1400,100.0,10.0,100,1449.6808,0.09535112,14,
350055.25,1.0,3.4214812e+18,79.31,9.999999,9.9816675,782.8608,3137266.0,1.0,-84.29318,71144.32,-410153100000000.0,0.4189424,707396.7,-1,-929121.1,307.4503,1,[-0.434  0.49  -0.995 -1.827],86617,-84.29318,1.0,38.747554779052734,,782.8608056709404,100.0,True,25429748000.0,1500,100.0,9.999999,100,1959.6852,0.083934195,15,
2597243.0,1.0,5.226759e+26,102.27,10.0,429.74655,1012.42065,21079096.0,1.0,-112.44147,500003.7,-7.473511e+18,0.4189424,1179372.0,-1,-1506268.8,392.9079,1,[-0.331  0.557 -1.001 -1.849],96844,-112.44147,1.0,43.11071252822876,,1012.4205794368747,100.0,True,332890470000.0,1600,100.0,10.0,100,2379.4934,0.010360492,16,
3404650.0,1.0,3.0811587e+34,130.58,10.0,,1295.353,27245724.0,1.0,-127.16075,730632.8,-8.4599335e+22,0.4189424,2015479.4,-1,-2497441.5,580.9818,1,[-0.235  0.637 -1.001 -1.841],109902,-127.16075,1.0,48.61976075172424,,1295.353059132203,100.0,True,1324119500000.0,1700,100.0,10.0,100,2889.251,0.09876368,17,
464186.25,1.0,1.7787763e+25,125.8,10.0,9.982015,1247.4591,4665961.5,1.0,-165.67598,47518.11,-4.231878e+18,0.4189424,2176202.8,-1,-3179605.5,787.4319,1,[-0.117  0.664 -1.011 -1.868],122482,-165.67598,1.0,53.94091033935547,,1247.4590512145523,100.0,True,174592410000.0,1800,100.0,10.0,100,4168.8525,0.044573717,18,
0.7471049,1.0,126880340.0,117.75,10.0,,1167.0096,3.5064642,1.0,-161.35469,1.4067453,-9891245000.0,0.4189424,1956476.6,-1,-2834376.0,771.08044,1,[-0.046  0.73  -1.09  -1.879],134257,-161.35469,1.0,58.91901683807373,,1167.0096225031875,100.0,True,2546518.2,1900,100.0,10.0,100,3899.4316,0.10843015,19,
6.064088,1.0,7349125600.0,127.94,10.0,,1268.8782,43.828022,1.0,-199.57793,3.2441614,-100191650000.0,0.4189424,2326973.2,-1,-3495555.8,846.7121,1,[-0.1    0.745 -1.101 -1.854],147051,-199.57793,1.0,64.28320360183716,,1268.8782659720848,100.0,True,13174231.0,2000,100.0,10.0,100,4498.9233,0.020350428,20,
143.66069,1.0,232338960000.0,147.04,10.0,19.960766,1459.8829,1048.6365,1.0,-212.36435,42.250954,-635608560000.0,0.4189424,3039387.8,-1,-4357657.0,952.95825,1,[-0.153  0.724 -1.127 -1.854],161755,-212.36435,1.0,70.49027705192566,,1459.883058875734,100.0,True,187327710.0,2100,100.0,10.0,100,4778.38,0.009593666,21,
93.562805,1.0,1335594900.0,158.13,10.0,229.81552,1570.6803,586.49304,1.0,-165.30157,35.31677,-36522480000.0,0.4189424,3343188.5,-1,-4336956.5,936.0297,1,[-0.122  0.676 -1.187 -1.948],177568,-165.30157,1.0,76.86349129676819,,1570.6803542979221,100.0,True,204740030.0,2200,100.0,10.0,100,4148.786,0.07828065,22,
175840.69,1.0,6.056191e+31,178.3,10.0,,1772.7264,1676185.6,1.0,-204.56888,26436.398,-1.1227568e+22,0.4189424,4803687.0,-1,-6246433.0,1288.8478,1,[-0.07   0.673 -1.208 -1.975],195398,-204.56888,1.0,84.27444791793823,,1772.726437401725,100.0,True,581104760000.0,2300,100.0,10.0,100,4998.8867,0.14146921,23,
1472521.1,1.0,1.7382102e+28,194.14,10.0,,1930.8171,14568015.0,1.0,-215.09355,199509.31,-1.8341722e+20,0.4189424,4773224.5,-1,-6164436.0,1022.33527,1,[-0.137  0.592 -1.256 -2.024],214812,-215.09355,1.0,92.62693214416504,,1930.8172465277516,100.0,True,555949950000.0,2400,100.0,10.0,100,4908.794,0.022840139,24,
265710.3,1.0,2.243738e+30,254.32,10.0,,2533.2776,2226488.8,1.0,-227.5024,44405.023,-2.1613329e+21,0.4189424,8706839.0,-1,-10149755.0,1513.0576,1,[-0.046  0.555 -1.274 -2.1  ],240244,-227.5024,1.0,104.26632499694824,,2533.2775788503404,100.0,True,645755300000.0,2500,100.0,10.0,100,4999.1724,0.09219986,25,
223.84229,1.0,7.653324e+31,177.48,10.0,279.73264,1764.4816,1822.3898,1.0,-239.50162,63.22018,-1.262376e+22,0.4189424,4846619.5,-1,-6289623.0,1316.5198,1,[ 0.026  0.522 -1.371 -2.107],257992,-239.50162,1.0,111.97362041473389,,1764.4815488745671,100.0,True,940571460.0,2600,100.0,10.0,100,4999.334,0.22159483,26,
1342.3116,1.0,5.8774207e+18,218.7,10.0,19.969158,2176.7302,7604.8867,1.0,-221.21693,521.1863,-3497737300000000.0,0.4189424,5869493.0,-1,-7312267.0,1063.6438,1,[-0.093  0.514 -1.402 -2.083],279862,-221.21693,1.0,121.8221025466919,,2176.7304537830337,100.0,True,1899287600.0,2700,100.0,10.0,100,4998.9307,0.08657775,27,
164920.3,1.0,1.7711055e+32,267.4,10.0,9.981308,2664.315,1657820.6,1.0,-224.36572,17246.914,-1.9202925e+22,0.4189424,9617458.0,-1,-11060407.0,1587.0991,1,[-0.032  0.526 -1.402 -2.077],306602,-224.36572,1.0,134.41644644737244,,2664.31504576463,100.0,True,388133680000.0,2800,100.0,10.0,100,4999.2275,0.10404421,28,
