VarianceInitializer,EpLenMean,MinTargetPdf,Bound,MeanIW,TimeElapsed,StdWReturnMean,EpisodesSoFar,ReturnStepMax,ReturnMeanIW,LearnableVariance,ESSRenyiArithmetic,Weights,DivergenceHarmonic,TimestepsSoFar,EpRewMean,Iteration,InitialReturnMin,MinBehavPdf,MaxIW,InitialReturnStd,StdIW,InitialReturnMax,EpThisIter,EmpiricalD2Arithmetic,InitialReturnMean,Inner Iteration,ReturnStepMaxmin,MeanEntropy,InitialBound,ESSRenyiHarmonic,WReturnMean,MeanD2-0,Penalization,MinIW,EmpiricalD2Harmonic
-1,8.89,-18.53477,-813218440000000.0,685.20795,0.8742003440856934,,100,9.999998,5309770.0,,100.0,[0. 0. 0. 0.],3.740911e+22,889,78.85317991186794,1,9.980684,-18.53477,35343.84,52.85811,4078.6758,269.86066,100,1.0,78.85318,1,9.999998,0.4189424,-13216.346,100.0,9011.803,1.0,True,0.021138184,1.0
-1,16.5,-26.358906,-29586713000.0,416.42126,2.0493319034576416,,200,9.999998,12598457.0,,100.0,[ 0.05   0.527 -0.359 -0.769],2320812700000.0,2539,154.90838735510425,2,9.979919,-26.358906,16168.479,104.64433,2121.828,579.864,100,1.0,154.90839,1,9.999998,0.4189424,-54360.016,100.0,34947.043,1.0,True,0.026464315,1.0
-1,29.56,-44.6314,-12110990000000.0,163.23848,3.1409175395965576,,300,9.999998,12960719.0,,100.0,[-0.033  0.43  -0.399 -0.98 ],1.0237953e+17,5495,285.4519287439873,3,,-44.6314,5112.179,172.8535,620.379,809.686,100,1.0,285.4519,1,9.999998,0.4189424,-149211.77,100.0,111361.125,1.0,True,0.14901598,1.0
-1,61.02,-64.72402,-71864995000000.0,1774.0114,4.747742414474487,,400,10.0,826013400.0,,100.0,[-0.347  0.556 -0.62  -1.274],2.42737e+17,11597,599.9494033013417,4,9.981231,-64.72402,117115.24,343.55765,12323.205,1589.4707,100,1.0,599.9494,1,10.0,0.4189424,-623834.3,100.0,477971.1,1.0,True,0.07457179,1.0
-1,66.93,-66.313644,-215400060000000.0,36771.094,6.378351926803589,,500,10.0,37239964000.0,,100.0,[-0.524  0.698 -0.716 -1.313],2.8255022e+18,18290,659.0381673309571,5,9.983444,-66.313644,3612128.5,337.60873,359355.72,1489.6758,100,1.0,659.03815,1,10.0,0.4189424,-676433.1,100.0,548310.9,1.0,True,0.10553923,1.0
-1,51.66,-65.720245,-3314119700.0,15.315993,7.814974069595337,,600,10.0,16439782.0,,100.0,[-0.432  0.781 -0.736 -1.307],826474500.0,23456,506.3894300528816,6,,-65.720245,542.1195,309.68637,59.943066,1409.5393,100,1.0,506.3894,1,10.0,0.4189424,-467044.22,100.0,352335.9,1.0,True,0.041854285,1.0
-1,69.81,-97.75652,-55552700000.0,59.07999,9.780144691467285,,700,10.0,52224596.0,,100.0,[-0.458  0.687 -0.754 -1.383],46675595000.0,30437,687.8355242826375,7,,-97.75652,906.12854,347.37845,158.36761,2109.3867,100,1.0,687.8356,1,10.0,0.4189424,-850683.1,100.0,593789.44,1.0,True,0.0047994386,1.0
-1,75.38,-63.985104,-111611550000000.0,109436.49,11.53101396560669,,800,10.0,33344918000.0,,100.0,[-0.474  0.591 -0.774 -1.46 ],4.80601e+17,37975,743.5287016005068,8,9.982208,-63.985104,4917777.0,326.20895,580904.6,1669.6439,100,1.0,743.5287,1,10.0,0.4189424,-820196.4,100.0,659247.2,1.0,True,0.05614155,1.0
-1,82.97,-82.385216,-1.8658542e+17,962155.6,13.765745878219604,,900,9.999999,2364456300000.0,,100.0,[-0.405  0.693 -0.795 -1.459],1.11552974e+24,46272,819.366173291929,9,9.984529,-82.385216,95445816.0,376.36374,9496092.0,1749.2268,100,1.0,819.36615,1,9.999999,0.4189424,-989668.6,100.0,813010.5,1.0,True,0.03858225,1.0
-1,96.9,-90.96802,-3115080500000000.0,65182.63,16.048185110092163,,1000,10.0,55087440000.0,,100.0,[-0.33   0.536 -0.94  -1.565],1.681822e+20,55962,958.7084343388564,10,,-90.96802,2334711.0,332.9573,287778.4,2039.6991,100,1.0,958.70844,1,10.0,0.4189424,-1270182.8,100.0,1029982.3,1.0,True,0.11394895,1.0
