Penalization,InitialReturnStd,StdWReturnMean,Bound,LearnableVariance,MeanEntropy,ReturnMeanIW,ReturnStepMaxmin,EpisodesSoFar,MinBehavPdf,Inner Iteration,EmpiricalD2Arithmetic,EpRewMean,MinTargetPdf,MeanIW,VarianceInitializer,InitialReturnMax,MinIW,InitialReturnMean,EmpiricalD2Harmonic,EpLenMean,ReturnStepMax,Iteration,InitialBound,EpThisIter,TimeElapsed,InitialReturnMin,WReturnMean,MaxIW,ESSRenyiArithmetic,DivergenceHarmonic,StdIW,ESSRenyiHarmonic,MeanD2-0,Weights,TimestepsSoFar
True,53.07847,,-1429092500.0,,0.4189424,548532.9,9.999988,100,-12.814451,1,1.0,81.15212361797597,-12.814451,133.00401,-1,359.93124,0.047469836,81.15212,1.0,9.12,9.999988,1,-16882.598,100,0.7048933506011963,9.980917,9402.991,7936.3438,100.0,36477944000.0,816.85254,100.0,1.0,[ 0. -0. -0. -0.],912
True,117.15435,,-2.3411905e+16,,0.4189424,13745938.0,9.999999,200,-24.321983,1,1.0,140.01223282678654,-24.321983,103.91814,-1,619.84546,0.071155,140.01222,1.0,15.01,9.999999,2,-55510.867,100,2.1777102947235107,19.963982,33328.566,3586.68,100.0,1.113938e+24,481.4418,100.0,1.0,[ 0.09   0.017 -0.106 -0.48 ],2413
True,194.99802,,-12665354000000.0,,0.4189424,5469571.5,10.0,300,-53.688774,1,1.0,237.85276613656072,-53.688774,15.266324,-1,1009.8224,0.0075994986,237.85277,1.0,24.8,10.0,3,-153473.03,100,2.8223817348480225,,94598.164,533.6597,100.0,4.6278105e+16,65.130264,100.0,1.0,[-0.064  0.047 -0.29  -0.918],4893
True,219.82907,,-6.242833e+21,,0.4189424,1813792600.0,9.999999,400,-50.49172,1,1.0,305.2304326406336,-50.49172,9298.017,-1,1189.6769,0.017152213,305.23044,1.0,31.54,9.999999,4,-223204.78,100,3.646636962890625,9.980438,141490.45,407761.6,100.0,5.836716e+33,48933.727,100.0,1.0,[ 0.041  0.11  -0.317 -0.92 ],8047
True,193.01048,,-2116218900000.0,,0.4189424,4224881.0,10.0,500,-34.187126,1,1.0,310.11039931547685,-34.187126,19.158241,-1,829.7391,0.1033342,310.11038,1.0,32.03,10.0,5,-173170.22,100,4.358222246170044,19.971224,133421.5,246.95563,100.0,2834487300000000.0,33.0783,100.0,1.0,[-0.199  0.128 -0.386 -0.923],11250
True,280.25284,,-5826423000.0,,0.4189424,3683513.0,9.999999,600,-58.615356,1,1.0,423.3088929068648,-58.615356,15.545332,-1,1129.7815,0.06273923,423.3089,1.0,43.35,9.999999,6,-331425.62,100,5.342301607131958,19.968258,257732.1,208.28139,100.0,6243069000.0,36.02379,100.0,1.0,[-0.16   0.244 -0.409 -0.93 ],15585
True,409.18896,,-388328500000.0,,0.4189424,38193896.0,9.999999,700,-79.498795,1,1.0,572.3529277704542,-79.498795,26.32834,-1,2289.1443,0.07449303,572.3529,1.0,58.26,9.999999,7,-797566.4,100,6.463244438171387,9.982884,495023.44,846.4109,100.0,1647182300000.0,119.94755,100.0,1.0,[-0.107  0.219 -0.485 -1.161],21411
True,413.43045,,-5224471600.0,,0.4189424,5519379.5,9.999999,800,-136.48787,1,1.0,473.38493596625113,-136.48787,10.474426,-1,2939.1118,0.13892041,473.3849,1.0,48.36,9.999999,8,-893756.25,100,7.56259298324585,9.979968,395018.0,87.708435,100.0,109502350.0,17.764933,100.0,1.0,[-0.055  0.139 -0.528 -1.229],26247
True,422.68024,,-5011072500.0,,0.4189424,2396053.8,10.0,900,-81.578094,1,1.0,521.5666608512433,-81.578094,5.4947724,-1,1669.2682,0.0912753,521.56665,1.0,53.18,10.0,9,-611566.94,100,8.73712706565857,19.965504,450690.34,28.474977,100.0,969310100.0,6.5294538,100.0,1.0,[-7.991e-04  1.654e-01 -5.425e-01 -1.224e+00],31565
True,320.85196,,-82685370000000.0,,0.4189424,475167300.0,10.0,1000,-66.271576,1,1.0,513.993517519932,-66.271576,2502.796,-1,1249.5415,0.24388455,513.9935,1.0,52.42,10.0,10,-457280.38,100,9.733686685562134,9.981087,367135.3,104372.875,100.0,8.4133846e+17,11885.684,100.0,1.0,[-0.056  0.14  -0.553 -1.235],36807
