StdIW,TimeElapsed,MaxIW,MinIW,VarianceInitializer,EpThisIter,ReturnMeanIW,EmpiricalD2Harmonic,ESSRenyiArithmetic,InitialReturnMin,EpRewMean,Iteration,InitialReturnStd,InitialBound,ReturnStepMax,Inner Iteration,MeanD2-0,EpisodesSoFar,MinBehavPdf,Bound,MeanIW,InitialReturnMean,Weights,StdWReturnMean,EpLenMean,TimestepsSoFar,WReturnMean,MeanEntropy,MinTargetPdf,InitialReturnMax,DivergenceHarmonic,LearnableVariance,EmpiricalD2Arithmetic,ESSRenyiHarmonic,Penalization,ReturnStepMaxmin
2683608.0,0.7517898082733154,26781960.0,0.05306274,-1,100,1459961100.0,1.0,100.0,,75.4525967684504,1,45.598557,-11376.05,10.0,1,1.0,100,-10.930424,-486459240000000.0,328361.88,75.4526,[ 0. -0.  0.  0.],,8.55,855,7772.323,0.4189424,-10.930424,249.83664,1.8221617e+22,,1.0,100.0,True,10.0
5.240753,2.110797166824341,29.811369,0.106867455,-1,100,106053.68,1.0,100.0,9.980083,125.52123678976157,2,100.03231,-50145.727,9.999998,1,1.0,200,-22.872562,-26018130000.0,4.5510473,125.52124,[-0.097 -0.198 -0.136 -0.428],,13.56,2211,25762.045,0.4189424,-22.872562,649.87494,1138546300000.0,,1.0,100.0,True,9.999998
79.01222,2.8425774574279785,795.0324,0.113333374,-1,100,8033054.5,1.0,100.0,9.982936,279.44118318816714,3,205.22862,-176762.25,10.0,1,1.0,300,-44.98165,-12790427000000.0,9.327313,279.44116,[-4.840e-04  4.884e-02 -3.127e-01 -8.133e-01],,28.96,5107,120206.16,0.4189424,-44.98165,989.7367,5.1146047e+16,,1.0,100.0,True,10.0
57.630054,3.8518011569976807,474.19073,0.053140882,-1,100,3705036.5,1.0,100.0,9.9833765,318.5292243194692,4,239.07999,-219855.73,9.999999,1,1.0,400,-54.069393,-20259475000.0,16.495903,318.5292,[-0.097  0.119 -0.346 -0.83 ],,32.87,8394,158620.12,0.4189424,-54.069393,1029.8689,109418570000.0,,1.0,100.0,True,9.999999
625.4732,4.722235918045044,6189.998,0.014738828,-1,100,59839790.0,1.0,100.0,19.963177,316.22816752620906,5,229.95845,-208282.4,10.0,1,1.0,500,-41.84957,-2287588900000.0,108.87032,316.22815,[-0.103  0.239 -0.379 -0.827],,32.64,11658,152881.16,0.4189424,-41.84957,979.57947,1704887700000000.0,,1.0,100.0,True,10.0
1384.521,5.757601976394653,13391.821,0.04974948,-1,100,55482444.0,1.0,100.0,9.981881,337.63498989203504,6,303.82248,-414597.0,9.999999,1,1.0,600,-80.27402,-7.35779e+18,279.2178,337.635,[-0.179  0.17  -0.408 -0.892],,34.78,15136,206305.47,0.4189424,-80.27402,1899.397,1.2478234e+27,,1.0,100.0,True,9.999999
10297.395,6.993297338485718,95788.89,0.04591169,-1,100,1235139300.0,1.0,100.0,9.980665,397.99875655701146,7,290.09592,-328436.8,10.0,1,1.0,700,-54.352882,-7.983848e+16,1403.61,397.99875,[-0.072  0.227 -0.418 -0.921],,40.82,19218,242558.62,0.4189424,-54.352882,1219.6107,8.642928e+23,,1.0,100.0,True,10.0
341.84598,7.8937461376190186,2906.932,0.061796013,-1,100,51977110.0,1.0,100.0,19.967522,432.702043522748,8,305.5557,-433904.62,10.0,1,1.0,800,-62.035637,-95594150000.0,82.21694,432.70203,[-0.172  0.192 -0.452 -0.978],,44.29,23647,280595.3,0.4189424,-62.035637,1629.5363,388378620000.0,,1.0,100.0,True,10.0
57.27686,9.172130823135376,549.4627,0.11813253,-1,100,6514279.0,1.0,100.0,19.96246,533.4587974057097,9,343.04883,-513728.4,10.0,1,1.0,900,-60.037148,-32083116000.0,11.845181,533.4588,[-0.108  0.257 -0.492 -1.052],,54.37,29084,402260.78,0.4189424,-60.037148,1389.4856,82809800000.0,,1.0,100.0,True,10.0
312.12848,10.22022271156311,2049.8591,0.026268387,-1,100,65031730.0,1.0,100.0,9.980064,517.8518746055673,10,344.1393,-525209.3,9.999999,1,1.0,1000,-67.3907,-1.2346043e+17,137.4717,517.85187,[-0.029  0.219 -0.527 -1.134],,52.81,34365,386602.44,0.4189424,-67.3907,1549.4304,7.933932e+23,,1.0,100.0,True,9.999999
