EmpiricalD2Harmonic,StdIW,Inner Iteration,InitialReturnMax,MaxIW,VarianceInitializer,MeanIW,InitialReturnMean,ReturnStepMaxmin,EmpiricalD2Arithmetic,Iteration,StdWReturnMean,WReturnMean,ReturnMeanIW,DivergenceHarmonic,MinTargetPdf,MeanD2-0,ReturnStepMax,InitialReturnMin,ESSRenyiHarmonic,EpisodesSoFar,TimestepsSoFar,LearnableVariance,MinBehavPdf,MinIW,InitialBound,EpThisIter,InitialReturnStd,TimeElapsed,Bound,EpLenMean,Penalization,ESSRenyiArithmetic,EpRewMean,MeanEntropy,Weights
1.0,21495.428,1,329.90155,206420.16,-1,2934.26,75.05614,9.999998,1.0,1,,8692.934,26799272.0,9.900406e+18,-18.893635,1.0,9.999998,9.981667,100.0,100,851,,-18.893635,0.01385113,-14976.53,100,55.31284,1.3555514812469482,-19771299000000.0,8.51,True,100.0,75.05613591920819,0.4189424,[ 0. -0. -0.  0.]
1.0,8318.955,1,609.89844,54726.266,-1,1759.9828,176.00706,9.999996,1.0,2,,45117.863,113334490.0,1.162145e+23,-23.877127,1.0,9.999996,,100.0,200,2712,,-23.877127,0.1615247,-66593.94,100,118.90909,3.245840311050415,-7321238300000000.0,18.61,True,100.0,176.00707841792985,0.4189424,[ 0.416  0.195 -0.618 -0.638]
1.0,174.81703,1,629.715,1680.6488,-1,41.75029,236.4612,9.999999,1.0,3,,77890.8,4468279.5,3771045400000000.0,-28.99419,1.0,9.999999,9.985143,100.0,300,5178,,-28.99419,0.066818185,-100785.13,100,148.2461,4.949341773986816,-1405917100000.0,24.66,True,100.0,236.46118051940175,0.4189424,[ 0.352  0.056 -0.666 -0.829]
1.0,6513168.5,1,789.8379,65470630.0,-1,679144.4,290.84958,10.0,1.0,4,,118128.945,142302300000.0,3.2956772e+28,-40.082897,1.0,10.0,19.963013,100.0,400,8188,,-40.082897,0.44045028,-154146.66,100,183.12697,6.8927130699157715,-6.538643e+18,30.1,True,100.0,290.84956308966053,0.4189424,[ 0.305 -0.05  -0.691 -0.869]
1.0,109.77654,1,1039.7959,1046.77,-1,20.964321,301.81387,9.999995,1.0,5,,143286.72,4688025.0,10095928000.0,-37.3229,1.0,9.999995,9.980269,100.0,500,11308,,-37.3229,0.114536844,-205708.52,100,228.46245,9.32102084159851,-6276726000.0,31.2,True,100.0,301.81386973723255,0.4189424,[ 0.114 -0.072 -0.771 -1.008]
1.0,31.49866,1,1409.7498,262.8503,-1,7.636555,307.71844,10.0,1.0,6,,152566.17,3003729.5,162019440.0,-51.732246,1.0,10.0,,100.0,600,14487,,-51.732246,0.26923108,-267308.62,100,240.57332,11.484509229660034,-1463522000.0,31.79,True,100.0,307.71845395199847,0.4189424,[-0.007 -0.056 -0.799 -1.005]
1.0,2.3571913,1,1159.7479,17.598959,-1,2.9211314,295.82043,10.0,1.0,7,,124524.55,375258.53,29874488000000.0,-43.710976,1.0,10.0,59.904945,100.0,700,17547,,-43.710976,0.03197593,-202179.16,100,192.39236,13.721131324768066,-424440860000.0,30.6,True,100.0,295.82043037698054,0.4189424,[-0.118 -0.076 -0.827 -1.05 ]
1.0,1107.6002,1,2099.551,6658.782,-1,426.21136,438.9722,9.999999,1.0,8,,296936.88,128112850.0,1.8656936e+22,-88.176445,1.0,9.999999,19.965872,100.0,800,22039,,-88.176445,0.064476214,-551440.1,100,322.86273,16.474082469940186,-3.476261e+16,44.92,True,100.0,438.9721573938948,0.4189424,[-0.052  0.029 -0.841 -1.047]
1.0,1.4939111,1,3319.008,6.4018216,-1,2.1079926,641.33124,9.999999,1.0,9,,684049.06,1619018.8,7764434400000000.0,-138.19362,1.0,9.999999,19.966383,100.0,900,28555,,-138.19362,0.10594746,-1320049.5,100,522.2484,20.706414699554443,-56041643000000.0,65.16,True,100.0,641.3312104381181,0.4189424,[ 0.012  0.135 -0.858 -1.058]
1.0,206.99242,1,1809.5886,1959.4769,-1,47.006817,603.64044,10.0,1.0,10,,502975.34,18425154.0,225062640.0,-83.20964,1.0,10.0,39.929886,100.0,1000,34694,,-83.20964,0.073161244,-692035.75,100,372.28162,24.42149806022644,-2854716200.0,61.39,True,100.0,603.6404285976218,0.4189424,[-0.049  0.147 -0.866 -1.059]
1.0,146923.6,1,3079.0405,1476702.6,-1,16717.664,748.97955,10.0,1.0,11,,820074.94,12660365000.0,1.7274791e+26,-135.57877,1.0,10.0,,100.0,1100,42287,,-135.57877,0.14185938,-1367433.6,100,509.02307,28.54928708076477,-7.1941024e+18,75.93,True,100.0,748.9795760737558,0.4189424,[-0.061  0.229 -0.959 -1.048]
1.0,95060.336,1,1739.4045,876875.4,-1,20224.219,534.786,9.999999,1.0,12,,414931.53,6890948000.0,7.057652e+27,-79.16542,1.0,9.999999,19.966976,100.0,1200,47737,,-79.16542,0.010637952,-589611.0,100,359.07584,31.872108459472656,-1.467475e+19,54.5,True,100.0,534.7859976733542,0.4189424,[-0.121  0.137 -0.98  -1.105]
