Inner Iteration,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,InitialReturnMin,Bound,ESSRenyiHarmonic,LearnableVariance,WReturnMean,TimestepsSoFar,MeanD2-0,InitialReturnStd,EpLenMean,MinBehavPdf,MinTargetPdf,MinIW,EpRewMean,MeanIW,ReturnMeanIW,EpThisIter,ESSRenyiArithmetic,Weights,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,Iteration,StdWReturnMean,InitialBound,TimeElapsed,MaxIW,EpisodesSoFar,DivergenceHarmonic,ReturnStepMax,StdIW,VarianceInitializer,InitialReturnMean,Penalization
1,1.0,1.0,29.950764,-616575100000.0,100.0,,1550735.4,105375,1.0,631.99854,108.34,-171.63217,-171.63217,0.24347274,1072.9926512573381,79.56509,157551220.0,100,100.0,[-0.09   0.313 -0.826 -1.507],3879.213,9.999999,0.4189424,16,,-2419554.0,25.304942846298218,2676.153,1600,503380870000.0,9.999999,340.15536,-1,1072.9927,True
1,1.0,1.0,,-1125274450000000.0,100.0,,1535464.9,115620,1.0,712.09656,102.45,-141.00607,-141.00607,0.0025298018,1014.0924115947194,3058.3462,13258170000.0,100,100.0,[-0.031  0.319 -0.837 -1.526],3509.1736,10.0,0.4189424,17,,-2246435.0,27.610586643218994,162333.14,1700,2.5050044e+18,10.0,20286.36,-1,1014.0924,True
1,1.0,1.0,9.986334,-8209614300.0,100.0,,1321572.5,124904,1.0,691.8757,92.84,-139.93506,-139.93506,0.10857832,918.0853303999023,24.020836,22606156.0,100,100.0,[-0.047  0.201 -0.876 -1.53 ],3458.902,9.999999,0.4189424,18,,-2012318.0,29.416520833969116,257.3846,1800,140481330.0,9.999999,41.766506,-1,918.0853,True
1,1.0,1.0,,-381198660000.0,100.0,,2029898.5,136415,1.0,853.70074,115.11,-205.86465,-205.86465,0.037299037,1140.6549598165332,9.135814,20855830.0,100,100.0,[-0.011  0.251 -0.888 -1.529],4708.704,10.0,0.4189424,19,,-3310001.0,31.458644151687622,69.02906,1900,88668815000.0,10.0,11.06776,-1,1140.655,True
1,1.0,1.0,19.967697,-2.0869014e+21,100.0,,1395106.6,146440,1.0,640.82874,100.25,-134.38184,-134.38184,0.10440043,992.1921232202836,40537.195,41092870000.0,100,100.0,[-0.059  0.217 -0.906 -1.542],3429.2576,10.0,0.4189424,20,,-2074063.0,33.259947776794434,1244761.2,2000,9.447671e+30,10.0,154027.48,-1,992.19214,True
1,1.0,1.0,29.952469,-3.2741777e+21,100.0,,1286921.5,155693,1.0,670.74225,92.53,-141.17032,-141.17032,0.15230674,914.8914213777581,537.45184,3866645800.0,100,100.0,[-0.002  0.325 -0.928 -1.53 ],3408.8281,10.0,0.4189424,21,,-1957812.0,35.36291766166687,50918.53,2100,2.3818003e+31,10.0,5063.676,-1,914.8915,True
1,1.0,1.0,,-6.737433e+22,100.0,,1211642.0,165753,1.0,469.35764,100.6,-94.42572,-94.42572,0.03258695,995.6633353986784,1129401.0,1504603500000.0,100,100.0,[-0.115  0.3   -0.973 -1.543],2139.4985,10.0,0.4189424,22,,-1475922.8,37.08963489532471,33675820.0,2200,6.499233e+34,10.0,4929637.0,-1,995.66345,True
1,1.0,1.0,19.96368,-6.0412287e+18,100.0,,1349095.8,175272,1.0,680.2203,95.19,-141.89459,-141.89459,0.012063211,941.4861730890885,3364.039,5475822600.0,100,100.0,[-0.008  0.363 -0.98  -1.557],3728.2185,10.0,0.4189424,23,,-2151594.2,39.18343114852905,316663.84,2300,5.6671714e+25,10.0,31497.28,-1,941.48615,True
1,1.0,1.0,9.97981,-6.5289265e+22,100.0,,1242928.2,184367,1.0,659.2015,90.95,-126.74283,-126.74283,0.3726165,899.1004672656484,55.359447,260337500.0,100,100.0,[-0.042  0.472 -1.004 -1.514],2999.0166,10.0,0.4189424,24,,-1762205.4,41.25688457489014,1503.0194,2400,1.580845e+34,10.0,185.71155,-1,899.10046,True
1,1.0,1.0,39.931538,-11598395000.0,100.0,,1841896.9,196536,1.0,621.5198,121.69,-145.37863,-145.37863,0.044574395,1206.486637376375,55.314472,72722910.0,100,100.0,[-0.144  0.42  -1.037 -1.551],3109.259,10.0,0.4189424,25,,-2400053.2,43.81385374069214,1376.242,2500,426408860.0,10.0,156.4584,-1,1206.4867,True
1,1.0,1.0,19.962057,-524620140000.0,100.0,,2074122.2,209190,1.0,706.6491,126.54,-139.96494,-139.96494,0.036277454,1254.8981548613601,119.788086,415423900.0,100,100.0,[-0.089  0.443 -1.047 -1.568],3428.5283,10.0,0.4189424,26,,-2752790.8,46.187406063079834,9688.212,2600,596612200000.0,10.0,964.8354,-1,1254.8982,True
1,1.0,1.0,,-5.1124607e+23,100.0,,1673073.2,220988,1.0,552.8677,117.98,-133.02904,-133.02904,0.023075545,1169.363327621816,42486356.0,38749890000000.0,100,100.0,[-0.145  0.417 -1.056 -1.575],2808.8293,10.0,0.4189424,27,,-2128577.8,48.80637073516846,3598696700.0,2700,1.2597368e+36,10.0,360315100.0,-1,1169.3634,True
1,1.0,1.0,,-1.1153313e+17,100.0,,2475928.8,233407,1.0,979.5682,124.19,-186.13896,-186.13896,0.033324115,1231.411762230763,5569.2993,84534340000.0,100,100.0,[-0.04   0.48  -1.082 -1.576],4268.9907,10.0,0.4189424,28,,-3528115.0,51.74112868309021,498452.06,2800,1.1236408e+22,10.0,49613.805,-1,1231.4117,True
1,1.0,1.0,9.981298,-13254816000.0,100.0,,2726792.5,247434,1.0,887.9643,140.27,-201.65363,-201.65363,0.024910668,1392.2327934448049,11.933761,36483560.0,100,100.0,[-0.043  0.372 -1.121 -1.625],4998.9146,10.0,0.4189424,29,,-4169552.0,53.95582294464111,183.32033,2900,83940530.0,10.0,25.28711,-1,1392.2328,True
1,1.0,1.0,19.960918,-478539580000.0,100.0,,2071505.9,260075,1.0,707.019,126.41,-138.57068,-138.57068,0.08119431,1253.6467323437364,105.45334,202306340.0,100,100.0,[-0.073  0.321 -1.13  -1.641],3019.0166,10.0,0.4189424,30,,-2597733.0,56.13481521606445,1632.9318,3000,826280900000.0,10.0,277.49017,-1,1253.6466,True
1,1.0,1.0,,-5.0132958e+17,100.0,,3155032.2,274155,1.0,1096.2231,140.8,-226.616,-226.616,0.09774645,1397.614811073936,59.918232,614514560.0,100,100.0,[-0.017  0.348 -1.135 -1.648],4999.084,10.0,0.4189424,31,,-4597889.5,58.6595983505249,4155.9897,3100,1.2072748e+23,10.0,422.19916,-1,1397.6149,True
1,1.0,1.0,29.947443,-4.827101e+17,100.0,,2962792.0,288962,1.0,895.1561,148.07,-147.20287,-147.20287,0.1051719,1470.1997983955578,3775.1082,28638833000.0,100,100.0,[-0.074  0.351 -1.161 -1.642],4019.254,10.0,0.4189424,32,,-3895474.0,61.09562063217163,253290.23,3200,2.6786267e+23,10.0,26576.205,-1,1470.1997,True
1,1.0,1.0,19.963806,-1.05837264e+18,100.0,,3891390.5,305125,1.0,1145.6814,161.63,-206.14317,-206.14317,0.0650129,1605.865759448942,737.2862,5236475400.0,100,100.0,[-0.028  0.245 -1.184 -1.684],4998.4146,10.0,0.4189424,33,,-5333863.0,64.31957197189331,21469.654,3300,5.3835572e+23,10.0,2842.4104,-1,1605.8657,True
1,1.0,1.0,39.928856,-1.05456105e+18,100.0,,1979909.8,317246,1.0,732.17285,121.21,-157.5799,-157.5799,0.020445047,1201.5959182312401,4.577562,8034710.5,100,100.0,[ 0.033  0.256 -1.191 -1.684],3689.1306,9.999999,0.4189424,34,,-2765670.0,66.74838972091675,29.814096,3400,1.8012276e+24,9.999999,3.8972328,-1,1201.596,True
1,1.0,1.0,39.92482,-130176370000.0,100.0,,3575769.5,333208,1.0,1030.2194,159.62,-215.7206,-215.7206,0.10881716,1585.6914598432566,33.23683,119052640.0,100,100.0,[-0.029  0.252 -1.197 -1.69 ],4899.377,10.0,0.4189424,35,,-4961646.0,69.73975610733032,701.116,3500,8806989000.0,10.0,81.712654,-1,1585.6914,True
1,1.0,1.0,,-1.6332584e+17,100.0,,5664797.5,352628,1.0,1389.8279,194.2,-218.14499,-218.14499,0.24725218,1932.14291554993,19.649086,261764770.0,100,100.0,[ 5.919e-05  2.986e-01 -1.208e+00 -1.663e+00],4999.1895,10.0,0.4189424,36,,-7107719.5,74.3135015964508,1000.8755,3600,1.2812466e+22,10.0,99.51493,-1,1932.143,True
1,1.0,1.0,9.981419,-29468457000.0,100.0,,3767428.0,369664,1.0,949.09625,170.36,-192.2067,-192.2067,0.015842643,1693.1166843404526,23.844883,78471370.0,100,100.0,[-0.053  0.275 -1.23  -1.67 ],4178.401,10.0,0.4189424,37,,-4775434.5,77.46161723136902,273.21527,3700,850118700.0,10.0,40.01852,-1,1693.1167,True
1,1.0,1.0,19.965424,-1.5366106e+16,100.0,,5029998.5,387863,1.0,1324.9197,181.99,-227.68056,-227.68056,0.017701274,1809.5819200826852,150.99306,1688061600.0,100,100.0,[-0.022  0.327 -1.236 -1.654],4999.3213,10.0,0.4189424,38,,-6472996.0,81.26469588279724,12607.499,3800,1.1339777e+20,10.0,1253.8894,-1,1809.582,True
1,1.0,1.0,9.982821,-3917325000000.0,100.0,,2872522.0,403229,1.0,737.13446,153.66,-188.15775,-188.15775,0.16315836,1526.156895870478,87.21295,183910850.0,100,100.0,[-0.083  0.328 -1.252 -1.65 ],4438.6533,10.0,0.4189424,39,,-4010006.0,84.74438619613647,1668.6357,3900,11859182000000.0,10.0,230.17738,-1,1526.1567,True
1,1.0,1.0,,-31388004000.0,100.0,,4403843.5,420233,1.0,1243.9844,170.04,-221.27899,-221.27899,0.01116414,1690.0729777110816,19.171093,192306860.0,100,100.0,[-0.022  0.34  -1.257 -1.657],4998.7344,10.0,0.4189424,40,,-5846501.0,88.6373245716095,874.4189,4000,467595600.0,10.0,89.496185,-1,1690.0731,True
1,1.0,1.0,9.981287,-1.6258599e+16,100.0,,5526269.5,440620,1.0,1188.184,203.87,-235.69308,-235.69308,0.066675596,2028.4201989956125,363.98093,1839442200.0,100,100.0,[-0.044  0.294 -1.283 -1.681],4999.152,10.0,0.4189424,41,,-6969171.0,92.45830178260803,6628.395,4100,1.2697027e+20,10.0,877.61066,-1,2028.4203,True
1,1.0,1.0,,-6.824031e+19,100.0,,4771412.5,458587,1.0,1257.193,179.67,-206.72992,-206.72992,0.0051116664,1786.3029871242331,25.109808,429998660.0,100,100.0,[ 0.007  0.329 -1.29  -1.682],4998.967,10.0,0.4189424,42,,-6214205.0,96.11810898780823,1197.3429,4200,2.2370836e+27,10.0,134.43527,-1,1786.303,True
1,1.0,1.0,29.942675,-388282600000000.0,100.0,,4664761.0,477526,1.0,1056.8993,189.39,-229.2416,-229.2416,0.121286,1883.5406480464608,249.1175,878711700.0,100,100.0,[-0.052  0.318 -1.301 -1.697],4998.7793,10.0,0.4189424,43,,-6107446.0,100.38559579849243,5219.5444,4300,7.243681e+16,10.0,689.35016,-1,1883.5406,True
