Bound,Iteration,InitialReturnMin,InitialReturnMax,ESSRenyiHarmonic,MeanIW,Weights,Inner Iteration,EmpiricalD2Arithmetic,StdIW,MinTargetPdf,TimestepsSoFar,WReturnMean,VarianceInitializer,EpThisIter,Penalization,StdWReturnMean,TimeElapsed,MaxIW,EpRewMean,EpisodesSoFar,MeanEntropy,InitialReturnMean,EmpiricalD2Harmonic,ReturnStepMax,InitialReturnStd,LearnableVariance,MeanD2-0,DivergenceHarmonic,MinIW,ESSRenyiArithmetic,EpLenMean,InitialBound,ReturnMeanIW,MinBehavPdf,ReturnStepMaxmin
-2059647500.0,1,9.980106,249.91087,100.0,92.55487,[ 0. -0. -0. -0.],1,1.0,588.3983,-13.105236,871,8040.4507,-1,100,True,,2.152076244354248,5838.286,77.05166722692795,100,0.4189424,77.05167,1.0,9.999999,45.863834,,1.0,326135020000.0,0.040030375,100.0,8.71,-11646.319,400685.88,-13.105236,9.999999
-1979789700.0,2,,489.75836,100.0,79.39197,[-0.037  0.064 -0.154 -0.47 ],1,1.0,645.37305,-22.795372,2301,27777.889,-1,100,True,,5.033796548843384,6486.691,132.90844962978872,200,0.4189424,132.90845,1.0,9.999997,100.56457,,1.0,20332986000.0,0.13955034,100.0,14.3,-41626.41,5078062.5,-22.795372,9.999997
-426491060000000.0,3,9.983547,1589.7837,100.0,47.020584,[-0.076  0.065 -0.336 -0.934],1,1.0,150.54263,-66.87201,5430,170584.25,-1,100,True,,6.128379821777344,943.49786,302.74223409670276,300,0.4189424,302.74225,1.0,10.0,280.94733,,1.0,8.5425764e+18,0.27654827,100.0,31.29,-316504.7,19642558.0,-66.87201,10.0
-6809065600000.0,4,9.980096,1119.7556,100.0,27.339245,[-0.014  0.172 -0.355 -0.945],1,1.0,69.69537,-40.7573,9077,185624.27,-1,100,True,,8.925532341003418,531.4099,354.5183728740979,400,0.4189424,354.51837,1.0,9.999999,244.82854,,1.0,8847131000000000.0,0.0285902,100.0,36.47,-258015.62,6225131.5,-40.7573,9.999999
-2.3315775e+22,5,9.981396,1389.6968,100.0,137826.03,[-0.131  0.154 -0.375 -0.983],1,1.0,863752.3,-48.64778,12738,207135.64,-1,100,True,,11.549151182174683,8330582.0,355.9109813019641,500,0.4189424,355.911,1.0,9.999998,283.66003,,1.0,4.3726097e+34,0.010419708,100.0,36.61,-318637.06,23137650000.0,-48.64778,9.999998
-362476800000000.0,6,19.967464,1509.6115,100.0,408.60257,[-0.184  0.385 -0.422 -1.048],1,1.0,3177.7847,-62.774273,17344,288910.88,-1,100,True,,13.860575437545776,31046.422,450.3844556141262,600,0.4189424,450.3845,1.0,10.0,293.36792,,1.0,7.58961e+18,0.0276831,100.0,46.06,-420485.1,591413000.0,-62.774273,10.0
-20011080000.0,7,,1509.6189,100.0,52.945698,[-0.28   0.32  -0.456 -1.081],1,1.0,240.70251,-59.644913,22513,328630.28,-1,100,True,,16.21747851371765,1849.1616,506.67689228709247,700,0.4189424,506.6769,1.0,10.0,268.15814,,1.0,23089280000.0,0.1738018,100.0,51.69,-460205.84,18021818.0,-59.644913,10.0
-22700934000000.0,8,19.967382,1479.4869,100.0,1476.1815,[-0.396  0.353 -0.49  -1.079],1,1.0,5197.638,-62.7774,27688,323054.97,-1,100,True,,20.128426551818848,40139.676,507.2869408035458,800,0.4189424,507.28696,1.0,10.0,256.3492,,1.0,3.2266099e+16,0.007104701,100.0,51.75,-449430.47,465612400.0,-62.7774,10.0
-4.5397345e+16,9,9.981015,1339.1578,100.0,15524326.0,[-0.307  0.431 -0.526 -1.094],1,1.0,153458930.0,-68.10714,33688,440492.62,-1,100,True,,23.212467432022095,1542393100.0,589.7550838031856,900,0.4189424,589.7551,1.0,10.0,304.43652,,1.0,1.9217877e+23,0.08979887,100.0,60.0,-544031.7,7820232600000.0,-68.10714,10.0
-18775499000.0,10,19.96973,1339.6289,100.0,9.073315,[-0.273  0.6   -0.648 -1.228],1,1.0,12.054195,-58.44878,39176,381274.12,-1,100,True,,25.701655864715576,60.76661,538.5693608548089,1000,0.4189424,538.5694,1.0,10.0,302.0218,,1.0,32822043000.0,0.015116809,100.0,54.88,-484886.03,4335910.5,-58.44878,10.0
-237080630000.0,11,19.963829,1679.6067,100.0,117.49545,[-0.325  0.54  -0.677 -1.32 ],1,1.0,700.9777,-70.51907,46431,650011.0,-1,100,True,,29.51218318939209,6824.8604,715.1940819664284,1100,0.4189424,715.19415,1.0,10.0,372.16727,,1.0,2116691300000.0,0.03305873,100.0,72.55,-812886.7,116101600.0,-70.51907,10.0
-3.1142295e+22,12,29.952217,1929.2506,100.0,3972467.5,[-0.443  0.562 -0.712 -1.318],1,1.0,39043484.0,-92.48703,53622,615168.3,-1,100,True,,34.34959578514099,392425400.0,708.8293954962272,1200,0.4189424,708.82947,1.0,9.999999,335.7517,,1.0,2.1002348e+34,0.0056679277,100.0,71.91,-830059.4,4109960000000.0,-92.48703,9.999999
-1068033950000000.0,13,139.81126,1949.257,100.0,65251.77,[-0.374  0.409 -0.746 -1.501],1,1.0,294962.72,-70.72536,60590,557979.6,-1,100,True,,37.1268105506897,2417761.8,686.5617974785575,1300,0.4189424,686.5617,1.0,10.0,294.30005,,1.0,2.3702643e+19,0.26546127,100.0,69.68,-777350.56,22384510000.0,-70.72536,10.0
-3082080700000.0,14,9.984073,2229.7068,100.0,2625.3965,[-0.276  0.485 -0.748 -1.508],1,1.0,7582.937,-85.26799,69148,846129.7,-1,100,True,,43.68044877052307,38657.355,845.5191958903006,1400,0.4189424,845.51917,1.0,10.0,362.25275,,1.0,115149055000000.0,0.036779925,100.0,85.58,-1133166.0,1978746000.0,-85.26799,10.0
-2.3960705e+17,15,,2699.1921,100.0,86151.28,[-0.228  0.593 -0.783 -1.531],1,1.0,509097.6,-109.8631,79447,1388652.6,-1,100,True,,50.34567928314209,4660233.5,1019.5032440457412,1500,0.4189424,1019.5033,1.0,10.0,590.9871,,1.0,3.244777e+23,0.017627958,100.0,102.99,-1809291.4,115837640000.0,-109.8631,10.0
-4.445373e+18,16,9.98214,2419.0,100.0,16.753895,[-0.125  0.623 -0.847 -1.529],1,1.0,34.93593,-93.87971,86337,678515.56,-1,100,True,,52.443187952041626,262.36395,678.6737172632348,1600,0.4189424,678.67377,1.0,10.0,466.8164,,1.0,1.731387e+26,0.14725067,100.0,68.9,-1016356.8,33595990.0,-93.87971,10.0
-1.1763712e+21,17,9.979234,2768.8586,100.0,33646.875,[-0.218  0.554 -0.87  -1.571],1,1.0,118061.95,-112.83863,96157,1289721.9,-1,100,True,,59.00986909866333,856291.44,971.6210922879951,1700,0.4189424,971.62115,1.0,10.0,587.94073,,1.0,7.0632875e+30,0.13318527,100.0,98.2,-1732354.2,75077960000.0,-112.83863,10.0
-5.5134102e+22,18,9.981319,2159.564,100.0,25898.09,[-0.099  0.556 -0.893 -1.601],1,1.0,244932.56,-92.8932,104628,1005931.6,-1,100,True,,63.259199142456055,2460140.0,836.7297097625767,1800,0.4189424,836.7297,1.0,9.999999,553.0055,,1.0,4.1927365e+34,0.4304303,100.0,84.71,-1275192.6,109751370000.0,-92.8932,9.999999
