InitialBound,LearnableVariance,EmpiricalD2Harmonic,MinBehavPdf,EmpiricalD2Arithmetic,ESSRenyiArithmetic,Penalization,StdIW,MaxIW,InitialReturnMean,MinIW,TimestepsSoFar,EpThisIter,InitialReturnStd,InitialReturnMax,VarianceInitializer,Inner Iteration,DivergenceHarmonic,StdWReturnMean,WReturnMean,EpLenMean,InitialReturnMin,Bound,ReturnMeanIW,TimeElapsed,ESSRenyiHarmonic,ReturnStepMaxmin,MeanD2-0,EpRewMean,EpisodesSoFar,MinTargetPdf,Weights,ReturnStepMax,Iteration,MeanEntropy,MeanIW
-13512.711,,1.0,-18.641731,1.0,100.0,True,146.65282,1381.0145,76.05,0.04809613,861,100,53.626865,289.9328,-1,1,888041300.0,,8659.442,8.61,9.981215,-144870420.0,242992.55,2.534255027770996,100.0,10.0,1.0,76.04999658810203,100,-18.641731,[-0.  0. -0.  0.],10.0,1,0.4189424,33.256264
-55598.67,,1.0,-35.03422,1.0,100.0,True,1703.112,16666.963,149.21158,0.14804539,2454,100,120.78877,569.79517,-1,1,1.0060168e+32,,36854.023,15.93,9.981998,-1.8800936e+20,66589156.0,7.80378270149231,100.0,9.999999,1.0,149.2115796243293,200,-35.03422,[ 0.008  0.037 -0.124 -0.483],9.999999,2,0.4189424,212.26303
-56681.355,,1.0,-21.226051,1.0,100.0,True,383.34833,3840.438,174.59256,0.11832014,4301,100,113.60363,479.8349,-1,1,612358050000000.0,,43388.34,18.47,19.963272,-328951370000.0,4490258.5,11.571232795715332,100.0,9.999996,1.0,174.5925473806931,300,-21.226051,[ 0.115  0.193 -0.195 -0.63 ],9.999996,3,0.4189424,50.95379
-93876.01,,1.0,-35.83588,1.0,100.0,True,2700.9277,26889.047,185.2869,0.11384902,6255,100,172.13927,719.7952,-1,1,1.3780832e+19,,63963.156,19.54,9.982071,-111044080000000.0,98289130.0,14.722131729125977,100.0,9.999999,1.0,185.2868941846216,400,-35.83588,[ 0.043  0.111 -0.215 -0.689],9.999999,4,0.4189424,351.24524
-401016.44,,1.0,-78.54337,1.0,100.0,True,1906.1725,18459.91,294.22653,0.094204664,9299,100,276.8301,2029.5376,-1,1,2.266369e+19,,163204.16,30.44,,-1132136700000000.0,74714810.0,19.028631925582886,100.0,9.999999,1.0,294.22655102133626,500,-78.54337,[-0.112  0.117 -0.298 -0.866],9.999999,5,0.4189424,326.8589
-259668.03,,1.0,-44.07952,1.0,100.0,True,89.482796,580.8976,325.818,0.024929587,12659,100,236.72926,1299.3171,-1,1,179133780000.0,,162198.12,33.6,9.9834585,-41258650000.0,5376008.5,23.978549003601074,100.0,10.0,1.0,325.8179987584996,600,-44.07952,[-0.043  0.216 -0.324 -0.885],10.0,6,0.4189424,29.28272
-282068.56,,1.0,-60.138412,1.0,100.0,True,687.018,6910.659,376.81192,0.08769961,16529,100,265.09537,1099.5767,-1,1,3.7842696e+27,,212262.8,38.7,,-4.2941916e+18,45996580.0,29.619752168655396,100.0,10.0,1.0,376.8119604894223,700,-60.138412,[-0.137  0.174 -0.356 -0.948],10.0,7,0.4189424,79.50781
-298780.6,,1.0,-46.06426,1.0,100.0,True,863235.6,8176531.5,419.10315,0.048054133,20822,100,241.43156,1059.7771,-1,1,2.01243e+27,,233936.66,42.93,19.96098,-2.9089e+18,24875407000.0,34.10708928108215,100.0,10.0,1.0,419.1031518543617,800,-46.06426,[-0.29   0.351 -0.423 -1.003],10.0,8,0.4189424,165153.02
-529685.4,,1.0,-58.985847,1.0,100.0,True,17881.73,132844.69,541.6894,0.06489397,26341,100,267.22116,1689.761,-1,1,1.1045266e+17,,364834.53,55.19,,-54788767000000.0,1704959000.0,41.017085790634155,100.0,10.0,1.0,541.6893915040415,900,-58.985847,[-0.399  0.334 -0.652 -1.434],10.0,9,0.4189424,5184.1
-863365.3,,1.0,-77.33443,1.0,100.0,True,237541.94,1841452.9,722.2361,0.0027160698,33666,100,355.98117,1929.8196,-1,1,3.6482836e+21,,648347.5,73.25,9.980463,-1.298726e+16,13786026000.0,49.75177025794983,100.0,10.0,1.0,722.2360602031208,1000,-77.33443,[-0.319  0.426 -0.671 -1.411],10.0,10,0.4189424,51833.805
-1232357.8,,1.0,-108.68053,1.0,100.0,True,2761.3838,27767.691,798.67664,0.05140727,41756,100,492.41574,2469.1685,-1,1,2047669900.0,,880357.7,80.9,19.970106,-16688443000.0,760092600.0,60.05871796607971,100.0,10.0,1.0,798.6766328569422,1100,-108.68053,[-0.224  0.505 -0.683 -1.423],10.0,11,0.4189424,298.48538
-1037013.25,,1.0,-75.66774,1.0,100.0,True,1642179.0,16443994.0,841.4025,0.033715386,50273,100,353.63086,1879.7264,-1,1,5.7955642e+23,,833013.06,85.17,9.980476,-1.5530198e+17,175403060000.0,70.554034948349,100.0,10.0,1.0,841.4025416976874,1200,-75.66774,[-0.288  0.476 -0.752 -1.5  ],10.0,12,0.4189424,205102.72
-1552012.8,,1.0,-97.67205,1.0,100.0,True,283372.4,2411194.8,946.52783,0.036877427,59842,100,590.11365,2309.1836,-1,1,4.350437e+33,,1244149.0,95.69,9.981286,-2.0305922e+22,118863260000.0,82.06982040405273,100.0,10.0,1.0,946.527845063699,1300,-97.67205,[-0.182  0.53  -0.761 -1.536],10.0,13,0.4189424,48077.945
-1348290.1,,1.0,-119.930954,1.0,100.0,True,375564.06,3637293.8,844.60065,0.07586815,68391,100,427.26657,2799.1914,-1,1,1.7963843e+19,,895906.94,85.49,,-1917406800000000.0,44662600000.0,93.05047488212585,100.0,10.0,1.0,844.6005983100904,1400,-119.930954,[-0.298  0.494 -0.787 -1.549],10.0,14,0.4189424,54265.004
-784516.1,,1.0,-61.39601,1.0,100.0,True,763287.2,6886616.5,760.44226,0.078180976,76098,100,279.4863,1489.727,-1,1,2.1287738e+20,,656385.0,77.07,19.963158,-1869506500000000.0,40555463000.0,103.68999981880188,100.0,10.0,1.0,760.4422827422642,1500,-61.39601,[-0.412  0.5   -0.796 -1.497],10.0,15,0.4189424,123970.39
-1480199.0,,1.0,-123.99578,1.0,100.0,True,69913.33,545649.44,880.0836,0.11140024,85002,100,476.49442,2879.1743,-1,1,2.890485e+21,,1001593.94,89.04,,-2.5731244e+16,9155240000.0,116.54687213897705,100.0,10.0,1.0,880.0835044120591,1600,-123.99578,[-0.314  0.578 -0.805 -1.5  ],10.0,16,0.4189424,12506.269
-1262320.5,,1.0,-98.14194,1.0,100.0,True,176816.27,1290334.0,841.9144,0.49795258,93525,100,484.65674,2349.1348,-1,1,5.584825e+31,,943712.06,85.23,9.98038,-2.3810033e+21,58684800000.0,126.8017430305481,100.0,10.0,1.0,841.9144762186505,1700,-98.14194,[-0.201  0.606 -0.835 -1.533],10.0,17,0.4189424,30380.908
-1479380.4,,1.0,-98.60866,1.0,100.0,True,58653.047,443972.2,959.9839,0.03604488,103228,100,483.34122,2369.6306,-1,1,7.001065e+22,,1155187.9,97.03,,-8.577937e+16,14384052000.0,141.34781169891357,100.0,10.0,1.0,959.9839109558204,1800,-98.60866,[-0.314  0.56  -0.849 -1.556],10.0,18,0.4189424,17762.5
-1629338.5,,1.0,-111.134735,1.0,100.0,True,152597.88,1533935.4,960.8228,0.014007295,112940,100,562.1941,2599.35,-1,1,7.667823e+20,,1239242.8,97.12,9.983974,-1.0802096e+16,76293200000.0,153.53642201423645,100.0,10.0,1.0,960.82280975905,1900,-111.134735,[-0.23   0.648 -0.871 -1.536],10.0,19,0.4189424,15653.182
-2172854.8,,1.0,-145.75775,1.0,100.0,True,726150.5,6937003.0,1114.1533,0.10934312,124185,100,529.29694,3358.8467,-1,1,3.3260752e+26,,1521492.9,112.45,59.910225,-1.1879161e+19,92027404000.0,170.07454752922058,100.0,10.0,1.0,1114.1533089357413,2000,-145.75775,[-0.29   0.559 -0.9   -1.592],10.0,20,0.4189424,135717.4
-1685157.5,,1.0,-114.889534,1.0,100.0,True,57497.133,441934.34,996.7944,0.0031753103,134257,100,570.2505,2519.0735,-1,1,3.8773906e+28,,1318784.6,100.72,189.8836,-7.2142437e+19,40576053000.0,182.6599612236023,100.0,10.0,1.0,996.7944217947068,2100,-114.889534,[-0.18   0.612 -0.92  -1.607],10.0,21,0.4189424,9944.85
-1660107.5,,1.0,-105.514336,1.0,100.0,True,15756230.0,152687300.0,1026.9415,0.0955543,144630,100,525.2161,2389.4805,-1,1,2.0493816e+26,,1330460.9,103.73,9.979833,-4.719087e+18,2464306400000.0,199.6981189250946,100.0,10.0,1.0,1026.9415663266989,2200,-105.514336,[-0.29   0.636 -0.964 -1.575],10.0,22,0.4189424,2013990.9
-1405058.5,,1.0,-122.57184,1.0,100.0,True,74.16905,708.7368,872.6268,0.043947663,153460,100,552.9246,2419.0496,-1,1,2222875000.0,,1067203.1,88.3,9.982532,-15954090000.0,25166088.0,212.31282949447632,100.0,10.0,1.0,872.6268191986636,2300,-122.57184,[-0.173  0.674 -0.982 -1.585],10.0,23,0.4189424,13.276934
-1144063.2,,1.0,-103.789085,1.0,100.0,True,659.63275,6202.147,749.65704,0.10665303,161060,100,513.2179,2349.418,-1,1,3.3751116e+29,,825378.1,76.0,9.979531,-1.851416e+20,257853980.0,223.47844862937927,100.0,10.0,1.0,749.6569429815011,2400,-103.789085,[-0.116  0.688 -0.999 -1.597],10.0,24,0.4189424,105.453415
-1948342.1,,1.0,-135.11319,1.0,100.0,True,136.27698,999.79175,1033.2782,0.048569236,171497,100,618.0223,2939.0737,-1,1,1008631360.0,,1449615.4,104.37,9.981262,-15900316000.0,61360036.0,235.53960585594177,100.0,10.0,1.0,1033.2781787639212,2500,-135.11319,[-0.205  0.605 -1.014 -1.622],10.0,25,0.4189424,32.905746
-2730080.5,,1.0,-153.26544,1.0,100.0,True,8138.708,81853.234,1195.9073,0.0054576383,183561,100,743.11414,3598.597,-1,1,9.724253e+18,,1982413.0,120.64,,-2331498600000000.0,6620054500.0,258.6960804462433,100.0,10.0,1.0,1195.9073605678568,2600,-153.26544,[-0.146  0.587 -1.07  -1.716],10.0,26,0.4189424,917.74097
-4115864.0,,1.0,-164.50916,1.0,100.0,True,8360.86,80916.9,1393.5441,0.20580506,197602,100,992.08514,4539.3247,-1,1,4.549512e+21,,2926198.0,140.41,219.81085,-8.024248e+16,11653596000.0,283.3210258483887,100.0,10.0,1.0,1393.5441049104518,2700,-164.50916,[-0.075  0.509 -1.129 -1.745],10.0,27,0.4189424,1396.2495
-4423222.5,,1.0,-187.07024,1.0,100.0,True,555.0834,3986.8481,1634.6016,0.051197674,214053,100,873.12726,4138.714,-1,1,32958715000000.0,,3434273.8,164.51,,-5677965600000.0,489382340.0,305.4352078437805,100.0,10.0,1.0,1634.6016338287395,2800,-187.07024,[-0.096  0.406 -1.175 -1.794],10.0,28,0.4189424,195.94518
-6268889.0,,1.0,-216.78986,1.0,100.0,True,58.14113,567.9196,1813.9095,0.080923446,232298,100,1239.2058,4999.3096,-1,1,90828424.0,,4825898.5,182.45,29.950457,-13878006000.0,125864430.0,333.96598505973816,100.0,10.0,1.0,1813.9094581390068,2900,-216.78986,[-0.039  0.43  -1.18  -1.803],10.0,29,0.4189424,11.029088
-5660226.0,,1.0,-189.61365,1.0,100.0,True,2212.1543,16173.043,1867.6367,0.16781694,251081,100,955.85394,4668.799,-1,1,4.1545566e+17,,4401724.0,187.83,,-811173960000000.0,3783286300.0,360.709130525589,100.0,10.0,1.0,1867.6367645883774,3000,-189.61365,[-0.076  0.453 -1.224 -1.809],10.0,30,0.4189424,629.05096
-8604161.0,,1.0,-224.85182,1.0,100.0,True,95.0457,871.4353,2218.5757,0.035091635,273365,100,1496.3477,4999.3687,-1,1,8.2852926e+16,,7161133.0,222.84,19.96803,-415359300000000.0,351522460.0,393.8396337032318,100.0,10.0,1.0,2218.575591053009,3100,-224.85182,[-0.02   0.423 -1.288 -1.895],10.0,31,0.4189424,26.922903
-6301836.0,,1.0,-225.29224,1.0,100.0,True,671.4825,2948.5225,1941.6992,0.14613374,292885,100,1043.3987,4999.255,-1,1,1.3647168e+16,,4858876.5,195.2,9.9800005,-168567450000000.0,965825100.0,425.1328537464142,100.0,10.0,1.0,1941.6992897941143,3200,-225.29224,[-0.068  0.392 -1.307 -1.911],10.0,32,0.4189424,299.3656
-8745976.0,,1.0,-240.45454,1.0,100.0,True,8353.375,83414.17,2227.4805,0.037125282,315257,100,1530.1522,4999.22,-1,1,1.1266721e+36,,7303034.5,223.72,9.981718,-1.5315905e+24,25751513000.0,459.909556388855,100.0,10.0,1.0,2227.480368217948,3300,-240.45454,[-0.007  0.389 -1.31  -1.924],10.0,33,0.4189424,1141.0557
-6445054.5,,1.0,-213.59245,1.0,100.0,True,4075.6064,40305.387,1918.0562,0.10403308,334540,100,1150.3416,4999.0303,-1,1,2593602200000000.0,,5002224.5,192.83,,-73480154000000.0,1269039100.0,483.8811047077179,100.0,10.0,1.0,1918.0560056873949,3400,-213.59245,[-0.068  0.387 -1.325 -1.916],10.0,34,0.4189424,792.45526
-10559795.0,,1.0,-231.85493,1.0,100.0,True,222231.88,2225062.2,2574.1113,0.19467254,360378,100,1578.2565,4999.0645,-1,1,7.3198922e+19,,9116941.0,258.38,9.980251,-1.2344804e+16,425897400000.0,512.9844434261322,100.0,10.0,1.0,2574.111200808594,3500,-231.85493,[-0.015  0.42  -1.333 -1.915],10.0,35,0.4189424,25417.375
-6966793.5,,1.0,-218.76347,1.0,100.0,True,13.017478,123.91683,1863.7549,0.055543184,379117,100,1431.9525,4998.8477,-1,1,195680860000.0,,5524069.5,187.39,,-638223200000.0,28270364.0,536.7274651527405,100.0,10.0,1.0,1863.7546584391457,3600,-218.76347,[ 0.018  0.479 -1.409 -1.842],10.0,36,0.4189424,5.5461607
-10338145.0,,1.0,-233.66695,1.0,100.0,True,33.909927,275.97223,2547.0857,0.03852093,404681,100,1551.6167,4999.294,-1,1,2582568400.0,,8895159.0,255.64,19.96297,-73548840000.0,218682700.0,578.5266578197479,100.0,10.0,1.0,2547.0856330636498,3700,-233.66695,[-0.029  0.446 -1.419 -1.864],10.0,37,0.4189424,15.364097
-9293337.0,,1.0,-247.13495,1.0,100.0,True,1970.6539,11150.383,2466.956,0.12785749,429450,100,1328.335,4999.3047,-1,1,6.189533e+21,,7850344.5,247.69,9.980246,-1.1352397e+17,5551322600.0,620.7493231296539,100.0,10.0,1.0,2466.955795218919,3800,-247.13495,[-0.058  0.401 -1.449 -1.876],10.0,38,0.4189424,871.37537
-10097921.0,,1.0,-232.17265,1.0,100.0,True,24.964031,168.55951,2428.3645,0.03243614,453828,100,1660.7122,4999.3203,-1,1,3.1198914e+22,,8654920.0,243.78,9.980183,-2.5487722e+17,184890020.0,657.3934285640717,100.0,10.0,1.0,2428.3647009488764,3900,-232.17265,[ 0.004  0.399 -1.456 -1.88 ],10.0,39,0.4189424,13.838032
-8692759.0,,1.0,-218.7754,1.0,100.0,True,2898.9587,22462.955,2384.9233,0.04217772,477779,100,1249.8602,4998.883,-1,1,2.0157037e+21,,7250011.0,239.51,9.980625,-6.4773695e+16,4024544000.0,694.390124797821,100.0,10.0,1.0,2384.9235705778487,4000,-218.7754,[-0.055  0.382 -1.466 -1.888],10.0,40,0.4189424,979.42
-11810200.0,,1.0,-240.98656,1.0,100.0,True,36.02267,302.5602,2724.05,0.16401452,505106,100,1716.6345,4999.1714,-1,1,4.0639878e+24,,10367283.0,273.27,299.77448,-2.908785e+18,326498660.0,732.9390127658844,100.0,10.0,1.0,2724.050066501438,4100,-240.98656,[ 0.004  0.402 -1.468 -1.883],10.0,41,0.4189424,19.257786
-9694714.0,,1.0,-235.82127,1.0,100.0,True,3807.0266,32195.361,2578.88,0.02660197,530996,100,1265.3256,4999.3936,-1,1,3.527669e+26,,8251670.5,258.9,319.71292,-2.7103036e+19,6266197500.0,770.4545023441315,100.0,10.0,1.0,2578.8799547140084,4200,-235.82127,[-0.057  0.401 -1.483 -1.879],10.0,42,0.4189424,1206.0885
-12229622.0,,1.0,-232.40623,1.0,100.0,True,70.50079,658.03485,2837.6606,0.5415709,559460,100,1653.5925,4999.1978,-1,1,3.636029e+21,,10786688.0,284.64,9.979795,-8.70069e+16,377469660.0,811.9556376934052,100.0,10.0,1.0,2837.6608888103838,4300,-232.40623,[ 0.005  0.396 -1.485 -1.888],10.0,43,0.4189424,26.193628
-10303336.0,,1.0,-223.19,1.0,100.0,True,9618.957,82894.586,2624.544,0.042255025,585799,100,1404.2567,4999.6045,-1,1,1.1998119e+26,,8860169.0,263.39,9.980792,-1.5807648e+19,11590790000.0,846.7420082092285,100.0,10.0,1.0,2624.5442352530513,4400,-223.19,[-0.046  0.368 -1.506 -1.896],10.0,44,0.4189424,2073.8066
-11162047.0,,1.0,-238.50441,1.0,100.0,True,202.09615,2034.0159,2614.1174,0.04287659,612028,100,1698.6561,4999.326,-1,1,6.8117057e+21,,9719042.0,262.29,,-1.190941e+17,698823700.0,875.6404151916504,100.0,10.0,1.0,2614.1174382577083,4500,-238.50441,[ 0.016  0.364 -1.51  -1.899],10.0,45,0.4189424,35.03987
-9289301.0,,1.0,-221.69731,1.0,100.0,True,11.655723,60.40376,2447.4148,0.12833245,636601,100,1362.5419,4999.217,-1,1,53451116.0,,7846359.5,245.73,9.985375,-10588682000.0,39429256.0,903.0223052501678,100.0,10.0,1.0,2447.414764642991,4600,-221.69731,[-0.045  0.359 -1.52  -1.891],10.0,46,0.4189424,8.360517
-14577158.0,,1.0,-238.31317,1.0,100.0,True,15178.988,117363.9,3258.6274,0.12443818,669271,100,1586.0342,4999.3086,-1,1,4.489726e+33,,13134158.0,326.7,,-9.668725e+22,68451602000.0,943.6887874603271,100.0,10.0,1.0,3258.6276944876545,4700,-238.31317,[-0.014  0.362 -1.521 -1.892],10.0,47,0.4189424,4010.411
-8140692.5,,1.0,-244.82161,1.0,100.0,True,6.5021324,35.435112,2077.9795,0.009581377,690149,100,1542.6532,4999.177,-1,1,72898410.0,,6697777.0,208.78,29.945095,-12357958000.0,38392416.0,971.2184154987335,100.0,10.0,1.0,2077.9795191828803,4800,-244.82161,[ 0.039  0.387 -1.538 -1.904],10.0,48,0.4189424,6.0250673
-13452412.0,,1.0,-242.51,1.0,100.0,True,61.049335,569.3947,3049.4585,0.18193021,720723,100,1646.2672,4999.3447,-1,1,3341603800.0,,12009393.0,305.74,9.980804,-83580420000.0,165632720.0,1013.4504008293152,100.0,10.0,1.0,3049.4585001262917,4900,-242.51,[-0.011  0.365 -1.55  -1.931],10.0,49,0.4189424,15.410271
-13253198.0,,1.0,-238.07358,1.0,100.0,True,34.976856,215.15053,3027.0588,0.027137412,751080,100,1626.952,4999.557,-1,1,5.345389e+18,,11810056.0,303.57,19.9633,-3336508000000000.0,294357760.0,1050.6979594230652,100.0,10.0,1.0,3027.0586282839436,5000,-238.07358,[ 0.02   0.364 -1.552 -1.933],10.0,50,0.4189424,18.879423
-10787168.0,,1.0,-233.5448,1.0,100.0,True,3190.766,29605.95,2749.6494,0.08323401,778672,100,1335.5082,4999.345,-1,1,7.901291e+22,,9344151.0,275.92,9.980974,-4.0561558e+17,4391665000.0,1086.9129297733307,100.0,10.0,1.0,2749.649109991088,5100,-233.5448,[-0.039  0.362 -1.569 -1.922],10.0,51,0.4189424,828.66486
-14093213.0,,1.0,-245.89534,1.0,100.0,True,569.9773,5733.8604,3135.9465,0.26217446,810113,100,1678.1063,4999.33,-1,1,2.3417096e+31,,12650202.0,314.41,,-6.9827986e+21,1879584400.0,1121.6877119541168,100.0,10.0,1.0,3135.9465230246296,5200,-245.89534,[ 0.013  0.394 -1.571 -1.91 ],10.0,52,0.4189424,83.11493
-10601258.0,,1.0,-232.0652,1.0,100.0,True,2160.0845,14049.667,2739.1787,0.049087044,837602,100,1286.5282,4999.321,-1,1,2.8661867e+22,,9158255.0,274.89,349.71457,-2.4429448e+17,7377905700.0,1164.6333525180817,100.0,10.0,1.0,2739.178850576201,5300,-232.0652,[-0.048  0.4   -1.583 -1.904],10.0,53,0.4189424,969.3052
-12301173.0,,1.0,-236.48845,1.0,100.0,True,30.490475,237.0116,2821.4775,0.38291952,865901,100,1702.1642,4999.445,-1,1,1.238163e+16,,10858098.0,282.99,,-160572960000000.0,224804690.0,1211.770657300949,100.0,10.0,1.0,2821.477524512581,5400,-236.48845,[ 0.014  0.4   -1.585 -1.908],10.0,54,0.4189424,17.159462
-15946877.0,,1.0,-240.15811,1.0,100.0,True,152408.92,1307767.1,3549.394,0.06837769,901477,100,1380.4497,4999.3696,-1,1,2.7535353e+32,,14503840.0,355.76,329.6977,-2.3945018e+22,613115170000.0,1251.6525211334229,100.0,10.0,1.0,3549.3940985928334,5500,-240.15811,[-0.031  0.37  -1.603 -1.934],10.0,55,0.4189424,40729.875
-11066182.0,,1.0,-244.47484,1.0,100.0,True,10.737209,86.17588,2592.8472,0.43197566,927495,100,1703.0516,4999.2183,-1,1,2.2973253e+21,,9623240.0,260.18,319.73157,-6.9159977e+16,93601600.0,1300.0755500793457,100.0,10.0,1.0,2592.8471589982596,5600,-244.47484,[ 0.03   0.384 -1.609 -1.93 ],10.0,56,0.4189424,7.974855
-14247310.0,,1.0,-236.43732,1.0,100.0,True,396.2686,3664.851,3271.5422,0.060047336,960294,100,1449.5685,4999.4326,-1,1,148693160000.0,,12804238.0,327.99,369.75433,-558047950000.0,1597770400.0,1355.0933451652527,100.0,10.0,1.0,3271.5423579424114,5700,-236.43732,[-0.03   0.397 -1.617 -1.927],10.0,57,0.4189424,130.10957
-17012986.0,,1.0,-235.78473,1.0,100.0,True,2.2638357,15.284468,3634.292,0.092476726,996705,100,1536.8159,4999.489,-1,1,74247490.0,,15569879.0,364.11,59.8925,-12479578000.0,44989468.0,1412.9866173267365,100.0,10.0,1.0,3634.2918136861754,5800,-235.78473,[-0.005  0.453 -1.623 -1.921],10.0,58,0.4189424,2.6477923
-15012597.0,,1.0,-242.95712,1.0,100.0,True,524263.3,4810844.0,3351.2297,0.1069121,1030298,100,1529.2981,4999.4893,-1,1,9.62681e+31,,13569492.0,335.93,89.84413,-1.4158976e+22,1146756300000.0,1469.8460025787354,100.0,10.0,1.0,3351.229588130951,5900,-242.95712,[-0.034  0.455 -1.634 -1.917],10.0,59,0.4189424,104894.49
-11890863.0,,1.0,-246.27617,1.0,100.0,True,6.8337374,63.648857,2759.314,0.24324253,1057978,100,1683.481,4999.2104,-1,1,3492500700000.0,,10447923.0,276.8,29.946901,-2696627400000.0,64982436.0,1498.4786360263824,100.0,10.0,1.0,2759.3142386714026,6000,-246.27617,[ 0.028  0.458 -1.638 -1.92 ],10.0,60,0.4189424,5.0681114
-15787735.0,,1.0,-249.96,1.0,100.0,True,117.38405,1075.7506,3463.7676,0.03469445,1092688,100,1531.965,4999.537,-1,1,121310750.0,,14344602.0,347.1,9.979936,-16526938000.0,632374660.0,1537.165281534195,100.0,10.0,1.0,3463.7674472158874,6100,-249.96,[-0.03   0.467 -1.661 -1.916],10.0,61,0.4189424,29.664265
-15847252.0,,1.0,-253.20288,1.0,100.0,True,134983.36,1299452.5,3529.368,0.0962986,1128063,100,1395.6174,4999.421,-1,1,1.7413652e+33,,14404185.0,353.75,399.69836,-6.021764e+22,182660810000.0,1580.7751705646515,100.0,10.0,1.0,3529.367890835154,6200,-253.20288,[-0.038  0.415 -1.68  -1.945],10.0,62,0.4189424,24743.377
-16282280.0,,1.0,-242.35876,1.0,100.0,True,24.421371,161.47504,3469.8462,0.12355555,1162833,100,1673.1367,4999.4067,-1,1,2.4378466e+19,,14839222.0,347.7,19.965338,-7124912000000000.0,235083440.0,1623.1207110881805,100.0,10.0,1.0,3469.846590293895,6300,-242.35876,[ 0.024  0.42  -1.682 -1.946],10.0,63,0.4189424,13.889288
-16451007.0,,1.0,-238.53084,1.0,100.0,True,39045.36,270954.06,3644.595,0.06063106,1199353,100,1313.3049,4999.583,-1,1,2.5773262e+32,,15007846.0,365.2,339.6581,-2.3168165e+22,106680060000.0,1685.345981836319,100.0,10.0,1.0,3644.595441788786,6400,-238.53084,[-0.033  0.441 -1.691 -1.938],10.0,64,0.4189424,11061.718
