BatchSize,MinVanillaIw,MinNormIw,Bound,MaxVanillaIw,AvgRet,VarJ,ESSRenyi,VarVanillaIw,AvgVanillaIw,IterType,VarRet,J,AvgDiscRet,VarDiscRet,AvgNormIw,VarNormIw,EpsThisIter,ESSClassic,AvgEpLen,SamplesThisIter,renyi2,VanillaAvgRet,delta,MaxNormIw
100,0.0914435,5.01967e-06,-439.066,2.31475,-406.614899727,182.701,nan,0.086964,1.01206,1,99.887976596,-72787.2,-406.614899727,99.887976596,5.55556e-05,2.6205e-10,100,1.80348620952,500.0,50000,nan,-406.614899727,0.6,0.000127065
100,,,-221.207,15282.7,-352.63057721,3178.24,nan,1.28259e+06,195.904,1,9511.07621728,-39652.1,-352.63057721,9511.07621728,5.00501e-05,8.37165e-08,111,1.07338694254,450.45045045,50000,nan,-352.63057721,0.6,0.00390445
100,,,-159.319,4.81207e+19,-350.333292858,1770.3,nan,inf,3.07722e+16,1,11526.9012586,-25428.3,-350.333292858,11526.9012586,4.96032e-05,3.30024e-06,112,10.9348525776,446.428571429,50000,nan,-350.333292858,0.6,0.0775681
100,,,-167.164,3.37794e+20,-327.788518565,1680.0,nan,inf,1.69204e+17,1,16267.0836145,-24883.1,-327.788518565,16267.0836145,4.55373e-05,4.13787e-06,122,11.0000002399,409.836065574,50000,nan,-327.788518565,0.6,0.0909091
100,,,-139.494,1.95506e+10,-336.073820773,1367.15,nan,1.75422e+17,8.97659e+06,1,17442.0917642,-21649.6,-336.073820773,17442.0917642,4.59137e-05,4.58929e-06,121,9.99999789818,413.223140496,50000,nan,-336.073820773,0.6,0.0999981
100,,,-269.602,23573.0,-366.299529868,1400.15,nan,513348.0,93.8557,1,6790.67725835,-39732.2,-366.299529868,6790.67725835,5.05051e-05,1.48648e-07,110,5.47679496733,454.545454545,50000,nan,-366.299529868,0.6,0.0126849
100,,,-154.564,8.70178e+21,-366.063675794,1838.52,nan,inf,8.76652e+18,1,11345.9230303,-28578.5,-366.063675794,11345.9230303,5.005e-05,1.78421e-06,111,8.3661896056,450.45045045,50000,nan,-366.063675794,0.6,0.0496805
100,2.1253e-14,1.14479e-18,-431.93,4.75324,-404.384863199,555.928,nan,0.534954,1.03139,1,394.815463507,-70865.8,-404.384863199,394.815463507,5.55556e-05,1.55213e-09,100,0.809202834619,500.0,50000,nan,-404.384863199,0.6,0.000256033
100,,,-211.358,1.15636e+20,-358.047944072,1973.69,nan,inf,8.4592e+16,1,9369.70790838,-35002.7,-358.047944072,9369.70790838,4.96032e-05,2.78193e-06,112,9.91127333322,446.428571429,50000,nan,-358.047944072,0.6,0.0678066
100,,,-174.551,2.18055e+21,-364.724750938,1969.11,nan,inf,1.21031e+18,1,10350.1171077,-28965.3,-364.724750938,10350.1171077,5.00501e-05,4.08086e-06,111,9.96677147896,450.45045045,50000,nan,-364.724750938,0.6,0.0901723
100,,,-384.75,2392.56,-393.472843258,7287.47,nan,629.971,2.56543,1,1552.2081061,-52068.8,-393.472843258,1552.2081061,5.50055e-05,2.8961e-07,101,0.596454536281,495.04950495,50000,nan,-393.472843258,0.6,0.0512992
100,,,-173.616,3.85636e+21,-348.043108337,2051.39,nan,inf,2.8349e+18,1,11467.2579712,-26767.5,-348.043108337,11467.2579712,4.91642e-05,2.63369e-06,113,8.34228819108,442.477876106,50000,nan,-348.043108337,0.6,0.0668788
100,,,-160.114,5.20295e+11,-325.682439156,1492.3,nan,1.2424e+20,2.38887e+08,1,15282.6296277,-24325.8,-325.682439156,15282.6296277,4.59137e-05,4.58946e-06,121,10.0000002544,413.223140496,50000,nan,-325.682439156,0.6,0.0999999
100,,,nan,1.29325e+24,-326.573312085,nan,nan,inf,6.17071e+20,1,13176.1006165,nan,-326.573312085,13176.1006165,4.59137e-05,4.25516e-06,121,9.98648592042,413.223140496,50000,nan,-326.573312085,0.6,0.0962256
100,,,-198.998,5.44516e+20,-357.390912464,1849.59,nan,inf,2.86161e+17,1,9579.28500908,-32316.6,-357.390912464,9579.28500908,4.96032e-05,4.42374e-06,112,9.98434649695,446.428571429,50000,nan,-357.390912464,0.6,0.0943865
100,,,-106.999,669.122,-256.516873401,1710.02,nan,1155.2,7.73795,1,23979.2706703,-15823.2,-256.516873401,23979.2706703,3.67918e-05,2.6116e-08,151,1.59909105546,331.125827815,50000,nan,-256.516873401,0.6,0.00318148
100,,,-178.639,3814.8,-323.822976157,1610.26,nan,13265.9,17.4806,1,16075.0382973,-27750.2,-323.822976157,16075.0382973,4.51671e-05,8.85663e-08,123,15.1639269693,406.504065041,50000,nan,-323.822976157,0.6,0.00985684
