EmpiricalD2,EpRewMean,Iteration,TimestepsSoFar,InitialReturnMean,MaxIW,ReturnMeanIW,J_sample_variance,MinIW,TimeElapsed,EpThisIter,InitialReturnStd,EpisodesSoFar,InitialBound,InitialReturnMax,Weights,Bound,EpLenMean,MeanIW,InitialReturnMin,StdIW
1.0163244,-141.8229098366061,1,4609,-3.8146973e-07,1.445939,209.59247,458.84952,0.7361059,9.800598382949829,100,2.1648557,100,-170029080000000.0,6.4169464,[ 0.579 -0.554  0.227  0.402  0.   ],-170029080000000.0,46.09,1.0063344,-2.4639435,0.12670703
1.0011731,-137.66752088414208,2,8759,1.0299683e-05,1.1304858,233.04106,43.648586,0.91436285,19.764747142791748,100,1.7577302,200,-257432490000000.0,5.325348,[ 0.578 -0.551  0.232  0.399  0.003],-257432490000000.0,41.5,1.0047044,-2.0683746,0.033144694
1.0021943,-139.86039659157953,3,13092,-1.7547608e-06,1.1379579,223.82117,71.70849,0.84059834,30.45639204978943,100,1.7197416,300,-213738160000000.0,6.1747284,[ 0.577 -0.552  0.234  0.399  0.005],-213738160000000.0,43.33,1.0045804,-1.9311447,0.045743607
1.0054637,-140.78362752807362,4,17549,-5.340576e-06,1.2259483,217.26434,170.51845,0.7970686,41.167664766311646,100,1.6948481,400,-205055800000000.0,4.875046,[ 0.577 -0.551  0.236  0.4    0.003],-205055800000000.0,44.57,1.0050809,-2.139389,0.075198255
1.0014966,-137.41670458243314,5,21664,-3.0517577e-07,1.1364851,235.1815,69.35066,0.87854284,51.24755573272705,100,1.617788,500,-309791560000000.0,4.4882584,[ 0.577 -0.551  0.233  0.404  0.003],-309791560000000.0,41.15,1.0053288,-2.050911,0.04273764
1.0021306,-139.07887306014064,6,25928,-4.196167e-06,1.1729245,227.25212,75.88072,0.89797115,60.54333186149597,100,1.7637671,600,-339744700000000.0,5.9185104,[ 0.576 -0.552  0.231  0.403  0.004],-339744700000000.0,42.64,1.0063565,-1.8145676,0.04173322
1.0008675,-137.09480798052354,7,30028,-5.1116945e-06,1.0698167,235.74464,27.322912,0.9344553,70.83509159088135,100,1.5040737,700,-336281200000000.0,4.277832,[ 0.575 -0.552  0.234  0.404  0.003],-336281200000000.0,41.0,1.0051332,-2.2362518,0.024702122
1.0014242,-135.01252756263858,8,33864,-1.2054444e-05,1.1310072,252.75443,72.32446,0.9244524,78.89462471008301,100,1.5487691,800,-170029080000000.0,6.498497,[ 0.575 -0.551  0.235  0.404  0.003],-170029080000000.0,38.36,1.0054778,-1.7267075,0.0397473
1.0022125,-142.04324752482685,9,38463,9.918213e-07,1.1916891,210.38783,61.097477,0.9172637,89.1882803440094,100,1.8637899,900,-188704000000000.0,6.4164505,[ 0.574 -0.55   0.234  0.403  0.006],-188704000000000.0,45.99,1.0065595,-2.1653137,0.04469144
1.0081896,-141.26134598192883,10,42951,-6.790161e-06,1.353758,215.90018,213.31989,0.7922813,99.43683886528015,100,1.5835052,1000,-227434000000000.0,5.2441254,[ 0.576 -0.548  0.233  0.402  0.007],-227434000000000.0,44.88,1.0060033,-1.8888321,0.082554236
1.0007449,-136.70300049602528,11,47013,3.890991e-06,1.0932144,237.94492,38.750008,0.9398114,109.39449119567871,100,1.9061332,1100,-309791560000000.0,5.572609,[ 0.577 -0.55   0.231  0.409  0.005],-309791560000000.0,40.62,1.0049592,-2.252922,0.02967431
1.0052167,-144.02934420965983,12,51833,7.5531007e-06,1.3266865,200.57278,112.42195,0.7255327,120.01495027542114,100,1.8931223,1200,-262793510000000.0,5.6039658,[ 0.578 -0.55   0.232  0.409  0.006],-262793510000000.0,48.2,1.0067611,-2.2860336,0.064875886
1.0017053,-138.87472687401055,13,56079,2.1362305e-06,1.1336684,228.15851,55.753757,0.8855928,129.27788138389587,100,1.5346543,1300,-229798000000000.0,6.117279,[ 0.575 -0.552  0.235  0.409  0.005],-229798000000000.0,42.46,1.005592,-1.807869,0.03841373
1.0036972,-135.48217105876077,14,59988,-2.8991699e-06,1.2131393,247.64923,184.70912,0.8315636,138.88069248199463,100,1.5567652,1400,-361272750000000.0,5.8130646,[ 0.575 -0.551  0.237  0.409  0.005],-361272750000000.0,39.09,1.0033233,-1.8380051,0.06192074
1.0009481,-143.0111390306457,15,64687,-6.1798096e-06,1.0993899,205.90144,30.932755,0.8944429,149.831312417984,100,1.9783051,1500,-179131980000000.0,7.5160522,[ 0.573 -0.548  0.233  0.404  0.005],-179131980000000.0,46.99,1.0062265,-2.097252,0.030772936
1.0012465,-136.10200042374217,16,68672,2.822876e-06,1.1347063,242.75325,70.83682,0.9053087,158.28945302963257,100,1.7436868,1600,-388085860000000.0,4.9248657,[ 0.573 -0.548  0.235  0.404  0.005],-388085860000000.0,39.85,1.0050788,-1.9788742,0.039043043
1.0013471,-142.7200599008311,17,73323,2.9754638e-06,1.1051866,208.27046,31.293163,0.9077905,169.0315239429474,100,1.6916592,1700,-182903180000000.0,5.5325623,[ 0.573 -0.548  0.236  0.402  0.003],-182903180000000.0,46.51,1.0062983,-2.0504074,0.032349244
1.0025507,-138.16492960366944,18,77520,-6.1035155e-07,1.1627537,230.5039,83.21625,0.8866747,178.30844163894653,100,1.77506,1800,-254792140000000.0,6.328804,[ 0.573 -0.548  0.238  0.403  0.002],-254792140000000.0,41.97,1.0054927,-2.177597,0.04575375
1.0003017,-136.89842163667134,19,81610,-2.822876e-06,1.0852662,236.17755,13.149979,0.9616562,186.958655834198,100,1.567875,1900,-171813250000000.0,5.472801,[ 0.571 -0.546  0.24   0.405  0.002],-171813250000000.0,40.9,1.0049664,-2.1456375,0.01725864
1.0005387,-140.5175607533409,20,86082,7.476807e-06,1.1708745,215.97386,28.546984,0.9373036,197.31741523742676,100,1.8347349,2000,-154753430000000.0,6.234085,[ 0.57  -0.547  0.241  0.407  0.003],-154753430000000.0,44.72,1.0056355,-2.5507278,0.026687866
