InitialReturnStd,MeanIW,J_sample_variance,EpLenMean,Weights,ReturnMeanIW,InitialReturnMax,TimestepsSoFar,MaxIW,TimeElapsed,EmpiricalD2,Iteration,StdIW,EpThisIter,InitialBound,MinIW,InitialReturnMin,EpRewMean,Bound,EpisodesSoFar,InitialReturnMean
12.600159,1.0050348,195.00076,35.4,[-0.563 -1.093 -0.809 -1.04   0.   ],223.62405,33.927227,3540,1.067853,8.06470537185669,1.0005766,1,0.024731288,100,-1562565200000000.0,0.9276907,-16.716774,-107.5568281044892,-1562565200000000.0,100,-1.2207031e-06
16.054138,1.0052708,343.04767,36.86,[-5.627e-01 -1.093e+00 -8.103e-01 -1.039e+00  3.074e-04],208.83386,57.43917,7226,1.0998088,18.51273226737976,1.0009408,2,0.03440645,100,-1173926000000000.0,0.93624634,-18.356361,-105.73495328706382,-1173926000000000.0,200,1.5258789e-06
13.435717,1.0035486,258.88815,35.5,[-5.631e-01 -1.093e+00 -8.092e-01 -1.039e+00  6.214e-04],221.77731,35.76522,10776,1.1488166,26.606791973114014,1.0038123,3,0.05757724,100,-1500130900000000.0,0.81058645,-17.149109,-107.07118438130016,-1500130900000000.0,300,2.0599366e-06
13.028376,1.005203,222.5827,36.04,[-0.563 -1.093 -0.811 -1.041 -0.002],219.21759,47.93523,14380,1.2103425,34.908777952194214,1.0048178,4,0.06420657,100,-1578569900000000.0,0.866958,-16.984879,-107.7742056736222,-1578569900000000.0,400,-3.0517577e-07
13.896052,1.0063616,261.52893,37.0,[-5.627e-01 -1.092e+00 -8.138e-01 -1.041e+00 -1.524e-04],210.44623,40.546074,18080,1.1416172,43.12197184562683,1.0017028,5,0.03796795,100,-1644221900000000.0,0.908728,-18.413742,-106.85523465146343,-1644221900000000.0,500,2.2888185e-06
13.514275,1.0064572,273.28354,34.46,[-5.628e-01 -1.093e+00 -8.134e-01 -1.040e+00 -1.781e-04],229.67314,45.122253,21526,1.1321932,50.95551323890686,1.0022434,6,0.05273999,100,-1546720500000000.0,0.86996406,-18.489105,-106.7694213131449,-1546720500000000.0,600,-4.9591063e-06
11.538894,1.004572,360.63223,33.95,[-5.623e-01 -1.092e+00 -8.136e-01 -1.041e+00  5.816e-04],236.87762,41.063038,24921,1.2477438,58.61164450645447,1.00552,7,0.07462829,100,-1712566800000000.0,0.8748556,-15.152336,-108.07173088709831,-1712566800000000.0,700,-1.4877319e-06
14.7086115,1.0064828,224.8662,37.28,[-0.562 -1.093 -0.812 -1.04   0.003],207.74187,48.384354,28649,1.1481167,67.02206134796143,1.0016708,8,0.038013045,100,-1469842500000000.0,0.9144522,-18.143723,-106.54598768583115,-1469842500000000.0,800,-4.615784e-06
12.87189,1.006529,288.59116,34.31,[-0.561 -1.093 -0.812 -1.041  0.001],231.04816,43.137444,32080,1.1902027,74.35760927200317,1.0031226,9,0.05933233,100,-1382545800000000.0,0.85911876,-16.868225,-106.83976096369476,-1382545800000000.0,900,8.621216e-06
12.900285,1.0058771,331.84048,37.74,[-0.56  -1.091 -0.814 -1.042  0.002],206.90076,38.430298,35854,1.2586493,82.62364888191223,1.0071367,10,0.083881274,100,-1425536000000000.0,0.7930309,-17.70729,-107.69631569404835,-1425536000000000.0,1000,2.4414062e-06
12.713828,1.0049658,221.12796,35.76,[-0.561 -1.093 -0.81  -1.041  0.002],221.01012,47.168175,39430,1.0930823,90.57752180099487,1.0012766,11,0.032331698,100,-1546720500000000.0,0.91180426,-16.512543,-107.58472862099781,-1546720500000000.0,1100,6.1035155e-07
14.048468,1.0056531,246.066,36.77,[-0.561 -1.094 -0.81  -1.041  0.002],210.71716,40.17834,43107,1.168995,98.89846777915955,1.0046738,12,0.055242706,100,-1531034400000000.0,0.87668115,-17.488564,-106.26632668595123,-1531034400000000.0,1200,3.0517577e-07
11.937977,1.0040005,181.42758,33.69,[-0.564 -1.091 -0.813 -1.038 -0.001],238.49146,42.036972,46476,1.1013995,106.31946134567261,1.0009905,13,0.032110736,100,-1454925000000000.0,0.89864504,-15.033791,-107.7917009142627,-1454925000000000.0,1300,-1.9073487e-07
13.015882,1.0047863,224.4804,35.51,[-0.564 -1.092 -0.813 -1.036 -0.002],223.77121,41.48458,50027,1.1386665,115.21608972549438,1.0014229,14,0.039202966,100,-1578569900000000.0,0.9103168,-16.263817,-107.97901394280748,-1578569900000000.0,1400,3.0517579e-06
12.484731,1.0052309,193.04749,32.18,[-0.564 -1.093 -0.812 -1.036 -0.001],251.64969,40.188053,53245,1.1220615,123.22056221961975,1.0009408,15,0.033625904,100,-1500130900000000.0,0.9251984,-13.400223,-107.57704186505134,-1500130900000000.0,1500,1.2207031e-06
15.272773,1.0057864,320.4974,38.63,[-5.637e-01 -1.092e+00 -8.123e-01 -1.036e+00 -1.000e-03],199.40807,56.33,57108,1.1192274,132.20644545555115,1.0011841,16,0.034435723,100,-1382545800000000.0,0.9337014,-17.114738,-107.02280304393803,-1382545800000000.0,1600,3.8146973e-07
13.096643,1.0059832,277.14523,32.86,[-0.563 -1.092 -0.811 -1.036  0.002],244.31474,54.566643,60394,1.1407113,139.9431345462799,1.0018411,17,0.04640223,100,-1484910600000000.0,0.8908097,-16.115631,-107.12194551342134,-1484910600000000.0,1700,7.6293946e-07
11.425996,1.0059134,145.65154,36.99,[-0.563 -1.093 -0.81  -1.035  0.003],214.79828,38.601803,64093,1.0715413,147.7826623916626,1.0005985,18,0.024195502,100,-1469842500000000.0,0.93490416,-16.91047,-109.04310111892484,-1469842500000000.0,1800,-5.9509275e-06
14.125768,1.0052857,330.179,35.61,[-0.563 -1.092 -0.811 -1.035  0.003],220.67331,55.23297,67654,1.1321131,155.80279302597046,1.002426,19,0.04960651,100,-1186005200000000.0,0.89063865,-16.696556,-106.95225702888159,-1186005200000000.0,1900,3.1280517e-06
12.660062,1.0047823,273.75522,35.05,[-0.563 -1.094 -0.81  -1.034  0.003],227.44458,46.13856,71159,1.1164875,163.64402031898499,1.0019001,20,0.044865232,100,-1469842500000000.0,0.86463827,-16.820557,-108.03856961062989,-1469842500000000.0,2000,-1.6021728e-06
14.595558,1.004782,291.90088,36.87,[-0.564 -1.095 -0.809 -1.034  0.003],210.08632,46.420815,74846,1.1094006,171.92836546897888,1.0008478,21,0.029885108,100,-1313714000000000.0,0.9159111,-19.030212,-106.26250336225733,-1313714000000000.0,2100,1.0681152e-06
13.61256,1.0047827,258.9098,35.88,[-0.564 -1.096 -0.808 -1.035  0.003],219.4308,48.31482,78434,1.1338555,179.90555667877197,1.002705,22,0.045820564,100,-1425536000000000.0,0.8996066,-15.00676,-107.32593530361615,-1425536000000000.0,2200,4.9591063e-06
12.138903,1.0048816,187.47824,34.35,[-0.565 -1.095 -0.809 -1.037  0.004],232.75534,35.364952,81869,1.1239911,187.43280220031738,1.0015767,23,0.03847863,100,-1712566800000000.0,0.8928822,-16.652855,-107.8056941099895,-1712566800000000.0,2300,3.2043456e-06
14.253894,1.0055708,232.85506,36.19,[-0.565 -1.095 -0.81  -1.038  0.004],216.07571,40.810158,85488,1.0692415,195.3598120212555,1.0003604,24,0.018306013,100,-1411061800000000.0,0.96211433,-16.042686,-106.90911980368645,-1411061800000000.0,2400,-3.7384034e-06
13.900979,1.006519,251.119,38.03,[-0.565 -1.095 -0.81  -1.037  0.003],202.39171,35.42227,89291,1.1197884,204.06707382202148,1.0014281,25,0.034604922,100,-1546720500000000.0,0.92414653,-18.182861,-106.35290210791241,-1546720500000000.0,2500,5.645752e-06
12.207621,1.0056275,190.03392,33.53,[-0.565 -1.095 -0.811 -1.036  0.006],239.32634,41.717102,92644,1.1379373,211.5604693889618,1.0024251,26,0.045429334,100,-1678051000000000.0,0.9029135,-13.968674,-107.60915983829474,-1678051000000000.0,2600,-4.196167e-06
15.168274,1.005086,339.17645,37.61,[-0.564 -1.092 -0.811 -1.036  0.005],203.85246,47.59031,96405,1.1660101,219.9977674484253,1.0019473,27,0.046090808,100,-1515505100000000.0,0.87279546,-18.549583,-105.66833498081711,-1515505100000000.0,2700,-3.4332274e-06
14.256798,1.0048561,259.34256,35.39,[-0.565 -1.092 -0.809 -1.037  0.006],222.2548,49.4874,99944,1.1259944,228.03963255882263,1.0010998,28,0.030427631,100,-1382545800000000.0,0.94444,-17.926659,-106.94370870760947,-1382545800000000.0,2800,-4.196167e-06
14.16507,1.0061826,301.25366,37.64,[-0.565 -1.093 -0.809 -1.036  0.008],204.98972,32.396255,103708,1.1922349,235.97404837608337,1.0020436,29,0.04792097,100,-1578569900000000.0,0.8471781,-20.282051,-106.38496414453382,-1578569900000000.0,2900,2.5939942e-06
13.204045,1.007231,286.4208,36.27,[-0.563 -1.095 -0.81  -1.036  0.009],217.81454,36.543896,107335,1.1569368,243.9805932044983,1.004234,30,0.059975933,100,-1611066000000000.0,0.838143,-17.862862,-108.0872009328033,-1611066000000000.0,3000,4.959106e-07
12.131042,1.0047257,201.96382,36.09,[-0.563 -1.094 -0.812 -1.037  0.008],219.9872,41.233032,110944,1.1125787,252.57816410064697,1.0006533,31,0.025451543,100,-1469842500000000.0,0.9506122,-16.280197,-108.35978552517989,-1469842500000000.0,3100,2.861023e-06
13.402857,1.0058352,270.72357,32.66,[-0.563 -1.096 -0.813 -1.037  0.01 ],245.88199,60.53225,114210,1.146306,259.8716549873352,1.0018936,32,0.043671172,100,-1411061800000000.0,0.9126964,-15.055618,-107.10158069080197,-1411061800000000.0,3200,-2.9754638e-06
14.551332,1.0046153,273.66647,34.41,[-0.563 -1.097 -0.812 -1.036  0.01 ],227.84216,48.823296,117651,1.1336305,267.1864860057831,1.0019317,33,0.038761083,100,-1274044700000000.0,0.90061224,-16.580643,-105.76208772557419,-1274044700000000.0,3300,-3.2806397e-06
13.084762,1.0060154,273.2501,35.62,[-0.563 -1.096 -0.812 -1.038  0.011],220.45912,54.62922,121213,1.1515367,275.56298661231995,1.0016723,34,0.04165618,100,-1469842500000000.0,0.9110604,-17.79998,-106.78693162376663,-1469842500000000.0,3400,4.196167e-06
14.636342,1.005691,405.23563,36.23,[-0.563 -1.097 -0.811 -1.037  0.011],215.89854,76.46824,124836,1.1718391,283.4529881477356,1.0036272,35,0.063406855,100,-1150129200000000.0,0.85951495,-15.724533,-106.83431857659133,-1150129200000000.0,3500,-4.196167e-07
12.193268,1.0051678,379.10052,34.71,[-0.565 -1.099 -0.81  -1.038  0.01 ],230.44179,43.160984,128307,1.1771212,291.7699086666107,1.0041958,36,0.066592254,100,-1469842500000000.0,0.84739023,-15.188126,-108.0471486494226,-1469842500000000.0,3600,4.8065185e-06
15.101017,1.005247,293.53552,36.72,[-0.567 -1.1   -0.808 -1.038  0.011],211.14043,60.181458,131979,1.1078513,300.3923223018646,1.0005672,37,0.024522403,100,-1186005200000000.0,0.94034636,-17.581535,-106.37676493353415,-1186005200000000.0,3700,-4.5776366e-07
12.436935,1.0041335,200.24457,32.51,[-0.567 -1.1   -0.807 -1.039  0.011],247.54733,49.01258,135230,1.128585,308.0908770561218,1.0013312,38,0.03954512,100,-1578569900000000.0,0.89003575,-14.367584,-107.06113582141279,-1578569900000000.0,3800,1.9836425e-06
13.824473,1.0053687,249.73755,36.6,[-0.567 -1.099 -0.807 -1.04   0.012],212.37592,35.734642,138890,1.1226532,316.8926799297333,1.0019783,39,0.040815733,100,-1644221900000000.0,0.8936739,-19.421616,-106.31410720788467,-1644221900000000.0,3900,9.536743e-06
14.341041,1.0047245,283.81683,35.41,[-0.567 -1.1   -0.809 -1.039  0.01 ],221.23871,52.952362,142431,1.1189476,324.42631459236145,1.0007001,40,0.030124947,100,-1440156600000000.0,0.93019086,-17.77961,-106.47315005690172,-1440156600000000.0,4000,-8.010864e-07
12.145269,1.0056133,241.71187,35.83,[-0.567 -1.1   -0.809 -1.04   0.01 ],220.80833,40.08357,146014,1.1035532,332.98238611221313,1.0013473,41,0.040971804,100,-1440156600000000.0,0.8791048,-16.623169,-107.7831267487284,-1440156600000000.0,4100,1.1825562e-06
12.792979,1.0066957,295.06763,36.5,[-0.567 -1.1   -0.808 -1.039  0.01 ],215.14009,34.35131,149664,1.2146308,340.73587441444397,1.003936,42,0.06832231,100,-1578569900000000.0,0.82102144,-17.35302,-107.40376104272946,-1578569900000000.0,4200,1.4495849e-06
14.645479,1.0048275,274.35846,35.7,[-0.566 -1.099 -0.809 -1.037  0.013],218.6869,56.976322,153234,1.1867062,348.01145577430725,1.0016595,43,0.0335952,100,-1126805700000000.0,0.91449356,-17.257889,-106.36379414455277,-1126805700000000.0,4300,-4.4631956e-06
14.770504,1.0048844,293.50024,35.26,[-0.566 -1.1   -0.81  -1.035  0.014],222.33981,57.4937,156760,1.1075784,355.54233384132385,1.0007472,44,0.026646128,100,-1198206200000000.0,0.95420265,-17.49395,-106.55177132889716,-1198206200000000.0,4400,-6.8664554e-07
13.178985,1.0047696,245.26186,35.8,[-0.565 -1.101 -0.81  -1.034  0.014],220.32585,43.042183,160340,1.1056734,363.67914175987244,1.0011513,45,0.032949742,100,-1396732200000000.0,0.9248706,-16.81948,-107.49595682985105,-1396732200000000.0,4500,-2.9373168e-06
14.778019,1.0065962,267.7248,38.62,[-0.566 -1.101 -0.809 -1.034  0.014],198.74318,60.544994,164202,1.1238631,372.36127376556396,1.0013568,46,0.03470815,100,-1092688000000000.0,0.9420514,-18.233978,-106.67909084953187,-1092688000000000.0,4600,-1.4495849e-06
15.336515,1.0047777,276.01395,36.49,[-0.566 -1.1   -0.809 -1.035  0.013],211.88222,51.402714,167851,1.095575,380.5795364379883,1.0009921,47,0.030286381,100,-1484910600000000.0,0.9269241,-18.26094,-105.83149322714428,-1484910600000000.0,4700,-4.8828124e-06
13.096401,1.0051112,382.96597,36.44,[-0.566 -1.101 -0.808 -1.036  0.012],214.68382,39.365837,171495,1.232756,388.250066280365,1.006108,48,0.073097594,100,-1440156600000000.0,0.8134166,-17.645332,-107.04663684639893,-1440156600000000.0,4800,-1.5258789e-07
13.764463,1.0051417,186.41304,34.7,[-0.568 -1.1   -0.804 -1.037  0.012],229.28502,43.62672,174965,1.0685272,396.16120529174805,1.0005723,49,0.024309615,100,-1396732200000000.0,0.9412769,-14.3982315,-107.68254298444944,-1396732200000000.0,4900,4.234314e-06
14.746436,1.0050464,267.29733,34.55,[-0.567 -1.1   -0.805 -1.037  0.012],225.8199,49.803932,178420,1.1325622,404.0570731163025,1.0008762,50,0.028040621,100,-1396732200000000.0,0.9064792,-17.84961,-105.42683170294833,-1396732200000000.0,5000,-3.967285e-06
