Bound,EpThisIter,MinIW,MaxIW,EpRewMean,Iteration,EmpiricalD2,StdIW,InitialBound,MeanIW,InitialReturnMean,J_sample_variance,Weights,TimestepsSoFar,ReturnMeanIW,InitialReturnMax,InitialReturnMin,EpisodesSoFar,TimeElapsed,EpLenMean,InitialReturnStd
-65542350000.0,100,0.043792497,5.900829,-121.62483749719935,1,2.7451518,0.7981262,-65542350000.0,0.8445423,-4.959106e-07,35.680622,[-0.365 -0.68  -0.484 -0.253  0.   ],4573,18.940634,5.1901965,-7.2581263,100,8.95384407043457,45.73,2.0974436
-8853800000.0,100,5.1848144e-07,64.78159,-121.48738918895764,2,906803.8,1.214237,-8853800000.0,0.13901864,-3.528595e-07,434.66833,[-0.378 -0.684 -0.45  -0.243 -0.031],9668,17.696857,4.020489,-7.7078705,200,22.332414627075195,50.95,1.9502236
-5547595.5,100,0.9967925,1.0053865,-137.6533190236777,3,1.000002,0.0013221576,-5547595.5,1.0000398,4.3392183e-07,1.7444867,[-0.432 -0.734 -0.369 -0.23  -0.111],19231,6.8534384,3.2008362,-2.256165,300,42.22089338302612,95.63,1.3139272
-31746.082,100,2.6323475e-12,553.0212,-137.33449504140825,4,2.3796983e+18,7.1351047,-31761.229,0.5943916,3.194809e-07,20860.873,[-0.432 -0.734 -0.369 -0.23  -0.111],29039,22.830385,4.2784014,-2.5743604,400,62.29416060447693,98.08,1.7418635
-1328907900.0,100,9.488137e-05,36.57346,-120.40041328293395,5,2380.4155,1.2808158,-1328907900.0,0.43370157,7.1048737e-07,45.841076,[-0.45  -0.693 -0.423 -0.317 -0.132],34728,14.645923,5.1914306,-6.9135017,500,76.56547665596008,56.89,2.103491
-2808.6943,100,4.33651e-07,44.82096,-127.453009178181,6,116142000.0,2.959092,-2809.3225,0.78334236,5.2452087e-08,27.253391,[-0.551 -0.758 -0.417 -0.311 -0.169],44107,7.165973,3.782661,-2.6861324,600,94.42676496505737,93.79,1.5210365
-133.4143,100,0.23657809,6.8887844,-121.5487688472384,7,1.5001346,0.66746825,-133.47476,1.0116136,-6.008148e-07,3.2192137,[-0.573 -0.743 -0.37  -0.361 -0.178],56237,3.3847318,3.6182547,-3.0228996,700,119.28056240081787,121.3,1.643919
-32.289856,100,1.0,1.0,-122.96165029957723,8,1.0,,-32.289856,1.0,3.8146972e-08,2.5735161,[-0.575 -0.745 -0.357 -0.365 -0.178],72001,1.0435768,3.2496228,-2.8874712,800,150.98815417289734,157.64,1.596177
-32.14125,100,1.0,1.0,-124.21114422871246,9,1.0,,-32.14125,1.0,6.198883e-07,2.388315,[-0.575 -0.745 -0.357 -0.365 -0.178],87581,1.192104,4.786919,-2.9732804,900,182.3774151802063,155.8,1.537671
-32.33564,100,1.0,1.0,-123.33866421576624,10,1.0,,-32.33564,1.0,5.245209e-07,3.0354695,[-0.575 -0.745 -0.357 -0.365 -0.178],103155,0.9977119,4.169569,-2.821878,1000,211.9386579990387,155.74,1.7335267
-32.118122,100,1.0,1.0,-124.43309859776957,11,1.0,,-32.118122,1.0,9.441376e-07,3.083851,[-0.575 -0.745 -0.357 -0.365 -0.178],118646,1.2152687,4.7434673,-2.8575563,1100,241.2584662437439,154.91,1.7472873
-31.190737,100,1.0,1.0,-120.19487530985116,12,1.0,,-31.190737,1.0,-8.106232e-08,3.0549562,[-0.575 -0.745 -0.357 -0.365 -0.178],132106,2.1426876,3.5037823,-3.0947747,1200,267.8231999874115,134.6,1.7390822
-32.09142,100,1.0,1.0,-119.73151960821342,13,1.0,,-32.09142,1.0,-8.487701e-07,3.0336335,[-0.575 -0.745 -0.357 -0.365 -0.178],147640,1.2421501,4.257534,-3.1033077,1300,296.81484627723694,155.34,1.7330024
-32.47464,100,1.0,1.0,-124.54188470564783,14,1.0,,-32.47464,1.0,2.3841858e-07,2.9455748,[-0.575 -0.745 -0.357 -0.365 -0.178],163541,0.85873795,3.9524052,-2.9705863,1400,327.3301742076874,159.01,1.7076648
-32.26184,100,1.0,1.0,-121.16645800753668,15,1.0,,-32.26184,1.0,1.5735627e-07,2.157028,[-0.575 -0.745 -0.357 -0.365 -0.178],179225,1.0716022,4.023164,-2.7497993,1500,356.85994005203247,156.84,1.4613205
-31.81479,100,1.0,1.0,-122.57042511633414,16,1.0,,-31.81479,1.0,-1.001358e-07,2.4034152,[-0.575 -0.745 -0.357 -0.365 -0.178],193730,1.518632,3.3658073,-2.5750208,1600,383.8683252334595,145.05,1.5425243
-32.45867,100,1.0,1.0,-124.7469169149954,17,1.0,,-32.45867,1.0,1.001358e-07,2.9540172,[-0.575 -0.745 -0.357 -0.365 -0.178],209847,0.8746714,3.7468805,-2.783887,1700,415.7584776878357,161.17,1.7101103
-32.482063,100,1.0,1.0,-121.6935643674108,18,1.0,,-32.482063,1.0,4.5776366e-07,2.889772,[-0.575 -0.745 -0.357 -0.365 -0.178],225993,0.85138535,4.040722,-2.907137,1800,445.6812856197357,161.46,1.691412
-31.9303,100,1.0,1.0,-123.25438681075177,19,1.0,,-31.9303,1.0,-2.1696091e-07,2.514997,[-0.575 -0.745 -0.357 -0.365 -0.178],240804,1.4030696,4.7342334,-2.5886374,1900,473.72960901260376,148.11,1.5779251
-31.737604,100,0.3930422,1.700901,-121.96161200328147,20,1.0526619,0.17667006,-31.760307,1.0009915,3.8146972e-08,3.5702176,[-0.575 -0.745 -0.357 -0.365 -0.178],255456,1.6168088,4.1521096,-2.9820232,2000,501.724974155426,146.52,1.8089149
-31.674837,100,0.42514908,1.5922877,-121.33683607378886,21,1.0483888,0.19538847,-31.694403,1.0298805,-6.9618227e-07,3.1724367,[-0.576 -0.744 -0.359 -0.369 -0.178],270218,1.6780453,3.958184,-2.9534912,2100,529.8687915802002,147.62,1.7196708
-31.030907,100,1.0,1.0,-121.24835419809102,22,1.0,,-31.030907,1.0,-2.861023e-07,2.884392,[-0.576 -0.742 -0.361 -0.372 -0.178],283501,2.302551,4.82255,-2.8448534,2200,555.7319250106812,132.83,1.6898367
