EmpiricalD2,StdIW,InitialReturnStd,EpThisIter,Bound,TimeElapsed,J_sample_variance,InitialReturnMax,Iteration,InitialReturnMean,MaxIW,TimestepsSoFar,InitialBound,EpisodesSoFar,MeanIW,ReturnMeanIW,EpRewMean,MinIW,InitialReturnMin,Weights,EpLenMean
2.4275548,1.8403401,5.9382496,100,-5259841000000.0,96.75595259666443,299.31946,13.052049,20,-1.964569e-06,15.540825,33870,-5259841000000.0,2000,1.230368,40.63417,-108.24635059625194,0.03757402,-14.045824,[-0.721  0.885 -0.714  0.37   0.048],16.92
1.1022049,0.344883,6.4740906,100,-974659260000.0,101.92543888092041,63.199047,15.645086,21,8.5830686e-07,2.825976,35582,-974659260000.0,2100,1.0295885,39.301533,-108.65089179679282,0.29719013,-14.871292,[-0.71   0.863 -0.696  0.411  0.072],17.12
1.1351012,0.33350447,5.8245716,100,-1082954700000.0,106.73972344398499,86.78845,15.981102,22,2.0408631e-06,2.2959504,37280,-1082954700000.0,2200,1.0014864,39.751892,-108.54108459051666,0.3950755,-14.51376,[-0.721  0.857 -0.685  0.379  0.065],16.98
1.5335603,0.6416601,6.2622085,100,-1833993200000.0,111.72309350967407,154.95967,14.788021,23,-4.005432e-07,5.807374,38982,-1833993200000.0,2300,0.95515954,39.793484,-108.66954281348973,0.16291791,-15.481277,[-0.712  0.872 -0.665  0.35   0.094],17.02
3.806509,1.8124493,6.111508,100,-2515765800000.0,117.01498651504517,209.05786,16.400772,24,-7.8201293e-07,17.096743,40709,-2515765800000.0,2400,0.92627347,38.889248,-109.09181414765057,0.016118154,-12.783443,[-0.725  0.869 -0.631  0.359  0.108],17.27
12.791347,10.993357,5.9826784,100,-1650594000000.0,121.74863791465759,443.67633,17.74127,25,-1.2779236e-06,112.83385,42386,-1650594000000.0,2500,1.8860701,39.59094,-108.29860248573809,0.0020459157,-13.40786,[-0.714  0.929 -0.653  0.351  0.096],16.77
1.4105124,0.61834306,5.506628,100,-377602970000.0,126.74410700798035,143.29729,16.442602,26,2.0980835e-07,4.8404417,44159,-377602970000.0,2600,1.0021114,38.854935,-109.65883571879482,0.124695435,-14.24588,[-0.761  0.87  -0.621  0.37   0.107],17.73
1.158039,0.3363596,5.9959335,100,-4733857000000.0,131.17487907409668,68.38427,14.834335,27,-8.201599e-07,3.0232882,45890,-4733857000000.0,2700,1.0330015,39.395805,-108.50632034542303,0.4334923,-14.757923,[-0.759  0.877 -0.589  0.397  0.112],17.31
1.1285715,0.37224814,6.386059,100,-1203283000000.0,135.89502239227295,100.578186,13.876108,28,1.5068055e-06,3.308347,47713,-1203283000000.0,2800,1.0300981,37.652508,-109.59124629301837,0.50922287,-14.499271,[-0.759  0.857 -0.596  0.421  0.126],18.23
1.3848876,0.6172585,6.6242642,100,-877193300000.0,141.24987077713013,120.07583,15.892714,29,1.411438e-06,4.244059,49528,-877193300000.0,2900,1.0886239,37.68075,-108.95385234254135,0.22303185,-14.306181,[-0.75   0.858 -0.604  0.443  0.168],18.15
1.9362128,0.7111907,6.825292,100,-710526600000.0,146.39900541305542,780.41034,17.836216,30,9.3460085e-07,8.595735,51367,-710526600000.0,3000,0.95260733,37.91779,-109.71574814973063,0.0878236,-17.293179,[-0.769  0.852 -0.638  0.419  0.184],18.39
4.857524,1.2087452,6.9267917,100,-466176500000.0,151.6229772567749,192.54349,16.713398,31,1.783371e-06,12.413013,53209,-466176500000.0,3100,0.9596067,36.693275,-109.70795822795417,0.014545835,-14.208866,[-0.786  0.893 -0.573  0.448  0.209],18.42
2.798329,0.7582534,6.4897995,100,-419558850000.0,156.304603099823,229.81992,14.817818,32,2.193451e-07,6.120274,55157,-419558850000.0,3200,1.0814948,34.733524,-111.45264862151798,0.049475834,-13.507784,[-0.789  0.844 -0.529  0.469  0.181],19.48
1.2491201,0.5376209,6.317329,100,-2037770200000.0,161.3462278842926,81.09575,17.2139,33,-3.4332277e-07,4.694816,56997,-2037770200000.0,3300,1.0349535,37.271835,-109.75216109901204,0.32209384,-13.548798,[-0.846  0.807 -0.61   0.479  0.172],18.4
1.0474389,0.29658258,5.984884,100,-1485534500000.0,166.30074524879456,69.1322,15.8073015,34,-2.670288e-07,2.3238842,58865,-1485534500000.0,3400,1.0277463,37.352425,-110.25363322338478,0.58463687,-15.683994,[-0.842  0.796 -0.597  0.504  0.168],18.68
1.8252872,1.3361646,7.2328277,100,-974659260000.0,171.35825514793396,193.58902,15.061096,35,1.4305115e-07,9.812724,60769,-974659260000.0,3500,1.1012187,36.0439,-110.71857218116506,0.04659556,-15.17215,[-0.844  0.798 -0.579  0.5    0.174],19.04
1.7341422,0.705689,5.7946286,100,-2264189400000.0,176.0041892528534,131.94627,14.062229,36,-2.4604797e-06,4.519771,62536,-2264189400000.0,3600,0.9587706,39.40287,-108.82467184778176,0.091673136,-13.145088,[-0.849  0.804 -0.608  0.46   0.111],17.67
1.2396673,0.4094075,6.75988,100,-1485534500000.0,181.2736029624939,111.767914,17.183626,37,-1.6021728e-06,2.7853556,64314,-1485534500000.0,3700,0.9659225,38.36603,-109.4648553266848,0.16061667,-15.311892,[-0.847  0.828 -0.629  0.445  0.127],17.78
1.0500767,0.2130352,6.905123,100,-1485534500000.0,186.00627613067627,66.294525,16.601192,38,-9.727478e-07,1.6092914,66164,-1485534500000.0,3800,1.0080504,37.098377,-109.92251219296686,0.5663619,-13.003651,[-0.848  0.819 -0.602  0.411  0.129],18.5
3.4402647,1.1454185,5.560093,100,-8016829600000.0,190.8710858821869,246.02156,12.327553,39,-1.9836425e-06,7.791351,67821,-8016829600000.0,3900,0.9609662,40.825752,-108.95443210266546,0.035174,-13.711239,[-0.849  0.813 -0.593  0.417  0.133],16.57
4.009718,1.0446074,6.2265224,100,-1833993200000.0,195.43099999427795,296.03613,14.84594,40,-2.3937225e-06,6.823798,69640,-1833993200000.0,4000,0.91306424,38.55551,-110.0073666690169,0.0066325706,-15.582994,[-0.825  0.75  -0.568  0.429  0.121],18.19
1.0497922,0.25671694,5.9147515,100,-710526600000.0,200.18248343467712,61.28922,18.525711,41,-2.8800964e-06,1.9989874,71414,-710526600000.0,4100,1.0470134,38.690613,-109.39655874059612,0.5031151,-14.379292,[-0.836  0.781 -0.623  0.426  0.129],17.74
1.3192832,0.49020594,6.37961,100,-1833993200000.0,205.2335991859436,97.82493,16.92514,42,-3.6239624e-07,3.0304866,73239,-1833993200000.0,4200,1.0389414,37.844677,-110.14665589672929,0.30985147,-16.409172,[-0.836  0.779 -0.614  0.435  0.134],18.25
3.3212008,0.80688995,6.576235,100,-1203283000000.0,210.68941044807434,432.57907,15.033273,43,1.1825562e-06,4.904891,75066,-1203283000000.0,4300,1.0149813,38.455593,-109.7961973841376,0.0039568003,-13.595373,[-0.84   0.763 -0.602  0.452  0.161],18.27
1.1971061,0.44747025,6.3123326,100,-974659260000.0,215.65740180015564,94.33174,15.266054,44,1.3732911e-06,2.9034636,76783,-974659260000.0,4400,1.0453268,39.501057,-109.05145035717811,0.48021248,-12.926195,[-0.865  0.67  -0.697  0.458  0.078],17.17
1.0921288,0.2672961,6.0712533,100,-5259841000000.0,220.67989540100098,59.278214,14.9858265,45,-2.670288e-06,1.9229223,78535,-5259841000000.0,4500,0.9837536,39.269733,-108.88855469983979,0.3845911,-14.099712,[-0.874  0.648 -0.695  0.446  0.117],17.52
1.2102168,0.4645474,6.07358,100,-2515765800000.0,225.4915370941162,98.64083,15.981319,46,-2.8419495e-06,3.1629522,80315,-2515765800000.0,4600,1.0557853,38.794014,-109.36370965959404,0.2872236,-12.582138,[-0.874  0.64  -0.685  0.455  0.118],17.8
