MaxIW,InitialReturnMean,EpThisIter,InitialReturnMax,InitialReturnMin,MeanIW,EpisodesSoFar,Weights,MinIW,ReturnMeanIW,Bound,StdIW,TimeElapsed,EpLenMean,EpRewMean,Iteration,TimestepsSoFar,J_sample_variance,InitialBound,InitialReturnStd,EmpiricalD2
1.9763609,-2.1743774e-06,100,16.142467,-12.426178,1.0178142,100,[-0.689  0.919 -0.673  0.288  0.   ],0.56580174,38.882286,-8343851600000.0,0.2420607,4.402399063110352,17.45,-108.67197648780628,1,1745,72.94202,-8343851600000.0,6.4303417,1.0579383
2.6918747,1.2588501e-06,100,15.946405,-12.894917,1.0508983,200,[-0.691  0.921 -0.656  0.281  0.008],0.37105083,39.23846,-10301051000000.0,0.4261947,9.818928003311157,17.22,-108.85656772010746,2,3467,78.9863,-10301051000000.0,6.63146,1.1889585
5.4580173,-1.335144e-07,100,14.811165,-19.114737,0.9601428,300,[-0.689  0.922 -0.631  0.286  0.008],0.026654694,40.22417,-19383246000000.0,0.82083476,15.2375168800354,17.13,-108.29932142396143,3,5180,172.46776,-19383246000000.0,6.2153935,2.2159057
2.690051,-1.5830993e-06,100,16.21519,-14.2812195,1.0093306,400,[-0.668  0.932 -0.681  0.323 -0.019],0.28049847,40.382305,-15700428000000.0,0.37888062,19.57426357269287,16.75,-108.65603493177541,4,6855,82.88962,-15700428000000.0,6.233266,1.254726
2.3474112,-3.5858154e-06,100,14.933531,-13.982351,1.0356059,500,[-0.668  0.936 -0.708  0.325 -0.017],0.46503207,40.70081,-14130386000000.0,0.31871143,24.685231685638428,16.45,-108.44558208270027,5,8500,69.02927,-14130386000000.0,6.68983,1.0989844
3.3217258,-1.9073486e-08,100,15.208029,-14.727976,1.0120494,600,[-0.668  0.937 -0.728  0.333 -0.017],0.284454,40.552166,-15700428000000.0,0.46338478,29.602210760116577,16.74,-108.57552881342939,6,10174,61.717926,-15700428000000.0,6.0993505,1.2436446
1.9670678,5.340576e-07,100,15.896326,-11.455631,0.98625046,700,[-0.662  0.949 -0.742  0.324 -0.012],0.3101418,39.946396,-3990838600000.0,0.3123003,34.54195237159729,16.86,-108.4258189474836,7,11860,50.386185,-3990838600000.0,5.794206,1.1375339
5.395982,5.0544736e-07,100,14.78363,-12.574434,0.96353006,800,[-0.663  0.941 -0.727  0.324 -0.008],0.13218164,38.494072,-4926961000000.0,0.8845992,39.359336137771606,17.46,-108.58946117719245,8,13606,213.42706,-4926961000000.0,6.398816,2.1513228
2.9715335,-1.7929077e-06,100,13.777963,-13.206474,1.035643,900,[-0.695  0.954 -0.671  0.31   0.025],0.17574319,41.57455,-19383246000000.0,0.4300756,44.57142663002014,16.33,-108.775046551504,9,15239,58.002174,-19383246000000.0,5.3122725,1.1924996
9.0029745,1.5640259e-06,100,14.850569,-10.540228,1.1322263,1000,[-0.693  0.938 -0.667  0.329  0.027],0.02600113,41.220146,-12717348000000.0,1.4836104,49.253541231155396,16.36,-108.15154804921104,10,16875,197.53868,-12717348000000.0,5.774166,3.3549008
4.420483,-3.8146973e-07,100,15.187355,-15.902874,1.02219,1100,[-0.691  0.896 -0.655  0.368  0.021],0.26812094,40.57889,-17444921000000.0,0.5671339,53.58282923698425,16.57,-108.25679550637504,11,18532,73.905235,-17444921000000.0,5.6553016,1.3586012
2.4430952,1.5068055e-06,100,15.418503,-13.667496,0.99904203,1200,[-0.694  0.883 -0.639  0.381  0.05 ],0.3475436,39.878532,-8343851600000.0,0.3712365,58.76623463630676,17.31,-109.90747598265166,12,20263,67.24806,-8343851600000.0,5.080833,1.1529348
2.372929,-1.4495849e-06,100,15.52263,-12.722624,1.0221169,1300,[-0.695  0.882 -0.665  0.38   0.058],0.36014652,40.024406,-9270946000000.0,0.33097193,63.95995593070984,16.96,-108.66085073597523,13,21959,74.45696,-9270946000000.0,5.3842926,1.1315323
8.645168,-9.727478e-07,100,13.9762535,-12.235605,0.9976725,1400,[-0.689  0.875 -0.695  0.407  0.065],0.17908305,38.752537,-6082668000000.0,0.86660165,69.02436709403992,17.58,-108.59730619496042,14,23717,131.29778,-6082668000000.0,5.960919,1.5580978
2.6029296,3.6239624e-07,100,15.154688,-11.6218605,1.0718921,1500,[-0.691  0.875 -0.663  0.426  0.086],0.1885694,40.76944,-15700428000000.0,0.46369916,74.08117294311523,16.64,-108.49424015598552,15,25381,84.45765,-15700428000000.0,5.3814898,1.227303
