InitialBound,MinIW,TimestepsSoFar,ReturnMeanIW,InitialReturnStd,EpLenMean,Iteration,InitialReturnMin,InitialReturnMax,Weights,MaxIW,StdIW,Bound,TimeElapsed,EmpiricalD2,EpRewMean,EpisodesSoFar,InitialReturnMean,MeanIW,J_sample_variance,EpThisIter
-563922700000000.0,0.7361059,4609,209.59247,2.1648557,46.09,1,-2.4639435,6.4169464,[ 0.579 -0.554  0.227  0.402  0.   ],1.445939,0.12670703,-563922700000000.0,9.420881986618042,1.0163244,-141.8229098366061,100,-3.8146973e-07,1.0063344,458.84952,100
-853807000000000.0,0.91436285,8759,233.04106,1.7577302,41.5,2,-2.0683746,5.325348,[ 0.578 -0.551  0.232  0.399  0.003],1.1304858,0.033144694,-853807000000000.0,20.88432788848877,1.0011731,-137.66752088414208,200,1.0299683e-05,1.0047044,43.648586,100
-708889250000000.0,0.84059834,13092,223.82117,1.7197416,43.33,3,-1.9311447,6.1747284,[ 0.577 -0.552  0.234  0.399  0.005],1.1379579,0.045743607,-708889250000000.0,30.393214464187622,1.0021943,-139.86039659157953,300,-1.7547608e-06,1.0045804,71.70849,100
-680093200000000.0,0.7970686,17549,217.26434,1.6948481,44.57,4,-2.139389,4.875046,[ 0.577 -0.551  0.236  0.4    0.003],1.2259483,0.075198255,-680093200000000.0,40.00657057762146,1.0054637,-140.78362752807362,400,-5.340576e-06,1.0050809,170.51845,100
-1027462300000000.0,0.87854284,21664,235.1815,1.617788,41.15,5,-2.050911,4.4882584,[ 0.577 -0.551  0.233  0.404  0.003],1.1364851,0.04273764,-1027462300000000.0,49.75446009635925,1.0014966,-137.41670458243314,500,-3.0517577e-07,1.0053288,69.35066,100
-1126805700000000.0,0.89797115,25928,227.25212,1.7637671,42.64,6,-1.8145676,5.9185104,[ 0.576 -0.552  0.231  0.403  0.004],1.1729245,0.04173322,-1126805700000000.0,59.067959785461426,1.0021306,-139.07887306014064,600,-4.196167e-06,1.0063565,75.88072,100
-1115318700000000.0,0.9344553,30028,235.74464,1.5040737,41.0,7,-2.2362518,4.277832,[ 0.575 -0.552  0.234  0.404  0.003],1.0698167,0.024702122,-1115318700000000.0,68.20015072822571,1.0008675,-137.09480798052354,700,-5.1116945e-06,1.0051332,27.322912,100
-563922700000000.0,0.9244524,33864,252.75443,1.5487691,38.36,8,-1.7267075,6.498497,[ 0.575 -0.551  0.235  0.404  0.003],1.1310072,0.0397473,-563922700000000.0,75.90390110015869,1.0014242,-135.01252756263858,800,-1.2054444e-05,1.0054778,72.32446,100
-625860400000000.0,0.9172637,38463,210.38783,1.8637899,45.99,9,-2.1653137,6.4164505,[ 0.574 -0.55   0.234  0.403  0.006],1.1916891,0.04469144,-625860400000000.0,85.57360124588013,1.0022125,-142.04324752482685,900,9.918213e-07,1.0065595,61.097477,100
-754313300000000.0,0.7922813,42951,215.90018,1.5835052,44.88,10,-1.8888321,5.2441254,[ 0.576 -0.548  0.233  0.402  0.007],1.353758,0.082554236,-754313300000000.0,94.98552465438843,1.0081896,-141.26134598192883,1000,-6.790161e-06,1.0060033,213.31989,100
-1027462300000000.0,0.9398114,47013,237.94492,1.9061332,40.62,11,-2.252922,5.572609,[ 0.577 -0.55   0.231  0.409  0.005],1.0932144,0.02967431,-1027462300000000.0,104.30311155319214,1.0007449,-136.70300049602528,1100,3.890991e-06,1.0049592,38.750008,100
