Weights,EpisodesSoFar,InitialReturnStd,MaxIW,J_sample_variance,ReturnMeanIW,InitialReturnMean,EpThisIter,StdIW,InitialReturnMin,Iteration,Bound,InitialBound,MinIW,TimeElapsed,EpRewMean,TimestepsSoFar,EmpiricalD2,EpLenMean,InitialReturnMax,MeanIW
[ 0.579 -0.554  0.227  0.402  0.   ],100,4.7915983,59.42451,777.9543,24.155773,-8.5830686e-07,100,1.0195162,-13.620404,1,-1219348.8,-1219354.9,1.29309905e-08,9.904860019683838,-141.8229098366061,4609,1149201300.0,46.09,7.375037,0.22025459
[ 0.497 -0.645  0.11   0.357  0.013],200,2.65747,900.35205,5877.8516,24.487377,6.4849854e-07,100,10.4803505,-10.772208,2,-720003.06,-720012.7,2.063243e-27,24.05160617828369,-157.7641420262533,10780,21844590000000.0,61.71,4.1768603,0.33003345
[ 0.288 -0.716  0.131  0.314 -0.357],300,1.7193999,5.2259054,4.3304267,12.739164,-6.67572e-08,100,0.5040189,-5.9119167,3,2.626256,2.4506483,0.43919387,42.244550704956055,-173.8840741003529,18601,1.1915363,78.21,3.9470053,1.0312645
[ 0.277 -0.708  0.122  0.3   -0.364],400,1.4044975,2.059017,2.3715098,12.581739,-2.3841858e-08,100,0.27151263,-7.203947,4,2.50245,2.3724928,0.384898,59.08890414237976,-175.15571939672816,26563,1.0928202,79.62,3.3470426,1.0163746
[ 0.267 -0.72   0.128  0.311 -0.368],500,1.7611387,2.8089445,6.6480813,12.544432,-3.0517577e-07,100,0.3870924,-6.232853,5,2.3957548,2.3161736,0.17070591,76.70778560638428,-174.08119218227438,34409,1.251566,78.46,3.1123476,1.0179734
[ 0.257 -0.725  0.125  0.336 -0.359],600,1.5361605,8.881849,13.261824,13.00039,7.1525574e-07,100,1.2429178,-7.00634,6,2.6502018,2.2936535,0.05188743,91.92368984222412,-175.25209953768137,42379,2.7971754,79.7,3.8481908,1.0852721
[ 0.25  -0.738  0.107  0.313 -0.364],700,1.6677963,5.59362,4.142296,12.106216,-6.9618227e-07,100,0.6965692,-7.89816,7,1.9985847,1.7167444,0.20428866,110.04198050498962,-179.57340747272613,50858,1.3686516,84.79,4.6897573,0.9793617
[ 0.231 -0.757  0.11   0.308 -0.351],800,1.4920667,4.7450957,6.4033556,11.71192,5.76973e-07,100,0.70370024,-6.8142014,8,1.5171261,1.3619823,0.121218264,127.03790712356567,-184.68279660652775,59853,1.6865265,89.95,3.4633818,1.065251
[ 0.231 -0.757  0.126  0.306 -0.352],900,1.3808756,2.6450255,2.665345,11.629515,-3.8146973e-07,100,0.22739206,-5.079526,9,1.4853487,1.4601679,0.47115466,143.44489169120789,-183.6438777261254,68706,1.0466282,88.53,3.7779098,0.9954168
[ 0.231 -0.756  0.122  0.311 -0.357],1000,1.4012263,5.596376,9.015398,12.352575,3.2424927e-07,100,0.8120896,-3.3950472,10,2.0635633,1.6244364,0.051674023,161.15396904945374,-181.23972207269503,77334,1.6735727,86.28,3.8511562,1.1240853
[ 0.218 -0.768  0.124  0.35  -0.378],1100,1.1444615,19.352367,68.38872,13.534304,-8.010864e-07,100,2.0852358,-4.615285,11,-4567.792,-4569.1978,1.4528094e-07,177.67820048332214,-179.24862165829282,85722,54022530.0,83.88,3.6085186,0.949528
[ 0.206 -0.774  0.184  0.355 -0.359],1200,1.6819493,1517.581,4212.9004,23.366076,-5.722046e-07,100,15.569569,-5.2957497,12,-9026674.0,-9026683.0,1.2483033e-10,191.18929719924927,-164.2593489292095,92629,4206076500000000.0,69.07,4.110778,0.45330903
[ 0.174 -0.771  0.068  0.299 -0.412],1300,1.1131347,1.0,1.2515844,7.778183,5.4359435e-07,100,,-1.161788,13,-2.2722073,-2.2722073,1.0,218.65519499778748,-232.50433995439664,106477,1.0,138.48,3.5669026,1.0
