InitialReturnMean,StdIW,TimestepsSoFar,InitialReturnStd,J_sample_variance,MaxIW,EpRewMean,MeanIW,EpisodesSoFar,InitialBound,Bound,MinIW,Iteration,EmpiricalD2,ReturnMeanIW,EpLenMean,TimeElapsed,Weights,EpThisIter,InitialReturnMax,InitialReturnMin
3.7384034e-06,0.012054537,1745,3.275067,53.38854,1.0469605,-108.67197648780628,1.002017,100,-700388000000000.0,-700388000000000.0,0.96119773,1,1.0001708,526.64966,17.45,4.628607749938965,[-0.689  0.919 -0.673  0.288  0.   ],100,9.20005,-4.7708664
-1.3732911e-06,0.012544724,3482,3.334765,43.145897,1.0355763,-108.25358988662973,1.0020618,200,-744332600000000.0,-744332600000000.0,0.96701014,2,1.0001842,527.4087,17.37,10.368342876434326,[-6.891e-01  9.199e-01 -6.729e-01  2.869e-01  1.144e-04],100,9.6081085,-5.2872314
7.705688e-06,0.009934456,5179,2.8514473,31.853498,1.0310323,-108.20025681945457,1.0019884,300,-744332600000000.0,-744332600000000.0,0.9805124,3,1.0000969,541.40424,16.97,15.201469421386719,[-6.892e-01  9.195e-01 -6.725e-01  2.871e-01  1.859e-04],100,7.6539917,-4.3060226
1.4495849e-06,0.0156006375,6903,2.9975693,68.390396,1.0682846,-108.41986156340668,1.0019727,400,-632786900000000.0,-632786900000000.0,0.94945186,4,1.0003687,532.7486,17.24,19.679704666137695,[-6.890e-01  9.197e-01 -6.727e-01  2.881e-01  8.204e-05],100,9.864731,-4.2782593
1.1367798e-05,0.014438932,8669,2.8217123,62.885838,1.0476614,-108.97550597349087,1.002157,500,-601450400000000.0,-601450400000000.0,0.9673244,5,1.0002147,520.89197,17.66,24.363011360168457,[-6.889e-01  9.201e-01 -6.733e-01  2.876e-01  1.520e-04],100,10.418449,-4.440155
-9.536743e-06,0.01523759,10342,2.813641,70.4224,1.0569468,-108.50245273895462,1.001995,600,-759579660000000.0,-759579660000000.0,0.9694324,6,1.0002407,551.8054,16.73,28.336384296417236,[-6.887e-01  9.205e-01 -6.737e-01  2.874e-01 -9.843e-07],100,8.474197,-4.1386795
-9.994506e-06,0.013216824,11983,2.6668067,45.33148,1.0401311,-108.74865693001199,1.0018995,700,-707529300000000.0,-707529300000000.0,0.96771884,7,1.0001731,565.3793,16.41,32.28296947479248,[-6.886e-01  9.211e-01 -6.740e-01  2.871e-01 -9.423e-05],100,9.266571,-3.4563065
-3.4332274e-06,0.013389433,13652,3.3809395,63.894043,1.0420406,-107.87851815407359,1.0020278,800,-729389000000000.0,-729389000000000.0,0.9630953,8,1.0002325,550.15344,16.69,36.45238399505615,[-6.888e-01  9.206e-01 -6.737e-01  2.872e-01  6.708e-05],100,10.010628,-4.61808
7.095337e-06,0.01487367,15419,3.191496,62.34607,1.0373447,-108.86289555031472,1.0021411,900,-595369840000000.0,-595369840000000.0,0.96116,9,1.0002807,519.99524,17.67,41.158019065856934,[-6.887e-01  9.212e-01 -6.740e-01  2.870e-01  5.231e-06],100,9.235573,-4.2985916
6.6375733e-06,0.044581793,17060,2.9874558,528.7418,1.1186492,-107.9937997436307,1.0020483,1000,-736823250000000.0,-736823250000000.0,0.9023642,10,1.0020102,561.4961,16.41,46.05624580383301,[-6.890e-01  9.208e-01 -6.733e-01  2.867e-01 -1.883e-04],100,9.504036,-4.320801
4.577637e-06,0.03542997,18780,3.0574734,326.73236,1.0937431,-108.34535135210386,1.0020943,1100,-729389000000000.0,-729389000000000.0,0.913506,11,1.001373,533.8031,17.2,50.696502685546875,[-6.884e-01  9.228e-01 -6.740e-01  2.862e-01 -5.050e-04],100,9.738022,-4.3469467
1.2207031e-06,0.008164672,20490,2.976717,28.552565,1.0307565,-108.37456678844288,1.0019863,1200,-707529300000000.0,-707529300000000.0,0.974303,12,1.0000755,537.5547,17.1,55.39656710624695,[-6.885e-01  9.217e-01 -6.729e-01  2.867e-01 -5.995e-04],100,9.385834,-4.3629456
-1.5335083e-05,0.014568082,22178,2.7475967,61.50215,1.050838,-108.69945662937118,1.0019835,1300,-620063000000000.0,-620063000000000.0,0.96786714,13,1.0002284,547.1924,16.88,59.13695788383484,[-6.884e-01  9.216e-01 -6.730e-01  2.875e-01 -4.995e-04],100,12.084328,-3.580536
4.8065185e-06,0.0097011775,23857,2.6768537,28.874544,1.0423949,-108.52530678444978,1.0019542,1400,-679389600000000.0,-679389600000000.0,0.98123133,14,1.0001127,549.66693,16.79,63.277260065078735,[-6.885e-01  9.219e-01 -6.734e-01  2.869e-01 -1.605e-05],100,6.749405,-4.162689
-8.087158e-06,0.0105126025,25535,2.8222034,38.631596,1.0256212,-108.9121484231217,1.0018553,1500,-744332600000000.0,-744332600000000.0,0.9599909,15,1.0001048,551.9869,16.78,67.66987419128418,[-6.891e-01  9.208e-01 -6.741e-01  2.864e-01  2.803e-04],100,10.660332,-3.8918
-2.1362305e-06,0.025733268,27275,3.0235739,165.16405,1.0793546,-108.38936531541952,1.0020208,1600,-613796300000000.0,-613796300000000.0,0.9365608,16,1.0005901,527.0172,17.4,71.98002457618713,[-6.893e-01  9.199e-01 -6.752e-01  2.861e-01 -3.790e-04],100,7.7797394,-4.473274
8.392334e-07,0.016476138,29095,3.4083524,73.61753,1.0478805,-108.2975400869884,1.0020747,1700,-686318800000000.0,-686318800000000.0,0.95853144,17,1.0003748,500.03418,18.2,76.24490237236023,[-6.895e-01  9.202e-01 -6.756e-01  2.846e-01 -6.357e-04],100,12.133812,-5.8259735
-8.163453e-06,0.029455354,30842,3.6505287,204.33128,1.076524,-108.37461076975666,1.0020094,1800,-722029000000000.0,-722029000000000.0,0.92512363,18,1.000871,524.51373,17.47,80.58172535896301,[-0.69   0.92  -0.676  0.284 -0.001],100,12.581154,-4.8075714
-1.9836425e-06,0.0159992,32482,2.665663,91.09765,1.0539668,-108.37236292452009,1.0018662,1900,-659014950000000.0,-659014950000000.0,0.9517306,19,1.00024,563.83575,16.4,85.12607169151306,[-0.689  0.921 -0.677  0.283 -0.002],100,11.439163,-3.812149
