TimestepsSoFar,MaxIW,TimeElapsed,EpThisIter,Weights,StdIW,EpLenMean,InitialBound,J_sample_variance,Bound,InitialReturnMax,MinIW,MeanIW,InitialReturnMin,InitialReturnStd,EpRewMean,EpisodesSoFar,Iteration,EmpiricalD2,InitialReturnMean,ReturnMeanIW
74138,1.100149,181.6917428970337,100,[-0.82  -0.496 -0.472 -0.747 -0.002],0.03571884,36.82,-1678051000000000.0,155.73969,-1678051000000000.0,39.681015,0.91938674,1.005538,-16.03923,11.959341,-107.6612772921214,2100,21,1.001684,1.6784668e-06,213.30315
77909,1.0914497,191.17636013031006,100,[-0.819 -0.495 -0.473 -0.748 -0.003],0.027142482,37.71,-1678051000000000.0,191.5561,-1678051000000000.0,37.19268,0.91994554,1.0052649,-17.89212,12.376428,-107.99560757412296,2200,22,1.0006499,2.632141e-06,207.59235
81168,1.1061996,199.0476689338684,100,[-0.82  -0.496 -0.472 -0.749 -0.003],0.024526952,32.59,-1354597400000000.0,131.92383,-1354597400000000.0,38.74633,0.9349152,1.0045964,-13.75296,10.509744,-107.83062303013735,2300,23,1.0006554,1.6021728e-06,248.36072
84868,1.1199892,207.97558188438416,100,[-0.819 -0.496 -0.473 -0.748 -0.001],0.038382,37.0,-1695222200000000.0,208.57939,-1695222200000000.0,39.096626,0.900722,1.0058823,-16.46444,12.058496,-108.02781641300429,2400,24,1.0019037,3.1280517e-06,212.51878
88325,1.075515,216.8715319633484,100,[-8.195e-01 -4.975e-01 -4.724e-01 -7.473e-01 -4.749e-04],0.024520354,34.57,-1578569900000000.0,115.109375,-1578569900000000.0,29.956394,0.9384041,1.0052186,-13.804466,10.686231,-108.63228143581846,2500,25,1.0007128,-4.15802e-06,232.56427
92069,1.116657,225.211350440979,100,[-8.192e-01 -4.970e-01 -4.729e-01 -7.477e-01 -3.296e-04],0.03393294,37.44,-1248255500000000.0,185.89977,-1248255500000000.0,41.362007,0.9228606,1.0057741,-16.526733,12.514529,-107.66610929167211,2600,26,1.0011001,1.4495849e-06,208.57835
95574,1.1902812,233.79747438430786,100,[-8.189e-01 -4.955e-01 -4.728e-01 -7.481e-01  3.379e-04],0.06837864,35.05,-1469842500000000.0,321.92648,-1469842500000000.0,32.989155,0.83004886,1.0040541,-14.709999,10.846869,-108.26515307546495,2700,27,1.0055748,-3.7765503e-06,227.7321
99144,1.056149,241.8703591823578,100,[-0.819 -0.496 -0.47  -0.747  0.002],0.02152877,35.7,-1248255500000000.0,150.11461,-1248255500000000.0,34.519855,0.95150316,1.0056839,-14.75795,11.601003,-108.57252977771452,2800,28,1.0005815,7.2479247e-06,223.34343
102826,1.1275456,250.8613772392273,100,[-0.818 -0.495 -0.471 -0.747  0.002],0.038307384,36.82,-1440156600000000.0,299.73145,-1440156600000000.0,50.77818,0.9133074,1.005071,-17.423088,13.9001255,-107.11810042327947,2900,29,1.001482,4.043579e-06,211.89978
106225,1.1078193,258.6626925468445,100,[-0.818 -0.496 -0.469 -0.748  0.002],0.029606052,33.99,-1138408700000000.0,232.50114,-1138408700000000.0,41.866173,0.91119546,1.0040779,-16.98703,12.942142,-106.88859748770776,3000,30,1.0008496,3.5858154e-06,233.58311
110024,1.1520054,267.20371866226196,100,[-0.819 -0.496 -0.467 -0.748  0.002],0.037997708,37.99,-1678051000000000.0,173.399,-1678051000000000.0,29.887718,0.90382123,1.005225,-18.3525,10.749042,-108.59195844985067,3100,31,1.0018677,-3.5476685e-06,206.73654
113534,1.0902236,275.5847280025482,100,[-0.819 -0.496 -0.466 -0.748  0.002],0.02948739,35.1,-1712566800000000.0,172.74449,-1712566800000000.0,30.655994,0.93296903,1.0050539,-13.790329,10.735113,-108.3855466532925,3200,32,1.0008518,1.5258789e-06,227.87604
116992,1.0669478,283.8715362548828,100,[-0.819 -0.497 -0.466 -0.747  0.003],0.018366706,34.58,-1161967800000000.0,203.4519,-1161967800000000.0,50.485367,0.95023245,1.0049988,-17.685493,13.873104,-106.20672502028725,3300,33,1.0003484,5.1879883e-06,227.23193
120816,1.1317663,293.2794408798218,100,[-0.819 -0.497 -0.466 -0.748  0.003],0.04183042,38.24,-1138408700000000.0,224.7535,-1138408700000000.0,46.49403,0.91429716,1.00747,-18.383911,13.601159,-107.8670840009733,3400,34,1.0017896,1.7547608e-06,203.32837
124325,1.0997213,301.87362480163574,100,[-0.819 -0.496 -0.467 -0.749  0.004],0.042903747,35.09,-1454925000000000.0,175.27345,-1454925000000000.0,35.793415,0.89445287,1.0055438,-15.593002,11.373944,-108.64502095628819,3500,35,1.0021102,4.4631956e-06,228.21869
127553,1.090404,309.5597321987152,100,[-0.818 -0.495 -0.468 -0.749  0.003],0.025916187,32.28,-1382545800000000.0,167.97356,-1382545800000000.0,42.681717,0.9263265,1.004746,-13.49958,12.408328,-106.94944754601642,3600,36,1.0006255,-2.5939942e-06,249.21603
131155,1.0933732,318.3612906932831,100,[-0.818 -0.495 -0.469 -0.749  0.003],0.03180486,36.02,-1578569900000000.0,177.95132,-1578569900000000.0,29.15139,0.9268353,1.0066304,-14.803909,11.206916,-108.10931329008541,3700,37,1.0011065,5.41687e-06,220.02379
134710,1.1562052,327.46896600723267,100,[-0.818 -0.494 -0.469 -0.75   0.003],0.044354282,35.55,-1440156600000000.0,216.758,-1440156600000000.0,47.012337,0.9034772,1.0054032,-14.9197235,12.014731,-108.1815506894181,3800,38,1.0028452,-1.1062622e-06,223.47467
138860,1.0868931,337.5231373310089,100,[-0.819 -0.496 -0.469 -0.749  0.003],0.030138837,41.5,-1354597400000000.0,186.25114,-1354597400000000.0,43.681488,0.9114676,1.0053728,-18.942986,12.575118,-108.99321407009855,3900,39,1.0012783,-1.5640259e-06,185.46983
142413,1.0683832,346.3750808238983,100,[-0.819 -0.496 -0.468 -0.748  0.003],0.022196911,35.53,-1578569900000000.0,202.91069,-1578569900000000.0,47.27169,0.9440714,1.0061426,-16.368195,13.894921,-106.88029649406124,4000,40,1.0006031,-1.3732911e-06,221.1869
145959,1.2056108,354.8380627632141,100,[-0.819 -0.496 -0.469 -0.749  0.003],0.055775855,35.46,-1161967800000000.0,259.20462,-1161967800000000.0,57.821667,0.8622407,1.0041641,-14.817192,11.787743,-108.52201810371567,4100,41,1.0036025,-3.5476685e-06,224.93683
149903,1.3593973,364.75296807289124,100,[-0.818 -0.498 -0.467 -0.749  0.004],0.10742178,39.44,-1382545800000000.0,408.43896,-1382545800000000.0,40.68868,0.7977675,1.0083072,-18.413147,13.495695,-107.7130962304438,4200,42,1.0139416,5.989075e-06,195.37462
153344,1.2599156,372.9130985736847,100,[-0.819 -0.495 -0.47  -0.751  0.005],0.06485961,34.41,-1531034400000000.0,291.21832,-1531034400000000.0,52.12967,0.8581182,1.0050112,-15.159294,12.30598,-107.59560842771555,4300,43,1.0044334,3.4713746e-06,231.65639
156970,1.0523411,381.25344944000244,100,[-0.817 -0.497 -0.469 -0.749  0.006],0.013749658,36.26,-1484910600000000.0,149.09056,-1484910600000000.0,40.915432,0.9681589,1.005496,-16.764412,11.728553,-108.12333532379762,4400,44,1.0002133,1.3732911e-06,218.23956
160676,1.143417,389.9085850715637,100,[-0.817 -0.497 -0.469 -0.748  0.006],0.048163604,37.06,-1274044700000000.0,209.69055,-1274044700000000.0,39.19809,0.8658321,1.0064206,-17.051178,12.516584,-107.27406569060899,4500,45,1.0019431,-1.9454956e-06,210.73112
164438,1.1784732,399.1562530994415,100,[-0.817 -0.497 -0.47  -0.749  0.006],0.04673096,37.62,-1368501400000000.0,242.17815,-1368501400000000.0,53.401318,0.8892961,1.0044882,-18.335808,13.29774,-106.51718999499286,4600,46,1.0022625,-3.4713746e-06,205.34123
