BatchSize,MaxNormIw,VarDiscRet,AvgVanillaIw,MinVanillaIw,J,MinNormIw,AvgNormIw,VanillaAvgRet,AvgEpLen,AvgDiscRet,VarVanillaIw,EpsThisIter,eRenyi2,Bound,MaxVanillaIw,VarRet,IterType,Delta,ESSClassic,VarNormIw,AvgRet,VarJ,ESSRenyi
100,0.0203114,1735.98398748,0.991011,0.136421,-114.218,0.00137658,0.01,-119.975974872,46.09,-119.975974872,0.133965,100,1.12026,-153.681,2.01288,1735.98398748,1,0.5,88.1024926382,1.36406e-05,-119.975974872,20.7636,89.2649635405
100,0.0170002,5458.33776645,1.04831,0.0594967,-112.34,0.000567551,0.01,-125.629266739,39.33,-125.629266739,0.187038,100,1.16998,-166.131,1.78214,5458.33776645,1,0.5,85.5801055486,1.70198e-05,-125.629266739,20.7012,85.4718477383
100,0.016085,3114.51982944,0.998761,0.0662093,-111.659,0.000662915,0.01,-119.691916659,34.01,-119.691916659,0.10974,100,1.11162,-160.068,1.60651,3114.51982944,1,0.5,90.1783804832,1.10013e-05,-119.691916659,18.3452,89.9588897939
100,0.0131576,24.4189039999,1.00066,0.495201,-109.1,0.00494876,0.01,-109.468651319,19.05,-109.468651319,0.0291874,100,1.0283,-122.43,1.31663,24.4189039999,1,0.5,97.195164518,2.91491e-06,-109.468651319,4.23121,97.2478465997
100,0.012659,20.5984560845,1.00105,0.623137,-108.209,0.00622485,0.01,-108.458401216,17.26,-108.458401216,0.0191708,100,1.01911,-121.447,1.26723,20.5984560845,1,0.5,98.1412897614,1.91307e-06,-108.458401216,3.9703,98.1252969689
100,0.0209964,28.0440189784,1.02029,0.716542,-108.246,0.00702294,0.01,-108.547482611,18.45,-108.547482611,0.0320987,100,1.02181,-121.838,2.14224,28.0440189784,1,0.5,97.0377803773,3.08349e-06,-108.547482611,4.5235,97.8657868251
100,0.0120472,385.639142419,1.02639,0.454812,-107.96,0.00443119,0.01,-109.033070654,21.21,-109.033070654,0.0242926,100,1.02759,-138.551,1.23651,385.639142419,1,0.5,97.7680720925,2.30595e-06,-109.033070654,8.99729,97.3149719741
100,0.0131663,31.0192751221,0.992977,0.110104,-107.926,0.00110883,0.01,-108.808281944,18.28,-108.808281944,0.0556805,100,1.05044,-121.737,1.30738,31.0192751221,1,0.5,94.705397031,5.64708e-06,-108.808281944,3.53508,95.1978287208
100,0.0113556,19.1778050206,0.997368,0.491601,-108.195,0.00492898,0.01,-108.386503416,16.8,-108.386503416,0.0142281,100,1.01182,-122.546,1.13257,19.1778050206,1,0.5,98.6037461109,1.43033e-06,-108.386503416,3.20579,98.8317189122
100,0.0120839,8.6808551932,0.999587,0.711355,-107.661,0.00711649,0.01,-107.747067505,16.67,-107.747067505,0.00811046,100,1.0069,-119.925,1.20789,8.6808551932,1,0.5,99.2027894348,8.11716e-07,-107.747067505,2.71443,99.3144037951
