MinVanillaIw,VarJ,AvgVanillaIw,AvgDiscRet,VarNormIw,Bound,VarVanillaIw,VanillaAvgRet,J,MaxNormIw,MinNormIw,BatchSize,AvgEpLen,ESSClassic,VarDiscRet,ESSRenyi,AvgRet,VarRet,eRenyi2,MaxVanillaIw,AvgNormIw
,48.97869,12.7133045,-1.0913936421275138e-13,0.0051635485,20302.096,8345.745,-1704.5819581729843,1698.8284,0.6029353,,100,200.0,1.9186810105008258,4553425.762000742,0.1322782399792411,-1.0913936421275138e-13,4553425.762000742,755.98224,766.53,0.01
,,1.060113e+34,-2.842170943040401e-16,0.0100000035,1.2299295e+35,inf,-12.626290231664031,11.601871,1.0,,100,200.0,,100.62149900073301,,-2.842170943040401e-16,100.62149900073301,inf,1.0601131e+36,0.01
1.0,10.28172,1.0,6.039613253960852e-16,3.5044917e-18,-0.86908,,-12.589838648117404,-2.9802322e-08,0.01,0.01,100,200.0,100.0,106.78158383377554,nan,6.039613253960852e-16,106.78158383377554,nan,1.0,0.009999998
1.0,9.419321,1.0,-1.1723955140041654e-15,3.5044917e-18,-0.7961842,,-11.09591224931439,2.9802322e-08,0.01,0.01,100,200.0,100.0,89.61981191354054,nan,-1.1723955140041654e-15,89.61981191354054,nan,1.0,0.009999998
1.0,9.819158,1.0,-7.105427357601002e-16,3.5044917e-18,-0.8299809,,-12.684440753663285,-5.9604645e-08,0.01,0.01,100,200.0,100.0,97.38974969006492,nan,-7.105427357601002e-16,97.38974969006492,nan,1.0,0.009999998
1.0,9.908109,1.0,1.8829382497642656e-15,3.5044917e-18,-0.8374997,,-12.72135030407286,5.9604645e-08,0.01,0.01,100,200.0,100.0,99.16225301754326,nan,1.8829382497642656e-15,99.16225301754326,nan,1.0,0.009999998
1.0,9.920842,1.0,-1.794120407794253e-15,3.5044917e-18,-0.8385761,,-11.752757031520396,2.9802322e-08,0.01,0.01,100,200.0,100.0,99.41729464568492,nan,-1.794120407794253e-15,99.41729464568492,nan,1.0,0.009999998
1.0,10.114711,1.0,3.1530333899354444e-15,3.5044917e-18,-0.8549633,,-13.477818370426256,-1.4901161e-07,0.01,0.01,100,200.0,100.0,103.34079427735871,nan,3.1530333899354444e-15,103.34079427735871,nan,1.0,0.009999998
1.0,9.949388,1.0,-1.2967404927621828e-15,3.5044917e-18,-0.8409891,,-11.420544149594527,-5.9604645e-08,0.01,0.01,100,200.0,100.0,99.9902175409254,nan,-1.2967404927621828e-15,99.9902175409254,nan,1.0,0.009999998
1.0,9.891022,1.0,-4.796163466380677e-16,3.5044917e-18,-0.8360555,,-11.986760596514102,-5.9604645e-08,0.01,0.01,100,200.0,100.0,98.82051744910301,nan,-4.796163466380677e-16,98.82051744910301,nan,1.0,0.009999998
1.0,10.366179,1.0,2.3980817331903383e-15,3.5044917e-18,-0.87621886,,-12.738252812186348,5.9604645e-08,0.01,0.01,100,200.0,100.0,108.54310984681904,nan,2.3980817331903383e-15,108.54310984681904,nan,1.0,0.009999998
1.0,10.341455,1.0,-8.348877145181177e-16,3.5044917e-18,-0.87412935,,-11.587793641846297,-2.3841858e-07,0.01,0.01,100,200.0,100.0,108.02596716411301,nan,-8.348877145181177e-16,108.02596716411301,nan,1.0,0.009999998
1.0,9.957828,1.0,1.5987211554602254e-16,3.5044917e-18,-0.8417024,,-12.357597543565603,-1.1920929e-07,0.01,0.01,100,200.0,100.0,100.15991865099566,nan,1.5987211554602254e-16,100.15991865099566,nan,1.0,0.009999998
1.0,9.962871,1.0,2.9132252166164106e-15,3.5044917e-18,-0.84212863,,-11.747506943761955,4.4703484e-08,0.01,0.01,100,200.0,100.0,100.26141437731599,nan,2.9132252166164106e-15,100.26141437731599,nan,1.0,0.009999998
